"id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"ZNF195",844.518458444743,690.920036577226,862.606895351297,1.24849020101457,0.32018449807577,7.83514671714457e-08,6.37744500232698e-07
"ZNF263",1879.68649228974,1728.61912601082,1897.47686077368,1.09768359739981,0.134462263592647,0.0173570785380889,0.0341290870130962
"ZNF200",432.480866352536,395.810644873728,436.799315588564,1.10355626167637,0.142160183194676,0.0111871345011146,0.0230323357375889
"ZNF582",257.318632683255,275.096604505862,255.225019235084,0.927765065270538,-0.108168571947985,0.20757232107689,0.27835368726786
"ZNF285",239.537270314266,252.773684137418,237.97849104168,0.941468617881538,-0.0870150888224168,0.138403187518414,0.193764462525779
"ZNF275",1536.74146043593,1435.70021287325,1548.64052951017,1.07866566823926,0.109247771669477,0.555852884911572,0.639962203023192
"ZNF37A",1191.4410552152,1503.30644507327,1154.7143925373,0.768116438482386,-0.380603069763776,1.37045050151866e-09,1.77650990937604e-08
"ZNF510",673.802849456034,713.060776772318,669.179660410803,0.938460902925914,-0.0916314524735392,0.180310505436878,0.247485007462382
"ZNF506",1579.41830845217,1747.38323087481,1559.63800820679,0.892556355497339,-0.163984831930783,0.00996127088097466,0.0210026795683201
"ZNF324",620.250297269005,606.552133765629,621.863454248445,1.02524320603368,0.035966183407641,0.714797379487779,0.783977344039329
"ZNF671",868.73632378818,861.578254452585,869.579290037282,1.00928648737749,0.0133357435754592,0.77971024554476,0.832007883965445
"ZNF416",382.542752447274,351.763489000986,386.167456126577,1.09780425826256,0.134620840492117,0.0906974545561856,0.136828056442521
"ZNF586",390.130596368974,428.297024423961,385.63594715691,0.9003937108262,-0.151372115162753,0.353499943753789,0.43565133913319
"ZNF446",983.345775644643,760.916082210382,1009.5400908395,1.32674300680686,0.407888944399306,0.000690822854584605,0.0021025043400401
"ZNF8",236.650452064212,201.471222870612,240.79331538242,1.19517473489036,0.257221556056349,8.63284820292058e-05,0.000351336845467698
"ZNF264",2192.09812518653,1993.9383476641,2215.43430657141,1.11108465774119,0.15196874530513,0.0141894633608721,0.0285420240017542
"ZNF213",1611.62674052371,960.83815629377,1688.26651391606,1.75707688423635,0.81317732058915,6.41535401471641e-22,7.48457968383581e-20
"ZNF343",624.332436554648,645.535724046679,621.835442618461,0.96328587164836,-0.0539640887125331,0.240299543987222,0.316183610509503
"ZNF302",1711.14279738981,1776.27466165493,1703.47257784562,0.959014174226024,-0.0603759564588944,0.199663793693028,0.269010054203347
"ZNF268",1073.2435655981,1190.77006175216,1059.40311994324,0.889679001825403,-0.168643192526062,0.00393010928218269,0.00935740305281593
"ZNF184",561.824690480089,563.889882856963,561.581484192193,0.995906295298164,-0.00591808920879143,0.979445954961119,0.999434647919509
"ZNF500",684.80868177938,611.142961021203,693.483886419564,1.13473267410423,0.182352460362398,0.00930414570463967,0.0198564085159993
"ZNF419",639.806375898101,546.843238132004,650.754130645007,1.19001952528106,0.250985244789578,0.000351271541159215,0.00117090513719739
"ZNF175",589.288340099332,621.88115717004,585.450064236714,0.941417918016504,-0.0870927827699599,0.106857757408288,0.156486255618832
"ZNF14",694.275134425953,793.36143101121,682.606289119505,0.860397622618814,-0.21692455645924,0.000335506029176217,0.00115124617854584
"ZNF85",425.936801052535,496.581311178242,417.617387684438,0.840984906768953,-0.249848186351033,0.000219005130214879,0.000798456203908413
"ZKSCAN1",1260.67224150627,1398.40080916574,1244.4527095863,0.889911319722927,-0.168266517201957,0.152206601722994,0.210562492502166
"ZNF862",1626.07052377713,2255.29547008708,1551.97018079851,0.688144946585907,-0.539215617611258,5.25726780511852e-13,1.67276702890135e-11
"ZNF684",156.334490867721,187.97265165366,152.608639597521,0.811866185080492,-0.300686138449645,9.18489224178683e-05,0.000369507159152344
"ZNF430",818.380281054486,580.558085864902,846.387286076813,1.45788562192857,0.543877537806631,1.26732999384286e-06,8.21417588601853e-06
"ZFP30",533.801308649549,548.032661514489,532.125360906972,0.970973809182181,-0.0424957136327886,0.440408473536054,0.526085207295628
"ZNF549",598.505407336314,578.689959082793,600.838963118665,1.03827438801768,0.0541877596114357,0.310597335941561,0.391039811437217
"ZNF211",887.221464345748,893.512780506269,886.480570825847,0.992129704427465,-0.0113993536077885,0.925793361320984,0.953022577830425
"ZNF205",1042.62724036811,666.394412475052,1086.93410033955,1.63106724785188,0.705816264663156,9.57472998161121e-07,6.44452979531524e-06
"ZNF45",682.50268187827,772.600227414774,671.89239208455,0.869650782181095,-0.201491907671022,0.0036916528583301,0.00909914436912349
"ZNF133",975.582525730291,831.200460448159,992.585603278486,1.19415911144144,0.255995076128759,0.00287555278111067,0.007219989519433
"ZNF436",1997.51603727582,1765.01846291706,2024.89599114242,1.14723785256946,0.198164530977178,0.0109066593988231,0.0225877561514088
"SSX1",265.534303485746,31.9251618423304,293.045160485669,9.1791284233088,3.19835717334872,4.13088113733761e-09,4.6638980582844e-08
"PRDM7",0.631638955091935,0.3970882810823,0.65926069115295,1.66023708721919,0.731389277796104,0.516591904434585,0.598699226993724
"ZNF484",208.932948328988,226.439155382329,206.871339115122,0.913584661477083,-0.130389665943076,0.101257058178481,0.150169365942662
"ZNF780B",1139.74144591783,1223.54968449017,1129.87181303206,0.92343762362446,-0.114913581570193,0.066076007486538,0.103706738207571
"ZNF557",433.403716831146,422.886117855533,434.642316311308,1.02779991576785,0.0395594390213052,0.790330058979686,0.838228850433
"ZNF337",1266.37336449911,1155.61556874163,1279.41669773203,1.10713002865236,0.146824671690822,0.0248839064212288,0.045838774986474
