"id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"ZNF195",805.405515308354,580.908709907579,815.860023402998,1.40445479554404,0.49001018993674,0.0447763718855405,0.176086855729654
"ZNF263",1284.21357300078,1643.99307393213,1267.45913545741,0.77096379270375,-0.375264987423218,0.0202170947746721,0.108861279555927
"ZNF200",469.834595363,392.637922536558,473.42953846031,1.20576620669194,0.26995020148024,0.218628143093446,0.460962952305458
"ZNF582",58.1409425619571,100.249534966537,56.1800032097831,0.560401634067785,-0.835466932376925,0.0167059297373578,0.0943076678721812
"ZNF285",130.248091299606,115.866068133142,130.917842378437,1.12990666282037,0.176203602155708,0.422845025587471,0.681722005235958
"ZNF275",895.812014113973,1101.47455264572,886.234591976465,0.804589257053418,-0.313675619786394,0.159786701932471,0.402340616376726
"ZNF37A",719.101135902949,891.268059357044,711.083558585234,0.797833548638786,-0.325840305333959,0.15867716866891,0.402340616376726
"ZNF510",348.193243805089,466.001277210766,342.707085386687,0.735420914375917,-0.443357889467482,0.0394826205731094,0.158838128742394
"ZNF506",796.962343679852,803.644430523804,796.651168067021,0.991298063930805,-0.012609182077255,0.669606383154801,0.894512343909086
"ZNF324",405.348109251753,532.681560395877,399.418365203375,0.749825777536838,-0.415372671388178,0.0492640786552912,0.187417690536434
"ZNF671",136.230533076898,303.844097758602,128.424999427505,0.422667415213495,-1.24240520021897,2.25567483287612e-05,0.000986857739383304
"ZNF416",238.368481353063,249.448754209565,237.852488254354,0.953512431874206,-0.0686763464003586,0.82692690212508,0.956916360548085
"ZNF586",384.175856866523,435.379158699526,381.791389379202,0.876917008429181,-0.18948778265428,0.348031253065361,0.612115269210435
"ZNF446",707.785568553177,549.771490222342,715.144067298976,1.30080238793349,0.379401810939354,0.195367139446361,0.428249238551981
"ZNF8",215.970544799219,161.329599433985,218.515098627501,1.35446377722469,0.437721811688997,0.0778383950925182,0.243244984664119
"ZNF264",1269.7983498435,1376.50365467602,1264.82923025571,0.918870956832589,-0.122065826419423,0.60910934143682,0.842641381434336
"ZNF213",1047.06999784709,862.458946177056,1055.66708113565,1.22402009488684,0.291627243125028,0.144388639837847,0.378735202631866
"ZNF343",589.048845623413,575.844747720664,589.663742339473,1.02399777834826,0.0342125852896433,0.769847252622559,0.956916360548085
"ZNF302",778.678159985618,878.129349993732,774.046854568574,0.881472478484062,-0.182012568761526,0.458457309141654,0.708426193308304
"ZNF268",560.201636485459,701.060786709811,553.6420191956,0.789720420384557,-0.340586099209868,0.0899891224731425,0.271518904013792
"ZNF184",447.23109068517,369.871528466085,450.833619317922,1.21889246568288,0.28557085272658,0.234466368053167,0.47990192291584
