"id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"ZNF195",997.518269330561,958.477051353212,1001.5188332953,1.04490642929982,0.0633737556752901,0.845697298095282,0.89424185599199
"ZNF263",2515.97904773177,1840.10047090771,2585.23650482627,1.40494312441048,0.490511727747413,4.7767433310358e-10,3.21511570358179e-09
"ZNF200",681.111148844611,474.148018316963,702.318715742229,1.48122250565379,0.566788375057263,1.91356358790534e-11,1.63352989211431e-10
"ZNF582",138.486110434102,172.565578023573,134.993978348081,0.782276395409753,-0.354249661479595,0.00544643306202721,0.0115530398285426
"ZNF285",233.039445947736,213.934235771262,234.997161903605,1.09845514466821,0.135475958622383,0.383719937012376,0.48484468575571
"ZNF275",1586.08980293327,1644.71573683663,1580.08238793127,0.960702419598861,-0.0578384737253244,0.807641370134158,0.869819273568177
"ZNF37A",1745.90033778369,1561.07292436286,1764.83965187622,1.13052992229465,0.176999177118021,0.00521834805899331,0.0112050418444642
"ZNF510",851.173335701159,1098.04183743628,825.876654828026,0.752135871941172,-0.41093478927544,6.52918621524141e-06,2.17639540508047e-05
"ZNF506",1128.73246410441,1351.06193836448,1105.95030388746,0.818578536248502,-0.288807256171125,9.59777816056932e-05,0.000273107508634086
"ZNF324",565.496910506788,497.888406469383,572.424771853713,1.14970496283069,0.201263684411974,0.0187067559694539,0.0353911599422101
"ZNF671",379.386250944502,427.683505457745,374.437218460071,0.875500723506545,-0.191819723996807,0.190710552587302,0.266994773622223
"ZNF416",369.494890947248,379.407510572978,368.479142184136,0.971196225471821,-0.0421652802785973,0.811500260033127,0.871242610465014
"ZNF586",617.933572962135,486.340807152975,631.417918589423,1.29830338993293,0.37662755437444,2.17861011584619e-05,6.80815661201936e-05
"ZNF446",854.477721042958,448.421555909323,896.08640402097,1.99831250797892,0.998782217993196,4.25375899077998e-12,4.02382607235944e-11
"ZNF8",285.827342225679,198.403772135889,294.78565864842,1.48578656280041,0.571226883773257,1.13461669004421e-07,4.72756954185088e-07
"ZNF264",2233.50556419706,2152.61836318375,2241.79409714628,1.04142663441309,0.0585612091370551,0.201253367519041,0.279518565998669
"ZNF213",2020.78863187844,1089.02597021222,2116.26659903911,1.94326550231554,0.958483025321651,1.69075670447344e-25,9.86274744276175e-24
"ZNF343",848.74750690216,807.029863662333,853.02232487367,1.05698978846039,0.0799614389640084,0.342283696454692,0.440438579996847
"ZNF302",1883.56438300841,1825.4557417214,1889.51879089876,1.03509427684998,0.0497621750189978,0.216076861533226,0.297743706837122
"ZNF268",1098.9899670175,1325.83271392041,1075.74533055535,0.811373349941292,-0.301562177774473,0.000274517664755836,0.000744815369492577
"ZNF184",801.683788266126,633.966951987295,818.869776979053,1.29166003750218,0.369226405365897,1.0116740552448e-05,3.30921419939888e-05
"ZNF500",796.463581336974,591.193723410362,817.497638141896,1.38279147049478,0.467583609730565,4.1795044150723e-08,2.00387197982919e-07
"ZNF419",512.079609933957,451.872168313889,518.249082451293,1.14689312330317,0.197730955726335,0.0426578497857516,0.0735480168719854
"ZNF175",421.583300469925,588.145663807919,404.515610905556,0.687781336831663,-0.539978126486626,3.55899034651404e-09,1.97721685917446e-08
"ZNF14",676.062936646864,724.710567134279,671.078001043396,0.925994502463291,-0.110924466512532,0.103469278274027,0.158834418403111
"ZNF85",433.877790270748,332.221765351641,444.294510116073,1.33734317390616,0.419369721051511,1.79218634196203e-05,5.65103801519559e-05
"ZKSCAN1",3955.14009127518,3719.66012194889,3979.26978621072,1.0697939208827,0.0973329106874272,0.124027076937451,0.184721178417481
"ZNF862",1493.72745504198,1607.71271080586,1482.04735564074,0.92183593852279,-0.117418081478456,0.0343151407016209,0.0625536419039964
"ZNF684",145.788648379676,164.954943318965,143.824673051954,0.871902776346916,-0.197760822158229,0.0798963928285095,0.126532748823431
"ZNF430",384.542648321852,438.587327404225,379.004675716888,0.864148715741569,-0.210648480415078,0.0267703074371536,0.0498383383138498
"ZFP30",784.317015013501,584.679330444663,804.773941520097,1.37643644920378,0.460938001480824,1.53426332411994e-09,9.58914577574962e-09
"ZNF549",578.346506000639,601.755192841981,575.947811649101,0.957113155815082,-0.0632385957949587,0.72728043529929,0.81066290558838
"ZNF211",625.587153192053,714.834579795499,616.441945708443,0.862356079478969,-0.213644392598713,0.00370287798502339,0.00815098927520872
"ZNF205",1007.85782858988,501.413924689084,1059.75326979472,2.11352979567101,1.07965445103149,1.63857145744833e-09,1.00614036860862e-08
"ZNF45",798.502758884001,873.438118949302,790.8241126559,0.905415158210885,-0.143348634896914,0.179147252225988,0.253852381696744
"ZNF133",923.133102699763,970.414685559954,918.288146359103,0.946284263854918,-0.0796544605302159,0.108215867149442,0.163963435074912
"ZNF436",2598.96451828616,3569.90861883892,2499.47161868698,0.700150027789761,-0.514263999748564,1.10964205918401e-12,1.17689309307395e-11
"SSX1",38.234785406631,0.184662329817504,42.1337916139531,228.166684865249,7.83394434560616,0.00207600565533604,0.00484401319578409
"PRDM7",0.759212450131852,0.555902358442661,0.780045689170452,1.40320629571661,0.488727125799183,1,1
"ZNF484",233.570139063471,249.610858415324,231.926442295486,0.929152055995842,-0.106013381508559,0.522577620516512,0.62414300769618
"ZNF780B",787.142096522339,952.536068526951,770.194132327905,0.808572145219625,-0.306551590320166,2.97109039056003e-05,9.12176874294747e-05
"ZNF557",551.012065444705,493.244033747621,556.931570979997,1.12911973156266,0.175198477229528,0.0564523750475127,0.0936413804105661
