"id","baseMean_BLCA","baseMeanHealthy_BLCA","baseMeanTumor_BLCA","foldChange_BLCA","log2FoldChange_BLCA","pval_BLCA","padj_BLCA","medianHealthy_BLCA","medianTumor_BLCA","Q1healthy_BLCA","Q3healthy_BLCA","Q1tumor_BLCA","Q3tumor_BLCA","SEMhealthy_BLCA","SEMtumor_BLCA","baseMean_BRCA","baseMeanHealthy_BRCA","baseMeanTumor_BRCA","foldChange_BRCA","log2FoldChange_BRCA","pval_BRCA","padj_BRCA","medianHealthy_BRCA","medianTumor_BRCA","Q1healthy_BRCA","Q3healthy_BRCA","Q1tumor_BRCA","Q3tumor_BRCA","SEMhealthy_BRCA","SEMtumor_BRCA","baseMean_CHOL","baseMeanHealthy_CHOL","baseMeanTumor_CHOL","foldChange_CHOL","log2FoldChange_CHOL","pval_CHOL","padj_CHOL","medianHealthy_CHOL","medianTumor_CHOL","Q1healthy_CHOL","Q3healthy_CHOL","Q1tumor_CHOL","Q3tumor_CHOL","SEMhealthy_CHOL","SEMtumor_CHOL","baseMean_ESCA","baseMeanHealthy_ESCA","baseMeanTumor_ESCA","foldChange_ESCA","log2FoldChange_ESCA","pval_ESCA","padj_ESCA","medianHealthy_ESCA","medianTumor_ESCA","Q1healthy_ESCA","Q3healthy_ESCA","Q1tumor_ESCA","Q3tumor_ESCA","SEMhealthy_ESCA","SEMtumor_ESCA","baseMean_HNSC","baseMeanHealthy_HNSC","baseMeanTumor_HNSC","foldChange_HNSC","log2FoldChange_HNSC","pval_HNSC","padj_HNSC","medianHealthy_HNSC","medianTumor_HNSC","Q1healthy_HNSC","Q3healthy_HNSC","Q1tumor_HNSC","Q3tumor_HNSC","SEMhealthy_HNSC","SEMtumor_HNSC","baseMean_KICH","baseMeanHealthy_KICH","baseMeanTumor_KICH","foldChange_KICH","log2FoldChange_KICH","pval_KICH","padj_KICH","medianHealthy_KICH","medianTumor_KICH","Q1healthy_KICH","Q3healthy_KICH","Q1tumor_KICH","Q3tumor_KICH","SEMhealthy_KICH","SEMtumor_KICH","baseMean_KIPAN","baseMeanHealthy_KIPAN","baseMeanTumor_KIPAN","foldChange_KIPAN","log2FoldChange_KIPAN","pval_KIPAN","padj_KIPAN","medianHealthy_KIPAN","medianTumor_KIPAN","Q1healthy_KIPAN","Q3healthy_KIPAN","Q1tumor_KIPAN","Q3tumor_KIPAN","SEMhealthy_KIPAN","SEMtumor_KIPAN","baseMean_KIRC","baseMeanHealthy_KIRC","baseMeanTumor_KIRC","foldChange_KIRC","log2FoldChange_KIRC","pval_KIRC","padj_KIRC","medianHealthy_KIRC","medianTumor_KIRC","Q1healthy_KIRC","Q3healthy_KIRC","Q1tumor_KIRC","Q3tumor_KIRC","SEMhealthy_KIRC","SEMtumor_KIRC","baseMean_KIRP","baseMeanHealthy_KIRP","baseMeanTumor_KIRP","foldChange_KIRP","log2FoldChange_KIRP","pval_KIRP","padj_KIRP","medianHealthy_KIRP","medianTumor_KIRP","Q1healthy_KIRP","Q3healthy_KIRP","Q1tumor_KIRP","Q3tumor_KIRP","SEMhealthy_KIRP","SEMtumor_KIRP","baseMean_LIHC","baseMeanHealthy_LIHC","baseMeanTumor_LIHC","foldChange_LIHC","log2FoldChange_LIHC","pval_LIHC","padj_LIHC","medianHealthy_LIHC","medianTumor_LIHC","Q1healthy_LIHC","Q3healthy_LIHC","Q1tumor_LIHC","Q3tumor_LIHC","SEMhealthy_LIHC","SEMtumor_LIHC","baseMean_LUAD","baseMeanHealthy_LUAD","baseMeanTumor_LUAD","foldChange_LUAD","log2FoldChange_LUAD","pval_LUAD","padj_LUAD","medianHealthy_LUAD","medianTumor_LUAD","Q1healthy_LUAD","Q3healthy_LUAD","Q1tumor_LUAD","Q3tumor_LUAD","SEMhealthy_LUAD","SEMtumor_LUAD","baseMean_LUSC","baseMeanHealthy_LUSC","baseMeanTumor_LUSC","foldChange_LUSC","log2FoldChange_LUSC","pval_LUSC","padj_LUSC","medianHealthy_LUSC","medianTumor_LUSC","Q1healthy_LUSC","Q3healthy_LUSC","Q1tumor_LUSC","Q3tumor_LUSC","SEMhealthy_LUSC","SEMtumor_LUSC","baseMean_PRAD","baseMeanHealthy_PRAD","baseMeanTumor_PRAD","foldChange_PRAD","log2FoldChange_PRAD","pval_PRAD","padj_PRAD","medianHealthy_PRAD","medianTumor_PRAD","Q1healthy_PRAD","Q3healthy_PRAD","Q1tumor_PRAD","Q3tumor_PRAD","SEMhealthy_PRAD","SEMtumor_PRAD","baseMean_STES","baseMeanHealthy_STES","baseMeanTumor_STES","foldChange_STES","log2FoldChange_STES","pval_STES","padj_STES","medianHealthy_STES","medianTumor_STES","Q1healthy_STES","Q3healthy_STES","Q1tumor_STES","Q3tumor_STES","SEMhealthy_STES","SEMtumor_STES","baseMean_THCA","baseMeanHealthy_THCA","baseMeanTumor_THCA","foldChange_THCA","log2FoldChange_THCA","pval_THCA","padj_THCA","medianHealthy_THCA","medianTumor_THCA","Q1healthy_THCA","Q3healthy_THCA","Q1tumor_THCA","Q3tumor_THCA","SEMhealthy_THCA","SEMtumor_THCA","baseMean_UCEC","baseMeanHealthy_UCEC","baseMeanTumor_UCEC","foldChange_UCEC","log2FoldChange_UCEC","pval_UCEC","padj_UCEC","medianHealthy_UCEC","medianTumor_UCEC","Q1healthy_UCEC","Q3healthy_UCEC","Q1tumor_UCEC","Q3tumor_UCEC","SEMhealthy_UCEC","SEMtumor_UCEC"
"HKR1",1376.89425489083,1289.36386335955,1380.97042508469,1.07104787432653,0.0990229679591504,0.581595217406494,0.7986723787932,1041,1325.5,689,1199,983.75,1828.75,116.442320900286,50.556464432794,2234.30418164005,1824.84225079238,2276.26185433441,1.2473745899658,0.318894775458876,0.000125654110253631,0.000340773947007848,1904,2184,1315.75,2595.75,1599,3018,84.7128066562115,36.3134442636807,1106.82323209172,788.860071411088,1186.31402226187,1.5038332719006,0.588644626100819,0.0143311637414591,0.0645857779281758,308,1472,273,394,1219.75,1789,24.8929808144216,89.7866198449112,1277.53747023604,1378.32423743745,1271.51217437074,0.922505851551089,-0.116370032519789,0.790239803907994,0.919804616212429,1113,1252.5,784,1576.5,892.5,1772.25,158.07658464039,63.9892531827877,641.241229146671,791.845465288213,628.497793780848,0.793712689321381,-0.333311224425321,0.00374432342852169,0.0119747702100835,710,653,542.25,988,393.75,911.5,53.3075954111795,18.0023121161185,2526.89443567821,1868.07540518412,2776.44709874415,1.48626072108181,0.571687216830998,7.7947695421294e-06,4.47868961827435e-05,2158,2781.5,1856,2339,2247.25,3286.5,71.1119043011318,110.589198701928,1719.2951105206,1546.1699746562,1744.41675565728,1.12821797360614,0.174045825769203,0.0229044993561599,0.0402312190763637,1882,1721,1600,2256,1303,2218,49.7673327449509,25.422708262909,1773.66669157213,1571.96713745128,1800.91316042148,1.14564300837828,0.196157558686688,0.0400150802935462,0.0692097562220008,1834,1788,1392,2223.5,1392,2227,76.376448553096,29.719646550561,1430.90549439366,1321.71459725163,1442.95414511278,1.09172899210862,0.126614769934458,0.468624944885965,0.608673778989817,1835,1443,1528.5,2038.75,1098,1910.5,79.3783874610548,38.2768514718553,549.690709626315,490.562900860356,557.659417007172,1.13677454212119,0.184946151137059,0.056840345025402,0.12043048102257,322,591,250.25,389.75,370.5,824,17.5332556321188,24.6001313544537,1120.85409420992,837.706837805914,1153.29232358436,1.3767254504034,0.46124088276005,5.49302417216545e-05,0.000282141696115771,609,1124,501.5,733.5,718.5,1633.5,50.4464174014193,39.7123749930692,1247.34247304448,965.745217094851,1276.00806197348,1.32126780375052,0.40192291169086,0.00461295628939327,0.01085966793128,1191,1161,921.5,1515,816,1655,71.5300777187781,45.7227615582682,2940.17026260738,2161.40874596472,3021.65034080742,1.39800042284863,0.483364797080684,2.02879500183104e-07,1.96503287320206e-06,2500,2902,1810.5,2998,2230,3634,115.996424744164,52.8747043880715,1079.17133570574,1051.67704524455,1081.22606915657,1.02809705131973,0.0399764599100216,0.913841550882434,0.965085002333786,769,1100.5,452.25,1225.25,760,1538,81.6126507229933,32.1711834909044,2463.95883895019,2268.05191786983,2487.02971388779,1.09654884629962,0.132970078992474,0.0223722809948291,0.0399168592486688,2797,2479,2306,3349.5,1998,2977,104.609837208519,36.745672662783,832.563427746355,594.758263616901,839.633311004258,1.41172197574557,0.49745599249917,0.107279720786935,0.259770181048364,773,799.5,659.5,802.5,608.5,1027.75,50.1909905978163,20.4020913212553
"KRBA2",81.6924899793689,140.961439035986,78.9324163713401,0.559957509735618,-0.83661073703753,0.0023474076775496,0.0233686258048305,109,75,73.5,137.5,40,123,26.1493214326514,4.1426323629925,179.519039840875,265.917743633377,170.665741739539,0.641798999222999,-0.639806554904821,1.51420353617274e-08,7.22978871496562e-08,283.5,162,195.5,364.25,98,258,14.0060773611827,4.53485738357406,91.1860151021029,58.5565450084313,99.3433826255208,1.69653763915232,0.762593437839063,0.0571264598786374,0.182157956971504,27,134,19,31,73.25,220,2.4969116726938,13.5607482573072,194.415338002421,248.19801661252,191.200069172469,0.770352929415089,-0.376408541464654,0.247070957568765,0.53348442430453,215,167,109,339,117.5,284.25,48.2207904134635,11.2679006991671,69.0785867813496,122.822434082524,64.5310304712502,0.525401006365759,-0.928509131040295,4.54691563875109e-06,3.75952293057712e-05,105.5,60.5,68.25,150.5,33,104.5,12.2291136412146,2.96051015772016,447.685900206845,445.764380750448,448.413748485783,1.00594342628021,0.00854917102809851,0.977336362230126,0.989006050137352,514,459,332,655,312.5,612.75,47.3812550839816,27.2844683351742,251.694232211184,356.978178124475,236.416809238389,0.662272440518628,-0.594503271012832,2.30743242313807e-12,1.66429700307193e-11,410,206,305,565,120,342,19.673301922024,7.24490506242083,205.615473178636,362.740277829229,184.390358854353,0.5083261223645,-0.976173723559268,9.33654025474765e-24,2.63757262196621e-22,389,177,284,527.25,108,262,27.8525369188367,6.88639356915612,265.99477828999,295.549650448556,262.73355101732,0.888965866204102,-0.169800070211941,0.563305241846433,0.696933208733525,413,228,312.5,517.25,141,405,29.973307492607,15.4115020651365,30.6269774025381,30.9219527312376,30.5872233151122,0.989175023355261,-0.0157022827135192,1,1,22.5,31,12,30.75,16,53,1.67082040217569,2.03132467630125,108.999927232797,99.7870487006753,110.055383219972,1.10290247735553,0.141305228231409,0.443307356063634,0.551636630827085,74,103,53.5,110,66,162,5.824230714369,4.04955105538198,100.372546141737,134.636268809309,96.8846222773738,0.719602697952034,-0.474727499300297,0.00246083215480324,0.00627234662013757,168,91,107,220,60,134,18.3173729415602,3.36807648420125,166.929420225736,200.018692767015,163.467363541336,0.817260433412319,-0.291132204863459,0.00851252548111441,0.0191109015768065,231,164,151.25,321,100,245,14.0807139106947,5.36876700721474,153.660531435876,210.189946810272,149.435913205049,0.710956520389326,-0.492166762520543,0.00144861777575913,0.00581593087648898,132.5,145,74.75,312.75,89.25,233,24.4471643759806,5.66321887274289,183.524416221042,196.39649523927,182.008542644045,0.926740278243271,-0.109763019025599,0.26972721833906,0.343750101567448,257,184,203,345.5,115,251,15.6641969643691,5.38845902345444,61.935565551287,109.608916498534,60.5182497123148,0.552128892845358,-0.856922995706345,0.00240995309129525,0.0154146056216809,149,59,114.5,174.5,33.25,89,14.303845636751,2.13124400322088
"POGK",4927.05794105833,3297.69946574582,5002.93492887926,1.51709850483533,0.601314762462781,0.00873220787415679,0.0558531786667764,2598,4390.5,1514.5,3464,2863,6994.5,370.659660847721,271.065898338689,6090.90904102006,3156.65029841388,6391.58331290651,2.024799299472,1.01777891342629,4.19599083783068e-30,7.11220447012301e-28,3392,5887,2624.25,4235.5,4163,8288,125.104719683139,112.710972674011,3214.27439471786,1768.52614218731,3575.7114578505,2.02185954312672,1.01568277791706,3.4273750799952e-05,0.000551644179542085,700,4080,613,761,3017.5,6322.5,58.6979346388286,539.484242785909,5660.24131353885,3152.17371158768,5810.18013756854,1.84322967868483,0.882235851573155,0.000379011663279037,0.0160606192314492,2393,5554.5,2207.5,3631.5,4413,7415.25,445.413762511567,224.912201051406,2859.21217873901,2423.6466802397,2896.06772091972,1.19492158016749,0.256915940703256,0.0444495583857664,0.0907734957396072,2750.5,2850.5,1966,3103.25,2066,3988.5,138.820553830021,94.1059663076967,2934.88961103771,3324.63436257039,2787.25902333593,0.838365582307526,-0.254348604220818,0.0331118834405655,0.066419695185513,3987,2468,2902,4437,1920,3232.25,210.709223022313,166.54984810456,3119.48097790083,3188.79709385368,3109.42273385368,0.975108369186302,-0.0363655324357072,0.0696886380751911,0.105466287087008,4032,2945,3032,4751,2168,3953,117.028850686124,52.907518174181,3159.11249973116,3506.14086095992,3112.23437213553,0.887652406322162,-0.17193324922132,0.000743400246810533,0.00183950863991804,4254.5,3113,3121.5,5002.75,2268,3987,175.473292087993,58.6012902478016,2997.67022132918,2587.65057885214,3042.91376808526,1.17593688767479,0.233810633063799,0.0629196789377098,0.127723180598106,3796,2771.5,3000.75,4273.25,2012.25,4084.5,183.870402918209,114.634823284794,1639.48572594124,1269.08827754455,1689.4045195257,1.33119543330302,0.412722389401143,2.28326905776081e-05,0.000198468771943824,801.5,1700,643.25,1091.75,1072.5,2501.5,51.8647101129664,84.9790153964895,3768.39193871336,3665.07817685077,3780.22788424713,1.03141807673399,0.0446292356855873,0.452834592215186,0.558221551857993,2651,3626,2095.5,3776,2546.5,5341,161.561597137547,112.925171690093,4281.13960723545,3818.16600252628,4328.26865681662,1.13359886761153,0.180910222214679,0.174407736574845,0.241323357954581,4556,3990,3805,6157,2971,5480,342.526434174678,124.948276040653,2079.2857268477,2236.23606045934,2062.86436397485,0.922471647984752,-0.116423524029092,0.179223084212707,0.253152606450448,2503,2096,2057.75,2899.75,1499,2676,92.7643078465247,42.9699645275383,4355.20890751134,2965.38019706328,4459.07511007152,1.5037110973114,0.5885274137492,1.44928779430755e-05,0.000119831356651283,2207.5,4541,1281.75,3071.75,3292.5,6153.75,198.186355713942,112.89315779587,3046.94315096112,2384.79864971021,3124.92024791482,1.31034972210109,0.389951907186949,1.16928653015988e-09,1.46810419897852e-08,3123,3142,2497.5,3568,2432,3848,109.676173844161,50.4291675152696,1481.59513240091,945.945972022861,1497.51983716891,1.5830923556517,0.662745422976086,0.00263980658773598,0.0165721191341203,1107,1500.5,976.5,1430.5,1031.75,1951.5,111.780304005833,39.2122250533744
"PRDM9",8.02377570453556,2.5349057372316,8.27938484516981,3.26615097499121,1.7075914797658,1,1,0,0,0,0,0,2,1.99452929840387,3.29491912940133,0.331302000379178,0.0209483321540498,0.36310402310673,17.3333141959243,4.11547562456646,0.407975887701912,0.501100818590392,0,0,0,0,0,0,0.0153247840823431,0.137202696447254,0.426610455497552,1.00882767403366,0.281056150863524,0.278596789221453,-1.84374946365667,0.375521094538559,0.631473283353397,0,0,0,1,0,0.25,0.175682092231577,0.125988157669742,4.42007018685949,0.0934251324089318,4.67872831511469,50.0799752109035,5.64616194303818,0.481722859619058,0.738623170851273,0,0,0,0,0,1,0.0909090909090909,1.57872088633744,1.336569248533,0.185952595515236,1.43392911917296,7.71126165354048,2.94696692141093,0.0884303598879694,0.158613185195882,0,0,0,0,0,0,0.0696632574655197,0.299550650999212,3.31521207451236,0.806095329786727,4.26563508387814,5.2917253409801,2.40373818265039,0.645531160489866,0.736818395306615,0,0,0,1,0,0.75,0.323934149686836,5.66231119154978,1.3668293128414,0.523083730821911,1.4892625862728,2.84708259599807,1.50948434735075,0.477534742021212,0.550626794371398,0,0,0,1,0,0,0.0922071354069887,0.527787509260505,0.680932574638991,0.45653381526688,0.711245352640477,1.55792479955663,0.639625596733922,0.952966964746109,0.964345674772928,0,0,0,1,0,0,0.0988847346633184,0.223680917972217,1.88760115526092,0.476276989384578,2.04333347701279,4.29022086423509,2.10105192080981,0.75387426941895,0.841162336586822,0,0,0,1,0,0,0.152990189175224,0.889777556931605,3.68869727277653,0.266153000761401,4.14995660862762,15.5923720444841,3.9627685146805,0.0337332725920557,0.0794137458937979,0,0,0,0,0,3,0.0515078753637713,1.45882613896997,5.91470682201572,0.0193389292462848,6.59009848351746,340.768529611508,8.41264829684722,0.367475302632916,0.471871695426359,0,0,0,0,0,0,0.0169491525423729,3.83590806203411,4.54675794953516,0,5.00960157314054,Inf,Inf,0.000617375903748278,0.00185212771124483,0,0,0,0,0,1,0,2.14761493554011,3.60679308983248,0.203738453885606,3.96284709600801,19.4506585302402,4.28174709545764,1,1,0,0,0,0,0,0,0.0870085272535267,3.16439775250363,2.79855697301195,0.0421028136577142,3.004555326558,71.3623405548218,6.15709102869181,0.033411806603375,0.0760174660304975,0,0,0,0,0,1,0.0332585855128371,0.893643771941749,0.075019681343559,0.0294709591406028,0.0803837025211526,2.72755637635173,1.4476090161795,1,1,0,0,0,0,0,0,0.0288462014710767,0.0144976697973182,0.997596912299543,0.204559932130071,1.02117368738566,4.99205135997182,2.3196327772281,0.963871930554981,0.987167928876551,0,0,0,0,0,1,0.194978278086611,0.155703366048114
"RBAK",917.040112852826,811.061765442179,921.975379031263,1.13675113082,0.184916439250779,0.223991299520989,0.444647954993631,611,924,492,833.5,597.75,1314.75,59.3287682267583,29.3961503202059,1597.6269427352,1380.82049788592,1619.84315666303,1.17310190509415,0.230328342938638,0.00421631393227845,0.00887782871454902,1394,1581,1048.5,1937.5,1161,2212,68.6756587985695,27.2519258530106,710.175257703308,878.813637341119,668.015662793856,0.76013347359397,-0.395675327929898,0.0659344109221665,0.200313700748122,336,940,292,424,670.25,1114.25,31.9561331272174,52.1577049962533,2324.00521104407,1481.2581655929,2374.38682789169,1.6029527350766,0.680731886580487,0.00642113230386011,0.0745769990185893,1142,2349,920,1514,1809.75,3118,212.33174962974,88.9590282452382,1144.60986411572,906.953755940158,1164.71922711519,1.28421015899298,0.360881316577734,0.00322729188464932,0.0105197302778473,908,1179,626,1179,813,1677.5,58.2190943080761,29.3853521678408,1013.91928222082,805.617945706368,1092.82130362781,1.35650069546256,0.439889787273399,0.00144128769424112,0.00448253695731872,922,1071.5,729,1173,797.75,1295,55.5232840047008,54.552437295857,1134.17528747668,864.015530579163,1173.37732194212,1.35805119284787,0.441537864174478,2.0291341564151e-13,1.63780114053505e-12,1051,1185,845,1326,835,1631,33.0985469755897,21.1074290406345,1246.35122982455,999.992606247598,1279.630443516,1.27963990485662,0.355737887907805,5.63691784933924e-07,2.01148963255369e-06,1204.5,1280,940,1486.25,939,1765,48.6076693393693,27.259713809869,965.593675995352,670.574584195816,998.147506814611,1.48849588150084,0.573855229808041,1.40413857939166e-07,1.90401191365509e-06,929,1052,807.75,1119.25,671.5,1443.75,45.2739741672317,36.9453397993141,461.081509250209,568.585513716,446.593098944847,0.785445791656087,-0.348416385004572,0.00481845169219394,0.0164995467035732,403,485,295.5,497.25,320.5,704.5,18.7888957653619,16.5849824033775,923.811144792369,724.143219777594,946.685722609595,1.30731835464862,0.386610505131732,2.53739776440201e-05,0.000141012761005292,550,945,443,688,664.5,1426.5,33.8378353113008,25.901766935333,1334.01900100125,777.912106380421,1390.6286848848,1.78764242576879,0.838058189451693,2.07967131276977e-12,3.06525467403892e-11,942,1294,701.5,1316.5,956,1838,64.6833616185852,33.7798495085427,986.187925889003,938.565593426929,991.170544174773,1.05604824118448,0.0786757397417785,0.089571867294887,0.148121282990081,1010,1001,811,1284,717,1340,45.2629751390252,22.0063550835237,1571.27132527626,1113.78847124004,1605.46043536438,1.44144106068626,0.52751184745089,0.00216403834231137,0.00780435104301653,822,1687,410.75,1362.25,1133.5,2474.5,117.13338069419,46.0153587290248,928.438777496334,1054.21579566563,913.626713480389,0.866641077886269,-0.206493474411565,0.000667163889576891,0.00198393472426812,1414,944,1121,1711,716,1184,61.7766266745347,16.4342835805541,401.248700413279,352.348707642517,402.70248398214,1.14290892870454,0.192710448748423,0.329476409278471,0.521932465539252,438,420,376.5,537.5,289.25,560.5,38.3622360795717,11.5593952436486
"TRIM28",18687.9532825973,13932.8434444584,18909.392221138,1.35718113079488,0.440613277176043,0.0707309956860195,0.214087567299648,10944,17403.5,8483.5,12736.5,12597.75,22891.5,774.252754263994,601.326685110774,17202.9947690302,9580.89437413679,17984.0334188272,1.87707250665181,0.908484378973614,1.55477591940898e-14,2.02718860261402e-13,9621.5,15740,7106,12422.75,12331,20674,338.756212487827,268.246470998721,9141.99364278039,6719.24229332016,9747.68148014545,1.45071141277878,0.536760555406479,0.0729831410409676,0.21450697105954,2591,12524.5,2443,2905,9704.75,14164,87.0903284449081,640.533197392673,23208.1901804692,11713.2644860128,23895.3868252464,2.04002794044142,1.02858891163806,0.000873361405913343,0.0269154106004203,7595,21670,6697,13168,15834.75,30087.75,1285.83115673729,1085.32137923487,16774.4128604498,12006.5303826184,17177.8490701125,1.43070883283487,0.516730095428252,8.00461858260145e-05,0.000444846835983916,11812.5,16331,8476.75,14712.75,12588.5,21615,573.257729897369,303.041164737099,10722.0042256198,9237.77406615934,11284.2126193548,1.22152940075599,0.288688587972258,0.0729167295722478,0.132896620026839,10437,11036,9398,11854,8764,13263,508.988000775395,444.645522956975,8925.54203225007,7802.4149169961,9088.51548316994,1.16483365468969,0.220123943987593,0.145338244986903,0.20028319126244,9649,8422,7712,11132,6658,10452,238.146894125374,108.570849508759,8609.99731475402,7388.66398771491,8774.9804283503,1.18762748487959,0.248082386649279,0.0556723102912552,0.0898710151844549,8596.5,8371,7116.75,10612,6807,10230,303.036746649515,127.948883941137,8747.08977645666,7686.81235915828,8864.08590526199,1.15315497388213,0.20558641153864,0.785967822869648,0.86227537848806,10478,8012.5,9330,11880.5,6266.5,10259.5,444.237901784682,204.492934575499,7239.55103833217,5377.80921703103,7490.45963958569,1.39284592243698,0.478035674859202,0.000623901611011116,0.00315675591242938,3405.5,6757,2867.25,4009.25,4916.5,10286,142.646402874595,316.763302181868,10834.5617067885,7656.31102988697,11198.6719785111,1.46267202766402,0.548606312807177,7.78403510451102e-07,6.59696975107309e-06,5003,10811,4498,8151,7326,16099,392.021832084989,312.130668916201,18326.2306238764,8712.8747367275,19304.835714185,2.21566776724209,1.14774156979592,5.1271931146409e-16,1.93124273984807e-14,10478,17603,8364,13883.5,12096,25151,743.225412330106,498.658526346453,14237.2169109452,11385.9387752194,14535.5397742404,1.27662198622356,0.352331399485182,0.00130441120055278,0.00381202928437406,12140,13652,10908.5,13898.75,10930,16586,415.691885507476,212.451019775304,19505.6314714293,13047.0173326993,19988.3037024376,1.53202093572311,0.61543601244403,1.57103591160595e-05,0.000126805041436766,8817,18955,6467.25,12918.75,12761.5,26634.5,708.329209379069,680.36999767949,15156.6985200444,11664.6484657019,15567.9379476017,1.33462555630175,0.416435034916507,3.23326368548202e-06,1.68627136827447e-05,13420,14990,11630,15126,12498,17398,424.820795417317,201.104812121244,12501.9975430276,6588.15852808655,12677.814378607,1.92433353334761,0.944358874577556,0.0542032423199216,0.162609726959765,8127,11042.5,6733,10654.5,8136.75,14467,926.238297346355,323.153463714893
"ZFP1",413.390458995859,421.942026161854,412.992224250383,0.978789024660848,-0.0309301705809519,0.890308714458633,0.967354660902168,324,387.5,272,436,282.5,554.75,32.3035293047086,15.2913529374215,641.23575345523,689.488032787755,636.2913295895,0.922846081920859,-0.115838048713464,0.144608892996647,0.205976532461611,683.5,609,546.25,968,413,843,28.8972087467713,11.1617202409459,507.600041789129,1583.70968681816,238.572630531871,0.150641643804798,-2.73080744701794,2.93352291006829e-36,9.91530743603082e-34,713,304.5,445,729,222.75,383.25,61.1160351551573,17.9815326341504,674.305248948244,454.913511747437,687.421059324379,1.51110275156221,0.595601763831109,0.167434350375696,0.426768757724518,303,680.5,230,475.5,483.75,895.25,118.247666969804,25.6684528069973,400.703155856874,304.138656820435,408.873998083035,1.34436708032296,0.42692712074554,0.00256916821652251,0.00862324777624882,306.5,420,235.5,369.5,298.5,546.5,17.0188908589713,8.67771163527313,512.24952779127,580.436702911602,486.421052366902,0.838026006844336,-0.254933078452998,0.0284208717729623,0.0580402140423749,634,428.5,559,799,334,573.25,33.8166862165214,26.9707420373199,597.95898078005,544.681180548095,605.689955166914,1.11200822939656,0.153167464739184,0.0876661568428094,0.128221783866478,651,582,536,799,404,813,21.8903501045817,10.3919156248773,653.592553253368,631.834335221925,656.531749685382,1.03908843360781,0.0553184427870672,0.599950238824178,0.685866279527177,715,659,559,867.75,475,878,31.958110297255,13.0265454600099,517.046455735497,379.482124110161,532.225968190706,1.40250603223725,0.488006975939275,0.000540271871813271,0.00225933319837165,554,495,426,631.5,349.75,678.25,31.0925017985809,18.7480817698681,360.786948350998,1034.47939052834,269.992818677502,0.260993907804784,-1.93791196350372,4.84973760094596e-55,1.64406104672068e-52,651.5,225,407.5,1043.25,153.5,344,52.0724562704777,12.035631589473,390.755342004858,395.191577122594,390.247113127292,0.987488437807043,-0.0181642386759257,0.867628868548626,0.910001749488519,278,365,228,415.5,259.5,545,17.8054020753343,11.0140852063157,492.306378851603,437.367614745636,497.898947652809,1.13839921125019,0.187006567393553,0.172881683088109,0.240192174454381,580,452,413.5,696.5,314,644,31.1911983957422,17.6920814562897,326.961369515824,448.654452709805,314.228894010619,0.700380642859387,-0.513788883812466,3.26089025792438e-11,7.36961198290909e-10,491.5,299,361,644,222,401,24.1593423714196,7.240081882,545.654257467843,477.141551429801,550.774424111255,1.15432081415003,0.207044240153619,0.794905320553253,0.883517716942796,289.5,564.5,186.75,606,402,770.75,54.114150238312,13.0771492105248,814.19640973045,732.710420156987,823.792564191197,1.12430851469902,0.169037971104342,0.00920251532538629,0.0193557192396216,959,819,738,1138.5,636,1042,42.4965970680613,14.2917259553612,175.93291341087,201.39057842095,175.17606391057,0.869832468251888,-0.201190533577054,0.394837794103178,0.587057750793097,272,181.5,185.5,317.5,125.25,245.75,31.0184162838842,5.40914307895664
