"gene","Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","Cluster 14 (HNSC)-BRCA basal-like c8","Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","Cluster 5-BRCA basal-like c8","Cluster 5-Cluster 13 (HNSC-LUSC)","Cluster 5-Cluster 14 (HNSC)","Cluster 6-BRCA basal-like c8","Cluster 6-Cluster 13 (HNSC-LUSC)","Cluster 6-Cluster 14 (HNSC)","Cluster 6-Cluster 5","Low purity c2-BRCA basal-like c8","Low purity c2-Cluster 13 (HNSC-LUSC)","Low purity c2-Cluster 14 (HNSC)","Low purity c2-Cluster 5","Low purity c2-Cluster 6","mean-BRCA basal-like c8","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","SEM-BRCA basal-like c8","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","Q1-BRCA basal-like c8","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q3-BRCA basal-like c8","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2"
"ZNF671",0.999652107788466,0.999994916899165,0.999370032345892,0.99965564617541,0.742463288532687,0.844787126599163,0.999997020423336,0.931910107238775,0.985750000458988,0.923601622577831,0.975029488096909,0.360422957489903,0.427977428107596,0.774875481561854,0.488986681657838,41.8309,23.58216,34.30755,58.5732128571429,48.2733688888889,85.6248625,NA,15.8931860090606,9.84961990497603,7.10886170474778,6.44107447026372,32.6694730500866,41.8309,5.9404,11.954475,20.920425,15.6047,25.912825,41.8309,12.1808,55.162625,74.01565,68.8847,116.1469
"ZNF416",0.989518630130023,0.884208758341348,0.959099275789778,0.995179406995575,0.999504410385937,0.541252220349881,0.973169545249742,0.999955595275904,0.915400417732426,0.79503968536957,0.907173320424214,0.97822984942773,0.999994672913492,0.655277285409056,0.960272674240002,174.4027,130.2761,99.0205875,140.09302,124.15208,103.2597875,NA,33.9497176289141,13.5693617619995,8.4119968564353,9.13790985499895,16.6063465427533,174.4027,95.0461,71.971925,101.0572,84.2339,82.649075,174.4027,116.9302,121.491,162.575425,154.6961,112.582425
"ZNF586",0.561668148876586,0.485955922286373,0.999997212424389,0.828553310961657,0.795619298367577,0.493974680205376,0.752330516897562,0.934500344668271,0.768809607897677,0.971486322541942,0.523524042401984,0.999999999997881,0.9999960588254,0.601596721781234,0.850885054860553,325.0905,150.18096,143.9077875,207.21423,192.980671111111,149.805625,NA,27.5987007900481,18.3680396425561,12.7940458908135,13.5975431819682,20.5234397182548,325.0905,130.6884,97.9342,136.388375,123.9621,98.223525,325.0905,141.8306,200.573125,242.73475,222.3256,174.958875
"ZNF446",0.999994698372319,0.999443390941635,0.952950170917932,0.999626029395754,0.999181567602515,0.4842664141604,0.992044665350976,0.933402973919916,0.145126482545819,0.689086172384256,0.999997089771424,0.99725151042751,0.997297500884137,0.856233976680573,0.435701883103229,262.0352,291.12704,189.8111875,325.249151428571,382.292751111111,237.0617,NA,86.3412736757954,31.7436202961625,17.3492769726362,43.550457736319,29.9311105704654,262.0352,153.0245,125.9059,208.099975,202.1412,176.555825,262.0352,362.4695,219.166925,410.6998,454.7899,325.7467
"ZNF8",0.994246110011718,0.999999461539889,0.948149213809678,0.998931966721321,0.997486258633694,0.967877668497477,0.997977678629557,0.999484024835206,0.940733458153374,0.999697965461582,0.9999856147243,0.975399525236428,0.999983813970886,0.992358359587769,0.980691691791732,92.6233,138.96298,99.4140125,122.532661428571,126.91086,105.75115,NA,21.4015888225945,20.9937994270965,11.0339059328879,8.51554201169387,22.8589551018539,92.6233,120.9682,68.655375,78.4393,93.4109,63.690075,92.6233,141.584,113.04415,143.97915,143.8836,119.585975
"ZNF264",0.998081073574279,0.999977274456374,0.995971749865544,0.952376673088767,0.950812565025632,0.431625330754518,0.988419171440073,0.999246702907683,0.843880013543311,0.808445929385645,0.999873710524735,0.999087038531204,0.999988063115566,0.564089974436283,0.922203877311353,485.2385,629.4767,541.7393375,753.946147142857,680.611597777778,565.137275,NA,150.450121769878,64.5627777279546,40.1118057307704,42.6797785835881,56.969059135714,485.2385,407.9019,442.0794,528.2841,496.2406,451.938425,485.2385,874.5104,622.555925,902.343175,821.462,646.61695
"ZNF213",0.999999501299646,0.999289127681225,0.996216773399334,0.999830107259357,0.973491308355789,0.532664684930883,0.999984939105498,0.99477239233617,0.731941011028546,0.994841142765319,0.999993441987016,0.998519368943926,0.906505801124268,0.999540984356271,0.999999965223946,488.7781,469.28636,407.0399625,546.707578571429,524.422717777778,520.4166375,NA,69.6019503060266,53.1090783252864,25.0825819510728,35.8455404915643,93.7612951756194,488.7781,409.4441,334.44785,410.101925,364.3935,390.7938,488.7781,571.1044,428.25295,651.15355,657.3254,562.752175
"ZNF343",0.786486476511355,0.999898518227283,0.318725363376799,0.98982332971873,0.513693856494927,0.921020069683739,0.980616969528483,0.669370780130651,0.828484444640095,0.995658779330903,0.989390059380471,0.763461284168453,0.964276537223145,0.999998247350991,0.999987931765026,230.7135,398.2945,260.21105,303.722608571429,315.252768888889,308.30815,NA,89.6651642913791,15.9260970749046,13.8066285339511,15.8520428005912,64.1671436700975,230.7135,266.893,225.608575,225.305275,250.3249,225.160175,230.7135,417.8152,296.880725,345.526875,363.9745,298.12935
"ZNF302",0.999999928003521,0.9999999687399,0.999963128892637,0.999218447023326,0.987052348835105,0.881871302315787,0.989724501785419,0.839604218276171,0.501040437868863,0.74268570288024,0.999994603394583,0.999993071849035,0.999008924049464,0.991294907735733,0.805156220273573,294.747,319.92982,274.113025,445.387225714286,555.201262222222,352.6569375,NA,66.4755070573019,35.8637032128224,35.0099977468835,91.5867879381179,66.1032386485497,294.747,185.7035,226.175525,239.10185,224.1464,207.2477,294.747,417.8152,337.09485,595.3913,579.93,485.08335
"ZNF268",0.858530871190238,0.983157203434172,0.936547846084475,0.98702034327132,0.775946643742573,0.99995192651229,0.993065741666789,0.68764787198936,0.998510141713835,0.998207342252628,0.998706551545642,0.680679785793544,0.989769414067596,0.989279767643228,0.998763954365886,453.3827,251.44426,336.8126875,348.91714,361.901328888889,386.0358875,NA,28.4606790040329,28.0179608644771,19.4420850902958,25.5789081334774,55.8044800203367,453.3827,214.4478,297.6775,237.273375,262.7212,271.46665,453.3827,297.0711,377.231975,419.1944,444.095,487.03825
"ZNF184",0.986307221407675,0.999578737698182,0.440209677449556,0.999999947710997,0.702731685965944,0.905647346123785,0.999934178483396,0.895879994976166,0.702941358185523,0.95276929618848,0.999997343304273,0.900055468450383,0.943836351460614,0.999971303694269,0.999847255565098,234.5749,363.06984,174.8353625,243.858642857143,273.623486666667,256.04895,NA,117.345530598615,24.8165489444611,20.0840251015589,29.9101454373855,53.7230016126905,234.5749,242.5649,120.6126,164.9083,173.2592,194.8278,234.5749,340.1076,194.867675,264.090625,318.0309,285.972125
"ZNF500",0.684555433740188,0.610601507531558,0.999995772799177,0.625201170007987,0.999999562715936,0.99972981293785,0.454214825807377,0.996167965926287,0.998151342946497,0.714969690751195,0.621445641899911,0.999998983423159,0.999999992204924,0.999888116729201,0.996992700125204,303.435,198.44436,193.8228625,200.825682857143,183.125044444444,194.9716875,NA,32.1615957345963,25.6005012399097,8.10217674783252,9.16854868782821,17.3138966365836,303.435,144.6503,160.8059,152.097625,133.2908,156.351725,303.435,244.0157,255.972375,236.28425,205.9497,231.12175
