"gene","Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","Current smoker-Current reformed smoker for < or = 15 years","Current smoker-Current reformed smoker for > 15 years","Current smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current reformed smoker for < or = 15 years","Lifelong Non-smoker-Current reformed smoker for > 15 years","Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current smoker","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker"
"ZNF195",0.970294415802988,0.997459234452418,0.999999872930969,0.999945645593973,0.982419245221501,0.998793403877077,0.999888073875994,0.982237820580473,0.998922801790895,0.999999944120864,440.306271666667,414.392958762887,412.11683,434.988412345679,434.146457291667,31.8074386108162,25.789967194693,48.253120080403,30.0160396110464,24.5475204343164,245.29455,255.2634,300.102975,253.112,263.14115,562.7775,511.9784,530.07585,481.0855,510.150775
"ZNF263",0.537288510422812,0.848864314234199,0.998624646132974,0.837476142726512,0.98679965406418,0.986770814550358,0.843060894622858,0.977471773067337,0.983784782342009,0.999998279645557,584.419816666667,627.93433814433,644.01108,614.844345679012,613.483222916667,20.7622464717118,17.2540662763275,69.0992545441793,21.302354214583,16.1116515210461,451.73035,507.0822,483.864425,469.0941,506.086375,652.903275,733.2066,761.37745,723.2549,691.797
"ZNF200",0.998121947172062,0.850498015226842,0.901042607893029,0.747117753791669,0.839474594485445,0.993699698065456,0.945638979678583,0.986913428826978,0.962789518319048,0.981852938746673,242.562845,238.559794845361,214.94708,226.107293827161,232.750691666667,9.57763533843339,7.75418610993946,20.5629580254063,10.0949598028386,8.02516345200551,200.49465,178.9901,173.4696,170.2748,185.395775,289.31025,273.4027,259.698025,270.4681,268.71665
"ZNF582",0.975519263311726,0.999309397472823,0.983323869265783,0.986222964096012,0.999993677884379,0.987283494745962,0.703788035434933,0.204092675477956,0.995036469143284,0.281343040507845,29.9951516666667,27.6375226804124,31.93564,27.9004555555556,35.0619947916667,3.45319124196022,2.23886487550211,8.49907811785359,2.44135851073691,2.61057067593407,11.97795,9.6317,11.264125,8.7864,16.47465,39.52225,40.128,45.57725,40.2203,51.501075
"ZNF285",0.605092316686705,0.791632440027846,0.991489889385028,0.982096892241576,0.878625536356668,0.907409612384662,0.954719413831196,0.921499400007567,0.927734066499704,0.999877552989737,82.2246033333333,65.4421845360825,54.8007,75.5770296296296,73.9375916666667,10.3089429006438,5.83421533724264,10.1538144728964,10.0437373444167,6.29418003464428,36.09805,28.9474,29.6166,23.0583,28.0934,102.212275,88.1575,74.76615,99.6885,95.19455
"ZNF275",0.997574591455035,0.967556531509646,0.923186458443793,0.98373553933401,0.872951749818124,0.995313301138526,0.997458659236464,0.999999999831384,0.922597009276964,0.871803524752417,455.677846666667,467.855905154639,405.47709,434.925208641975,468.027096875,24.2577507714403,27.1108506239934,80.1034331441827,23.6370368540698,22.2051396456455,311.700675,310.0714,270.419775,272.0068,314.986325,531.181125,502.1661,436.306125,552.3374,555.910925
"ZNF37A",0.326240135737349,0.617420046698626,0.984932578550962,0.072816121454358,0.903516964140146,0.999948451176756,0.194517702894207,0.997574919461489,0.995448835549095,0.979411988761152,414.751136666667,362.759530927835,333.58965,340.497143209877,354.906229166667,28.5241027714546,16.0008940737702,19.9462145886061,16.9065584252601,16.1765651457915,259.326975,258.794,285.682,222.223,253.128625,475.187475,430.5556,379.43135,429.6482,423.238275
"ZNF510",0.982918375959817,0.719562233811234,0.845225172669767,0.970043017034107,0.999948544072159,0.873900728629133,0.605616640820679,0.84494151409484,0.978183775013368,0.913569691610357,185.525766666667,178.383182474227,151.12596,176.89865308642,166.561211458333,12.2188627221596,8.58803777014811,19.2428588721531,8.85943076024982,6.8633072694887,127.437525,124.2333,118.0945,122.536,123.746475,208.677325,210.365,168.200575,199.0132,200.255875
"ZNF506",0.897861881369877,0.998325261231152,0.999914702373619,0.887829827296778,0.999995734857544,0.99982215953605,0.995688825186415,0.592775546941717,0.988181713322786,0.593384706601775,455.545851666667,418.040690721649,429.8266,415.519450617284,471.342958333333,34.0135583422107,26.0609287914308,73.4394411319028,29.0756947526408,24.737923581292,244.162075,246.0087,293.0449,214.4351,280.278125,572.823075,543.7573,552.7539,555.773,624.3592
"ZNF324",0.0330031610686884,0.989936777949262,0.878502108010935,0.150298573760972,0.98023388114678,0.95967178193037,0.0184196670443245,0.999365839337943,0.833687795835623,0.935617150073896,233.037236666667,191.303182474227,218.91878,198.750513580247,188.379561458333,16.5261023935029,7.78237326800936,26.8194840524273,10.3804977899659,5.95472001261051,160.9884,145.641,163.888125,139.7476,143.1722,267.446525,214.2329,247.679775,236.6499,220.4191
"ZNF671",0.999800272052133,0.95536867865267,0.927466629375639,0.947054859041029,0.966845989269892,0.809681798866042,0.986383118896598,0.995301279259462,0.865630012251649,0.998668471020126,59.997205,61.832493814433,44.42227,68.1494086419753,65.4251083333333,7.81470427198741,6.38311715228421,9.83686126233645,8.45400008802926,6.21591839661691,18.548225,19.7485,17.32105,17.9286,19.018925,81.3994,80.0647,71.9066,85.7382,87.32445
"ZNF416",0.14050054494313,0.769800438998626,0.999998240289444,0.0177657836143446,0.866488789758769,0.995308763846779,0.0945698218555686,0.999633792436315,0.999999679088673,0.936158353724156,141.746231666667,120.990640206186,120.0374,113.005607407407,119.414285416667,9.99030785792008,4.93231715449995,13.7218605500939,4.8579640008008,5.2831785784507,93.3836,91.7085,92.442075,85.8257,85.03045,175.971925,144.0443,151.629675,135.0448,141.659425
"ZNF586",0.0644686920093551,0.923513383351375,0.990560532472357,0.54696705906008,0.772957471746397,0.999996307460367,0.998819107249038,0.0545844036216862,0.953760358489749,0.61103866002413,213.96711,175.917398969072,189.36669,191.229179012346,210.068361458333,13.3110478840604,7.16551252691646,17.4074968810213,10.5331557101536,9.04637905935678,146.797175,125.4147,148.55195,121.1027,157.4214,274.132575,231.7979,227.516125,239.8328,245.770375
"ZNF446",0.0951241104238788,0.99388509801958,0.462554252374384,0.898774077030647,0.431938759700359,0.90579494817257,0.998847030780363,0.0855965972311549,0.98093863995865,0.952606667523565,392.630536666667,307.797171134021,421.87692,361.029511111111,383.450951041667,30.8547166240065,17.3740458809676,86.1645230975471,24.6009071785467,20.4322306630593,246.684325,202.9624,275.573275,227.1429,242.5127,479.428975,362.4695,396.285025,406.2456,468.3497
"ZNF8",0.00845752538951994,0.994374417896113,0.732643244832612,0.0413965598526603,0.991219399833346,0.84745838527701,0.00947036417322067,0.999999774436263,0.741056656474052,0.993309904092302,138.498113333333,105.652944329897,130.21448,109.753362962963,105.9255375,12.9442764302546,4.3761069699688,15.7977952412199,6.31817515723597,4.30173941957557,81.4834,73.8658,88.232075,71.0316,73.773875,159.10855,130.5172,159.23385,125.8811,124.08015
"ZNF264",0.0636872066674686,0.998860319308539,0.506880512498542,0.367327285743896,0.917802678154837,0.754311843521776,0.712980257173161,0.512137877630907,0.895986138121085,0.963121925221094,719.484031666667,600.734280412371,744.4664,635.233386419753,662.716477083333,47.1129450615513,24.1160075478963,72.2065500653076,30.7916044296533,24.1702343684324,481.0714,410.7498,578.449125,456.6528,504.78055,801.425525,735.2785,911.395025,845.667,793.167625
"ZNF213",0.745922521997676,0.999999985239771,0.977714472049486,0.97766369600912,0.964463879938708,0.998658946405954,0.767663565394525,0.999999379672814,0.980145042109707,0.971712575764009,490.421663333333,531.341372164948,491.54415,510.844032098765,530.1365625,25.7629414182804,21.7735038997383,72.2744878331017,22.6459029801262,20.4861355685559,381.737425,392.3382,338.473875,355.2109,381.4486,594.509275,606.4815,602.3732,603.2072,636.584525
"ZNF343",0.574494320274367,0.507899853572238,0.897869412472423,0.53417361101606,0.999935254795042,0.921038922115216,0.328806301159367,0.990733831391957,0.957009158958728,0.99800172606755,314.828596666667,288.992320618557,257.38091,286.914908641975,281.961136458333,14.3856045603942,10.9994497586004,31.0206991451853,11.1551282296779,10.8005514538223,236.217325,223.4903,164.133075,210.1854,220.418775,387.97845,333.5881,342.497575,342.4116,315.19835
"ZNF302",0.253742553095718,0.980031735762156,0.993271828509144,0.0628016007160678,0.933221040799131,0.937811616162078,0.8551808241391,0.766848192820078,0.999988100960592,0.314969495137613,507.61215,401.808109278351,446.41673,364.047888888889,455.3865125,51.6467557352155,39.1368331363459,96.4141261982301,20.7211287143883,27.3112801839442,262.25365,218.75,321.23245,227.247,245.193125,535.085125,451.648,447.32715,455.9915,573.0276
"ZNF268",0.999999035273599,0.98366427338969,0.978967347987556,0.952328749073212,0.910570396101187,0.999762203916573,0.980818533956222,0.958508749035423,0.998772519855046,0.999634267754128,292.823475,293.926234020619,265.78044,274.729588888889,279.219680208333,21.2834542574262,15.3382885408298,42.6330678551474,13.945796312549,15.552222270148,182.27155,185.7862,176.31795,171.4007,186.2935,369.180075,400.5764,310.102575,344.1699,350.17595
"ZNF184",0.960592580243632,0.99349664462065,0.999981496430009,0.965563424833587,0.573549980077364,0.941603393570865,0.992277589216307,0.705013406892229,0.966821964518955,0.998972890057627,237.657136666667,253.412439175258,257.862,221.919720987654,227.475377083333,12.9147986063763,20.3768308939683,52.8184728400901,11.8585144632663,11.0762072436463,164.41825,158.8785,144.055225,145.559,162.3952,306.8944,276.3158,311.21755,269.0607,266.882525
"ZNF500",0.939251301390034,0.999932191948542,0.985757034731451,0.623430943071464,0.943608096062273,0.914873952242775,0.559305669539008,0.916676800934576,0.903741291911408,0.99999806880019,192.06503,200.870103092783,188.93251,208.768367901235,209.335817708333,7.48180716824247,7.00495052942072,18.5250613441506,8.66998115231761,7.20300924256296,157.100625,151.5029,143.568375,155.9418,150.903975,218.62155,245.7626,234.963825,244.0157,259.988025
"ZNF419",0.559382232202331,0.99959661759785,0.874188352308273,0.338001109063584,0.990129502732486,0.775147701486045,0.977342358911085,0.831724625300299,0.987205091437564,0.583448060391132,201.716975,178.936564948454,208.20237,172.447822222222,192.859997916667,12.4954968033658,9.61777235029877,17.0691646858958,9.56417773023008,9.61380766594204,126.950725,121.37,205.51765,104.1636,136.2466,243.951625,195.059,223.931,200.4242,222.971325
"ZNF175",0.135552189176769,0.822364406731492,0.999997623714504,0.681789618794215,0.825555273318945,0.993422884807591,0.985928723875251,0.231338706046073,0.916572742084389,0.887384053075897,247.160491666667,148.507325773196,153.35799,189.595480246914,225.423415625,40.6189260536033,12.5863633658435,18.8266699631221,30.5551808062149,31.3761189521544,78.950525,70.749,109.9667,65.6568,87.896425,267.625,189.8625,188.33325,156.3821,223.955375
"ZNF14",0.893998111153886,0.553376740344243,0.801536566887471,0.674122529976106,0.986102109778378,0.907988610499231,0.989849123165621,0.987694529417308,0.676548681242013,0.862142743523592,185.525548333333,172.27722371134,139.51894,165.420396296296,178.627021875,10.1652366955125,10.1115984902016,22.3369453477676,9.90431445521289,8.64055469506847,119.54385,108.4071,94.96525,98.8836,115.5394,248.044675,211.0387,162.759675,212.7159,228.507725
"ZNF85",0.901839166608988,0.999999107669387,0.988785726895416,0.999117455289605,0.960097879184316,0.999798462200217,0.874513115496011,0.999989973141918,0.985404287777416,0.94204427425229,130.988135,146.064169072165,129.41428,135.421302469136,147.279367708333,10.9351306446149,10.2923609950166,28.2476903347859,13.9258601741546,9.91997044715114,68.830525,84.4385,77.88335,59.3018,88.6509,187.054875,184.6499,167.66645,178.1798,184.93635
