"gene","Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","Current smoker-Current reformed smoker for < or = 15 years","Current smoker-Current reformed smoker for > 15 years","Current smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current reformed smoker for < or = 15 years","Lifelong Non-smoker-Current reformed smoker for > 15 years","Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current smoker","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker"
"ZKSCAN1",0.769448658298121,0.952013810088309,0.999845588037906,0.989271231438307,0.94856889872411,0.988282212215876,0.983459914964324,0.951986638355737,0.989694910859143,0.999999034664567,581.674778333333,516.072032989691,497.69613,553.814116049383,551.473583333333,46.6350601650918,30.8288774074341,57.2757364691194,44.4317900942585,33.087513018521,333.67095,306.022,378.524175,305.961,316.43945,760.7302,657.1963,598.541625,676.3445,682.734475
"ZNF862",0.844653637498306,0.999998073269116,0.980460553635822,0.948561094124173,0.294949178586142,0.997783885499896,0.440910335817064,0.0177672258463529,0.93570943904212,0.84775383149201,416.861193333333,357.82198556701,423.33504,460.760527160494,514.641236458333,38.9318714644245,21.677703764672,151.130235123383,42.7912541140863,44.6620020290942,216.3986,224.3421,221.3067,229.4381,244.217325,562.590525,467.3243,384.026,539.8051,625.5797
"ZNF684",0.989710095983295,0.997046417169113,0.977127572779816,0.643433889606615,0.836152489355899,0.832760149122386,0.985473669594785,0.999998225075016,0.973714535305636,0.860644839188259,56.41466,53.4358402061856,60.89288,47.431112345679,53.144253125,5.54328511933325,4.91835139609718,12.971681341238,2.80484872662138,3.27512219651733,30.523225,30.8123,38.864175,29.834,33.3897,62.596225,58.9949,61.70515,60.0329,64.966625
"ZNF430",0.999691225751575,0.655305848669109,0.690935082924086,0.999932533153866,0.996436408175403,0.595641554993644,0.999999659660093,0.998994137095444,0.619907347019732,0.999966517901912,118.145593333333,115.846846391753,84.4686,119.771669135802,118.563504166667,9.48181866502743,7.66581425759691,11.2837540518216,8.9590784862537,6.55020297030838,57.49275,64.2697,64.173625,63.8507,74.506575,166.194925,149.7139,103.6616,174.0855,151.1532
"ZFP30",0.975014114564856,0.997781854553663,0.999999811954488,0.367163096889527,0.629393722865215,0.97534119553483,0.905687312818374,0.997819283281303,0.999970307850118,0.810273651092575,199.806116666667,187.885604123711,186.67473,162.435116049383,182.374963541667,16.9883215760062,14.6325240169381,44.8659567681779,11.4408864867148,10.0142908817212,119.528275,99.4104,116.915575,95.7547,115.050425,249.49415,226.8113,193.209425,188.6743,231.07885
"ZNF549",0.0685975169441276,0.88704934609109,0.996936632885928,0.152824324967455,0.998695194038866,0.999501165024496,0.229809064758224,0.973388857037334,0.999990388128322,0.998097907122273,187.034953333333,146.970039175258,157.63858,150.856651851852,155.145607291667,17.1882989996303,7.67091831635321,23.5187257765514,9.99003734374842,8.39866982353916,106.671825,91.348,91.1087,97.7513,95.802075,230.141,192.2322,232.8065,172.3969,190.87535
"ZNF211",0.214752946985465,0.999874419201081,0.748266023910569,0.88274564849334,0.72066023802646,0.969772129265731,0.800570903327883,0.00244134194582246,0.994971742012783,0.157663389891169,409.045156666667,309.201267010309,424.1069,363.291430864198,461.533627083333,37.2848508166463,17.5833467187183,94.1984572327547,25.4405253093153,40.7337399878896,207.13065,167.4208,244.345875,202.6376,186.344375,520.369425,443.0289,558.8133,468.8797,600.844225
"ZNF205",0.999809467619746,0.994218963093076,0.997305793863149,0.928177929173758,0.806389481893086,0.922763731645221,0.936902982810975,0.814862640868688,0.929443130226759,0.999996317633869,375.17259,369.096710309278,345.03929,404.998512345679,402.923673958333,24.5806734524462,17.7126652114691,56.712155651223,31.775343647782,21.0528087850382,258.8855,247.9176,275.88285,252.8961,271.095125,418.20605,441.3933,353.673925,447.5012,465.3802
"ZNF45",0.0296986998877873,0.633839929610039,0.999999978027527,0.0822710824335409,0.997993943275799,0.999950440910893,0.0424559942307821,0.999919220554235,0.999999293696917,0.999775489395712,280.104041666667,226.659251546392,227.30957,231.840127160494,228.859063541667,20.8155051921281,9.55929467416535,29.5766397543927,11.6298678288904,9.62839224953319,179.988625,163.9258,152.756675,158.2965,156.2007,332.22885,259.8437,296.35035,273.5949,284.254475
"ZNF133",0.998227654813493,0.99968310913156,0.999998453361307,0.984292591849133,0.998801848369359,0.999994096935917,0.999999993354818,0.997508331979275,0.999689907031231,0.97746426421914,470.032763333333,458.979607216495,455.17731,449.812332098765,469.550542708333,24.4192951267424,22.7185407103065,86.1523675931008,21.2196844114743,26.7823740213467,334.58745,309.8684,274.17725,307.2149,343.65385,555.297875,564.6335,524.393775,550.2452,504.0579
"ZNF436",0.962420458455293,0.734775709140338,0.884606046782034,0.997153114356272,0.797976742597744,0.612565751479104,0.999999999288469,0.937797684510497,0.711999273728322,0.995806975325256,1050.80064666667,966.124515463918,728.62963,1095.11747283951,1051.74520208333,104.180037794863,72.1024534732498,139.146319409839,86.4598663447785,83.0092855239416,503.223925,456.8584,410.060325,536.6808,515.54225,1224.21,1284.0138,768.13905,1373.1647,1274.822075
"ZNF484",0.991343658329344,0.899599590146498,0.78437544863169,0.987116148435882,0.999992842505913,0.771519583586506,0.96837234173893,0.723374673339846,0.974973361597432,0.712744737503461,71.4870516666667,74.2114072164948,60.30485,74.6250283950617,67.62263125,3.986026284228,4.96884707993261,7.12966282559857,3.73895740230739,2.86547702073003,52.734325,52.1357,45.118275,53.6507,48.011575,86.803325,86.0597,73.202225,90.7486,81.5579
"ZNF780B",0.999999999181984,0.999999791288948,0.999999632301773,0.980398431614901,0.970599268454197,0.997803611506183,0.999994125366087,0.999984884160312,0.999999999965477,0.953662936730764,292.43275,292.038246391753,295.71202,262.735335802469,296.0737875,20.6031297843898,52.2335707686216,58.5407778332635,19.7428986618877,17.83500540979,156.801175,153.8462,161.22415,163.2075,181.726925,394.5324,302.4967,383.5612,317.26,383.360975
"ZNF557",0.665080692765342,0.607951103248153,0.928027872135287,0.217795472515844,0.887407594704605,0.995294312418278,0.68339851683502,0.999999807793699,0.9240909410135,0.876558116960549,181.238358333333,164.338560824742,143.7596,153.672616049383,164.673089583333,11.8043882966308,8.59251388320411,24.7989450900638,7.46210513002577,6.58732311505693,119.52585,111.4269,113.122175,104.431,119.397225,220.4342,201.5424,163.323925,185.521,198.496425
"ZNF337",0.973506054789267,0.884075787160298,0.965135746385137,0.999286912103451,0.883206034469641,0.821137352778879,0.975199258319317,0.640830124961312,0.718774659014763,0.995357181150956,658.979826666667,616.359480412371,523.40796,676.239544444444,700.922253125,40.9301683328398,36.5424054610211,78.1535400402797,41.3201823523114,58.6988229312653,406.2366,410.6775,371.200975,386.6541,398.409025,818.740775,732.4714,691.854025,934.6125,792.42665
"ZNF317",0.711564753242118,0.874513032601966,0.996535051923388,0.421950158749233,0.979899952480572,0.9999780678428,0.983169230028831,0.921474289553479,0.952877601886738,0.656551607341722,760.750838333333,706.521721649485,675.67609,684.336433333333,737.624720833333,30.4154328281244,33.5099400280909,50.734300828163,23.4491218120529,24.5353167079923,590.2912,520.7033,593.90045,540.6234,579.951975,904.0285,799.7102,703.347,788.2353,860.307675
"ZNF426",0.813864137212098,0.921051985746735,0.99780098807907,0.721212771195984,0.999365480513382,0.999562174115868,0.736485286467798,0.99984378375713,0.999180108046791,0.999992523415217,95.6022883333333,85.5332329896907,79.58552,83.5686185185185,84.2137958333333,11.079043547191,5.53814121021659,14.3700446296902,5.27230001422005,4.21499672363401,49.60265,47.539,53.967675,48.2121,48.820075,112.955675,113.2766,86.93965,107.5845,113.154225
"ZNF331",0.654873491704726,0.781791383542552,0.346521580499304,0.836469098639781,0.998115657239889,0.437429379659076,0.957749944261313,0.942731413299952,0.549048742314315,0.993614358756203,699.622193333333,545.076422680412,970.83992,576.867274074074,620.516040625,97.3694805837601,48.6757810167302,199.654893162723,70.4502762219395,88.4462374168405,356.063975,246.9057,503.659325,240.7534,267.693675,743.381725,622.6415,1433.524025,657.17,608.8662
"ZNF227",0.0135410869590201,0.994115796719935,0.776585803732246,0.0997611570719761,0.960395182877808,0.91825674395868,0.383288005216167,0.502362004994676,0.990413995992582,0.917576612619804,301.697641666667,243.561171134021,286.18904,254.952066666667,269.047134375,18.6115317915886,9.77174529822468,30.9383198359259,13.0473647911623,9.80910361893535,213.162625,183.2135,221.116,179.5758,193.94305,333.7656,289.9743,371.64535,308.106,306.1517
"ZNF141",0.999877406134381,0.917622614514252,0.880927606006774,0.999993238377606,0.999132669501937,0.924536918757119,0.935457781673846,0.822244072798044,0.989417586424282,0.938894106098379,71.7020733333333,70.3720319587629,86.93416,72.3691086419753,78.5342083333333,6.09735140346421,4.24342874485886,24.6086305402764,5.26248284086678,6.78612497310651,40.236975,42.3587,46.196875,42.0459,36.08065,88.018125,81.9379,75.353825,90.9396,105.483525
"ZNF304",0.0224736702127244,0.999996664558496,0.607900678182079,0.138731162190638,0.963758181315699,0.796080792579536,0.286113455224836,0.749157706916523,0.893367117872577,0.98864886467871,299.669681666667,239.913255670103,297.12581,251.954907407407,260.773221875,20.6007341068102,11.4210764882531,31.137812872028,12.9721747985188,10.5547953044058,196.453825,169.7014,211.4679,161.8123,186.6397,382.4727,295.6255,368.0442,311.6129,328.864675
"ZNF132",0.0835143973551801,0.900284963498349,0.997042188908795,0.187425653161204,0.998179846139,0.999617510652868,0.66985704929231,0.642900073630126,0.999072365304713,0.849580503952666,93.6912983333333,65.200287628866,72.94992,68.3014851851852,78.7166625,15.264862640019,5.27735699612317,14.627564265377,6.27067272776518,4.88704552570531,40.216225,28.907,47.546875,31.3828,39.8849,103.273875,78.92,75.401675,83.7537,111.226075
"ZNF20",0.636657125839759,0.999874569455781,0.916724831058374,0.478107149604267,0.997326622451184,0.861647273235279,0.999802779972957,0.38769698972069,0.99999367090549,0.253910304058832,132.829981666667,119.931144329897,135.80121,117.088809876543,134.434184375,9.49752192801656,4.98159267537118,14.1819901110877,6.21039775940581,5.43029902890185,82.234075,84.4709,97.2143,75.1385,92.351475,162.774825,158.0267,167.196925,144.0021,167.80535
"ZNF670",0.382628040449024,0.537699399894731,0.956607895767855,0.0789792852725134,0.875291276244806,0.99892477664927,0.0825585021047521,0.906159005073692,0.997726541270344,0.999956950013804,94.526965,81.7113360824742,71.57591,75.4425,76.2159166666667,7.54154988135871,4.33148631484305,13.3848286974424,4.7471006517663,3.43921889336001,52.0345,52.5629,45.01285,46.7508,51.3691,113.102525,103.0874,71.374125,102.7042,93.180125
"ZFP37",0.778565817878574,0.999971106280787,0.990728357161026,0.994931066899094,0.926850711329871,0.99998404357273,0.826691382734305,0.999975229018734,0.993713879243214,0.95355901924105,48.7057516666667,40.4341515463918,47.11911,45.7773716049383,41.0775864583333,5.8128004378441,4.24367778166314,10.8404603528679,5.9782419939326,3.60377615148839,4.801575,11.036,27.739325,11.0987,9.808775,68.787,55.3983,59.533025,59.0591,61.280325
"ZNF189",0.977952396710848,0.996017487075191,0.999982922630281,0.931525022042916,0.540915539387649,0.935926328317676,0.996330836413878,0.999159924891819,0.999637750076496,0.695255724331228,296.415096666667,284.192756701031,280.22395,313.821320987654,288.77725,15.9441729866582,11.5182327917833,21.913211268635,18.2084675053961,11.7240062984984,227.493925,209.14,227.579725,217.938,210.4989,363.196475,342.438,325.77445,355.6645,349.71405
"ZNF434",0.999358127781988,0.999999907441157,0.999985956573772,0.993041141293451,0.999374791236316,0.999700067463246,0.90470765191764,0.710645708166128,0.990681374257644,0.602006899663932,264.113896666667,260.702287628866,263.34127,257.596581481482,277.066521875,10.5955291225523,9.43677583846419,36.0091730819432,10.3618090752657,8.64920657763684,205.457075,198.3385,192.640075,196.1678,215.67645,315.22415,307.7939,291.525725,300.2014,328.634825
"ZNF287",0.996542073664797,0.995536349860378,0.979659676895826,0.993704385702791,0.911361022989549,0.999782853000854,0.995281700004687,0.999999664155743,0.977626160216429,0.900216236363704,106.848656666667,110.555449484536,98.61469,102.359164197531,110.873272916667,9.12461945109563,6.93106555920401,15.94076236291,5.95587186137783,6.33320088824587,67.7379,69.7468,74.104275,68.1707,71.17665,134.897175,136.3032,105.5095,131.3235,136.726475
"ZIM3",0.999991381857704,0.977480737143034,0.980495546932534,0.974233487790686,0.97515411081228,0.998513680978485,0.786129909232164,0.744698123048122,0.9999996206563,0.980846609659566,0.0903233333333333,0.084480412371134,0,0.0436,0.00541145833333333,0.0761484001770831,0.0704638062030446,0,0.0201673082236488,0.00541145833333333,0,0,0,0,0,0,0,0,0,0
"ZFP14",0.529625541650243,0.9417403242178,0.531331162467847,0.218791611265975,0.957940373803009,0.348907199991263,0.786793156476594,0.989932020104125,0.663601874463025,0.785000949417557,212.414385,180.286117525773,245.14481,167.137334567901,188.82541875,18.6883374256064,13.6204185927491,75.4963368701841,10.8278723657724,11.2360938963415,107.668025,103.1851,125.723275,94.495,109.725475,296.7335,239.7991,242.01985,213.3174,237.654375
"ZNF473",0.2840563676864,0.973139091910104,0.996990901926472,0.90137458853015,0.783576752617993,0.999800474714752,0.109789297083539,0.983880116649511,0.978711670273036,0.467272801834763,340.78816,287.999941237113,306.64515,316.095038271605,275.464757291667,20.464904020652,12.1854417097581,29.0005856309614,27.2590322275636,11.8797725052702,223.556375,210.035,259.82355,195.3555,200.72235,430.813375,338.8175,378.592375,351.1954,326.321975
"ZNF614",0.628363548206715,0.993234123686592,0.999048914464075,0.716670216197248,0.99997467503761,0.999584871009648,0.999999727633878,0.476359354008547,0.991345398702357,0.591093721768416,320.027365,256.06924742268,279.73893,260.374385185185,321.541526041667,37.0904937682631,18.1411775983079,75.7519570252707,18.6156062289894,41.2881198834032,181.778875,142.323,162.33885,150.8621,159.677425,341.8868,330.3835,260.563925,320.1754,325.26605
"POGK",0.997714702970901,0.997586186461379,0.999786199214412,0.994119090336475,0.999963017189075,0.999947719594731,0.958833748644877,0.993354411095984,0.999999999371389,0.998453494112975,2533.80693666667,2645.63158556701,2769.64354,2681.79852222222,2774.76261666667,185.875254015407,215.073591305048,678.019806689112,248.017605257846,243.070848671663,1531.23275,1467.5774,1381.646475,1403.1298,1486.5717,3346.94435,3025.6233,3257.66085,3068.2111,3169.623025
"ZNF514",0.822084153077687,0.999767765662964,0.996966208361147,0.994277412601012,0.954649873685405,0.999999930824933,0.676627039607149,0.998386265286344,0.989871985979944,0.861658354283309,289.707733333333,261.233812371134,279.77777,278.502390123457,254.395510416667,20.8965177596166,14.303953987503,56.4635582706523,22.2305897791037,14.6868251496068,155.385475,144.0236,185.55355,162.5779,151.099775,379.704125,351.0848,281.51945,349.3594,342.277
