"gene","MALE-FEMALE","mean-FEMALE","mean-MALE","SEM-FEMALE","SEM-MALE","Q1-FEMALE","Q1-MALE","Q3-FEMALE","Q3-MALE"
"ZNF583",0.137881002229761,52.4709225806452,59.5555358778626,3.50447015613836,2.55047456734575,28.6935,33.5537,70.327,70.75355
"ZNF568",0.310830830753647,82.5512161290323,90.4496916030534,5.35038010437339,4.22807318990146,49.6168,50.607775,103.763,108.5353
"ZNF480",0.52031986141538,477.078113978495,498.423121755725,26.2923962732569,17.4168832028289,314.0271,316.210725,583.3803,611.88835
"ZNF587",0.190448748869302,650.757809677419,711.99600648855,35.1533567079873,24.85066116864,400.5324,432.3474,809.4292,890.678375
"ZNF808",0.646143088399859,184.245919354839,188.756946564886,7.61437479478081,5.18563817982048,140.9291,131.499875,231.2646,229.408025
"ZNF43",0.0620286493345608,348.307450537634,419.669748473282,31.0956579881759,19.8466084956018,115.61,168.829975,520.9144,598.18645
"ZNF28",0.262676751188633,413.08992688172,445.801477099237,23.7453393686636,15.1882449556273,226.8519,282.54865,530.2445,564.81025
"ZNF627",0.131096423230683,298.645058064516,327.874729007634,15.5744765882782,10.0913466837303,193.9668,201.83075,375.0954,418.852525
"ZNF789",0.859488243643773,110.015744086021,108.303020992366,9.02559197055318,4.78799654045143,64.951,55.9779,119.7411,133.50365
"ZNF534",0.709267880572036,6.87610967741935,7.15493664122137,0.426144745773445,0.418470996324506,4.0621,3.96985,8.2826,8.4372
"ZNF525",0.274996017028382,289.675456989247,310.639864122137,15.0482303843224,10.0965078503069,195.0806,194.386975,361.4002,382.36285
"ZNF814",0.164337573836171,281.180294623656,320.926404580153,20.043517941041,15.4262618960134,165.66,165.014575,339.0591,395.27375
"ZNF551",0.538689131858116,115.878898924731,121.65133740458,8.27379965310318,4.75489973634997,62.3364,70.13945,149.7788,160.840125
"ZNF805",0.865292588188943,337.179350537634,334.475017938931,12.8487436312968,8.32197685538781,256.1048,241.029075,404.1829,396.7317
"ZNF468",0.389963467866709,496.814283870968,528.620698473282,29.4891809382184,19.3648860209693,285.0171,292.1897,629.1654,669.258875
"ZNF616",0.238201447100966,164.681441935484,177.92171870229,8.89622718448182,5.8816153803988,109.7496,113.392875,194.9467,220.877575
"ZFP57",0.125009784176232,14.1359462365591,51.6649461832061,4.61718022099806,14.4350540283078,0,0,9.6255,5.7259
"ZNF155",0.493222687506304,191.258638709677,182.730546564885,10.0355451972897,6.49395463056639,119.9078,118.600875,229.1431,224.18715
"ZNF425",0.242496861086782,52.8207870967742,58.5832984732824,3.23307071929116,2.69746563731095,31.3625,25.735125,72.0222,78.376525
"ZNF611",0.0952378300048765,157.07947311828,177.637947328244,8.72452982432335,6.6322840905127,86.9975,97.62785,200.5141,230.551275
"ZNF254",0.00277328074745042,329.095058064516,431.486140458015,23.1336449651954,18.4989521157799,159.0294,192.019625,464.6482,584.3819
"ZNF625",0.218194294374874,19.2466924731183,21.4126038167939,1.34680617321585,0.930266765424921,9.2133,10.487825,28.1172,29.69575
"ZNF845",0.510413444862237,210.236005376344,217.863899236641,8.90263536075037,6.12976190835177,143.469,153.5369,253.2009,259.19535
"ZNF90",0.0394953256800342,298.231060215054,381.351853816794,22.4989452709024,22.5791469987681,128.6067,150.8548,446.0994,496.64135
"ZNF788",0.166080099838896,56.3475752688172,67.3576458015267,5.66935518792424,4.27547351689006,15.2753,20.091625,83.682,93.9962
"ZNF880",0.00369657798512835,115.508191397849,156.844259160305,10.979763315188,7.46996805323908,54.8355,59.515125,155.5575,219.884275
"ZNF630",0.349077441055842,66.4923935483871,72.3129709923664,4.8052970303735,3.28098987769451,39.8423,39.976975,82.5315,88.48005
"ZNF844",0.51366235685325,97.8768290322581,102.827270992366,6.75379512854032,3.82177902444918,52.8489,57.295575,130.6171,134.375975
"ZNF717",0.0117800759897977,30.7252860215054,38.552029389313,2.90419937632539,1.52664658165453,12.3381,22.38635,39.8741,50.280675
"ZNF492",0.170457147048771,15.4187956989247,21.2306461832061,2.86475194584004,2.30581356138445,0.4269,0.362825,21.4133,23.919275
"ZNF688",0.717705721671385,272.761319354839,281.840559541985,14.9847281313786,13.9646405129998,166.581,165.71185,340.2778,319.053125
