"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","mean-1","mean-2","mean-3","mean-4","SEM-1","SEM-2","SEM-3","SEM-4","Q1-1","Q1-2","Q1-3","Q1-4","Q3-1","Q3-2","Q3-3","Q3-4","count-1","count-2","count-3","count-4"
"ZNF195",0.606814937341082,0.692092215205854,0.0489726288706299,0.0216124261356044,0.110536442059961,0.000201342845389307,250.059617857143,222.841040789474,278.836026666667,183.239264912281,17.5680964978051,11.2442258057149,29.0758675475297,7.4183591417053,174.222475,153.134375,164.1986,138.6812,313.99125,277.521025,372.596575,213.0627,28,76,30,57
"ZNF263",0.905917595422851,0.301894021963588,0.477986820155135,0.948717678632133,0.400205379447427,0.0502152044623803,626.038414285714,657.938609210526,724.031556666667,599.379750877193,28.4090596011555,26.3679034218602,55.9408021208084,19.5009966424541,481.781475,516.7743,564.7236,492.1844,746.679575,722.46695,779.4647,696.4019,28,76,30,57
"ZNF200",0.864901196093745,0.988627389678207,0.977270232938716,0.689939933556512,0.965793417323851,0.875443251312844,201.928192857143,217.514838157895,209.56207,224.971647368421,10.8466694374343,10.5188087930801,18.1572939891157,12.9372963250884,179.53355,161.8153,160.3201,155.0677,221.518675,250.84015,233.704875,272.8804,28,76,30,57
"ZNF582",0.523807705827701,0.67476465052232,0.0312270030573419,0.374957989813476,0.978065436589175,0.0181894585820399,41.6181464285714,32.619125,50.4408833333333,30.5197421052632,5.46258185239967,2.92579004628087,7.69729646130811,3.70255433529363,14.861725,14.979625,9.5013,7.177,54.079725,40.473725,84.498675,43.2973,28,76,30,57
"ZNF285",0.999960339753103,0.571681892337075,0.370517558354993,0.978807304669494,0.967220564825814,0.228907774433192,35.325625,34.7482960526316,53.7687466666667,30.3384842105263,5.55228613660072,7.97584737669999,11.6505995245933,4.00748562284282,14.323475,7.5894,6.6196,7.0377,44.28875,39.851875,99.00245,42.0933,28,76,30,57
"ZNF275",0.754168234777668,0.998848571043152,0.836705059126769,0.679097589156812,0.996205070783418,0.765812675825477,699.096842857143,866.397821052632,728.697086666667,895.871375438596,71.1382294869681,118.499066433416,97.0315714214522,72.4907321932197,389.23115,448.47205,386.226425,508.703,957.05665,949.674925,913.086925,1154.8658,28,76,30,57
"ZNF37A",0.359465490120204,0.995968782251235,0.209200034165364,0.512421601882532,0.994634592287991,0.339398110504152,319.191646428571,266.735656578947,327.753533333333,273.024321052632,27.5285388915669,13.2897381004776,39.6295097429731,17.4718646196388,203.211775,173.50235,151.429125,167.4718,453.951425,351.56195,435.80775,365.5613,28,76,30,57
"ZNF510",0.967438828738092,0.538882425553873,0.15524981344318,0.997269366430277,0.988483805787502,0.294718907811325,159.786435714286,150.213917105263,192.868123333333,155.506694736842,16.5792548080762,9.30519291208332,23.5557731232502,12.0996851274174,102.367475,96.9503,89.46515,81.9672,189.40175,184.5162,289.998875,198.7179,28,76,30,57
"ZNF506",0.344096878982212,0.985747623022474,0.147233435698151,0.00529274928542856,0.0985056397033627,0.000981536850764742,203.186160714286,154.912932894737,215.089133333333,101.802940350877,39.5884092578165,11.6668039095756,32.1656453968678,10.4381582631674,84.66375,76.74525,49.241475,37.1564,243.3169,229.7988,336.736525,152.1617,28,76,30,57
"ZNF324",0.119292081692578,0.942339418360749,0.383045087313505,0.828111103181391,0.333771434638259,0.996417436400701,146.878139285714,125.240757894737,140.359283333333,138.217152631579,8.88323810736855,5.41413927091079,8.04742634575041,4.92973807774763,105.862325,95.943575,113.352775,112.075,188.140725,148.17555,160.885025,154.6961,28,76,30,57
