"gene","p-adj-T1-T0","p-adj-T2-T0","p-adj-T2-T1","p-adj-T3-T0","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T0","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T0","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T0","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF195",0.999997105867976,0.999999999979086,0.918434894566114,0.999955833229703,0.172042362595876,0.811218077353203,0.999988585282617,0.999990529313453,0.992860608150168,0.836274169987222,0.999642283309032,0.999582357670797,0.997890496943918,0.988784998103042,0.99982486163314,234.886,221.708307142857,236.122385106383,257.76102625,216.921676923077,185.7423,NA,6.74260150157409,12.1720371128111,17.2111946455117,18.772046430801,NA,234.886,161.6742,158.73045,154.3451,174.4028,185.7423,234.886,262.4424,296.149225,282.7727,251.5344,185.7423,1,182,94,80,13,1
"ZNF263",0.996626642968804,0.985495847158447,0.70735523568558,0.988848183711439,0.889246374142907,0.999882538549898,0.998378805058489,0.999964912210298,0.967414813110019,0.985344230602633,0.876222353814401,0.888320877718172,0.9467200913922,0.937376839687157,0.881836751127348,535.1833,638.813781318681,677.468165957447,669.59304,627.171561538462,869.3983,NA,15.4599304685839,21.9271942894074,26.0075178691057,28.8170779358008,NA,535.1833,508.456875,533.500275,511.066925,539.9562,869.3983,535.1833,727.182975,803.866,762.8596,709.749,869.3983,1,182,94,80,13,1
"ZNF200",0.983964869656321,0.96102826453666,0.824763841579887,0.975992697457666,0.996050516303632,0.992365778292323,0.97309694683295,0.998859829083961,0.999989624551432,0.999990501578593,0.999484099950552,0.999934380408735,0.999083155979656,0.999755184462246,0.999575117605733,151.6353,209.314482967033,222.448873404255,215.01144875,218.716715384615,190.9745,NA,5.80844750430511,10.0877823792239,8.4958949124989,30.636270989516,NA,151.6353,156.67345,158.248025,165.66525,168.4335,190.9745,151.6353,248.612675,266.0208,257.473225,214.2259,190.9745,1,182,94,80,13,1
"ZNF582",0.882037965736388,0.925998098427517,0.930119741442343,0.8741680071715,0.999979097520387,0.932093180529857,0.675315937838923,0.647599451542515,0.40824520795093,0.734275960246481,0.999892266326235,0.973864202384617,0.988147048265652,0.970684290714195,0.856867113232733,71.3578,37.1042769230769,40.8981978723404,36.3867275,23.4730461538462,60.8241,NA,2.21288953253055,3.51912032196592,3.53463464165406,5.52814682152485,NA,71.3578,13.0167,10.450975,12.699725,6.6651,60.8241,71.3578,53.514175,59.824775,49.1284,30.8103,60.8241,1,182,94,80,13,1
"ZNF285",0.999700580644404,0.999305080481137,0.997796001586053,0.991648579925585,0.228866700412169,0.605276291289589,0.997109420850903,0.984854576500134,0.99737012223713,0.999282626946339,0.999990428870329,0.999999279134497,0.999991511596359,0.998915805771168,0.999803207302902,17.8394,31.5331054945055,34.1509468085106,45.363605,40.4797538461538,27.4689,NA,2.60303013416099,3.45137883158215,8.33066632315885,10.7119831226745,NA,17.8394,7.332825,6.7805,8.06545,10.1368,27.4689,17.8394,39.31375,56.10855,54.892175,80.0626,27.4689,1,182,94,80,13,1
"ZNF275",0.999951095739255,0.999154127365624,0.798761161050963,0.999687470441667,0.981345775338111,0.997835806664883,0.998947178735364,0.985499463967112,0.999998658220107,0.999528121055324,0.942321672751244,0.667212431735634,0.563869007869973,0.609323350995403,0.579450550147359,963.33,839.025272527473,740.679506382979,781.6199275,722.873484615385,1750.1635,NA,53.0542266369376,50.071680663642,55.4469165455704,63.06503301746,NA,963.33,539.44895,414.005275,452.7758,547.0872,1750.1635,963.33,984.2584,946.585025,994.1903,923.0126,1750.1635,1,182,94,80,13,1
"ZNF37A",0.710546740699167,0.788309653465151,0.909536356659248,0.912719662538897,0.0292184204604358,0.444066341694275,0.707647269869041,0.99996480753674,0.989134788594674,0.630534002963673,0.977041863932321,0.998886369106843,0.99985163911484,0.999999999222748,0.998212942003293,460.8523,261.267899450549,279.418921276596,318.3663125,253.621484615385,315.2387,NA,9.15246870837736,15.0739938633818,18.6534938243907,31.6044237821021,NA,460.8523,162.646775,174.610775,198.104825,188.6508,315.2387,460.8523,322.456725,379.26095,403.419475,347.2941,315.2387,1,182,94,80,13,1
"ZNF510",0.961007527212207,0.963202432409147,0.999999722533067,0.987346460048894,0.73473927749265,0.854064899834525,0.984722766927626,0.996895224977171,0.998068366313206,0.999983726122349,0.99990539041069,0.854088758771449,0.859533378487983,0.925946365292545,0.920486744553213,222.002,151.406478571429,152.180903191489,167.11307625,162.986823076923,249.8365,NA,5.64857630159122,8.94583361837658,11.0386976429461,22.5625318676077,NA,222.002,98.1738,93.531375,99.432725,98.2287,249.8365,222.002,190.575925,188.169225,201.45845,200.8128,249.8365,1,182,94,80,13,1
"ZNF506",0.999190790339781,0.999999996930827,0.0950375599535435,0.999739553017633,0.993879383707325,0.532060664360453,0.996267867695432,0.994753413520993,0.57065269979689,0.973847476661675,0.999999989023099,0.998425004870419,0.999999459057792,0.999400859242852,0.994063850459721,218.0377,148.89285,212.409774468085,163.0270975,119.624469230769,228.2538,NA,9.10250863486252,32.8088239590491,13.0218397470671,23.4828267996363,NA,218.0377,62.591775,82.043575,71.0959,53.5565,228.2538,218.0377,215.921875,263.569225,242.4782,148.219,228.2538,1,182,94,80,13,1
"ZNF324",0.999968484712472,0.999942799601617,0.999963189318101,0.999985612233606,0.9999560190113,0.999422617411594,0.999997322942334,0.895460567120512,0.875214002614378,0.938194205439644,0.995233369259109,0.993916670087869,0.995136969090617,0.992540284483371,0.962417477149857,126.8583,136.462286813187,137.71749893617,135.088165,120.803353846154,164.8136,NA,3.48029202725531,6.36171719074321,5.49204427418324,10.2955050336805,NA,126.8583,105.53175,104.877,101.430475,92.887,164.8136,126.8583,156.30645,153.072775,155.68015,136.5095,164.8136,1,182,94,80,13,1
