"gene","p-adj-Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","p-adj-Cluster 5-BRCA CIMP c7","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-BRCA CIMP c7","p-adj-OV-like c1-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-Cluster 5","p-adj-UCEC CIMP c18-BRCA CIMP c7","p-adj-UCEC CIMP c18-Cluster 13 (HNSC-LUSC)","p-adj-UCEC CIMP c18-Cluster 5","p-adj-UCEC CIMP c18-OV-like c1","p-adj-UCEC non-CIMP c3-BRCA CIMP c7","p-adj-UCEC non-CIMP c3-Cluster 13 (HNSC-LUSC)","p-adj-UCEC non-CIMP c3-Cluster 5","p-adj-UCEC non-CIMP c3-OV-like c1","p-adj-UCEC non-CIMP c3-UCEC CIMP c18","p-adj-UCEC Serous c4-BRCA CIMP c7","p-adj-UCEC Serous c4-Cluster 13 (HNSC-LUSC)","p-adj-UCEC Serous c4-Cluster 5","p-adj-UCEC Serous c4-OV-like c1","p-adj-UCEC Serous c4-UCEC CIMP c18","p-adj-UCEC Serous c4-UCEC non-CIMP c3","mean-BRCA CIMP c7","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 5","mean-OV-like c1","mean-UCEC CIMP c18","mean-UCEC non-CIMP c3","mean-UCEC Serous c4","SEM-BRCA CIMP c7","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 5","SEM-OV-like c1","SEM-UCEC CIMP c18","SEM-UCEC non-CIMP c3","SEM-UCEC Serous c4","Q1-BRCA CIMP c7","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 5","Q1-OV-like c1","Q1-UCEC CIMP c18","Q1-UCEC non-CIMP c3","Q1-UCEC Serous c4","Q3-BRCA CIMP c7","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 5","Q3-OV-like c1","Q3-UCEC CIMP c18","Q3-UCEC non-CIMP c3","Q3-UCEC Serous c4","count-BRCA CIMP c7","count-Cluster 13 (HNSC-LUSC)","count-Cluster 5","count-OV-like c1","count-UCEC CIMP c18","count-UCEC non-CIMP c3","count-UCEC Serous c4"
"ZNF75A",0.924922025026599,0.990804076110545,0.999943425446898,0.98340071725738,0.995372996588155,0.999975585938411,0.999588909430735,0.95258650241808,0.997022026601357,0.994227876473203,0.765241990674064,0.998685031822111,0.999999928610618,0.999734254814087,0.308671981625132,0.826838355765807,0.99763761233468,0.999998908809249,0.99996851921176,0.440381339511117,0.999979700289572,207.72464,402.6397,335.3948,290.22458,239.458451282051,319.697773684211,310.64388,38.6800208987224,NA,NA,49.8936311678996,24.4416182744284,28.6413453427275,25.7460257013957,150.7863,402.6397,335.3948,231.3034,133.4642,173.348325,189.71215,228.2403,402.6397,335.3948,318,317.6522,447.394275,385.816375,5,1,1,5,39,38,40
"ZNF496",0.996551286482855,0.936843569428651,0.999830506236551,0.0749089361497612,0.944309806372494,0.997360669480925,0.221972410812623,0.999304279159225,0.99999999945576,0.789582195496461,0.553488067307245,0.999996024061387,0.999926785344572,0.42888478361528,0.899014635247123,0.188689661610546,0.998926001144583,1,0.828557987885178,0.999998442029126,0.825953911415279,196.0363,330.8858,433.5122,562.00848,424.710015384615,369.81945,432.10017,15.3028390786481,NA,NA,117.063510005819,35.0460113909209,25.4343467479591,36.1614552854807,168.1695,330.8858,433.5122,432.7782,255.34615,265.1542,280.150575,214.5843,330.8858,433.5122,803.1452,549.60905,502.294575,540.32305,5,1,1,5,39,38,40
"ZNF2",0.999171546024982,0.9817979283019,0.999962205808343,0.511541596847459,0.996600274556002,0.999980487505606,0.815351469816183,0.999999444557388,0.999979083792987,0.926306420523391,0.67530779668543,0.999979550682637,0.999999424095652,0.977702401709076,0.998775331238881,0.0361013696596065,0.963072096079193,0.99762592179231,0.995419990841727,0.00647574727190803,0.0336948619649762,110.2369,130.8672,146.5348,157.38614,136.384258974359,140.982410526316,169.5088675,10.889350302153,NA,NA,19.6648109737572,5.82419287215035,7.0335183127427,6.52039367199655,94.3571,130.8672,146.5348,138,113.00395,114.2552,134.858725,128.6577,130.8672,146.5348,189.8901,163.50445,159.847575,199.4636,5,1,1,5,39,38,40
"ZNF589",0.999992375217592,0.971079337955486,0.998207134375929,0.935446847345518,0.99963344507377,0.999952379817599,0.926547086953227,0.999950991833862,0.999237811362339,0.999903239732304,0.479996494829436,0.994107185221831,0.999999969153003,0.99902626170828,0.628229256251227,0.938421673297363,0.999968031500503,0.999025028302872,0.999797392275071,0.999999948800518,0.560914564789849,213.52156,355.0516,821.4928,628.61044,534.243502564103,769.46442631579,521.66614,37.7565055360874,NA,NA,287.956535783869,41.1611562347927,165.156320513231,45.8953669192703,161.8871,355.0516,821.4928,273.901,351.76895,321.08425,333.196975,248.0418,355.0516,821.4928,503.7363,657.98925,707.50245,656.7705,5,1,1,5,39,38,40
"PRDM9",1,0.999977939218821,0.999995152771778,0.84260780411329,0.988153130730294,0.998697844027538,0.999998920274156,0.999999988362993,0.999994159021656,0.681170890327379,0.999982982280733,0.999999811867961,0.999998559420347,0.738328702486648,0.999996221596858,0.794831830218355,0.994397610921769,0.999722230944074,0.99985991733044,0.119245169768651,0.187991254988643,0,0,0.3206,0.96704,0.0837,0.133255263157895,0.7769525,0,NA,NA,0.96704,0.0428899563251847,0.0701734120761505,0.295255967850138,0,0,0.3206,0,0,0,0,0,0,0.3206,0,0,0,0.5343,5,1,1,5,39,38,40
"ZNF12",0.999999983000999,0.15499152350137,0.404467430483692,0.998228003347427,0.999732358528792,0.288245843455208,0.99925412408901,0.999940578887824,0.158050274595024,0.999976990330504,0.994986915994136,0.999730930431625,0.190989001817193,0.999999992576605,0.99970955528037,0.373928374155104,0.939875180281479,0.567852688976518,0.822039945885805,0.0154256144133632,0.0517992646638523,475.20354,458.4069,1037.287,543.85226,519.467707692308,537.499663157895,674.1853375,68.9494266097957,NA,NA,36.5974561932056,26.3061984030125,32.9011160102957,38.5253499236806,376.5032,458.4069,1037.287,501,432.1025,425.0243,502.092375,593.5256,458.4069,1037.287,606.5688,621.9328,681.252175,828.579475,5,1,1,5,39,38,40
"ZNF202",0.99945802850772,0.997496990195701,0.999999882999602,0.901377632908435,0.99998196765436,0.999999854491869,0.998011700101228,0.999991531689331,0.999819157440315,0.948642493128021,0.947796410315923,1,0.999999409240565,0.998128445056524,0.954711301991736,0.911039923489405,0.99999999195246,0.999999977873219,0.999563650343189,0.865658634346132,0.999973885753464,228.60926,305.2328,328.9819,348.0605,270.377174358974,306.679042105263,316.1076725,38.9462518019719,NA,NA,60.1787089293714,13.8559445382615,28.1348946388815,32.4177497181504,172.988,305.2328,328.9819,292.735,191.0365,207.99535,209.46135,252.4247,305.2328,328.9819,435.6044,320.2885,358.7126,350.568475,5,1,1,5,39,38,40
"ZNF3",0.999082115727677,0.368925853120073,0.875479246737678,0.134410025976235,0.947469014248404,0.997239668410529,0.786792696277263,0.999998924211045,0.69208083678397,0.396021229375467,0.620892989096967,0.999960018489494,0.769199057118375,0.574162096765454,0.997636598549008,0.502662795129842,0.999821664313971,0.812754622432417,0.684155681080093,0.965905687288434,0.999817840864291,762.35232,960.409,1625.6003,1384.77558,1018.51963589744,1067.25268947368,1098.1947325,104.273537196555,NA,NA,334.120664020523,46.8489883482942,64.3389973138545,61.6350235957344,526.3552,960.409,1625.6003,950.4023,834.1241,769.863875,813.776,964.8671,960.409,1625.6003,1596.0737,1112.8178,1286.21615,1268.658425,5,1,1,5,39,38,40
"ZNF606",0.989934146557036,0.893993947488357,0.7451593380026,0.897360789786362,0.788134632706777,0.998657544463917,0.99680406229336,0.933520706050925,0.949677154127385,0.956331589251767,0.98723666886765,0.907648256231414,0.966594556352726,0.983737227488098,0.999802340994492,0.782541911271459,0.762130221468191,0.995926722865456,0.999998966004975,0.576077899131409,0.810482176843649,255.06664,110.8728,489.1538,389.20512,305.67208974359,320.573810526316,376.444615,66.3320459406884,NA,NA,106.667850327905,21.7846625081431,31.1586062012786,31.0376490266048,174.8381,110.8728,489.1538,199.8771,216.6305,215.606525,215.85785,348.1547,110.8728,489.1538,440.7473,392.2571,406.53535,463.865425,5,1,1,5,39,38,40
"ZNF91",0.983781479314307,0.969578914178148,0.999999971226442,0.752034302731631,0.999999998488281,0.999999997165814,0.902771132057041,0.999904473640032,0.999436021158737,0.983937829106011,0.985919901283163,0.998755644817395,0.996058679652699,0.896439128513346,0.984094913760963,0.677458524283705,0.999999725738811,0.999984947457521,0.999774665220634,0.969965845899927,0.606632264326786,210.09988,345.3853,363.2909,353.86932,295.315497435897,267.271368421053,326.704005,27.074158063962,NA,NA,81.8526436716579,21.43652280013,20.2891681736181,30.4113640271715,154.4866,345.3853,363.2909,258.0128,211.7407,191.5433,187.09745,248.0761,345.3853,363.2909,291,367.67065,364.1456,413.625725,5,1,1,5,39,38,40
