"gene","p-adj-cluster 2-cluster 1","p-adj-cluster 3-cluster 1","p-adj-cluster 3-cluster 2","p-adj-cluster 4-cluster 1","p-adj-cluster 4-cluster 2","p-adj-cluster 4-cluster 3","mean-cluster 1","mean-cluster 2","mean-cluster 3","mean-cluster 4","SEM-cluster 1","SEM-cluster 2","SEM-cluster 3","SEM-cluster 4","Q1-cluster 1","Q1-cluster 2","Q1-cluster 3","Q1-cluster 4","Q3-cluster 1","Q3-cluster 2","Q3-cluster 3","Q3-cluster 4","count-cluster 1","count-cluster 2","count-cluster 3","count-cluster 4"
"ZNF195",0.821169104933577,0.826701076983927,0.999999623988033,0.739014256138954,0.999030985079694,0.998805319378607,352.670371428571,472.35545,470.8006,493.73275,41.5144966803664,70.3808040329002,162.662212689902,151.90821255221,309.0546,402.84705,324.4306,243.823775,413.59825,556.45155,666.51575,743.972075,7,4,4,4
"ZNF263",0.953830164095966,0.983839397330105,0.998938200832756,0.999236159907056,0.985276077400911,0.996872064074929,894.207428571429,785.36905,819.04545,867.47615,154.253166462772,46.7333101133353,162.403237925339,171.528845370905,613.7473,778.22925,684.729075,702.65205,948.358,831.8083,1000.880425,926.6455,7,4,4,4
"ZNF200",0.999998119866326,0.951752515693858,0.96228478896209,0.522519453312769,0.606681584401536,0.867005961764065,243.533314285714,244.569825,211.70015,159.0616,44.7817653564507,9.79273084157964,46.1631109753683,49.5956735486574,184.24605,238.779375,159.929125,139.661075,336.9684,257.65495,252.683775,199.003625,7,4,4,4
"ZNF582",0.896355460408753,0.265358263194935,0.709792820256798,0.995407727060028,0.975419818503795,0.468838263176714,19.7770857142857,28.302725,43.111325,22.61175,7.76672841525919,9.26736305369323,10.865301452742,7.74534063125481,7.01885,16.032525,30.26095,10.607625,22.1076,40.8541,59.966475,32.046525,7,4,4,4
"ZNF285",0.631378821042985,0.2911746636535,0.940638350210505,0.00461270142449555,0.0888637959830872,0.230183338085754,5.36527142857143,36.2478,52.571825,110.347625,3.1071006432053,10.7776254169614,29.9606787890777,32.1223016838607,1.2913,31.1636,2.5712,90.348225,4.82155,48.36785,92.898175,132.3879,7,4,4,4
"ZNF275",0.992282605114394,0.336573133000506,0.576275257674302,0.00114817771198161,0.00538390908206254,0.066707571609162,449.149714285714,484.4793,671.83855,1064.5934,57.8526354842668,38.948056951492,155.606303025319,120.041920703297,350.6506,423.9824,488.338525,959.4779,526.9968,551.1858,898.443475,1133.8073,7,4,4,4
"ZNF37A",0.513283586920947,0.9999999813457,0.605322393417342,0.999958120038636,0.581969853397526,0.999977007662149,288.970128571429,387.901725,288.71225,285.592275,32.625658760718,52.4524667213306,89.8223948088068,33.8913281416593,275.3635,317.532525,230.41685,251.954225,339.2811,445.5374,346.4123,333.82355,7,4,4,4
"ZNF510",0.227235792243157,0.75638158523336,0.0751488179187116,0.966296093720008,0.17025111793004,0.964557967750554,196.195314285714,276.399225,156.662175,177.795075,18.046517475685,32.274120413818,50.3784122709714,18.3988342515396,158.43325,231.825525,107.702875,158.6323,223.7869,313.1357,202.05815,202.191475,7,4,4,4
"ZNF506",0.452537107638537,0.785680123261623,0.954561839231669,0.0183638640327282,0.370952662011197,0.17189258969067,152.552242857143,334.7627,265.152075,561.48985,77.1215575507475,109.176931939665,33.7729090549258,109.77623660725,28.0639,312.257575,256.13765,415.00955,232.97065,448.058575,299.470675,740.95125,7,4,4,4
"ZNF324",0.854300231420128,0.999710855518752,0.922100383589038,0.895635157782492,0.560659042394792,0.894944390179326,200.759285714286,253.606275,206.83075,154.42235,54.3527077664486,29.0788765273401,51.0125790986481,13.0557451972621,132.4118,227.3629,140.4093,143.24895,228.53165,260.289825,253.00565,164.9233,7,4,4,4
"ZNF671",0.909020291431115,0.947765568524142,0.713855102706212,0.99539246343314,0.855950554177019,0.992589390188717,81.6747571428571,42.5349,113.526375,95.369475,43.4697017498771,24.5495693869227,40.3104994405175,47.1348893263503,18.98675,8.80265,87.94145,16.88705,90.0255,61.87915,148.649575,166.436325,7,4,4,4
"ZNF416",0.803024473451498,0.269985832509287,0.8144884586353,0.918864685093773,0.538825126145165,0.155757035350909,102.409285714286,140.95505,183.352,75.302225,26.7245387884781,27.9680344537146,49.9921557782985,2.31664133908517,50.1395,136.516425,117.929775,73.51665,119.0246,167.683625,234.895475,76.965775,7,4,4,4
"ZNF586",0.913020084725628,0.999060324504668,0.895883657262047,0.864081789119595,0.999509363450547,0.849527445615068,214.189214285714,149.5688,227.65565,137.347325,82.4981415292127,31.0674519425341,77.5906967305306,19.9062211424542,97.599,101.8616,154.76455,113.47775,229.78575,184.56375,272.2022,157.067675,7,4,4,4
"ZNF446",0.999964523824446,0.954835009678861,0.975237965519912,0.382948910081726,0.506157761754864,0.74773928311889,425.305757142857,430.29865,481.531325,606.1967,76.1373774495714,58.4081032010185,87.9578080169916,82.8528764586863,326.1396,342.2792,365.933175,485.535525,510.50595,521.2973,606.4957,693.819325,7,4,4,4
"ZNF8",0.999825149599656,0.199131911700233,0.316315917509719,0.99999856633717,0.999937910745495,0.292426216489979,91.7268714285714,94.477,166.096225,92.28095,20.2024252133219,15.5279636582414,46.695827539324,12.5515527339914,73.89385,75.3324,111.925675,74.3714,81.02625,112.48165,216.60695,110.867,7,4,4,4
"ZNF264",0.888523992794932,0.993624109741799,0.976513920523567,0.999966682946822,0.904680465957024,0.99287103893633,443.254514285714,558.152925,484.770125,436.1201,106.008298420444,57.0007293196671,172.333950518194,96.2786144148671,327.8953,538.554275,221.17085,307.653,559.0595,626.04895,664.188025,579.6557,7,4,4,4
"ZNF213",0.436264469295977,0.288189726464569,0.992644544270874,0.989290650142216,0.38469530975801,0.262274709318038,806.765057142857,612.365075,573.7571,845.677575,90.8430620479597,23.4592526750596,62.4498666306155,130.158656238463,678.3686,600.321775,522.814925,651.61375,985.71405,642.08255,642.959625,970.021125,7,4,4,4
