"gene","p-adj-Notassigned-CN high","mean-CN high","mean-Notassigned","SEM-CN high","SEM-Notassigned","Q1-CN high","Q1-Notassigned","Q3-CN high","Q3-Notassigned","count-CN high","count-Notassigned"
"ZNF425",0.820837402544576,93.8798,112.681216666667,NA,18.7537487728676,93.8798,52.455775,93.8798,163.098875,1,18
"ZNF611",0.269324273958724,31.7747,134.397755555556,NA,20.6176570935561,31.7747,82.17585,31.7747,176.181025,1,18
"ZNF254",0.0475920579321023,31.8758,327.255372222222,NA,31.7366655243598,31.8758,230.82885,31.8758,414.585375,1,18
"ZNF625",0.226266956656945,2.8886,24.08405,NA,3.87289406272976,2.8886,16.0764,2.8886,29.172025,1,18
"ZNF845",0.371789591708691,74.3817,135.58805,NA,15.30676152035,74.3817,82.02945,74.3817,176.615525,1,18
"ZNF90",0.882995122332664,345.9108,306.99065,NA,59.7645263855412,345.9108,106.816225,345.9108,490.9425,1,18
"ZNF788",0.713179390584402,62.1051,86.0186166666667,NA,14.6769485384289,62.1051,29.029575,62.1051,127.48735,1,18
"ZNF880",0.853438020181391,109.045,127.545938888889,NA,22.6289698653634,109.045,74.185225,109.045,132.995625,1,18
"ZNF630",0.163073817013432,27.4418,54.1160888888889,NA,4.19725585436321,27.4418,46.6165,27.4418,63.2665,1,18
"ZNF844",0.221530320274997,27.4418,112.942583333333,NA,15.4568459096181,27.4418,57.474675,27.4418,158.837475,1,18
"ZNF717",0.816079567135923,10.8323,14.9051333333333,NA,3.95540651024736,10.8323,0.613425,10.8323,29.697875,1,18
"ZNF492",0.848069627596391,18.776,15.1555722222222,NA,4.26977598401221,18.776,0.3924,18.776,23.534675,1,18
"ZNF688",0.599103052801525,628.9944,455.585927777778,NA,74.2624374034955,628.9944,291.45355,628.9944,479.3747,1,18
"ZNF879",0.823324361884566,93.8798,80.1505722222222,NA,13.8907945948693,93.8798,49.41665,93.8798,94.545075,1,18
"ZNF737",0.323507028457009,46.9399,329.395111111111,NA,63.7296770731084,46.9399,181.432675,46.9399,358.1327,1,18
"ZNF709",0.465644667518662,77.2703,108.971283333333,NA,9.74417999181858,77.2703,84.8893,77.2703,129.115125,1,18
"ZNF585B",0.412379186859134,20.2203,39.8739111111111,NA,5.3654791696968,20.2203,20.090075,20.2203,61.837375,1,18
"ZNF324B",0.755298672592789,109.7671,130.604494444444,NA,15.0926713805608,109.7671,79.8607,109.7671,143.5184,1,18
"ZNF564",0.60647447341514,351.688,278.104377777778,NA,32.1647857984093,351.688,199.9706,351.688,296.832475,1,18
"ZNF674",0.112706399752282,15.8873,44.4297722222222,NA,3.91490506906505,15.8873,37.95365,15.8873,50.4039,1,18
"ZNF432",0.131791446979327,10.8323,95.2565666666667,NA,12.233288779344,10.8323,57.443375,10.8323,137.04095,1,18
"ZNF10",0.143534943665762,58.4943,322.518044444444,NA,39.4968805683264,58.4943,196.09855,58.4943,423.037725,1,18
"ZNF486",0.805244147447464,16.6095,58.4658333333333,NA,38.3416036627283,16.6095,1.5116,16.6095,20.019025,1,18
"ZNF225",0.0979326466421383,10.1101,55.9791888888889,NA,6.00907964671637,10.1101,36.33615,10.1101,78.838925,1,18
"ZNF350",0.438014819289492,136.4867,220.728722222222,NA,24.3338873372652,136.4867,154.862975,136.4867,231.163475,1,18
"ZNF253",0.271413438511004,67.8823,305.969466666667,NA,48.0501152751421,67.8823,214.32165,67.8823,378.7763,1,18
"ZNF878",0.192571609994654,0.7222,7.37656111111111,NA,1.12511141987505,0.7222,5.415075,0.7222,10.05935,1,18
"ZNF727",0.987535823281746,1.4443,1.40089444444444,NA,0.628120120036178,1.4443,0,1.4443,1.474325,1,18
"ZNF578",0.0179353481931632,192.8146,41.2656333333333,NA,13.2718865365067,192.8146,4.929425,192.8146,46.96685,1,18
"TRIM28",0.000299053357599943,29002.347,10049.1298,NA,960.832052707143,29002.347,7973.749825,29002.347,9758.666025,1,18
