"gene","p-adj-Mixed serous and endometrioid-Endometrioid endometrial adenocarcinoma","p-adj-Serous endometrial adenocarcinoma-Endometrioid endometrial adenocarcinoma","p-adj-Serous endometrial adenocarcinoma-Mixed serous and endometrioid","mean-Endometrioid endometrial adenocarcinoma","mean-Mixed serous and endometrioid","mean-Serous endometrial adenocarcinoma","SEM-Endometrioid endometrial adenocarcinoma","SEM-Mixed serous and endometrioid","SEM-Serous endometrial adenocarcinoma","Q1-Endometrioid endometrial adenocarcinoma","Q1-Mixed serous and endometrioid","Q1-Serous endometrial adenocarcinoma","Q3-Endometrioid endometrial adenocarcinoma","Q3-Mixed serous and endometrioid","Q3-Serous endometrial adenocarcinoma","count-Endometrioid endometrial adenocarcinoma","count-Mixed serous and endometrioid","count-Serous endometrial adenocarcinoma"
"ZNF195",0.546966074757531,0.309978384200078,0.959882618347379,445.206211926606,524.884958333333,503.41935483871,18.8451811232907,152.50119026668,32.4133541725782,280.3974,287.6735,337.148925,588.0452,471.1551,616.61175,109,12,62
"ZNF263",0.743589394170626,0.00167899074601041,0.0377830988565088,791.924988073395,847.0799,654.305367741935,24.9878780898476,60.7557721673797,28.8457490224545,646.0221,732.739275,502.03765,841.454,972.8329,809.21385,109,12,62
"ZNF200",0.752725430765508,0.578069545594982,0.98050571086302,265.67559266055,245.522741666667,251.017185483871,8.20153988410315,27.3952299165756,12.9965812239803,208.2466,198.433175,189.6897,322.0339,263.646875,294.126325,109,12,62
"ZNF582",0.927782425919706,0.0164793398084706,0.548560288265907,30.635776146789,33.24425,40.9183790322581,2.11059827419514,5.60938172748309,3.28111316973571,11.9723,19.557575,17.807625,43.8746,48.418825,57.9636,109,12,62
"ZNF285",0.95979819782345,8.11221737562207e-08,0.00466326586199484,50.5464944954128,44.7844166666667,114.772619354839,4.76761110498634,15.5651803599428,12.2565467834387,4.2179,2.48135,51.9422,78.5993,93.21595,153.970575,109,12,62
"ZNF275",0.752088622136541,0.588985915692236,0.460868375189204,611.684055963303,542.515266666667,661.050625806452,30.6639191845375,100.602527220763,38.3483594803913,409.3906,279.065475,421.0939,714.8163,628.60235,868.54295,109,12,62
"ZNF37A",0.935056585014175,0.295779615634278,0.521083502991291,355.441101834862,336.493566666667,397.875132258065,18.2762496699153,43.6825973503081,20.2310988158342,214.2107,259.769275,286.6826,453.7419,474.393575,510.5567,109,12,62
"ZNF510",0.766673189453068,0.220915713940244,0.984145358600217,219.351588073395,200.997516666667,196.335406451613,8.26989993648407,22.8127596490888,11.3004154096495,161.9217,151.664125,126.1456,266.014,257.908675,264.28235,109,12,62
"ZNF506",0.525987508906574,0.963887646912436,0.469920900435599,335.257795412844,221.235975,349.485509677419,37.540637537303,45.672327320444,35.2979565054259,41.3629,91.3217,164.85155,497.0017,324.84065,517.001125,109,12,62
"ZNF324",0.180540567382127,0.178760160897639,0.694585398202788,191.384934862385,240.3606,217.074319354839,5.72888690295379,27.1045053718571,16.2293836543686,155.4276,197.522025,145.6207,221.4403,266.012,241.94605,109,12,62
"ZNF671",0.411507362658137,0.174505641437245,0.943745923566062,96.944819266055,67.7443666666667,75.4461016129032,7.1560503383919,26.9231824809123,9.24328731896697,30.8388,12.3431,13.689725,141.2239,82.783625,111.27435,109,12,62
"ZNF416",0.89456942392796,0.105731604990635,0.822933453261294,115.003973394495,122.338358333333,132.400509677419,3.97390737268771,14.6767591725906,8.95198859366799,84.7899,86.6445,88.84205,137.9572,156.9773,163.4845,109,12,62
"ZNF586",0.642889111575975,0.163327942221362,0.998208931545031,201.990899082569,162.22555,159.604387096774,11.5680199054279,47.809358471781,22.6884281642682,127.8855,85.521175,67.404825,266.3372,137.705175,187.820525,109,12,62
"ZNF446",0.965249038359618,0.0788900117876646,0.671824635706916,433.586762385321,419.309883333333,369.580811290323,18.6751762442156,47.2884974458935,21.6908073533372,311.9603,281.1552,260.759625,546.48,528.526725,423.85195,109,12,62
"ZNF8",0.427932590883865,0.000193682145514407,0.666206972565461,92.7910293577982,112.450733333333,126.523096774194,3.54496978288729,13.9094154890499,9.07041123767345,69.0932,79.868625,83.608475,106.3879,147.9528,137.7367,109,12,62
"ZNF264",0.93550856614482,0.989998006947557,0.961373818914353,522.211850458716,498.358533333333,517.368811290323,21.182136866965,75.0177039105571,28.7474084745719,388.0893,331.483775,382.399375,659.306,632.791775,666.118625,109,12,62
"ZNF213",0.95012626148211,0.000172727180823062,0.178474850202689,623.96017706422,605.152975,491.088946774194,18.4704711945169,83.2452117834542,25.6199686433731,489.9006,413.784875,335.784275,720.4437,694.279375,584.919475,109,12,62
"ZNF343",0.765326811443109,6.98152687883535e-08,0.0618561966790006,255.50857706422,281.559908333333,369.706766129032,6.85758688549932,26.1190051525949,23.4047103272869,203.0482,252.64965,252.4543,306.293,304.299725,445.5052,109,12,62
"ZNF302",0.515184906617281,3.54000415092592e-07,0.199841142060436,348.151728440367,463.067375,649.547090322581,20.3490735875708,94.4191642057624,63.3461355551828,198.9587,212.521725,378.200125,490.5179,586.512475,740.7008,109,12,62
"ZNF268",0.946226001645415,0.997328900271061,0.96053126185478,283.88332293578,270.57435,282.352543548387,12.7954653122686,28.4182216277437,19.2536919120919,175.6487,229.771325,179.135675,401.2708,297.638275,349.8652,109,12,62
"ZNF184",0.881045211168732,0.179938134582257,0.364575670602608,266.473572477064,247.644358333333,302.981319354839,10.5830117054717,31.6451755442314,20.2373470282689,211.4106,198.95525,163.660825,321.409,280.8766,401.01925,109,12,62
"ZNF500",0.821989544363479,0.999038327624452,0.822083263558282,238.456680733945,255.080241666667,237.848146774194,7.44660886644637,26.7258746805681,14.198503850551,179.8715,207.00635,171.5405,292.306,316.830975,291.6273,109,12,62
"ZNF419",0.500483125758567,0.985324470759624,0.576866187397496,211.902391743119,251.151816666667,214.8929,10.1951339251803,42.5529305089072,15.507449006215,142.3405,198.73355,138.679775,248.6065,285.161175,287.690025,109,12,62
"ZNF175",0.810161741101224,0.0177941970131493,0.708359126342133,93.3329642201835,103.05275,115.959266129032,4.89357877925667,13.6113575360159,6.7849121406021,54.6013,75.973975,80.221275,123.9637,129.988975,148.20845,109,12,62
