"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","mean-T1","mean-T2","mean-T3","mean-T4","SEM-T1","SEM-T2","SEM-T3","SEM-T4","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q3-T1","Q3-T2","Q3-T3","Q3-T4","count-T1","count-T2","count-T3","count-T4"
"ZNF195",0.461165285936836,0.0302442274179022,0.963281800226606,0.312564569032084,0.734618380248478,0.829140654768095,377.164491208791,403.57655942029,412.706426111111,448.202245454545,7.28949810090602,18.8152343178026,10.2856094685481,66.7495205753288,299.0714,315.0525,327.940775,333.8482,427.5956,448.0122,460.71765,479.54305,273,69,180,11
"ZNF263",0.786776160914861,0.332989204964473,0.994272308351583,0.99999221371659,0.983873519438276,0.960623637606785,666.825184615385,646.819375362319,641.108628333333,665.462090909091,10.5614071240773,16.876422227184,10.4006493728143,49.8524948399019,569.58,570.7196,557.737525,562.32105,725.1848,714.115,716.281375,799.9149,273,69,180,11
"ZNF200",0.923743645192684,0.960550926835521,0.788667135627106,0.147780801790427,0.106727058195407,0.209632519703596,192.706738461538,189.443046376812,194.540053888889,217.947481818182,2.14237373191578,5.68694402165835,2.87776185734277,17.2892952134646,167.9836,164.4962,170.64825,178.9779,213.4841,211.2265,214.9963,253.33235,273,69,180,11
"ZNF582",0.194344693334067,0.000407618369827945,0.841722429448109,0.925256072734149,0.995372330125768,0.92449163374744,38.7862816849817,32.6484739130435,29.9637694444444,34.4051363636364,1.63935774531429,2.67103346041901,1.07851234019615,8.33505799410781,22.6492,19.1915,19.7563,20.2727,47.9458,40.8401,38.550225,41.88885,273,69,180,11
"ZNF285",0.553192141899732,0.00862454481717911,0.804801542127393,0.351517191614479,0.739654798508487,0.914630799497487,52.7518234432234,46.7518594202899,42.4392805555556,35.5804545454546,2.11264818285613,5.23148388680822,2.074450235708,8.14252507421672,27.81,14.1807,22.99665,16.31785,69.6784,62.0887,54.607325,55.19925,273,69,180,11
"ZNF275",0.999997266975213,0.999601536410974,0.999747458648338,0.227513394769088,0.268860961966204,0.249723829760089,614.056207692308,613.347213043478,616.718651111111,770.770836363636,15.6085029719068,46.3563679608111,15.875113337195,120.513893324488,491.3083,426.4191,486.2481,562.71665,675.5286,634.8989,699.56685,884.9802,273,69,180,11
"ZNF37A",0.782907098519334,0.742854389591514,0.996751099754567,0.984121199892796,0.999954524305846,0.999971450805346,539.117311355311,513.94174057971,519.830833333333,517.179136363636,11.2054149299477,30.7787085825972,13.9438824897628,87.127272882947,421.5764,368.7968,397.023875,298.68415,664.0625,636.9947,618.465125,666.50075,273,69,180,11
"ZNF510",0.692137117230149,0.00015951441810802,0.261689823557162,0.707755242731637,0.944064746110779,0.994600349848233,299.637891941392,285.695001449275,261.270001111111,268.560018181818,5.64857960213257,15.0013750732725,6.15375745615055,25.2454284367859,236.2856,204.3796,198.104025,196.90575,358.8576,339.673,317.165525,310.40755,273,69,180,11
"ZNF506",0.868310895002709,0.713919547177597,0.999999186657635,0.925762717120317,0.993277912481133,0.991850099928109,420.800183882784,408.500855072464,408.721392222222,398.185027272727,6.943782732659,15.4862715990421,8.84234956831937,45.1291933624447,339.9477,326.6874,328.00695,329.62845,475.6891,459.6599,473.291475,407.42755,273,69,180,11
"ZNF324",0.119807953947696,0.00411855299869945,0.99752702590812,0.428191230831702,0.955184575736098,0.969112851160812,152.274693772894,141.724086956522,140.769003888889,135.805309090909,2.18451823113919,4.35865840606713,2.55476009831938,7.26903286327386,129.8491,117.7407,120.276275,125.2605,171.13,163.3622,158.466875,143.6865,273,69,180,11
"ZNF671",0.0215870743860184,1.02448683647616e-07,0.661708767310932,0.00534405904966873,0.20932036571246,0.429528371139123,270.530618315018,229.764675362319,212.721761666667,163.281118181818,6.53650999997837,13.3875067810595,7.35689814696694,28.178754906634,197.669,140.8177,137.614925,101.18795,352.4364,291.6061,280.93115,193.32755,273,69,180,11
"ZNF416",0.00029219587107232,1.85615786074678e-08,0.997189573109964,0.543964148929475,0.972105474418548,0.947229642356265,130.434694139194,108.345962318841,107.213755555556,114.030854545455,2.40083265652897,4.22076054841937,3.17003573054841,11.7120649001506,103.2711,86.0092,81.8948,89.875,156.1056,126.5447,127.670675,127.512,273,69,180,11
"ZNF586",0.623959806407406,0.107151095680569,0.0375429860407445,0.999262894666252,0.981369606309421,0.841748242639387,152.022064468864,160.450539130435,140.722848333333,154.053981818182,2.87903110677238,6.15168513314542,4.24093220443423,21.9609705623152,118.232,117.4218,103.481825,101.72045,179.6536,200.3222,166.0556,185.20995,273,69,180,11
"ZNF446",0.240515093946134,9.81975816346514e-05,0.650497315464236,0.996720884864137,0.938430041066119,0.667903748745849,196.195771794872,220.259969565217,235.953159444444,202.352218181818,4.01891771620797,11.7098595487929,9.55465974491659,13.619234217017,151.4651,154.8783,164.89975,176.17455,227.3534,250.4414,267.6158,233.6012,273,69,180,11
"ZNF8",0.998136167901071,0.778747738511515,0.850537086825232,0.999334807861969,0.999968544704145,0.975913371645781,90.7820084249084,92.4599942028986,84.2547472222222,93.4933818181818,4.82681556148349,12.599028785447,2.59550756204512,15.6935206025047,66.1341,56.4717,63.156225,67.08255,104.845,100.0298,99.608425,116.3725,273,69,180,11
"ZNF264",0.495206419083586,0.289489565630632,0.999024393878883,0.486180676052827,0.871166350192844,0.824919757008205,811.325687912088,772.595633333333,776.638276666667,722.024836363636,12.3010625928614,27.3962234599111,14.5709658883323,65.0174919762371,686.2477,635.6404,645.954675,584.42195,945.5738,882.6876,875.3785,854.5124,273,69,180,11
"ZNF213",0.454184550340588,0.00288543073181713,0.768109785785583,0.999989366518522,0.918679794353342,0.682952846883948,356.949591575092,383.893117391304,402.477463888889,355.659181818182,6.6960939509678,23.8795407509703,10.6424587032306,27.8433455848408,284.5304,298.357,304.168175,303.4866,407.4266,424.2632,479.139875,410.7552,273,69,180,11
"ZNF343",0.839394777440331,0.958201849349657,0.669280111163131,0.0515218129504355,0.0290636321382983,0.0812373256263452,289.136943956044,279.290811594203,293.38548,358.462563636364,5.32632744346182,10.7889089907256,6.58730379307793,17.2413244546577,236.5183,213.0388,240.32555,311.54105,328.372,339.2621,346.235325,371.6739,273,69,180,11
"ZNF302",0.665699666294475,0.136292449733646,0.9812798474093,0.999995345564292,0.960222519955177,0.900691602859639,657.691764102564,698.641513043478,713.007556111111,655.764745454546,12.1613017121009,32.036600748719,25.6903519090981,74.8775832306237,541.2844,533.7443,526.6593,430.70885,754.5942,840.2846,798.887325,831.8188,273,69,180,11
"ZNF268",0.284552250845723,0.0251541186539207,0.996072522997648,0.317443758325579,0.812662014759774,0.84342762914795,422.416189377289,390.363488405797,386.136991111111,351.945654545455,8.10166984745498,18.0875396688988,9.47420107542372,37.720434233142,333.8284,289.0154,296.08555,305.40355,492.7298,465.2831,443.226125,419.2798,273,69,180,11
