"gene","p-adj-G2-G1","p-adj-G3-G1","p-adj-G3-G2","p-adj-G4-G1","p-adj-G4-G2","p-adj-G4-G3","p-adj-GX-G1","p-adj-GX-G2","p-adj-GX-G3","p-adj-GX-G4","mean-G1","mean-G2","mean-G3","mean-G4","mean-GX","SEM-G1","SEM-G2","SEM-G3","SEM-G4","SEM-GX","Q1-G1","Q1-G2","Q1-G3","Q1-G4","Q1-GX","Q3-G1","Q3-G2","Q3-G3","Q3-G4","Q3-GX","count-G1","count-G2","count-G3","count-G4","count-GX"
"ZNF446",0.999999998239341,0.9773947842807,0.271895882651735,0.268233575649891,2.59281548153911e-06,0.0018676819457446,0.978099541827602,0.972525368530829,0.92347809652898,0.658799719746043,190.7957375,191.08872287234,209.059243888889,255.500180597015,137.6419,19.0799440769428,4.69084134511941,5.95259737262659,17.4854747353295,NA,160.8983,152.781225,149.367925,172.1973,137.6419,224.776925,217.5051,244.64315,281.68255,137.6419,8,188,180,67,1
"ZNF8",0.995122995392763,0.925462960433254,0.575149531728231,0.963848322452082,0.942173089807494,0.997576858760603,0.966273279684981,0.98200513511779,0.994844975426836,0.992243603376507,100.9736625,91.8152744680851,81.7520883333333,84.7840402985075,55.9437,8.46013541895876,6.82395973002334,2.14119512901753,4.09160627262297,NA,86.4985,67.31955,61.11505,60.7863,55.9437,110.864575,103.000875,98.455175,100.732,55.9437,8,188,180,67,1
"ZNF264",0.707227753296917,0.323232561164779,0.20352233205074,0.169434324064692,0.0653388564502665,0.826471135206594,0.999267576213284,0.999605080513962,0.992987819921728,0.978426841417235,919.029425,829.278834042553,785.658341666667,756.038310447761,869.4047,25.4591334943148,15.3625957398558,13.2234070856018,24.9152851014995,NA,870.24295,701.920275,664.344575,622.1254,869.4047,952.9336,941.036525,901.249425,870.6258,869.4047,8,188,180,67,1
"ZNF213",0.975702621398813,0.99999870898372,0.170167416023907,0.708407727809057,1.64362129904116e-05,0.012663883943652,0.841763477756646,0.906231635975455,0.803245594349348,0.5265616507965,377.165375,350.049317553191,379.389656666667,437.180628358209,239.5016,37.0324338348337,7.94177733543779,9.86153937405501,18.7431547197732,NA,310.341675,279.206075,300.1097,327.96295,239.5016,423.0038,408.486475,426.050275,521.90895,239.5016,8,188,180,67,1
"ZNF343",0.908447925504653,0.792844556721671,0.898389727200353,0.944329863059693,0.999382845137832,0.903817307742707,0.309004564868351,0.424584023653487,0.483093806129413,0.409790020642525,321.5761625,293.941221276596,285.702947222222,296.822328358209,142.132,18.2641806475323,6.34389295267951,6.0420286482471,13.4869581553732,NA,279.50215,236.40185,226.1432,245.3387,142.132,358.690925,341.7168,334.5545,332.44355,142.132,8,188,180,67,1
"ZNF302",0.999771719097436,0.999996480782903,0.994541784169064,0.980358589166221,0.302129588804211,0.480131060349828,0.983772705930706,0.97027530673374,0.976883706205087,0.996643224956425,679.5133,694.770570212766,684.876651111111,629.746619402985,545.4545,57.9860682706446,16.5881702085232,18.8542284832042,27.1494531280365,NA,539.339725,551.695225,547.843075,456.67345,545.4545,800.3838,828.42275,769.6705,766.4467,545.4545,8,188,180,67,1
"ZNF268",0.803505823369373,0.993428001877775,0.125659086052059,0.98548189696479,0.000354587710287846,0.112415750065778,0.799040362358118,0.936165410478524,0.842877708874834,0.650049308611572,383.3674875,433.283257978723,402.382846111111,359.111380597015,531.1491,38.4029432681618,9.58856561488109,9.04892001119571,14.3576138786782,NA,319.8358,359.442725,307.2253,276.78825,531.1491,453.39245,489.581875,464.7636,438.8118,531.1491,8,188,180,67,1
"ZNF184",0.988165821259983,0.999746970514716,0.824348284781266,0.917276463103657,0.00533790209461371,0.0610698886823288,0.944873470315899,0.869248874427528,0.912099241908138,0.98956257389808,246.9407125,263.550618085106,253.146042222222,217.428831343284,172.5888,14.4458402860655,6.33287510577024,7.68602988027094,10.9233763036835,NA,234.93615,205.5802,191.874175,164.9622,172.5888,275.5396,298.9603,285.5603,250.5657,172.5888,8,188,180,67,1
"ZNF500",0.260170583555879,0.186502624032712,0.974994317362792,0.096744538049912,0.62188500126707,0.871196542744319,0.169347294064722,0.474534432507583,0.51470295163443,0.608503977924367,249.682925,207.576980851064,203.954219444444,195.971995522388,112.5981,24.2184951639736,4.4526713694529,4.19858695308407,6.24102499401519,NA,208.2947,166.543575,164.99345,164.6402,112.5981,284.54165,249.123075,242.4871,233.2811,112.5981,8,188,180,67,1
"ZNF419",0.975966920724275,0.881684926127476,0.753454296751718,0.815077118391772,0.665357798004449,0.990620852494674,0.88058631894501,0.935759168172681,0.965188816747369,0.976714041711782,179.4902375,166.613271276596,159.119286666667,155.148714925373,119.5201,14.6673672134647,4.08473289922948,4.31047142356238,9.34823727998978,NA,139.826275,124.420925,120.461675,98.1362,119.5201,214.0549,200.766375,191.78245,191.14945,119.5201,8,188,180,67,1
"ZNF175",0.477031904849847,0.142836911487212,0.128697757368989,0.0357445653525449,0.00713668767836195,0.474368905537031,0.78232760695895,0.971286380705499,0.995651486252817,0.999903790659503,275.751125,236.208443085106,219.707100555556,203.990835820896,194.2778,17.658873093583,4.84014501804667,4.49080013274345,10.4651961773285,NA,246.5348,186.80855,177.981225,154.70285,194.2778,295.76395,274.291575,262.1557,234.31565,194.2778,8,188,180,67,1
"ZNF14",0.98909942467938,0.92219826828351,7.46023480950875e-05,0.120784900076321,0,0.00038185784381084,0.847365814077762,0.722391142135324,0.936872133539295,0.999738912653518,221.26745,231.691288297872,203.313515555556,167.621907462687,156.4375,5.24497892570327,4.62341792052507,4.29793611080746,7.31352849984981,NA,209.333025,184.51965,166.652825,121.31005,156.4375,228.73195,265.96665,234.223975,199.50645,156.4375,8,188,180,67,1
"ZNF85",0.995323626126899,0.999908148422802,0.359914721592493,0.999515361408046,0.994079413542445,0.887847707527916,0.989285895187277,0.967555071200854,0.991157169153485,0.977423805864793,100.209575,105.920418085106,98.1015572222222,103.527431343284,79.3724,8.0671498552496,3.42706903600788,2.71628003752549,4.41008628153719,NA,83.336375,80.98125,76.33795,78.1634,79.3724,107.1443,117.10695,114.081425,122.45665,79.3724,8,188,180,67,1
"ZKSCAN1",0.967592622322478,0.915364026080911,0.954963607810072,0.363792563291814,0.0150996350887312,0.0695485824625715,0.125708125367065,0.0500755003092339,0.0409520091201182,0.0140376053452108,881.1909875,797.854120744681,771.466338333333,637.487579104478,1781.2644,120.253633879371,26.8277492777841,27.4561704631251,36.5498750796303,NA,637.1418,510.51955,508.918925,430.34435,1781.2644,1059.5096,1029.90475,999.2941,803.1905,1781.2644,8,188,180,67,1
"ZNF862",0.865968052071567,0.945491912250747,0.932210967692523,0.965216375692189,0.944906719734897,0.999833277781535,0.99660696345228,0.999999927873022,0.999971065384141,0.999936923012964,644.010125,545.204306914894,568.432660555556,575.056392537313,538.5325,60.6471534307457,17.8906367625376,20.8319293560011,45.3214910657323,NA,521.0492,384.406825,370.569225,362.85395,538.5325,761.823475,659.8441,684.402125,667.6641,538.5325,8,188,180,67,1
"ZNF684",0.999981103168974,0.903175444628145,0.006806805516685,0.302090455697046,1.64013153858278e-06,0.0400235299140717,0.955030303248043,0.935894182248894,0.992932179596862,0.999999890455539,91.9510125,93.2528223404255,79.91345,64.6839507462687,63.6825,11.4575913295421,3.38893346919201,2.33974749387308,2.91899610132558,NA,65.398425,65.619525,56.465275,47.6659,63.6825,106.74175,102.65245,94.80555,78.2223,63.6825,8,188,180,67,1
"ZNF430",0.999313239019179,0.859385101443232,0.0690453153689954,0.861672512098604,0.271020268739153,0.999992907152561,0.999996640427891,0.99999996817452,0.99842161584593,0.998215568402764,112.391075,109.0741,98.4456138888889,98.028876119403,109.8293,10.8448541498582,3.08955161715285,2.46671589399778,5.37458732733754,NA,99.02085,82.1648,75.302525,67.1006,109.8293,123.75965,135.5344,122.802875,117.23575,109.8293,8,188,180,67,1
"ZFP30",0.997584122910561,0.675726826239971,0.00522807470769326,0.13862517167144,1.91679989680615e-06,0.0506959769103766,0.713321292188557,0.739544388128702,0.911342147505122,0.990193232103537,219.4853625,211.183405851064,185.604578888889,157.916095522388,124.5962,11.1711439569758,6.07541930926136,4.60664603684964,6.89151879639593,NA,196.71495,155.9695,151.2807,125.5229,124.5962,250.704925,266.6608,219.778575,186.8924,124.5962,8,188,180,67,1
"ZNF549",0.976380313511747,0.566656336798699,0.0158432723962217,0.11422675422048,1.78244673411099e-05,0.0861121504947374,0.99931756521243,0.999999603156726,0.998466231181754,0.967099949859266,198.423625,182.663709574468,158.542632222222,131.810747761194,179.9723,9.68327052471998,5.59472609009207,5.23617650244179,9.57795530309656,NA,171.911475,129.9495,99.341425,68.4152,179.9723,208.23225,240.166125,213.025975,175.52945,179.9723,8,188,180,67,1
"ZNF211",0.999781635375367,0.956962403929735,0.371636354829158,0.939236222786173,0.514350856786502,0.999134935829357,0.737344755058412,0.733078030594297,0.834988038320319,0.853939236558197,243.7476875,237.64620212766,219.630865,216.205786567164,119.5201,14.5831480368908,6.82350221846602,6.39956331060132,15.4150414505557,NA,214.374425,173.179875,159.3342,127.9635,119.5201,266.5747,288.05395,273.7776,256.42435,119.5201,8,188,180,67,1
"ZNF205",0.965345032630533,0.997010227404974,0.81486591407527,0.998681662691378,0.883520832866759,0.999915903460709,0.707361429562952,0.800588401546585,0.737471438619089,0.729125426826703,387.1963125,348.720587765957,367.065469444444,370.293320895522,167.868,55.3458674005387,11.6307312347402,11.7230756082244,22.3562741566124,NA,334.0374,254.934325,266.11175,251.4589,167.868,404.171325,390.65855,432.357575,437.5699,167.868,8,188,180,67,1
"ZNF45",0.994574783238875,0.644571472940818,0.00714461595450089,0.101679482375216,8.23888586909405e-07,0.0266042482917926,0.999615341713752,0.996414685211786,0.954024841257135,0.791602513542311,320.3501875,309.301034042553,282.391690555556,249.987805970149,336.8713,20.7405601599037,5.86467187685839,5.43720474668628,9.26818957297175,NA,283.46245,246.2388,227.148875,203.1179,336.8713,362.655425,369.27285,330.932975,295.98425,336.8713,8,188,180,67,1
"ZNF133",0.988570339172504,0.999955279131323,0.707513709218031,0.999999782399356,0.680817342580212,0.995512053813248,0.690905004529147,0.750961632238672,0.670675166832713,0.640161229157027,296.865125,275.398992021277,291.629290555556,298.294529850746,128.288,31.0303477666666,7.45436245639065,9.43835963496256,19.4719504041737,NA,231.869,209.5982,211.340925,193.19295,128.288,365.2474,317.996725,331.72675,329.5176,128.288,8,188,180,67,1
"ZNF436",0.99982505103977,0.999976026318915,0.885274705821457,0.999999999976255,0.993745927630785,0.998922962966257,0.999984739578244,0.999866863852905,0.999997198192545,0.999980309360607,551.43615,565.781477659574,542.718281666667,551.720541791045,528.5833,64.9569890445346,15.7273407567773,20.1795542623118,25.1066842021367,NA,383.22745,413.5908,391.914175,403.84975,528.5833,685.2778,673.945875,636.569575,662.1114,528.5833,8,188,180,67,1
"ZNF484",0.551390492719775,0.110380538881298,0.0149292228333073,0.0131220912323816,7.14953943725671e-05,0.175426491318215,0.376896131843269,0.657497833126018,0.843241146423412,0.954977453686846,125.69285,107.595597340426,96.7440683333333,86.2667626865672,62.7596,8.75597118848454,2.67366111177992,2.14436782381625,4.12161237881845,NA,119.03225,81.36575,75.8406,62.68735,62.7596,131.139425,130.61235,115.35085,106.85215,62.7596,8,188,180,67,1
"ZNF780B",0.741375419707458,0.343814637017577,0.177328824049701,0.0700356034108029,0.00168701350366873,0.203661555976154,0.554769377605053,0.773060844870699,0.884455270585459,0.971365659267425,360.7185875,303.379973404255,273.287516111111,233.25883880597,151.3613,42.4562964885381,10.5091012480671,8.96721288844998,14.2701829435228,NA,266.1997,199.21725,190.8636,154.3594,151.3613,446.0639,382.076025,342.530475,290.16665,151.3613,8,188,180,67,1
"ZNF557",0.899455491269936,0.459091033667428,0.0608844028413978,0.282731725128772,0.0307657680529999,0.875679833006341,0.159691079097694,0.234858143919013,0.378947440987496,0.466733929666229,185.1700875,169.27475,155.569467777778,148.8427,66.9128,15.5681589513367,3.76864891918343,3.68610156773365,5.13837794303583,NA,146.5079,137.4565,123.47805,119.545,66.9128,227.78165,202.4282,185.3365,179.33405,66.9128,8,188,180,67,1
"ZNF337",0.955737975223741,0.981583841966042,0.985423053831064,0.999999999919647,0.377593918763139,0.623716315047495,0.95758443696592,0.988997801058791,0.983601670396335,0.948710568730916,718.38225,625.269454787234,645.128591666667,718.977108955224,448.0618,90.8453839241256,22.6785627208368,27.241411601858,61.318072244667,NA,473.41315,393.875075,373.141175,375.18515,448.0618,839.4667,771.0547,826.931925,891.15325,448.0618,8,188,180,67,1
"ZNF317",0.939196550255869,0.948641476171536,0.99994748489758,0.785827988910505,0.8360837194354,0.793247522165949,0.999999752572194,0.997958435448583,0.998269527138157,0.991008154933353,733.0524375,701.328126595745,702.798277222222,684.4141,736.9635,39.7849103337377,7.58001730603351,8.64977551037414,16.5014999599897,NA,663.557275,643.946625,635.471825,599.87715,736.9635,761.376325,761.83035,769.0628,769.2721,736.9635,8,188,180,67,1
"ZNF426",0.577158552610688,0.104004321590219,0.0071562873090133,0.00767251530903335,5.87586268618878e-06,0.0759490466365073,0.996964322389269,0.898027130081877,0.723314560546191,0.492826632435094,156.9127375,125.265338829787,104.394288888889,82.5034805970149,178.5879,20.908087897962,4.80608977664482,4.12569445870995,5.99400430154719,NA,136.871475,74.796,61.2046,45.0246,178.5879,186.2556,169.489,137.6678,101.6813,178.5879,8,188,180,67,1
"ZNF331",0.99252653994779,0.999066962111927,0.119915275430862,0.986889296269387,0.109030124364573,0.961659810302325,0.999999999596594,0.99983915825884,0.999988153449218,0.999761788959461,504.4589125,558.844412234043,472.567598888889,439.110556716418,502.0766,50.7625372861383,34.5542760136775,14.9562156086749,27.2162692041052,NA,443.8164,373.87745,343.8034,297.0346,502.0766,585.404375,589.0551,561.8648,493.0498,502.0766,8,188,180,67,1
"ZNF227",0.936792690616009,0.678542403766432,0.328954258700923,0.340494878665544,0.0304194657979588,0.544522800600485,0.508038311566296,0.63050481669568,0.751239313123019,0.865260611586341,323.1342,303.439548404255,289.688187777778,274.3564,205.3207,12.9782725818687,5.10819647084579,5.31612529639603,8.50092570316907,NA,299.765725,250.578675,242.692025,219.5317,205.3207,339.599675,351.3194,329.11355,325.00705,205.3207,8,188,180,67,1
"ZNF141",0.941213268789479,0.877504543494165,0.966774601214992,0.772627891371203,0.794425496314599,0.967801905378018,0.922956364814151,0.975362617416847,0.984205923926471,0.992442502437456,108.0236875,96.9779425531915,94.2609216666667,90.5644253731343,72.9119,13.9294365373483,2.89584994700893,2.81625314299068,5.75032581447012,NA,80.5053,68.819575,66.052475,58.55665,72.9119,125.48505,116.411975,118.015675,100.4742,72.9119,8,188,180,67,1
"ZNF304",0.819846899412007,0.172912066194215,0.000746158418006182,0.00704037580505013,1.63637340344636e-08,0.0119557415077025,0.998103451855245,0.999996292858673,0.989311931601749,0.883842485268706,430.09105,388.117087765957,343.113742222222,293.224034328358,395.0162,8.07206684561024,8.70884481829106,7.52097297034791,12.1478665826523,NA,416.745725,311.4584,265.095225,223.59205,395.0162,445.2326,463.6365,417.46705,354.6655,395.0162,8,188,180,67,1
"ZNF132",0.473366004971988,0.129895797530795,0.0955060374569411,0.00416545167125892,4.43719750609084e-06,0.00973869402792849,0.738235637292851,0.95570223093839,0.991893077757771,0.999999926669981,120.894075,96.2664095744681,85.4716366666667,65.9135582089552,66.9128,20.9130155161099,3.18184281457926,3.07612966517346,4.13117262692576,NA,71.7982,61.523425,56.20195,40.90185,66.9128,175.412225,129.555025,105.5335,87.0349,66.9128,8,188,180,67,1
"ZNF20",0.866794294473768,0.990454652781277,0.395977286251325,0.939825941474694,8.93528166048263e-05,0.0137154683768285,0.992629039631198,0.927678793357276,0.970876473472704,0.999805198264213,111.7335,121.466179787234,116.374393333333,103.789008955224,99.0032,8.80057974949053,2.10841835509726,2.03835570703039,3.07451789477554,NA,102.0808,100.32755,101.07485,85.6777,99.0032,127.028,137.2194,129.9193,118.04665,99.0032,8,188,180,67,1
"ZNF670",0.992527616634865,0.870316314812814,1.66583783562935e-05,0.481570539209628,1.21476506520501e-06,0.368419015043172,0.368632908415814,0.399197145015165,0.158942363173099,0.0902192607190497,55.7753125,58.8003611702128,49.0551883333333,44.0646134328358,92.755,6.73319052083031,1.58864348220533,1.22464054075842,2.2891198852753,NA,43.6992,44.6518,38.84995,31.388,92.755,60.43715,69.062575,57.672525,53.45205,92.755,8,188,180,67,1
"ZFP37",0.995021610896966,0.628839904732589,0.00479550537669549,0.0819208716703583,2.09349333646358e-07,0.0158443665250192,0.894351362187454,0.925044479722424,0.991154450059173,0.99999999912236,113.0706,106.827972340426,90.7500144444444,70.9551298507463,70.6045,10.4762460460388,3.44381214824453,3.19175863334544,4.87298663845369,NA,100.48445,79.0784,62.777775,44.98515,70.6045,128.84665,133.940925,117.147325,98.61845,70.6045,8,188,180,67,1
"ZNF189",0.887530425668326,0.347822744025163,0.0126967182410012,0.0235073757197467,4.89297053984927e-07,0.0133272666551519,0.675567693759026,0.822230024168525,0.947924237511455,0.998648262860604,1898.2586875,1549.18884414894,1199.84213444444,722.678486567164,427.3189,197.552295832539,90.7017048198297,74.3750823056218,49.9905613103687,NA,1643.707475,828.948575,636.432825,455.24805,427.3189,2197.691925,1764.268775,1356.132425,796.50495,427.3189,8,188,180,67,1
"ZNF434",0.686057737621876,0.572100747886612,0.97199153683314,0.461117171530386,0.836940294380253,0.977676048484563,0.955582187152239,0.742306213431813,0.703759880281649,0.655754645134277,244.2426,270.60414893617,274.207770555556,278.856759701493,202.5842,13.85539887906,4.30308170337745,4.05922414487531,6.2829243122844,NA,220.472275,236.9474,234.8611,244.6465,202.5842,266.615225,298.49785,304.141,311.13895,202.5842,8,188,180,67,1
"ZNF287",0.983466601384146,0.999981481196193,0.186142017478174,0.894098533255576,0.00188696662810761,0.208724543032599,0.925704173953405,0.96278734526946,0.897864036281173,0.753824084458077,122.80865,130.34037287234,121.473631111111,109.621311940299,156.4375,6.64606556717689,2.98437057913738,2.8505616279284,4.39895932097538,NA,115.0239,109.557125,97.0497,81.60055,156.4375,125.629,149.65775,141.71745,136.29105,156.4375,8,188,180,67,1
"ZIM3",0.989080860249999,0.954010510913839,0.931073318817759,0.990087400351694,0.999999994746912,0.979432678177947,1,0.999798471041818,0.999050760867034,0.999794185212077,0,0.04365,0.0645816666666667,0.0440910447761194,0,0,0.0138498957299531,0.0246401754227408,0.0181593400631816,NA,0,0,0,0,0,0,0,0,0,0,8,188,180,67,1
"ZFP14",0.963449452529913,0.611815843798505,0.0666544452055942,0.145363756943768,0.000152280474391975,0.110457044420682,0.235660324961369,0.29345937502112,0.450831323389665,0.677502920075805,277.5128,258.974437765957,237.836658888889,211.089186567164,108.4449,24.1462049615462,6.26754080117988,5.03597334453118,9.21967981516719,NA,213.86645,200.371925,193.665725,161.76395,108.4449,336.409475,301.338875,281.277875,260.42095,108.4449,8,188,180,67,1
"ZNF473",0.9999999998798,0.835819888524617,0.00333678931380854,0.485297403139278,0.00025530379858707,0.495223804039617,0.999758889682807,0.999709243774542,0.999744489774608,0.994007018598283,243.9473375,243.849079787234,222.578262777778,209.540825373134,233.0411,21.2279762740447,3.98815452152997,4.45160397381784,6.5925529527741,NA,193.202275,206.25955,185.53505,167.4119,233.0411,280.72235,272.59775,249.899125,238.4556,233.0411,8,188,180,67,1
"ZNF614",0.869741002108659,0.989766739462589,8.78453302521898e-06,0.981454762933559,0.00101016619741512,0.999082654303139,0.99819471651881,0.999999835308435,0.988328481406157,0.984992987315661,319.5649875,375.219935638298,292.344773888889,286.553671641791,370.5584,18.7836062160164,13.0974251625403,9.05401053737817,23.5902366622792,NA,279.489275,286.293925,214.2431,165.53135,370.5584,344.4806,427.37235,358.1688,348.3524,370.5584,8,188,180,67,1
"POGK",0.999817573543641,0.999980354924803,0.8896177061218,0.999793189184564,0.999999821841101,0.956635006368531,0,0,0,0,1245.4992875,1262.33663244681,1235.86701333333,1263.50597761194,3805.7222,83.2050155420514,19.2627590515485,20.4315705946596,38.7027736134266,NA,1124.39345,1100.71055,1065.646775,1049.69775,3805.7222,1231.83455,1433.740525,1373.655275,1420.8624,3805.7222,8,188,180,67,1
"ZNF514",0.659476920238746,0.521015652657406,0.945727832283936,0.450112508430977,0.865018845958101,0.992883219859394,0.904015866566048,0.991857801048455,0.996100401498245,0.998118782391667,356.4787125,282.870046808511,271.143513333333,261.861071641791,215.5053,54.0066296637784,11.5987073924638,10.2843659658447,19.6202727419569,NA,212.138525,166.2847,168.674325,144.4169,215.5053,485.498425,358.510475,358.4956,329.18505,215.5053,8,188,180,67,1
"ZNF300",0.999693322165377,0.999873559394129,0.999929994284076,0.999970170796012,0.99959398092647,0.999968455162508,0.985800443414526,0.989485633635547,0.988289818378557,0.987057122231243,146.9696125,139.436775531915,140.937445555556,142.623623880597,87.6788,19.2603371414495,7.13788205187987,8.1744498072019,16.454153617001,NA,105.8973,70.5557,72.585825,54.5795,87.6788,172.481875,177.57565,170.023625,183.1326,87.6788,8,188,180,67,1
"RBAK",0.999298865408943,0.998256225509242,0.342410600641431,0.979055859634935,0.219346306123116,0.94682549511431,0.664296701919721,0.669148632261207,0.544473466257322,0.481126574795335,547.257975,563.371995744681,526.924810555556,506.974986567164,815.413,53.1983075622871,15.6861790878658,12.1952495384028,21.0097725654847,NA,457.3263,432.33725,424.144725,390.23835,815.413,593.48125,649.729875,610.09345,553.47285,815.413,8,188,180,67,1
