"gene","p-adj-G2-G1","p-adj-G3-G1","p-adj-G3-G2","p-adj-G4-G1","p-adj-G4-G2","p-adj-G4-G3","p-adj-GX-G1","p-adj-GX-G2","p-adj-GX-G3","p-adj-GX-G4","mean-G1","mean-G2","mean-G3","mean-G4","mean-GX","SEM-G1","SEM-G2","SEM-G3","SEM-G4","SEM-GX","Q1-G1","Q1-G2","Q1-G3","Q1-G4","Q1-GX","Q3-G1","Q3-G2","Q3-G3","Q3-G4","Q3-GX","count-G1","count-G2","count-G3","count-G4","count-GX"
"ZNF195",0.643201800429821,0.320808744084273,0.371387606375638,0.46905035259759,0.91984260618007,0.988589538990549,0.982729055397307,0.999991123764782,0.999968364769595,0.99999946690648,317.655675,379.593655851064,403.070737222222,394.39252238806,389.4785,26.8031385122736,8.2160069204254,9.78029586487382,17.3223981865859,NA,285.31165,308.1248,317.272025,298.0038,389.4785,338.13335,426.66125,452.8664,453.07955,389.4785,8,188,180,67,1
"ZNF263",0.998358100762047,0.900841277352144,0.238717072803972,0.853338348877737,0.322337137928699,0.995559090004619,0.773403847929428,0.79463381449312,0.893811901767562,0.914752429460889,679.4093,663.214550531915,630.453325,622.164249253731,491.7259,28.4016364839121,13.8006514262181,8.92902277737464,14.1283018216802,NA,636.656,565.00645,552.80495,546.05815,491.7259,714.4259,722.848925,704.887975,691.6143,491.7259,8,188,180,67,1
"ZNF200",0.663472485542095,0.685817708670154,0.999954602013325,0.590647310655309,0.993428177603604,0.986842430696148,0.98549692349736,0.999996110464104,0.99999214545738,0.999999999899481,175.5825125,193.306860106383,192.853537222222,195.493540298507,195.6622,10.1485866541926,2.60948346490558,2.40217437175514,5.90800737739643,NA,150.133275,168.7756,172.77925,156.68315,195.6622,191.523075,212.896625,209.58765,223.69575,195.6622,8,188,180,67,1
"ZNF582",0.998835632579931,0.703691913209173,0.00462279740015925,0.418903593883215,0.00125630428349177,0.703608365424133,0.330953562281674,0.32468425282845,0.546864785443895,0.668916275715802,37.008725,35.5827659574468,30.2359133333333,27.5530880597015,7.8449,3.61494509895823,1.14837341406894,1.0013602209316,1.82577672614898,NA,30.410525,23.450225,19.66845,17.83895,7.8449,38.96285,46.544975,39.03015,32.07985,7.8449,8,188,180,67,1
"ZNF285",0.999103939158715,0.959246424668524,0.558668549746331,0.809206699364334,0.167730637919231,0.792118228002834,0.988265954132018,0.993019079640839,0.998817546996614,0.999967552416005,50.8506,48.1657271276596,43.5354783333333,38.7817119402985,35.533,11.2581340477674,2.27711925360662,2.18279816863418,2.9449112444943,NA,34.8467,22.929675,20.932675,20.1014,35.533,49.916775,65.6835,58.052425,54.1461,35.533,8,188,180,67,1
"ZNF275",0.995454558357693,0.999945961332788,0.899457692589616,0.99585722804483,0.999999996296157,0.96433639818739,0.36951496054849,0.388845197517185,0.335799675281312,0.394796510975224,584.9687,615.955911170213,595.054557777778,616.316632835821,1015.6899,29.92787804296,19.4553124050485,15.1662297661369,17.4706115972056,NA,525.669325,492.7238,481.603375,508.7815,1015.6899,632.72445,697.829875,658.457925,716.77705,1015.6899,8,188,180,67,1
"ZNF37A",0.783309723861227,0.442962259922596,0.32549088438853,0.615542977053928,0.921139355304874,0.981914932522763,0.871135192354128,0.973787786364426,0.993958330287393,0.988454857074793,641.463925,559.860180851064,520.942954444444,536.503144776119,439.317,61.4906585050403,14.681762148764,13.39095729052,28.4996488242089,NA,495.797375,443.591025,387.26975,395.38775,439.317,800.483475,674.7566,634.535925,655.0198,439.317,8,188,180,67,1
"ZNF510",0.996714212473631,0.686598206081049,0.00880025692902697,0.132844408070099,2.09783022930843e-06,0.0391511421731717,0.554825108877333,0.580327430606165,0.791290929601672,0.951434302926582,320.4978375,308.90240106383,277.344412777778,240.38341641791,173.9732,17.1774046355955,7.52678878920687,5.78517830770441,11.406249045671,NA,295.876125,239.884925,223.5358,166.8723,173.9732,341.496475,367.875275,334.47545,302.1173,173.9732,8,188,180,67,1
"ZNF506",0.999664347300917,0.978832781267479,0.0602016760927475,0.831895775581592,0.0105246600502336,0.694355533074826,0.737579741508585,0.650219773038873,0.812946328921038,0.897366778963249,425.0213,432.930559042553,401.947678888889,381.319002985075,280.5722,20.4535709341128,8.85898970392852,7.09998630537309,15.2681606044242,NA,399.409125,348.15075,335.157675,292.48525,280.5722,468.85495,490.431525,463.73035,432.3277,280.5722,8,188,180,67,1
"ZNF324",0.996937317495919,0.629706798944476,0.00274822657190799,0.606299296991552,0.0325730940352561,0.999488154502098,0.523033625484941,0.545137924939778,0.780715133856049,0.800376840222603,155.2852625,151.48099893617,139.880383888889,138.92412238806,104.7531,6.52296286691807,2.46933147707142,2.03017393656009,3.65679408711294,NA,147.625525,134.93045,122.79195,115.2474,104.7531,162.91085,171.38105,153.353,157.8652,104.7531,8,188,180,67,1
"ZNF671",0.510635104673909,0.12929696149215,0.0562770183231696,0.00445440247726303,2.71246352301358e-06,0.0116450132159789,0.751103281870555,0.956230602450425,0.99344689788267,0.99999941781462,325.0171,265.604245212766,236.340751666667,188.236046268657,192.4319,36.5488544830898,7.86733765020873,7.6262331489018,11.9810990832293,NA,261.63585,184.9426,149.767,109.77235,192.4319,395.599025,347.685425,312.516275,251.2534,192.4319,8,188,180,67,1
"ZNF416",0.771564420117017,0.995449758443425,1.36033406406e-06,0.480287693488287,0,0.00953581952581894,0.960538010682587,0.998211639242028,0.911954843791776,0.678119070050912,116.648975,130.410291489362,112.124801666667,96.7163925373134,140.2861,4.39579910156723,2.50569132638139,2.38823533646326,3.82745213554446,NA,109.046925,105.2028,89.753775,72.764,140.2861,127.331875,155.927525,134.129425,119.4704,140.2861,8,188,180,67,1
"ZNF586",0.999947001095805,0.983484644725916,0.607762172727585,0.762652194916539,0.0435885552850258,0.4164380958809,0.920653875771089,0.919498416487089,0.959357755418678,0.992375642950004,153.012725,150.896234574468,143.825183333333,132.094423880597,111.2137,15.9414148946872,3.42912615778377,3.46533207551321,6.21420121967841,NA,120.0918,116.870325,107.567425,92.37795,111.2137,174.8,182.5224,172.493525,163.4058,111.2137,8,188,180,67,1
