"Gene.ID","tumor"
"RP11-15K19.2","KIPAN"
"AC003682.1","KIPAN"
"AC005324.8-001.1","KIPAN"
"RP4-734P14.4","KIPAN"
"CTD-2140B24.4","KIPAN"
"CTD-2006C1.10","KIPAN"
"ZNF625.1","KIPAN"
"ZIM2.1","KIPAN"
"AC078899.2","KIPAN"
"AC002310.13","KIPAN"
"AC002310.11.1","KIPAN"
"SSX2B","KICH"
"ZNF852","KICH"
"ZNF816","KICH"
"ZNF730","KICH"
"ZNF724P","KICH"
"ZNF729","KICH"
"CTD-2192J16.17.1","KICH"
"SSX4B","KICH"
"SSX9","KICH"
"ZNF783","KICH"
"AC010487.1","KICH"
"ZNF726","KICH"
"ZNF891","KICH"
"ZNF705B","KICH"
"ZNF705G","KICH"
"RP11-1396O13.13.1","KICH"
"ZNF321P","KICH"
"ZNF812","KICH"
"ZNF736","KICH"
"KRBOX1","KICH"
"ZNF487P","KICH"
"RP11-15K19.2","KICH"
"AC003682.1","KICH"
"AC005324.8-001.1","KICH"
"RP4-734P14.4","KICH"
"CTD-2140B24.4","KICH"
"CTD-2006C1.10","KICH"
"ZNF625.1","KICH"
"ZIM2.1","KICH"
"AC078899.2","KICH"
"AC002310.13","KICH"
"AC002310.11.1","KICH"
"SSX2B","HNSC"
"ZNF852","HNSC"
"ZNF816","HNSC"
"ZNF730","HNSC"
"ZNF724P","HNSC"
"ZNF729","HNSC"
"CTD-2192J16.17.1","HNSC"
"SSX4B","HNSC"
"SSX9","HNSC"
"ZNF783","HNSC"
"AC010487.1","HNSC"
"ZNF726","HNSC"
"ZNF891","HNSC"
"ZNF705B","HNSC"
"ZNF705G","HNSC"
"RP11-1396O13.13.1","HNSC"
"ZNF321P","HNSC"
"ZNF812","HNSC"
"ZNF736","HNSC"
"KRBOX1","HNSC"
"ZNF487P","HNSC"
"RP11-15K19.2","HNSC"
"AC003682.1","HNSC"
"AC005324.8-001.1","HNSC"
"RP4-734P14.4","HNSC"
"CTD-2140B24.4","HNSC"
"CTD-2006C1.10","HNSC"
"ZNF625.1","HNSC"
"ZIM2.1","HNSC"
"AC078899.2","HNSC"
"AC002310.13","HNSC"
"AC002310.11.1","HNSC"
"SSX2B","ESCA"
"ZNF852","ESCA"
"ZNF816","ESCA"
"ZNF730","ESCA"
"ZNF724P","ESCA"
"ZNF729","ESCA"
"CTD-2192J16.17.1","ESCA"
"SSX4B","ESCA"
"SSX9","ESCA"
"ZNF783","ESCA"
"AC010487.1","ESCA"
"ZNF726","ESCA"
"ZNF891","ESCA"
"ZNF705B","ESCA"
"ZNF705G","ESCA"
"RP11-1396O13.13.1","ESCA"
"ZNF321P","ESCA"
"ZNF812","ESCA"
"ZNF736","ESCA"
"KRBOX1","ESCA"
"ZNF487P","ESCA"
"RP11-15K19.2","ESCA"
"AC003682.1","ESCA"
"AC005324.8-001.1","ESCA"
"RP4-734P14.4","ESCA"
"CTD-2140B24.4","ESCA"
"CTD-2006C1.10","ESCA"
"ZNF625.1","ESCA"
"ZIM2.1","ESCA"
"AC078899.2","ESCA"
"AC002310.13","ESCA"
"AC002310.11.1","ESCA"
"SSX2B","CHOL"
