"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","p-adj-5-1","p-adj-5-2","p-adj-5-3","p-adj-5-4","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5","count-1","count-2","count-3","count-4","count-5"
"ZNF195",0.250911317886307,6.86332497974451e-05,0.250742688621192,0.0540630454989313,0.997816440193666,0.298899205772267,0.978713672762941,0.118782741980222,2.82296259377368e-05,0.021039660909641,305.684176119403,326.674073913043,349.693682142857,330.071962962963,300.318150526316,6.85082708440578,6.34044490534891,6.70090771183078,6.60275181796586,7.54630127659087,258.298125,297.4538,309.7847,291.9231,259.653,347.5516,359.5402,386.6621,369.498175,340.4148,134,69,84,108,95
"ZNF263",0.453033642649016,0.848094257490356,0.965905522185193,0.00966013115995412,0.780476736561332,0.294046489875835,0.556706920835305,0.998551895771443,0.99416687145198,0.511554330519646,704.502904477612,675.718034782609,688.067270238095,655.137650925926,680.962322105263,13.835940736543,9.53741033391113,9.94068313874954,8.13375727876116,11.8978904672903,603.4824,625.4813,635.7836,602.08535,619.3211,762.4575,722.7321,723.45615,701.24755,703.1804,134,69,84,108,95
"ZNF200",1.76853602207316e-07,0.974014619477432,3.25375636672787e-05,0.885182594960691,7.21665949221517e-09,0.62339756560939,0.0496619890541149,0.020747856384877,0.323793089636673,0.00515044629873773,155.92388358209,181.444024637681,158.462145238095,152.308473148148,166.973928421053,2.45295823207249,3.37070861573032,2.8021074450622,3.154083707085,3.47864259233038,139.602275,161.9433,145.1583,131.22485,144.1634,174.3475,195.4373,170.8157,171.648875,191.46725,134,69,84,108,95
"ZNF582",0.990931182446197,0.569364490084537,0.438578906529945,1.25137811224363e-09,4.69830385707581e-08,0.000114474187706604,0.259601757502124,0.703151806387082,0.0130789876382758,6.95540292028340e-11,96.6873179104478,97.941068115942,92.8551285714286,80.9515092592593,101.684841052632,1.91577830983813,1.91211924251215,1.91664715168835,1.68328833119551,1.66268681488855,82.367675,88.1987,82.412725,68.599825,91.804,108.697425,105.5901,102.26425,92.055575,111.8288,134,69,84,108,95
"ZNF285",0.997147564243896,0.280679952323998,0.6402600666061,7.01709725881017e-08,4.82309689525673e-05,0.00767347574488042,0.620486248206307,0.553406587122756,0.0175373170549947,4.53570514480361e-10,93.820676119403,92.4770463768116,86.4786773809524,73.4399935185185,98.8824642105263,2.80827309521593,3.11706066322368,2.53304432493125,1.94807708454606,2.83863493654346,71.5245,68.8689,70.503,60.5864,80.5353,109.531975,110.8772,99.221925,87.009575,113.71565,134,69,84,108,95
"ZNF275",1.94824234522883e-08,7.82198750215457e-11,0.954038250236011,6.94619917140926e-11,0.851118053649562,0.998735636244028,7.09324821102086e-11,0.952897982254382,0.999999987906795,0.998208333662347,902.622854477612,487.836788405797,435.013517857143,416.678862962963,436.053946315789,73.748526608949,12.0237491111771,10.7958846094981,11.8131177712487,12.8525955431989,520.447,414.2352,372.4089,349.0126,363.31895,916.8265,528.6497,475.5478,469.544825,499.63965,134,69,84,108,95
"ZNF37A",0.849084857280663,0.596161809688491,0.194621217775141,7.61317220820956e-07,4.56278198890381e-07,0.00518457331243871,0.000582367166495179,0.000142059397651328,0.154701854228483,0.772798509826962,474.438881343284,494.613014492754,447.351619047619,379.617936111111,401.579723157895,13.9826695440629,15.7466414684193,12.6797036037257,12.0853496265716,12.0361780623506,373.58815,414.598,369.53325,297.44115,332.6532,549.778775,545.0174,512.061725,449.652375,483.17005,134,69,84,108,95
"ZNF510",0.999275212121708,0.403461604409386,0.702401234814796,5.72756877037506e-07,0.000132112839710041,0.01171420605091,0.0914866055779793,0.319298968726462,0.972766530746028,0.0583091175810255,273.191578358209,270.682256521739,255.933346428571,222.718476851852,249.416568421053,6.70555745705415,7.8093348293822,7.00403494801075,5.84507026577002,8.24520561865146,224.94475,230.6338,213.628775,187.897325,195.3556,330.7957,310.6367,297.951875,261.278025,309.3262,134,69,84,108,95
"ZNF506",0.162375027454966,7.65663730433186e-05,0.36561042334506,6.94333479600573e-11,8.06775646289282e-10,6.8772258694505e-06,0.0843306668187275,0.999999378084199,0.304468194832214,8.56754667211135e-11,633.158763432836,597.609653623188,566.19175,488.274285185185,596.924547368421,12.9147836630778,10.07590774093,8.45872025942299,8.73580650984956,8.67031753124571,531.563025,545.1714,508.44295,430.905,548.7751,723.600375,647.0372,619.8354,533.37605,651.1446,134,69,84,108,95
"ZNF324",0.00251903655733288,0.0189580574674559,0.953632696215242,9.09141206761888e-10,0.245630649659539,0.0263702242454263,0.380121588889551,0.309808166085489,0.721109326978982,0.000131082289644424,242.694276865672,219.25541884058,224.248675,205.65122962963,232.333256842105,5.22331582397825,3.46001430055358,3.63089819694959,3.54171867686012,3.71535977729215,203.577775,198.2075,200.757675,182.203075,210.78775,277.56475,244.063,242.25765,228.415575,249.8702,134,69,84,108,95
