"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","mean-1","mean-2","mean-3","mean-4","SEM-1","SEM-2","SEM-3","SEM-4","Q1-1","Q1-2","Q1-3","Q1-4","Q3-1","Q3-2","Q3-3","Q3-4","count-1","count-2","count-3","count-4"
"ZNF195",0.416741722722143,0.0179555990396808,0.76866263994502,0.0051183091538558,0.990366384245437,0.72927748334535,298.074893043478,319.952246875,336.196695121951,323.954536624204,5.33004949874831,17.8466789191639,13.2759065221055,3.97360006642043,257.40925,253.476325,289.2964,284.566975,331.43945,382.021125,369.4952,361.45595,115,32,41,314
"ZNF263",0.0824322337002406,0.626628156865833,0.0179019869094975,0.999992968777129,0.0542262702692412,0.542305032974076,679.865111304348,735.098940625,654.494231707317,680.206196496815,13.4534542915216,26.8145891965101,15.0142215517174,5.76249618994395,591.14975,636.568175,596.6415,619.880275,727.04345,769.86945,688.6218,718.9829,115,32,41,314
"ZNF200",0.756002451240915,0.0637883157099449,0.703662226943626,0.833591637446703,0.941169591174161,0.134165127960464,157.530634782609,163.70635,171.647595121951,160.404464649682,2.65724906588841,5.70598881875155,5.90956097954517,1.75972360425989,141.9773,142.090525,157.1429,139.98035,173.41725,188.57755,193.6306,183.887,115,32,41,314
"ZNF582",0.732217533277072,0.00158573884448809,0.00139301863730823,0.615323157389034,0.262941075561173,0.00770857675443337,95.7188652173913,99.75850625,82.6483707317073,93.1112257961783,1.84030818994709,5.02908577379029,2.97983921361794,1.0477951763879,83.35085,80.69595,73.8355,80.497675,104.3525,117.294725,95.3704,104.87845,115,32,41,314
"ZNF285",0.00653494071203453,0.0388908852414184,1.12539033254588e-05,0.640043149754192,0.0258300501251516,0.00136200771754591,86.0947226086956,104.04326875,72.7048853658537,89.6374044585987,2.40432617469469,7.73304433158004,3.93780827363358,1.4878137883762,66.4685,75.370075,58.078,72.2952,103.2306,113.634,82.1813,102.7578,115,32,41,314
"ZNF275",0.393357577159008,1.63128997388018e-05,0.0943146444250174,1.2420309225547e-10,0.00256381553035689,0.917453489661089,886.066879130435,741.225790625,489.299717073171,440.085121656051,81.9647323490411,77.1402573095571,20.6515905527283,10.4028894760778,525.30965,467.7654,409.724,361.719325,853.6541,997.513475,552.0835,490.506525,115,32,41,314
"ZNF37A",0.922421000185353,0.00460866368569113,0.168133250703719,8.29575204530641e-07,0.0675337987199249,0.998079881984046,492.790759130435,475.5759375,409.156065853659,413.140087579618,14.6097779629663,30.4034490614007,16.8065041965428,7.22787630052962,392.7945,387.13735,370.3956,330.610425,558.45145,544.2824,473.2408,495.00755,115,32,41,314
"ZNF510",0.972189035647283,0.0140380768651459,0.0360199763023709,0.00202843139046582,0.0496305723152729,0.777259229903757,272.851455652174,279.177340625,232.977507317073,244.43445477707,6.73026908904754,14.1687824706074,11.1668145973151,4.06490066301791,225.6457,232.8599,203.516,196.38315,325.09865,323.64775,268.5635,296.176425,115,32,41,314
"ZNF506",0.000200768223105552,2.05308146279393e-05,1.41426204081085e-10,0.00486977740246308,1.54712809230517e-09,0.0176993050217351,602.033513913044,696.01868125,505.987790243902,561.007499681529,11.1476065051369,29.1328692507497,16.5793857524785,5.86355239324669,523.71815,601.6824,442.7012,490.8114,670.1457,800.325925,569.5176,630.71795,115,32,41,314
"ZNF324",8.48822748356071e-06,0.00329718617167496,3.02096125892604e-10,0.325397764276974,5.28233434771153e-09,0.0387180547783789,230.539459130435,272.322721875,203.592853658537,222.608050636943,4.73842803804584,13.1550903738556,5.31997855852787,2.02081089149189,198.1941,237.127725,179.9464,197.5295,254.93675,292.4993,227.0963,244.426525,115,32,41,314
"ZNF671",0.000992406527199341,0.904508442206726,0.00121526544806339,0.995609755159382,0.000176129804331238,0.934114893154508,318.153350434783,376.59665625,308.588214634146,316.200883757962,6.71211143100931,23.6594484582023,14.8461584564031,3.86309953536057,269.3776,284.758325,263.3015,273.467125,358.13185,447.6494,353.3539,360.773125,115,32,41,314
"ZNF416",0.00259910451177836,0.886421305220407,0.0734517328666068,0.0022981855448696,0.32149990860455,0.414203975758813,132.25548173913,154.053275,136.344736585366,144.257874203822,2.82421013356942,9.84181864219141,4.79590528397791,1.5571799958792,113.55215,113.356025,118.1056,126.993375,151.09045,166.535675,158.8652,162.02055,115,32,41,314
"ZNF586",0.0473023560528486,0.806324185987277,0.432151313799911,0.147150390073538,0.000350780847707122,0.0829928528403795,142.861107826087,157.76059375,147.542348780488,136.222671656051,3.29431753890773,7.83130738567901,4.59964026679436,1.32285486785265,115.4478,123.203,129.078,119.117225,167.00185,199.312325,161.7618,150.81815,115,32,41,314
"ZNF446",1.2636580670744e-10,0.755372296270208,1.51433310335847e-10,0.984432639996011,1.24374066601263e-10,0.551681449725589,344.101985217391,520.715103125,322.805807317073,348.701492993631,9.04007084979554,40.8710184091956,15.3750950075305,6.26099241549063,271.9041,357.5328,271.1495,279.729,399.82665,657.46925,362.1445,388.181075,115,32,41,314
"ZNF8",0.522269263524598,0.199723237907132,0.983355394534156,1.66867201962795e-05,0.554649926324408,0.778110918221046,79.9692843478261,86.272125,88.2621146341463,91.9056662420382,1.96451644152641,7.00108198561583,2.63651466242185,1.25730668685183,66.5469,58.70485,80.2907,76.955075,91.21775,106.20165,97.9953,103.35825,115,32,41,314
"ZNF264",0.610982533049127,0.999536095204931,0.775443168270521,0.776318559068945,0.87224229021988,0.957671219638295,804.404674782609,860.211803125,808.922982926829,828.06528821656,17.9749679359212,73.2593081660944,31.8762913926213,12.2014229389822,666.0903,636.386425,686.1817,683.77865,937.09925,957.995075,941.8259,962.37065,115,32,41,314
"ZNF213",0.0236092569544702,0.135338853809697,0.878290875194259,3.31187298696634e-08,0.975358372071035,0.421917205947637,527.804952173913,620.27124375,591.684768292683,632.875677707006,14.7210024272576,52.2342078175918,17.0284133724298,8.50795322115644,426.7791,431.553575,530.8886,532.77655,589.12235,691.8613,666.5323,716.450725,115,32,41,314
"ZNF343",0.07829418327771,0.840175244349885,0.0386359941451204,0.706708264432428,0.00756234552133317,0.996926323793146,230.713033043478,253.486546875,223.545834146341,225.165906687898,4.55309352068311,11.0909300626838,9.9926349422173,2.39674756268253,201.65735,207.2302,197.8571,194.542575,254.02525,289.73285,234.9467,253.639575,115,32,41,314
"ZNF302",0.000829808513276076,0.341135586795955,4.31683771726643e-05,0.997144434643073,0.000154069421139602,0.326402689657622,633.711006086957,780.405965625,575.527519512195,629.523246178344,15.5528636851799,60.3812893909142,25.271384625762,10.312624735221,494.83,594.39835,488.6012,520.370425,735.90465,807.937275,665.3328,716.7445,115,32,41,314
"ZNF268",0.849446600294768,0.0806150565692269,0.0568113193491425,0.0570913283220974,0.0868784396501534,0.773500678616529,425.912706956522,448.35303125,365.740624390244,387.76774522293,14.1304989195757,35.6000862677247,17.2481051980821,7.26747617944645,324.9594,307.0302,295.3615,304.010425,494.53685,557.665875,452.8443,473.7896,115,32,41,314
"ZNF184",0.999994396467479,0.242344623247945,0.486863075147437,0.268292004784584,0.727124590449494,0.826304756572297,200.591414782609,200.851346875,218.302895121951,210.881935987261,4.8156266935058,9.13150583416419,7.13140478488648,2.99244300007752,161.19545,169.089225,201.9262,177.991925,230.94715,232.668725,239.0555,239.69765,115,32,41,314
"ZNF500",0.0335233958055748,0.988904140675517,0.0531690270678313,0.77061509531789,0.0842818954079879,0.760986627318079,248.756847826087,282.68963125,245.158085365854,255.294496496815,6.19143519997759,15.7056252548748,8.13941111460576,3.30970816049956,205.1887,221.345275,220.8359,219.57595,287.645,338.5741,284.4671,294.809775,115,32,41,314
"ZNF419",1.16031662056315e-08,0.988527703090125,6.47108109541605e-06,0.0167038030636864,9.90303933168235e-06,0.382896133045276,221.03181826087,297.555390625,224.68852195122,241.253793949045,4.91040759031918,23.4123013104896,7.33560611454335,3.19313608893499,180.3471,217.21795,206.6194,204.57035,259.01965,321.8034,253.6552,274.552925,115,32,41,314
