"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","count-N0","count-N1","count-NX"
"ZNF195",0.0124352108122007,0.127850874756516,0.969765459315347,307.763217256637,326.745635775862,329.363286,4.88975540474138,4.56180782039231,9.57462709743597,267.9217,279.226325,285.940925,346.37015,365.40945,366.4607,226,232,50
"ZNF263",0.0136737995349704,0.838954546215681,0.498233051126485,696.303674336283,665.771384913793,686.092796,8.25568145834708,6.60737378345044,19.7526148206019,617.65115,604.4884,616.486725,750.617975,705.751575,717.812425,226,232,50
"ZNF200",0.999386983289745,0.915305634534077,0.906668235961795,161.107130530973,161.204794827586,159.14472,2.07273074543781,2.1009127681433,4.07988165500132,144.03735,137.751875,139.40065,182.6564,184.190575,178.99395,226,232,50
"ZNF582",0.0152743822696623,0.882964062331166,0.0817333659821903,95.5324486725664,90.3979456896552,96.997348,1.37884655754382,1.28234732393947,2.17397699841434,81.450325,76.86175,88.53645,107.16565,102.927025,104.41945,226,232,50
"ZNF285",0.1411568352599,0.711470177377682,0.935617422634588,90.859982300885,85.9022840517241,87.418938,1.84313205495657,1.89515059772952,3.52741340414328,72.34635,65.46905,66.8886,104.88425,101.93325,102.1372,226,232,50
"ZNF275",0.000296562031240732,0.780476300473241,0.00742153188305605,640.985603539823,463.180418103448,691.877932,43.8559146928721,11.6676366895526,75.1902273519038,388.2006,375.801175,446.9318,646.257125,518.77085,644.1958,226,232,50
"ZNF37A",0.0434517790731295,0.908930969017872,0.151680514655519,448.315617256637,416.987165517241,457.379456,9.76129264992026,8.61085722872136,20.0323853704517,363.18215,330.9214,362.06285,529.8998,492.3692,506.51165,226,232,50
"ZNF510",0.0177810747033728,0.820328537902281,0.0656275617719919,260.0853,241.462269827586,266.916782,5.14716319543503,4.52907615222767,9.82581408455972,207.692125,198.868675,223.601225,312.367225,288.48555,310.8293,226,232,50
"ZNF506",0.0226026608242913,0.826746173136984,0.577836924984862,589.168881415929,559.917157758621,578.317366,8.13112933600189,7.47741105947727,16.770188837317,505.57375,486.178925,481.389125,650.315925,618.4983,655.167275,226,232,50
"ZNF324",2.52485779872469e-06,0.533387025842713,0.000166854446190468,234.395038053097,214.05405,241.690548,3.13760214699766,2.39248307026751,7.94021176223921,207.984975,189.1852,205.979325,254.41875,240.331475,268.58555,226,232,50
"ZNF671",0.0323700970616156,0.962328484640204,0.179346636862587,328.085502212389,309.766012931034,331.296078,5.44671361367315,4.81948112076476,11.1739409877813,275.984525,266.8852,286.08965,373.849575,357.7472,376.728725,226,232,50
"ZNF416",0.104133863957083,0.908535943266697,0.700854088195966,144.249964159292,138.284209482759,142.208264,2.24383532071393,1.88307773330467,4.47452487046277,120.65555,122.2035,128.181925,163.70395,155.077625,163.50735,226,232,50
"ZNF586",0.265465028443537,0.897935389804043,0.354110249258683,138.494115929204,142.732771551724,136.481782,2.06012420389762,1.80467678476249,3.94611570169616,117.076725,125.220075,118.406775,157.977,156.83315,150.980525,226,232,50
"ZNF446",0.00457969364172472,0.584767629706308,0.633810825393398,374.864996460177,338.050765517241,355.68616,9.41848457640852,7.03201410787684,16.0306381294379,295.412275,270.090675,282.173475,399.528475,390.53155,400.4973,226,232,50
"ZNF8",0.167817498100067,0.665756731999143,0.973201652974166,86.505785840708,90.4691215517241,89.657522,1.7330565726221,1.31544206784517,3.62588145856671,69.773975,76.82025,70.3307,99.49725,101.578225,101.66345,226,232,50
"ZNF264",0.91613247634579,0.964978288551954,0.999860297762082,820.055580973451,828.528040517241,829.092378,16.3289747959391,14.1439307333637,27.3102695779516,674.141475,686.3914,668.771575,953.333925,957.299225,981.1063,226,232,50
"ZNF213",0.71313875188744,0.667888431174736,0.920077538677307,611.534888053097,599.294349137931,589.165804,11.1053033765021,10.8581795265082,24.8133877228501,508.44865,493.021025,483.759825,685.515375,683.63665,647.558625,226,232,50
"ZNF343",0.40734407519567,0.781304035765968,0.322098537506967,230.171454867257,224.483261206897,235.148204,3.21825603231715,3.06213536491613,6.79748813843909,198.430575,193.057825,202.774,255.13055,251.42115,255.941875,226,232,50
