"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","mean-1","mean-2","mean-3","mean-4","SEM-1","SEM-2","SEM-3","SEM-4","Q1-1","Q1-2","Q1-3","Q1-4","Q3-1","Q3-2","Q3-3","Q3-4","count-1","count-2","count-3","count-4"
"ZNF195",0.729277483345347,0.768662639945018,0.990366384245437,0.0179555990396801,0.00511830915385569,0.41674172272214,336.196695121951,323.954536624204,319.952246875,298.074893043478,13.2759065221055,3.97360006642043,17.8466789191639,5.33004949874831,289.2964,284.566975,253.476325,257.40925,369.4952,361.45595,382.021125,331.43945,41,314,32,115
"ZNF263",0.542305032974099,0.0179019869094986,0.0542262702692407,0.626628156865864,0.999992968777129,0.0824322337002364,654.494231707317,680.206196496815,735.098940625,679.865111304348,15.0142215517174,5.76249618994395,26.8145891965101,13.4534542915216,596.6415,619.880275,636.568175,591.14975,688.6218,718.9829,769.86945,727.04345,41,314,32,115
"ZNF200",0.134165127960461,0.703662226943621,0.941169591174161,0.0637883157099435,0.833591637446703,0.756002451240915,171.647595121951,160.404464649682,163.70635,157.530634782609,5.90956097954517,1.75972360425989,5.70598881875155,2.65724906588841,157.1429,139.98035,142.090525,141.9773,193.6306,183.887,188.57755,173.41725,41,314,32,115
"ZNF582",0.00770857675443337,0.00139301863730812,0.262941075561168,0.00158573884448832,0.61532315738903,0.732217533277068,82.6483707317073,93.1112257961783,99.75850625,95.7188652173913,2.97983921361794,1.0477951763879,5.02908577379029,1.84030818994709,73.8355,80.497675,80.69595,83.35085,95.3704,104.87845,117.294725,104.3525,41,314,32,115
"ZNF285",0.0013620077175458,1.12539033254588e-05,0.0258300501251508,0.0388908852414159,0.640043149754189,0.00653494071203442,72.7048853658537,89.6374044585987,104.04326875,86.0947226086956,3.93780827363358,1.4878137883762,7.73304433158004,2.40432617469469,58.078,72.2952,75.370075,66.4685,82.1813,102.7578,113.634,103.2306,41,314,32,115
"ZNF275",0.917453489661078,0.0943146444250204,0.00256381553035667,1.63128997390238e-05,1.2420309225547e-10,0.393357577159013,489.299717073171,440.085121656051,741.225790625,886.066879130435,20.6515905527283,10.4028894760778,77.1402573095571,81.9647323490411,409.724,361.719325,467.7654,525.30965,552.0835,490.506525,997.513475,853.6541,41,314,32,115
"ZNF37A",0.998079881984045,0.168133250703713,0.0675337987199226,0.00460866368569091,8.29575204530641e-07,0.922421000185355,409.156065853659,413.140087579618,475.5759375,492.790759130435,16.8065041965428,7.22787630052962,30.4034490614007,14.6097779629663,370.3956,330.610425,387.13735,392.7945,473.2408,495.00755,544.2824,558.45145,41,314,32,115
"ZNF510",0.777259229903744,0.0360199763023678,0.0496305723152703,0.0140380768651444,0.00202843139046571,0.972189035647283,232.977507317073,244.43445477707,279.177340625,272.851455652174,11.1668145973151,4.06490066301791,14.1687824706074,6.73026908904754,203.516,196.38315,232.8599,225.6457,268.5635,296.176425,323.64775,325.09865,41,314,32,115
"ZNF506",0.0176993050217362,1.41426204081085e-10,1.54712809230517e-09,2.05308146279393e-05,0.00486977740246286,0.000200768223105552,505.987790243902,561.007499681529,696.01868125,602.033513913044,16.5793857524785,5.86355239324669,29.1328692507497,11.1476065051369,442.7012,490.8114,601.6824,523.71815,569.5176,630.71795,800.325925,670.1457,41,314,32,115
"ZNF324",0.0387180547783783,3.02096125892604e-10,5.28233434771153e-09,0.00329718617167518,0.325397764276981,8.48822748356071e-06,203.592853658537,222.608050636943,272.322721875,230.539459130435,5.31997855852787,2.02081089149189,13.1550903738556,4.73842803804584,179.9464,197.5295,237.127725,198.1941,227.0963,244.426525,292.4993,254.93675,41,314,32,115
"ZNF671",0.934114893154501,0.00121526544806327,0.000176129804331238,0.904508442206718,0.995609755159382,0.000992406527199119,308.588214634146,316.200883757962,376.59665625,318.153350434783,14.8461584564031,3.86309953536057,23.6594484582023,6.71211143100931,263.3015,273.467125,284.758325,269.3776,353.3539,360.773125,447.6494,358.13185,41,314,32,115
"ZNF416",0.41420397575879,0.0734517328666012,0.321499908604547,0.886421305220426,0.0022981855448696,0.00259910451177847,136.344736585366,144.257874203822,154.053275,132.25548173913,4.79590528397791,1.5571799958792,9.84181864219141,2.82421013356942,118.1056,126.993375,113.356025,113.55215,158.8652,162.02055,166.535675,151.09045,41,314,32,115
"ZNF586",0.0829928528403736,0.432151313799919,0.000350780847707233,0.80632418598726,0.147150390073541,0.0473023560528468,147.542348780488,136.222671656051,157.76059375,142.861107826087,4.59964026679436,1.32285486785265,7.83130738567901,3.29431753890773,129.078,119.117225,123.203,115.4478,161.7618,150.81815,199.312325,167.00185,41,314,32,115
"ZNF446",0.551681449725583,1.51433310335847e-10,1.24374066601263e-10,0.755372296270203,0.984432639996011,1.2636580670744e-10,322.805807317073,348.701492993631,520.715103125,344.101985217391,15.3750950075305,6.26099241549063,40.8710184091956,9.04007084979554,271.1495,279.729,357.5328,271.9041,362.1445,388.181075,657.46925,399.82665,41,314,32,115
"ZNF8",0.77811091822104,0.983355394534156,0.554649926324406,0.199723237907132,1.66867201962795e-05,0.522269263524594,88.2621146341463,91.9056662420382,86.272125,79.9692843478261,2.63651466242185,1.25730668685183,7.00108198561583,1.96451644152641,80.2907,76.955075,58.70485,66.5469,97.9953,103.35825,106.20165,91.21775,41,314,32,115
"ZNF264",0.957671219638288,0.775443168270505,0.872242290219875,0.999536095204931,0.776318559068948,0.610982533049122,808.922982926829,828.06528821656,860.211803125,804.404674782609,31.8762913926213,12.2014229389822,73.2593081660944,17.9749679359212,686.1817,683.77865,636.386425,666.0903,941.8259,962.37065,957.995075,937.09925,41,314,32,115
"ZNF213",0.421917205947636,0.878290875194259,0.975358372071035,0.135338853809693,3.31187298696634e-08,0.0236092569544696,591.684768292683,632.875677707006,620.27124375,527.804952173913,17.0284133724298,8.50795322115644,52.2342078175918,14.7210024272576,530.8886,532.77655,431.553575,426.7791,666.5323,716.450725,691.8613,589.12235,41,314,32,115
"ZNF343",0.996926323793145,0.0386359941451169,0.00756234552133273,0.840175244349871,0.706708264432425,0.0782941832777078,223.545834146341,225.165906687898,253.486546875,230.713033043478,9.9926349422173,2.39674756268253,11.0909300626838,4.55309352068311,197.8571,194.542575,207.2302,201.65735,234.9467,253.639575,289.73285,254.02525,41,314,32,115
"ZNF302",0.326402689657626,4.31683771726643e-05,0.000154069421139602,0.34113558679596,0.997144434643073,0.000829808513275854,575.527519512195,629.523246178344,780.405965625,633.711006086957,25.271384625762,10.312624735221,60.3812893909142,15.5528636851799,488.6012,520.370425,594.39835,494.83,665.3328,716.7445,807.937275,735.90465,41,314,32,115
"ZNF268",0.773500678616513,0.0568113193491377,0.0868784396501504,0.0806150565692187,0.057091328322094,0.849446600294768,365.740624390244,387.76774522293,448.35303125,425.912706956522,17.2481051980821,7.26747617944645,35.6000862677247,14.1304989195757,295.3615,304.010425,307.0302,324.9594,452.8443,473.7896,557.665875,494.53685,41,314,32,115
"ZNF184",0.826304756572307,0.486863075147444,0.727124590449492,0.242344623247953,0.268292004784585,0.999994396467479,218.302895121951,210.881935987261,200.851346875,200.591414782609,7.13140478488648,2.99244300007752,9.13150583416419,4.8156266935058,201.9262,177.991925,169.089225,161.19545,239.0555,239.69765,232.668725,230.94715,41,314,32,115
"ZNF500",0.760986627318075,0.0531690270678293,0.0842818954079859,0.988904140675516,0.77061509531789,0.0335233958055741,245.158085365854,255.294496496815,282.68963125,248.756847826087,8.13941111460576,3.30970816049956,15.7056252548748,6.19143519997759,220.8359,219.57595,221.345275,205.1887,284.4671,294.809775,338.5741,287.645,41,314,32,115
