"meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","Gene.ID"
260.124331578947,430.225306127451,236.7347,373.06695,140.37525,339.9581,257.7839,525.197125,33.3588689056481,12.174594759865,1.65392181314218,1.57588621355467,0.725891034715826,0.656163369142771,"ZNF195"
703.85847368421,614.944756862745,670.5019,594.16405,584.97895,803.8608,498.351525,708.51465,42.8528321316433,8.20463271294209,0.873676711802497,0.886148197342916,-0.194828559510757,-0.174380103000187,"ZNF263"
171.431294736842,234.061019607843,178.4257,222.7771,140.8752,193.8738,183.0036,271.787025,9.01498285709798,3.92154884790244,1.3653342580603,1.24857069357161,0.449254191739725,0.320277508392945,"ZNF200"
46.6535368421053,29.9055056372549,48.8235,24.7044,37.5085,58.82955,11.0867,42.3667,4.10799538771052,1.20968792196582,0.641012614723454,0.505994039755446,-0.641575346436647,-0.982807703773913,"ZNF582"
54.8541947368421,73.250225,47.1448,54.67835,30.41575,72.2767,28.509925,95.782175,7.46189279348676,3.39851222414381,1.33536232463918,1.15979599022586,0.417231242315998,0.213871055547738,"ZNF285"
491.474110526316,450.742451715686,482.8844,411.21395,371.15155,599.85295,296.365275,531.62895,36.6759468476011,11.0084461411422,0.917123490458103,0.851578452316952,-0.124812089446066,-0.231788649475702,"ZNF275"
398.953421052632,362.390430882353,414.1176,334.27,252.49285,499.45385,245.02235,436.331425,39.6859300438161,8.21731359891941,0.908352734327211,0.807186171271156,-0.138675456792607,-0.309026636510265,"ZNF37A"
217.6011,173.736771078431,197.4674,156.69045,128.6015,300.39935,122.4156,204.3791,24.7928465854427,3.85513889682882,0.798418625082462,0.793500344867051,-0.324782719401701,-0.333697244810047,"ZNF510"
362.297152631579,431.600206862745,321.8659,381.56475,232.00375,513.6455,250.47665,573.434175,39.9497147147689,12.1604464961244,1.19128787992888,1.18547739912802,0.252522088902637,0.245468158411034,"ZNF506"
226.818973684211,197.984133088235,216.8541,188.6647,197.799,260.15625,145.29805,231.4009,12.9327536046636,4.22902795021486,0.872872890095514,0.870007530408694,-0.196156514549698,-0.200900206527995,"ZNF324"
