"Gene.Id","tumor.median_BLCA","healthy.median_BLCA","fold.change_BLCA","log2.fold.change_BLCA","tumor.median_BRCA","healthy.median_BRCA","fold.change_BRCA","log2.fold.change_BRCA","tumor.median_CHOL","healthy.median_CHOL","fold.change_CHOL","log2.fold.change_CHOL","tumor.median_ESCA","healthy.median_ESCA","fold.change_ESCA","log2.fold.change_ESCA","tumor.median_HNSC","healthy.median_HNSC","fold.change_HNSC","log2.fold.change_HNSC","tumor.median_KICH","healthy.median_KICH","fold.change_KICH","log2.fold.change_KICH","tumor.median_KIPAN","healthy.median_KIPAN","fold.change_KIPAN","log2.fold.change_KIPAN","tumor.median_KIRC","healthy.median_KIRC","fold.change_KIRC","log2.fold.change_KIRC","tumor.median_KIRP","healthy.median_KIRP","fold.change_KIRP","log2.fold.change_KIRP","tumor.median_LIHC","healthy.median_LIHC","fold.change_LIHC","log2.fold.change_LIHC","tumor.median_LUAD","healthy.median_LUAD","fold.change_LUAD","log2.fold.change_LUAD","tumor.median_LUSC","healthy.median_LUSC","fold.change_LUSC","log2.fold.change_LUSC","tumor.median_PRAD","healthy.median_PRAD","fold.change_PRAD","log2.fold.change_PRAD","tumor.median_STES","healthy.median_STES","fold.change_STES","log2.fold.change_STES","tumor.median_THCA","healthy.median_THCA","fold.change_THCA","log2.fold.change_THCA","tumor.median_UCEC","healthy.median_UCEC","fold.change_UCEC","log2.fold.change_UCEC"
"HKR1",662.8335,595.4064,1.11324550760623,0.154771789937308,821.6399,753.7992,1.08999837091894,0.12432597879218,747.82,362.069,2.06540742234215,1.04642639579261,417.09715,583.6444,0.714642597444608,-0.484706184196074,277.397,342.40985,0.810131484243225,-0.303772018653859,1150.65925,727.3963,1.58188768625851,0.661647172358147,697.5881,654.1772,1.06635954294953,0.0926939515810811,695.3948,641.56325,1.08390684784392,0.116240775208131,659.69955,636.9818,1.03566467676157,0.0505569687762742,373.0353,264.6071,1.40977056171206,0.495460385025195,512.8685,406.846,1.26059614694504,0.33410615820507,505.9594,435.7542,1.16111192961537,0.215507052752597,1260.1847,949.4965,1.3272136337522,0.408400611513155,412.7538,567.1156,0.727812460105136,-0.458361344644837,871.2138,986.4915,0.883143747310544,-0.179279813691454,803.7155,737.5954,1.08964277705636,0.123855246711227
"KRBA2",36.86175,64.1096,0.574980190174326,-0.79841584322962,59.5918,109.81905,0.542636273032775,-0.881942605735315,66.1011,26.1708,2.52575771470494,1.33671625410636,61.7163,104.2416,0.592050582492978,-0.756207655529199,27.12515,47.55155,0.570436715522417,-0.809861252661271,183.9098,177.3025,1.03726568999309,0.0527854800141179,84.8376,150.3828,0.564144303736864,-0.825863854857149,68.3408,150.4256,0.454316286589517,-1.13823107001051,112.23665,144.95055,0.774309928454911,-0.369016953908504,19.0347,18.6271,1.02188209651529,0.0312287495189725,51.5075,52.0657,0.989278930274634,-0.0155507441880394,39.2215,61.2901,0.639932060805905,-0.644009347182835,70.6965,91.56225,0.77211405355373,-0.373114122597581,64.7114,102.926,0.62871771952665,-0.669515670862798,65.0945,89.2019,0.729743424747679,-0.454538788305626,57.70345,142.1756,0.40586042893436,-1.30094440960203
"POGK",2040.4384,1253.2803,1.62807825192816,0.703170042942977,2169.423,1335.36465,1.62459220408448,0.70007762646241,1963.22705,743.9587,2.63889252185639,1.39993259305054,1849.4414,1401.5213,1.3195956422496,0.400095918757171,1267.32235,1204.6215,1.05205024980876,0.073203614723898,975.552,1322.0464,0.737910560476546,-0.438482131957388,1217.558,1382.716,0.88055537073412,-0.183514369000231,1215.0039,1486.0515,0.817605513671632,-0.290523169502362,1279.07645,1296.75805,0.986364765578282,-0.0198068294464655,1053.681,709.62145,1.48484942218136,0.57031663547935,1760.2477,1796.1394,0.980017308233425,-0.0291208657798999,1755.2171,1708.1699,1.0275424593303,0.0391980090891168,901.236,938.99985,0.959782900923786,-0.0592199840339227,1807.5392,1362.4309,1.32670155969011,0.407843874266279,1130.4348,1065.0407,1.06140056431646,0.0859692209022493,1457.52565,1157.1661,1.2595647677546,0.332925308428609
"PRDM7",1e-04,1e-04,1,0,1e-04,1e-04,1,0,0.18515,1e-04,1851.5,10.8544788341716,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,0.7594,0.000131682907558599,-12.8906442836191,1e-04,0.7591,0.000131734949282045,-12.8900742361803,1e-04,0.73855,0.000135400446821474,-12.850479879735,0.38605,0.8086,0.477430126143953,-1.06663849062271,1.4556,1e-04,14556,13.8293263358417,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,0.82995,1e-04,8299.5,13.018808709164
"PRDM9",1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0
"RBAK",442.0095,369.0391,1.19773080955378,0.26030369830989,591.3524,572.5901,1.0327674194856,0.0465153940536748,459.1883,365.9191,1.25489022027,0.327561160511135,787.8989,667.6349,1.18013438183055,0.238951148537966,515.74585,433.90855,1.18860494913041,0.249269293188094,410.46995,318.0407,1.29062082305818,0.368065207427579,482.1636,379.5871,1.27023178606438,0.345091777386575,498.4408,433.6373,1.14944171084914,0.200933307638452,470.61455,355.97695,1.32203658130112,0.402762097368711,311.4575,333.53305,0.933813005937493,-0.0987944126353238,455.8659,375,1.2156424,0.281718900146383,568.5437,347.5066,1.63606590493533,0.710230864910651,430.9194,396.92495,1.08564452801468,0.118551799624491,760,571.2725,1.33036335549147,0.41182033562986,334.302,492.4765,0.678818177110989,-0.558902897601408,418.34455,454.8837,0.919673644054513,-0.120806098537408
"SSX1",1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1.5387,1e-04,15387,13.9094243566985,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,48.6832,7.2094,6.75273947901351,2.75547289934865,1e-04,1e-04,1,0
"SSX2",1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,14.442,17.4227,0.828918594706905,-0.27069766841278,1e-04,1e-04,1,0
"SSX3",1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,0.7035,0.5417,1.29868931142699,0.377056332652843,1e-04,1e-04,1,0
"SSX4",1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,1e-04,1e-04,1,0,0.2711,1e-04,2711,11.4046093978377,1e-04,1e-04,1,0,1e-04,1e-04,1,0,0.2945,0.6133,0.480189140714169,-1.05832531692287,0.83215,1e-04,8321.5,13.022627890854
