"gene";"Thyroid Papillary Carcinoma - Classical/usual-Other  specify";"Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-Other  specify";"Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)-Thyroid Papillary Carcinoma - Classical/usual";"Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Other  specify";"Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Thyroid Papillary Carcinoma - Classical/usual";"Thyroid Papillary Carcinoma - Tall Cell (>= 50% tall cell features)-Thyroid Papillary Carcinoma - Follicular (>= 99% follicular patterned)"
"ZNF195";0.412150958750653;0.282848535893294;0.814083359537997;0.571692622890242;0.997132549915075;0.903789156526229
"ZNF263";0.897677463968102;0.991552770864587;0.651070167914877;0.985868771963303;0.183200751307971;0.666064835434051
"ZNF200";0.203707936472012;0.0216618344125212;0.0166737199969611;0.204759469611454;0.975747528355043;0.552429071905644
"ZNF582";0.275982003974341;0.21000489056937;0.919227590028419;0.98738095597703;0.000359189475249266;0.000468610824282178
"ZNF285";0.981368129263061;0.988962153537439;0.166069770275138;0.765140476796494;0.555487930733319;0.088205950243319
"ZNF275";0.918397998778447;0.0289538057844914;0;0.999885819564465;0.540509256346695;6.98214011274345e-06
"ZNF37A";0.342789529674793;0.42164113574151;0.994932700420933;0.996384061866743;0.0411584585961664;0.116979033456392
"ZNF510";0.845168223354075;0.613374670400208;0.563851725418659;0.976528629018323;0.907833871216449;0.537332524549279
"ZNF506";0.999918452923593;0.942009974578592;0.234038152576273;0.489361611209019;0.0249461795365675;0.00191968729930425
"ZNF324";0.253504224070336;0.193690839126269;0.924036410617742;0.915204792795289;0.160624563945373;0.120230510704679
"ZNF671";0.980142062570823;0.993178524922649;0.988822301397382;0.932196016288109;0.201941307650217;0.393707269949861
"ZNF416";0.788017972631066;0.999788361773516;0.0669672246880686;0.766865592235782;0.992395181659659;0.349652930004117
"ZNF586";0.967216067908878;0.999373180759611;0.318434498194338;0.965965951511984;0.259236115924439;0.9117589889331
"ZNF446";0.189942966729642;0.946124627434134;0.000212244065053602;0.0893257659707706;0.659874834832972;0.00402629054413539
"ZNF8";0.440663001569514;0.958150891837467;3.5064080083913e-08;0.817720015753653;0.768753988107103;0.0623191174847377
"ZNF264";0.999999218881525;0.96298493879973;0.487836749032753;0.928976763191911;0.600723349767226;0.990621699796014
"ZNF213";0.0975343099906831;0.379658000658541;0.231662294408367;0.359652152584742;0.805941609223421;0.99253362764132
"ZNF343";0.999992028844215;0.999635441378577;0.996146400430324;0.79222770616178;0.244450607766252;0.414606713989287
"ZNF302";0.52910499259476;0.917978850410833;0.187488637837103;0.203635658846667;0.406492281662324;0.0562814802489361
"ZNF268";0.90367907131926;0.934216986153801;0.997179756946966;0.929286282789554;0.999999892095035;0.999550659175758
"ZNF184";0.92842432097777;0.782796096746353;2.65883280892165e-05;0.982413734801779;0.983304342326879;0.0967624818176186
"ZNF500";0.413654420600359;0.891399891456843;0.0913776486332262;0.728266713699655;0.890695622599463;0.900535412544058
"ZNF419";0.00892730855566137;0.0362760627137012;0.704937921585097;0.0013237289325928;0.273425311806351;0.118170744791046
"ZNF175";0.134888139235382;0.57928611640743;0.0683226815750415;0.574559646970625;0.523875932575661;0.997846293210992
"ZNF14";0.891943885276724;0.762343180368019;0.818736322089688;0.992910594344594;0.23223568320786;0.127418904723478
"ZNF85";0.857318793926962;0.734598456881451;5.15184692462256e-07;0.794712264882193;0.973222511466602;0.00310328270299332
"ZKSCAN1";0.092878172137585;0.601402180725977;0.0131367101627453;0.369970421587681;0.763768553032467;0.824704429526041
"ZNF862";0.988030054241771;0.865765196663996;0.00577915553449881;0.375411093503918;0.0330167821859074;0.000108161572621279
"ZNF684";0.997049183754779;0.135999257068043;0;0.716229991514215;0.267141608966316;1.19136592369173e-07
"ZNF430";0.791863855558021;0.330356131787387;0;0.804846222690884;0.998840597166359;3.31787826238772e-05
"ZFP30";0.997578433035288;0.996006883922443;0.999301976260616;0.98920083959737;0.745958196628149;0.766576905166604
"ZNF549";0.974414653727417;0.940418742784309;0.0166243493782896;0.997951690916909;0.652026622429521;0.914745424282163
"ZNF211";0.544176539274364;0.471203801864243;0.961504427089894;0.0303644161649702;0.00665142883010805;0.0439779866492553
"ZNF205";0.0310124023349339;0.3098822608477;0.0269883240162723;0.0639291122862601;0.999989970864036;0.366305322638835
"ZNF45";0.735295369149961;0.886091292561479;0.859514500886632;0.99952321677638;0.14345697885453;0.464590669998167
"ZNF133";0.0239428986177492;0.185691301307087;0.120494715011635;0.00274911844942127;0.194346888214113;0.0132389609472152
"ZNF436";0.999400393726912;0.820763975333861;0.104053186414342;0.757921971451616;0.10716679583493;0.0051708598421033
"ZNF484";0.89472476349049;0.999517844939947;0.0796350477633239;0.998860238113261;0.74496092192727;0.967011490156321
"ZNF780B";0.99996866384663;0.980909501629773;0.572722400779242;0.637878269521447;0.0834220999670898;0.0231271452144738
"ZNF557";0.986491975906368;0.927026859353723;0.820775240362712;0.988383021533936;0.562115210098012;0.346631668859617
"ZNF337";0.101363216696443;0.283993486316893;0.562723703769414;0.0120032880231467;0.152328067158494;0.0440751295685622
"ZNF317";0.812653943880156;0.944724763181834;0.805415218194248;0.800535882607651;0.995251149923649;0.887029024014272
"ZNF426";0.080783684191024;0.583823989052311;0.00996447103850584;0.317252840148678;0.814390967838546;0.752651513270443
"ZNF331";0.999992659446263;0.99998093664544;0.997445839915347;0.893210897613331;0.423671076911896;0.594347489197266
"ZNF227";0.500562213156152;0.672583011461698;0.907584901169712;0.973183749999651;0.320176788988876;0.663167742710758
"ZNF141";0.998874008872376;0.967859961056786;0.26770792537053;0.717774301948938;0.22312960053296;0.0315776041644678
"ZNF304";0.583523583605903;0.848243984471251;0.600742201435475;0.694332467280081;0.999716829812296;0.923999876818142
"ZNF132";0.271667330980933;0.0420654498874946;0.0347767414710061;0.887639941604872;0.247963478964532;0.00773391227585374
"ZNF20";0.479532375764637;0.954721799980593;8.17333114522256e-08;0.147603915070584;0.305987463110892;1.03039667002092e-05
"ZNF670";0.363988452271815;0.965016116642867;0.00531921544286984;0.476067991517329;0.999971496815279;0.250185496171288
"ZFP37";0.986920555319319;0.728683006118732;0.139441848411551;0.956071609587762;0.971745053712667;0.839167557095936
"ZNF189";0.967085193608502;0.965274042035501;0.999848290443019;0.805319033813594;0.0331169787291166;0.0641125887568226
"ZNF434";0.99999917235234;0.290512012229441;6.30632155829147e-07;0.590619457463299;0.0488228625775057;6.32223902563567e-07
"ZNF287";0.99999589201742;0.350098316478782;3.28330884791228e-06;0.808104408484645;0.268075458964524;4.6675708671895e-05
"ZIM3";0.992959215332702;1;0.857641207443166;1;0.957635101654333;1
"ZFP14";0.925217842519183;0.805634991592731;0.804014828564016;0.998477631454475;0.442308603794548;0.251920232546069
"ZNF473";0.0703391868072156;0.156836692768754;0.853217373982553;0.525638879866469;0.312611617346459;0.701046643806454
"ZNF614";0.990831641292297;0.999697421924069;0.656760006374476;0.801938444516039;0.0719724685955563;0.428408413509773
"POGK";0.945009667751787;0.226322252243968;0;0.309471336017603;0.0528848432211397;0
"ZNF514";0.003543776490464;4.19126789764634e-05;0.00154076485491661;0.00265820677728346;0.802467405867953;0.576674319356644
"ZNF300";0.00646601426692273;0.000833794523948939;0.173714743760737;0.00490657378320414;0.821143379243122;0.980104316943831
"RBAK";0.940103929245031;0.59772742195166;0.156690894872198;0.994364702347275;0.385211679551082;0.0452429454555827
"ZNF92";0.999908111828186;0.713159994312337;0.0139261442800778;0.999999883285894;0.9995988871311;0.267245049992802
"ZNF157";0.630381352544333;0.7621804923013;0.95175783808836;0.999994080433011;0.132722686300083;0.3588975785415
"ZNF182";0.284840997147688;0.565772427271657;0.58293657438632;0.0600446381382288;0.233145995805546;0.0756813419694661
"ZNF673";0.999642449603752;0.470650500656749;2.24799633998796e-05;0.451892906733437;0.0213311983345589;1.34107522420379e-06
"ZNF41";0.229958746138976;0.246392401128017;0.999779056206112;0.411608567584859;0.98806715313965;0.986531305295222
"ZNF7";0.528822390370364;0.00932179293995383;2.35135131809727e-07;0.281590594213154;0.636835741705969;0.151445113057284
"ZNF214";0.974673866596742;0.995896565908887;0.947444422881819;0.989289045922039;0.476738596672;0.765480811198696
"ZNF215";0.704660391342708;0.227163051701521;0.0449858137754369;0.999727529565438;0.126963188805325;0.00335172411682938
"ZNF547";0.0477470508479334;0.131203348234153;0.755427011180673;0.0014786444162953;0.0272582064483939;0.0122177150161165
"ZNF773";0.542119272108094;0.559114836374701;0.999926093947842;0.926878275227217;0.626455384652531;0.685621355709566
"ZNF776";0.929124572431023;0.998946250180809;0.535863342683767;0.964909204756327;0.148981585210578;0.674377290810436
"ZNF256";0.999866685918236;0.999303378677552;0.99832430430868;0.998128898078861;0.995861624519535;0.999555940372035
"ZNF599";0.999826578027283;0.953239748728061;0.528698304886857;0.186679082331152;0.000110196001484097;2.68485622503256e-05
"ZNF18";0.89947928071456;0.313712388221773;0;0.734202180838006;0.836000900753477;8.4348774158638e-06
"ZKSCAN2";0.480685746812584;0.421166014539506;0.970677704054981;0.877696966869872;0.68364391782004;0.59847047434011
"ZNF689";0.0450483511039597;0.240500710556005;0.202570633080242;0.234763561448863;0.778324018052569;0.99294799035903
"ZNF19";0.318879231429291;0.992705424210273;0.000213798465338311;0.289219765927305;0.961584382863596;0.0264738479199902
"ZNF230";0.996090790609315;0.998659989430404;0.997921216976712;0.946899636869312;0.887547059489711;0.876885952213446
"ZNF222";0.976779653097349;0.989289335419534;0.140983873423497;0.672542324759563;0.010738778594604;0.408006671751088
"ZNF221";0.156848997490082;0.568911230444717;0.124755535037075;0.513847682754791;0.73068559476475;0.98746260403025
"ZNF233";0.172951168681392;0.859584871420698;0.00210329470937443;0.0672881512398366;0.56208294628048;0.0077626491841859
"ZNF235";0.783115780369793;0.901295690798969;0.911855726707838;0.99999961401585;0.309821361317378;0.647740832409429
"ZNF208";0.00921537289824981;0.290923725893082;0.000741857185476924;0.00228248454651836;0.428291694966244;0.00232023159917449
"ZNF714";0.977103247093908;0.36362218395481;7.58511675691409e-09;0.992113366121463;0.998199780358092;0.0051101125874371
"ZNF394";0.247112744599019;0.0679794816553413;0.189792561595625;0.207217296775788;0.933632007082056;0.929678067611751
"ZNF333";0.915200852197656;0.988317056900179;0.793422825529314;0.409101147530931;0.188059896171058;0.0957619346139491
"ZNF382";0.913080035411812;0.783893854585056;0.794180886624259;0.778059322191219;0.877463385392628;0.998938408986758
"ZNF577";0.0176043232757137;0.157515728339148;0.105838637248585;0.00277181614553057;0.279608958865183;0.020501700154633
"ZNF75A";0.0736646025467953;0.743791236587586;0.000382955990531064;0.00676994911144357;0.118102247312605;0.000127869402335667
"ZNF496";0.54273248215709;0.99998030768384;0.0010213034039952;0.917806787660917;0.663139171701309;0.672570899044308
"ZNF2";0.96411394369182;0.996668030788067;0.875316200228573;0.820311761923144;0.79527521695098;0.595494342923752
"ZNF589";0.648068158633931;0.00829831474749287;2.82879142332604e-09;0.987473063467501;0.448071640437666;8.44095761853847e-06
"PRDM9";0.857141243141863;0.959919961634008;0.84676168722288;0.922124691091038;0.998305385479963;0.989159565660679
"ZNF12";0.930965420995962;0.736461270198716;0.545545225234841;0.998407639257844;0.863215473467698;0.465820425050532
"ZNF202";0.264697203654453;0.0749487455968445;0.192384260685588;0.280686847300272;0.988518185335444;0.831436835343547
"ZNF3";0.999897076645122;0.998017521115946;0.986075752817037;0.807945873480431;0.307453257837643;0.529943379809733
"ZNF606";0.162660963799824;0.727933702412802;0.0191794147575231;0.177004931726183;0.984049050793982;0.19516340399403
"ZNF91";0.563921068560409;0.30226239629316;0.45222645835512;0.999999259222896;0.0799217780298529;0.0158943878140851
