"gene";"Prostate Adenocarcinoma Acinar Type-Prostate Adenocarcinoma  Other Subtype"
"ZNF195";0.817743891631784
"ZNF263";0.757597075957678
"ZNF200";0.522961679790828
"ZNF582";0.43243594087477
"ZNF285";0.502886661444005
"ZNF275";0.0700168230554472
"ZNF37A";0.216640404594373
"ZNF510";0.0879425385950561
"ZNF506";0.908962483427594
"ZNF324";0.64637401718181
"ZNF671";0.0880314326394489
"ZNF416";0.562998945933428
"ZNF586";0.569507133948228
"ZNF446";0.602842214238095
"ZNF8";0.491764393889572
"ZNF264";0.582305924117695
"ZNF213";0.779353102005891
"ZNF343";0.552144489452774
"ZNF302";0.691710245206719
"ZNF268";0.206963242653693
"ZNF184";0.903364217275191
"ZNF500";0.000154910764824101
"ZNF419";0.00553285813256976
"ZNF175";0.6484863091341
"ZNF14";0.465495138003382
"ZNF85";0.0635013632256641
"ZKSCAN1";0.526172904066714
"ZNF862";0.555190630337974
"ZNF684";0.962321670952289
"ZNF430";0.526935657757755
"ZFP30";0.897128706670222
"ZNF549";0.201259104393373
"ZNF211";0.210239514123696
"ZNF205";0.149032993612179
"ZNF45";0.328304130894579
"ZNF133";0.0533843886827619
"ZNF436";0.124208365572337
"ZNF484";0.493520617718185
"ZNF780B";0.984687449354051
"ZNF557";0.282255620026344
"ZNF337";0.645997986269655
"ZNF317";0.298306032283245
"ZNF426";0.606199647919977
"ZNF331";0.779428874173856
"ZNF227";0.756567835251831
"ZNF141";0.40860950210187
"ZNF304";0.0569981044868597
"ZNF132";0.0100201630882759
"ZNF20";0.0867057133950694
"ZNF670";0.992634401186206
"ZFP37";0.993522337997891
"ZNF189";0.0394176628168085
"ZNF434";0.41074147072745
"ZNF287";0.771247275954958
"ZIM3";0.401646902251178
"ZFP14";0.466295272719888
"ZNF473";0.15419959531528
"ZNF614";0.747193051589503
"POGK";0.392932825307711
"ZNF514";0.000626097295897687
"ZNF300";0.514294984160617
"RBAK";0.222096166458986
"ZNF92";0.271716531663646
"ZNF157";0.62421760723855
"ZNF182";0.957387565166828
"ZNF673";0.0380364842731178
"ZNF41";0.0692732512880688
"ZNF7";0.16952273865399
"ZNF214";0.845264085460686
"ZNF215";0.385056126044132
"ZNF547";0.538049590786424
"ZNF773";0.0821387982925956
"ZNF776";0.681845139950255
"ZNF256";0.0859752178713133
"ZNF599";0.710782262070813
"ZNF18";0.165218970737757
"ZKSCAN2";0.74656127972592
"ZNF689";0.912220620951085
"ZNF19";0.499471755625483
"ZNF230";0.436883322062174
"ZNF222";0.617788247951848
"ZNF221";0.234913211613788
"ZNF233";0.920044029031896
"ZNF235";0.856382093959887
"ZNF208";0.505314331110445
"ZNF714";0.749156411577084
"ZNF394";0.943682592299725
"ZNF333";0.340669083893656
"ZNF382";0.00254460359132103
"ZNF577";0.0342495312187829
"ZNF75A";0.677056175390495
"ZNF496";0.137206418974294
"ZNF2";0.040769584488644
"ZNF589";0.955331355940099
"PRDM9";0.842233072564825
"ZNF12";0.454220484617836
"ZNF202";0.0783999200407183
"ZNF3";0.489307241349319
"ZNF606";0.573928100436291
"ZNF91";0.295256787226174
"ZNF226";0.0397165018684652
"ZNF229";0.907191767557208
"ZNF180";0.595620742953133
"ZNF641";0.496604193315544
"ZNF610";0.453342996874885
"ZNF528";0.168542512293594
"ZNF701";0.52970459243901
"ZNF283";0.229130327773652
"ZNF558";0.627545979688104
"ZNF597";0.710594068300421
"ZNF30";0.608860384673731
"ZNF354A";0.638258885760204
"ZNF764";0.0625785588211639
"ZNF747";0.0533011684800322
"ZNF778";0.114052409813302
"ZNF212";0.570923183288154
"ZNF282";0.127983962839936
"ZNF160";0.957314523601175
"ZNF415";0.10655607315301
"ZNF439";0.246061035256692
"ZNF440";0.306777201758951
"ZNF562";0.162098176678069
"ZNF561";0.0858878360649098
"ZNF584";0.00575292310065023
"ZNF274";0.832619639497407
"ZIK1";0.170632172613744
"ZNF540";0.512435978137675
"ZNF570";0.407442619996578
"ZNF57";0.790186069560322
"ZNF556";0.801216007536192
"ZNF554";0.0646539207341064
"ZNF738";0.0410333866104485
"ZNF596";0.21931701781424
"ZNF621";0.590975109980676
"ZNF680";0.580774673829205
"ZNF483";0.0435892850851382
