"gene";"Prostate Adenocarcinoma Acinar Type-Prostate Adenocarcinoma  Other Subtype"
"ZNF417";0.616385643465009
"ZNF791";0.209098302142246
"ZNF519";0.0269345155478504
"ZNF25";0.526757502329376
"ZNF77";0.131820708985572
"ZNF169";0.0136163487440446
"ZNF613";0.176588623093414
"ZNF404";0.0613260300156627
"ZNF135";0.0528743207285085
"ZNF620";0.553745573228164
"ZNF619";0.369849757311833
"ZNF354C";0.740017266378864
"ZNF114";0.53473660232371
"ZNF454";0.763828919477164
"ZNF543";0.213628555212184
"ZNF354B";0.276364042402169
"ZNF223";0.310568224351759
"ZNF713";0.586356255444317
"ZNF552";0.00534670750379584
"ZNF154";0.683920696968201
"ZNF571";0.0453368721986462
"ZNF443";0.89621283922904
"ZNF792";0.843035385682511
"ZFP82";0.77747244114627
"ZNF707";0.112593599033554
"ZNF746";0.445320134431849
"ZNF678";0.313071191792121
"HKR1";0.124695310904448
"ZNF101";0.549978684876776
"ZNF716";0.843248897070777
"ZNF708";0.731803314376399
"ZNF721";0.786209789521342
"ZNF662";0.237530062114181
"ZNF320";0.154223745461032
"ZNF530";0.0777642317113172
"ZFP1";0.00670874691205836
"KRBA2";0.750408276088936
"ZNF93";0.796612088897875
"ZFP90";0.0804025401440163
"ZNF479";0.554108525239853
"ZNF445";0.891674534360548
"ZNF74";0.400935995041894
"ZNF829";0.89827582230388
"ZNF267";0.141906361332438
"ZNF566";0.142309138634811
"ZNF224";0.86212731853314
"ZNF529";0.298540598208216
"ZNF284";0.603510222613644
"ZNF749";0.113891063080908
"ZNF17";0.970777388560318
"ZNF555";0.22723706781814
"ZNF75D";0.959114458596413
"ZNF197";0.736299678965642
"ZNF732";0.0118456255959409
"ZNF546";0.158943715583891
"ZNF286A";0.146976723259444
"ZKSCAN4";0.603692290455048
"ZNF643";0.474365945675676
"ZNF642";0.18528363793018
"ZNF490";0.10594644817234
"ZNF626";0.276841506263507
"ZNF793";0.042976696153921
"ZNF383";0.170498648045904
"ZNF669";0.148185908766239
"ZNF559";0.080671931717574
"ZNF177";0.866728236355661
"ZNF548";0.62408952680948
"ZNF563";0.27657397665574
"ZNF567";0.901739123509199
"ZNF573";0.310162798623632
"ZNF527";0.817435592425923
"ZNF33A";0.213354640817802
"ZKSCAN3";0.89803125582453
"ZNF676";0.228166133285902
"ZNF699";0.127699421579846
"ZNF250";0.717193240966295
"ZNF79";0.538483627157783
"ZNF681";0.766734731836765
"ZNF766";0.869963472138679
"ZNF471";0.93960524740372
"ZNF836";0.801007605711435
"ZNF493";0.152485543133352
"ZNF167";0.563486216317739
"ZNF565";0.333476432168546
"ZNF34";0.743703744573918
"ZNF140";0.210896459569955
"ZNF658";0.919976648607541
"ZNF765";0.00947667916902428
"ZNF124";0.256816823991135
"ZNF569";0.0446428609185896
"ZNF777";0.350118207246542
"ZNF605";0.53176016908565
"ZNF799";0.354197033800565
"ZNF782";0.336937781004842
"ZNF846";0.597584234607103
"ZNF136";0.49385335169145
"ZKSCAN5";0.355935421649701
"ZNF33B";0.100315829573069
"ZNF431";0.358563502296124
"ZNF418";0.0363228296604815
"ZNF700";0.241905159805746
"ZFP28";0.248133370123659
"ZNF585A";0.201056716422414
"ZNF138";0.10592966881857
"ZNF429";0.00033496290637669
"ZNF470";0.0633829735358371
"ZNF100";0.295837568456401
"ZNF398";0.0138756210646136
"ZNF498";0.354370526421546
"ZNF441";0.217911488419331
"ZNF420";0.311903158409573
"ZNF763";0.50553948685174
"ZNF679";0.52262917023205
"ZNF682";0.288508559538993
"ZNF772";0.39896592406479
"ZNF257";0.29304180404396
"ZNF785";0.0505735951215729
"ZNF98";0.998880176356868
"ZNF786";0.679232905554928
"ZNF517";0.103441573034169
"ZNF675";0.62369038817719
"ZNF860";0.361765887116859
"ZNF695";0.449685896179184
"ZNF665";0.910896800676369
"ZNF624";0.724091547913246
"ZNF841";1.80291047746639e-05
"ZNF615";0.663215788682468
"ZNF433";0.551347402716033
"ZNF595";0.765861034758998
"ZNF460";0.305915405205202
"ZNF81";0.0491308442337359
"ZNF780A";0.128742879648192
"ZNF461";0.789516142104541
"ZNF181";0.895466633000844
"ZNF44";0.354055183080701
"ZNF790";0.825068648169722
"ZNF677";0.946415789655436
"ZNF823";0.7169432503682
"ZNF311";0.642836546988591
"ZNF347";0.552058383560281
"ZNF273";0.204558366198995
"ZNF84";0.332552690192992
"ZNF667";0.475857084207796
"ZNF649";0.741032757499928
"ZNF248";0.593818042007515
"ZNF544";0.159968761688378
"ZNF251";0.399273119891941
"ZNF607";0.268225724442334
"ZNF334";0.105879496283939
"ZNF485";0.292395137541802
"ZNF192";0.161067679566722
"ZNF442";0.857174984093297
"ZNF813";0.563368212075464
"ZNF26";0.63559076582052
"ZNF69";0.188588319813912
"ZNF583";0.761708997728546
"ZNF568";0.798882150760402
"ZNF480";0.032287911067806
"ZNF587";0.195897536566632
"ZNF808";0.885136080511783
"ZNF43";0.66791948608688
"ZNF28";0.311990200904458
"ZNF627";0.879334698933106
"ZNF789";0.394770428026592
"ZNF534";0.000899624011758693
"ZNF525";0.166904385857813
"ZNF814";0.770819939704798
"ZNF551";0.529909546143548
"ZNF805";0.127561722540432
"ZNF468";0.452360493538394
"ZNF616";0.251192444812057
"ZFP57";0.0878076423063615
"ZNF155";0.553324208229277
"ZNF425";0.672785862681097
"ZNF611";0.27574882488643
"ZNF254";0.338832518039298
"ZNF625";0.963348123622575
"ZNF845";0.807832860815398
"ZNF90";0.120258897039073
"ZNF788";0.92243040796162
"ZNF880";0.0310690883973992
"ZNF630";0.0843548796038955
"ZNF844";0.955945892457155
"ZNF717";0.887457946887087
"ZNF492";0.200550071258769
"ZNF688";0.214015855102304
"ZNF879";0.364211281318877
"ZNF737";0.704916183587562
"ZNF709";0.0429656966983347
"ZNF585B";0.463431505161182
"ZNF324B";0.822629212300668
"ZNF564";0.661652830171604
"ZNF674";0.846129241042445
"ZNF432";0.0280066301934302
"ZNF10";0.796212702711997
"ZNF486";0.467624518284961
"ZNF225";0.123255024112353
"ZNF350";0.0344017760775426
"ZNF253";0.228885985745407
"ZNF878";0.21224631142703
"ZNF727";0.242491853135783
"ZNF578";0.62303199639825
"TRIM28";0.427553835673745
