"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","mean-1","mean-2","mean-3","mean-4","SEM-1","SEM-2","SEM-3","SEM-4","Q1-1","Q1-2","Q1-3","Q1-4","Q3-1","Q3-2","Q3-3","Q3-4","count-1","count-2","count-3","count-4"
"ZNF195",0.00506226019087952,0.960231483970856,0.00033830038423599,0.877595679646841,0.00896977527835907,0.974393127331696,354.783807692308,457.318325,368.395201234568,377.403908974359,17.4926091554447,31.1880093128817,7.99330542963596,13.9219031283848,282.57995,303.0014,305.6905,285.30675,408.8401,535.1753,414.07885,445.0132,39,72,162,78
"ZNF263",0.10579317494401,0.00867267862988741,2.12756479101017e-11,0.0237099789607509,1.01293659016122e-08,0.999931654766643,857.588417948718,715.890268055556,1035.26900679012,1032.78695769231,39.3739008727695,24.5143214979345,29.0800748668949,33.1889647526949,703.65375,560.88325,772.7117,871.800075,1025.2422,820.501375,1241.1066,1222.6975,39,72,162,78
"ZNF200",0.249925937800214,0.00857782584909883,0.496082741064218,0.187584656633511,0.998751959781069,0.585520070415124,310.720353846154,278.457676388889,261.023574691358,276.286719230769,18.293338877769,10.4084914849441,6.08423928879122,10.3399446517561,245.0347,222.867925,212.5506,212.1032,356.1532,324.2401,293.2519,309.7806,39,72,162,78
"ZNF582",0.52428720203564,0.00766168450117977,3.61866288045576e-08,0.904165917739444,0.835807982886405,2.80615131431627e-06,47.3576025641026,39.0782138888889,64.9136438271605,43.2715333333333,4.81087850635916,3.16943329340732,2.51665093551467,3.50199613522313,21.65855,18.139975,42.403625,15.2187,64.46185,56.233125,83.3261,68.53205,39,72,162,78
"ZNF285",0.000650800341448932,0.306572598463318,0.00593255341414911,0.497470266359772,0.0124610528358545,0.994605748578707,75.6695897435897,127.794179166667,96.4554913580247,94.1568987179487,8.41670673325303,10.6721123691608,4.50020519150987,7.61353787924704,33.4471,78.278225,58.7522,45.36115,100.1795,152.384275,131.675725,135.02315,39,72,162,78
"ZNF275",0.999998614519203,0.974474274116183,0.956426959533036,0.699000659721634,0.574493456427425,0.751787385767207,636.88,636.1363,618.859788271605,586.098033333333,41.6334936353968,29.9344707414514,16.8931997926474,29.3503579722573,451.872,479.2698,482.891325,362.4264,731.50545,757.375925,741.664075,744.027275,39,72,162,78
"ZNF37A",0.274835138815428,0.0159983919541028,0.607286963658919,0.0629536245211243,0.85452609035155,0.988934721148278,581.306076923077,682.714229166667,732.123527777778,719.737991025641,44.2615130977266,33.2380620351099,23.1962632884779,29.5982284088959,416.9765,458.282275,539.6892,546.47125,667.75265,879.810425,856.786375,812.81525,39,72,162,78
"ZNF510",0.0972217298201014,0.560663252871762,9.2527826545119e-06,0.735374467524526,0.389208482084688,0.00969421513566804,343.965992307692,290.025873611111,371.267580246914,320.397308974359,17.7616655942393,14.2289935838035,9.43231414373002,12.6062393658816,242.2211,211.46595,288.552125,247.60565,403.76275,343.989775,436.8945,377.27885,39,72,162,78
"ZNF506",0.286750045917348,0.99503901805617,0.128415283161235,0.973991697115947,0.352551621486008,0.991169655269568,445.297807692308,386.758936111111,438.155254320988,431.443485897436,29.2592235974542,23.313242370071,11.4958117018129,18.4519316163349,295.665,261.878725,350.2576,322.36985,566.8428,489.07895,537.938225,537.392025,39,72,162,78
"ZNF324",0.117482266449256,0.964437447960068,0.0571352443230634,0.356057337547276,0.880706756626151,0.313693104471558,242.260915384615,198.924086111111,233.966464197531,210.756696153846,25.8791233042743,10.0166402217223,7.19656365378054,8.77179736157072,180.24295,146.291575,186.825025,165.905275,266.41435,241.686875,257.701375,238.448075,39,72,162,78
