"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","count-M0","count-M1","count-MX"
"ZNF195",0.816977365781806,0.00210189833292329,0.814951567579847,388.994237384259,366.34882,342.44292,5.03650522496463,29.1077134445235,9.93656734842097,298.94155,294.37545,270.6892,457.722625,447.2499,383.5749,864,15,125
"ZNF263",0.953042549624549,0.808817850819011,0.871852762419224,950.202097222222,925.285613333333,969.4398104,11.1731778111054,68.0506161575792,26.5815716126338,718.1116,721.5248,775.5942,1120.10475,1066.60715,1073.8131,864,15,125
"ZNF200",0.147325150734976,0.00690291055447512,0.75139333929062,270.887878125,230.4926,246.80432,2.89072783301368,14.3414020157757,6.20633946897899,215.52555,200.52815,197.3153,310.596075,247.62345,279.0952,864,15,125
"ZNF582",0.61506227319217,0.580913814133165,0.847600390108485,54.0553503472222,46.13118,50.9768728,1.12497662989501,7.29078465162701,2.46233797511342,27.97115,29.1869,31.6547,74.90025,65.18345,72.5923,864,15,125
"ZNF285",0.617278651147807,0.130057578065829,0.974669592717091,93.3320760416667,77.8841466666667,81.6179088,2.15291778747669,11.3706854512104,5.86104523349228,49.5773,46.7486,43.6538,124.998625,103.6504,114.1327,864,15,125
"ZNF275",0.675040552056212,0.00227979735775941,0.116592324850771,612.392817592593,667.41084,531.8637536,8.57663885661644,56.585143370794,21.3071470866121,440.30925,539.75505,334.2723,746.07565,761.6073,700.343,864,15,125
"ZNF37A",0.920627109086121,0.0160019694828839,0.374793004887881,718.608180324074,751.143213333333,633.2963072,11.090048289378,65.489357967371,27.2414288555892,503.2705,543.46355,423.6919,857.680975,853.9923,791.8538,864,15,125
"ZNF510",0.320170386250031,0.000104027479942315,0.99630278222502,339.247409490741,292.555426666667,289.769068,4.26362463771052,26.5035760444663,10.746158409683,249.73185,220.964,208.6594,415.6187,337.93845,362.1068,864,15,125
"ZNF506",0.309175084107468,0.309241329039339,0.651685461681856,434.867085069444,367.992686666667,410.296564,6.09308330613985,54.6076124764809,12.7497195194893,321.72375,243.24255,326.7327,538.3147,452.4238,505.5249,864,15,125
"ZNF324",0.957068568048124,0.942267659125924,0.921973383661602,214.909947453704,222.942526666667,211.473852,3.8561213083192,18.6615474958854,7.19197359890949,162.598775,176.18955,165.6302,248.2065,249.2933,250.9719,864,15,125
"ZNF671",0.647726334243598,0.993669546607941,0.650317437646385,146.699291782407,117.527653333333,147.9941624,4.4074215924536,23.7225922697429,9.18865947692359,57.92165,49.5314,74.0994,202.7265,167.5524,206.3431,864,15,125
"ZNF416",0.643158979836532,0.0121012936890762,0.98812521169229,145.681322569444,129.581226666667,126.8049544,2.44484279487522,11.6463694036769,4.27581287059477,107.626675,90.125,98.7248,169.4173,159.5991,148.1142,864,15,125
"ZNF586",0.135751154873603,0.845045138149834,0.233959487422731,246.936855208333,180.41712,239.8699376,4.73068051453897,13.2695164814311,8.56904005549202,170.46,157.6605,166.1836,289.85125,195.9095,291.841,864,15,125
"ZNF446",0.951355641365566,0.00015756619287266,0.202705148239201,301.529031365741,286.67046,375.190708,6.42687910316332,27.7279126699721,18.0613358903457,195.1634,210.48175,230.763,364.894225,382.1235,482.897,864,15,125
"ZNF8",0.702740591709876,0.0178549697554334,0.979893292930638,116.087849884259,104.3172,101.3561064,2.01375627072613,11.3840711496204,2.99910466408049,82.03035,65.62645,75.4717,138.42375,126.5651,122.3139,864,15,125
"ZNF264",0.926130264035591,0.000942877616641247,0.635366840269272,921.214863657407,878.420213333333,769.1615544,15.1084743991688,87.1204381271559,37.9445900093036,681.23155,643.74665,546.4229,1069.980925,1030.0166,947.4186,864,15,125
"ZNF213",0.910704936450895,0.599844793705,0.745582416000737,772.68936400463,808.44858,741.944436,11.5259397171394,89.7991203110896,25.9528167662922,545.3228,541.46905,516.9977,929.718075,934.42395,898.8208,864,15,125
"ZNF343",0.924265254901966,0.5322203257818,0.742483920286841,321.627684490741,331.726846666667,311.1123728,3.52857996416152,25.6328707664404,8.46993336691362,253.411525,263.74775,247.5681,372.3951,382.6019,356.7715,864,15,125
"ZNF302",0.306889899317829,0.12442952107069,0.754798937169455,754.501421990741,620.76786,689.0961056,12.3701888883515,59.4293843613184,22.2385553931972,538.5873,482.5397,535.5177,912.611675,674.7994,809.7484,864,15,125
"ZNF268",0.520982349278163,7.20897335813042e-05,0.895678604901092,449.061109837963,390.2409,364.9049736,7.08633373479812,34.8012449305372,18.56801720304,302.542225,304.5417,209.3468,564.69375,464.30575,494.2693,864,15,125
"ZNF184",0.419583626794531,0.00231054662213814,0.999753530444663,325.946442013889,281.337466666667,282.124364,4.75887424371754,18.3376563629953,10.1915040227128,244.5108,223.2706,203.1324,378.607075,340.9034,327.1676,864,15,125
"ZNF500",0.915036402983882,6.07027249011072e-06,0.0997208388876586,291.057349652778,278.449686666667,346.2040352,4.06463264252133,18.845721590503,11.824063772072,207.7405,231.6429,251.9246,355.89185,307.90815,432.2339,864,15,125
"ZNF419",0.368476506935211,0.529867461994332,0.63463681410173,199.625347453704,162.608866666667,188.7860776,3.724041049055,19.2613037017393,6.6998235243729,139.531,121.8949,148.1458,237.16945,200.0571,218.1119,864,15,125
"ZNF175",0.250374251136896,0.0954912476115083,0.710101423523844,166.886546875,123.440633333333,146.0502392,3.6900007197609,24.3108265330679,6.91767981174799,104.281325,53.08235,102.6176,206.267275,161.73315,184.7484,864,15,125
"ZNF14",0.997197879569455,0.0577009233351802,0.743419242460068,268.535243518519,266.63146,246.0840472,3.52116827701124,42.8096445042612,7.53538715299859,199.707775,153.63735,195.0512,324.888675,317.11235,294.6122,864,15,125
"ZNF85",0.66609132675141,0.0115520037757166,0.980866183245206,177.12091724537,159.87164,155.9289336,2.71953205788362,19.211169828667,4.78313114916524,130.157275,112.92865,120.9872,210.143675,185.8776,182.8446,864,15,125
"ZKSCAN1",0.875220279171874,0.0801742394841636,0.440159146828388,1688.75377824074,1831.87042,1458.6522568,38.2859243291775,223.651755991158,97.1251891256178,901.38075,1449.13295,626.2966,2225.001675,2267.0723,2013.0678,864,15,125
"ZNF862",0.960979068803993,0.0216533913626181,0.777916005958003,544.112086574074,566.041853333333,623.8682,10.6599175809616,47.8684737296797,29.0552517350205,320.449425,478.5925,373.0833,674.1225,570.8424,765.8361,864,15,125
"ZNF684",0.538598786054596,0.263828139630514,0.887661201627184,55.1935231481481,49.2009466666667,51.9568912,0.754446496774502,5.71465670000742,1.59760490061601,40.90305,35.9813,40.6882,65.5375,55.54145,61.1134,864,15,125
"ZNF430",0.982519944445787,1.33082002149454e-05,0.318067618442517,159.43752037037,156.15028,128.2774712,2.43368473316332,21.0126064851582,5.54551207458204,110.17075,110.5106,81.8414,203.33375,196.72625,177.4982,864,15,125
"ZFP30",0.984938283272914,0.00334903879501969,0.588412538171994,331.923965856481,324.905426666667,281.3196984,5.59264511910037,42.7850286917776,13.2061423964257,229.97925,219.63245,194.1802,400.097125,406.9176,345.1414,864,15,125
"ZNF549",0.574368895008156,0.160015789129259,0.946498235166802,237.100398958333,194.90444,208.8297352,5.72024417767412,24.6347623423019,9.94694926138191,140.7702,141.17385,135.5425,303.069025,255.5787,272.9175,864,15,125
"ZNF211",0.491400745694832,0.203619733569758,0.877720204675746,244.563693981481,201.736893333333,220.9628816,5.15861928042129,22.3975199810167,7.97742961756539,163.14335,147.07665,156.4816,285.574025,280.07375,276.4497,864,15,125
"ZNF205",0.996606023229414,5.72824837563601e-08,0.136517639939063,328.255428587963,332.44496,439.3279888,6.57139355252502,32.290058041237,24.8749388326376,205.092075,266.77905,252.4295,402.4858,391.0454,543.9155,864,15,125
"ZNF45",0.997919495620035,0.302123620007577,0.890444000801483,317.212281828704,315.030306666667,297.9370416,3.85653815065198,30.3846491634,21.7276148300913,236.5305,227.18645,205.25,388.41105,414.0068,351.2894,864,15,125
"ZNF133",0.775709730851869,0.10419812192985,0.362307321231406,316.757349305556,283.616993333333,353.2645616,6.55617321361198,25.3202465912379,13.8177071338894,212.67285,222.27665,236.2372,357.9902,344.24915,438.3625,864,15,125
