"gene","p-adj-N0 (mol+)-N0","p-adj-N1-N0","p-adj-N1-N0 (mol+)","p-adj-N2-N0","p-adj-N2-N0 (mol+)","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N0 (mol+)","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N0 (mol+)","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N0 (mol+)","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N0 (mol+)","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N0 (mol+)","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N0 (mol+)","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N0 (mol+)","count-N1","count-N2","count-N3","count-NX"
"ZNF195",0.996014041722521,0.990500518362733,0.994139895621654,0.995078213828171,0.997748273542693,0.945403767321688,0.397772111480831,0.999852223128913,0.244662574097947,0.814117406666821,0.997715163683279,0.998931430880255,0.989573438871418,0.999941857622139,0.996020373679226,384.418474364407,311.6136,390.677729850746,376.395136036036,348.734579411765,368.449052941176,6.57701797020547,NA,8.46512395344485,13.4730260879009,12.0596495955692,29.4321619908943,294.7939,311.6136,302.36565,283.27735,287.451,304.6526,456.5405,311.6136,453.86605,458.20425,395.8388,383.3258,472,1,335,111,68,17
"ZNF263",0.828465883961437,0.999994433768749,0.83335612547277,0.998026837557722,0.807271502101947,0.995985401345562,0.999984179832595,0.842311458813213,0.999999267340046,0.998025974818857,0.402930029181045,0.978428316941762,0.43509958580526,0.356442580758472,0.564406780321782,949.424514194915,1343.741,952.474564179105,934.57332972973,956.255836764706,1101.16148823529,14.5617507754774,NA,17.3600608117275,27.750190748865,38.7173674197421,164.920247683302,715.770025,1343.741,730.12155,720.37755,760.1858,686.8229,1101.363875,1343.741,1139.83505,1110.74035,1053.347775,1146.9375,472,1,335,111,68,17
"ZNF200",0.999999313126712,0.748928021407768,0.999999999981488,0.994522051510829,0.999999996721046,0.999101546197331,0.554399331826759,0.999995140208073,0.948256484078341,0.906464695056185,0.996091316761158,0.999950431410284,0.948801473611029,0.982550733014725,0.809580225816757,271.56936059322,264.3371,263.455467164179,266.827172972973,253.563344117647,281.898547058824,3.86290070872469,NA,4.72972484930944,6.62853202021524,8.13263788764183,31.3137512793479,216.788775,264.3371,205.5437,213.88965,212.86485,213.5118,314.57835,264.3371,302.69165,309.58035,274.429725,291.304,472,1,335,111,68,17
"ZNF582",0.999998163792069,0.999314854590582,0.999999522349262,0.977137892731811,0.999971852750561,0.936303465231891,0.997667039635093,0.999984071582998,0.98901750867903,0.999995552486349,0.999960677818989,0.999989576591768,0.999702848514027,0.999997353422492,0.999999989539039,53.7141351694915,57.1429,54.5238874626866,51.1889387387387,51.8188191176471,52.1488588235294,1.52076018553007,NA,1.78246775441605,2.90119917283536,3.28254867434693,10.1395962245903,28.8824,57.1429,28.446,29.1987,30.337675,12.7372,75.437925,57.1429,75.3434,70.9983,67.8241,72.1049,472,1,335,111,68,17
"ZNF285",0.843861485247345,0.999784670141685,0.834672303133795,0.330755479371806,0.927608019875551,0.274107022546841,0.927020897190838,0.89958041243625,0.883356449104489,0.993120358987846,0.850488476010298,0.953043028395545,0.815830543091282,0.999717713273275,0.990910945453804,93.6442008474576,18.4995,94.8921719402985,80.1426666666667,85.6682632352941,75.3351,3.0325871941834,NA,3.51777761095384,4.9680069489392,6.85592431404968,14.4104439294781,49.03695,18.4995,51.8288,39.7441,44.914775,11.9904,125.898275,18.4995,126.44435,109.8847,101.276275,117.2615,472,1,335,111,68,17
"ZNF275",0.999999999197347,0.999877320255794,0.999999985614004,0.999989477696773,0.999999999998216,0.999647918816161,0.999788103115475,0.999999999945999,0.99867740905692,0.999995043786561,0.999975904525809,0.999999845295097,0.999998201500355,0.999914692222797,0.999711546913282,602.579260381356,596.9168,607.007613134328,598.595191891892,593.595316176471,613.594135294118,11.6278482472007,NA,13.8024930838151,25.1136622730546,24.5778114946802,73.8989790401948,419.60075,596.9168,444.36015,431.06315,414.546025,365.2592,747.1004,596.9168,732.6065,743.80875,738.3322,755.705,472,1,335,111,68,17
"ZNF37A",0.999458880446007,0.999993982485455,0.999531613796256,0.999933814969043,0.999624226067854,0.999996265680583,0.959834220504015,0.99793654481826,0.948506161073519,0.95645041229802,0.999202562576217,0.999897191839818,0.999557414974354,0.999857093514871,0.978182638178306,708.413755508475,816.444,711.516655820895,715.838958558559,673.076898529412,737.2638,15.3038048066241,NA,16.8825128938821,29.4405185604132,43.9195513985425,73.7989620889134,485.74335,816.444,498.0136,525.496,478.9251,509.7077,858.342425,816.444,856.2394,852.7863,795.862575,856.8192,472,1,335,111,68,17
"ZNF510",0.933664374902528,0.563309250565762,0.96193399586901,0.975130349704042,0.954414831008541,0.999274957583884,0.999999971209771,0.933659535488511,0.938027358643979,0.993801756506601,0.998217717053241,0.963781699630233,0.999999946256747,0.99999867133514,0.998520546993045,326.050738771186,445.221,340.87401761194,336.013131531532,325.302492647059,339.249058823529,5.92679150945001,NA,6.86922716190737,11.035004432087,14.1041484456099,29.704350196832,232.6549,445.221,243.5605,261.2292,255.477425,282.6101,402.910225,445.221,418.2354,406.5865,416.620075,456.2755,472,1,335,111,68,17
"ZNF506",0.997377931936633,0.999988390798129,0.997075537695011,0.822725083240681,0.999473460827347,0.79421046773199,0.989885416418198,0.998977711016315,0.983844607060586,0.999534429667461,0.948284599228748,0.999902192610529,0.938667093998605,0.999325024023922,0.995478239166406,427.241015042373,508.5303,425.319607462687,450.036055855856,441.291704411765,465.995664705882,8.45910479497675,NA,9.10394477085859,15.6477667436733,19.4228656474623,59.7890728077181,311.2694,508.5303,319.2983,325.5151,360.9161,372.5359,532.155,508.5303,532.0609,538.0383,533.974025,612.3416,472,1,335,111,68,17
"ZNF324",0.999999997607101,0.999999934824855,0.999999998865048,0.999993455488398,0.999999981296315,0.999982240951347,0.976781931905174,0.999999801796433,0.982701386805682,0.979866407029342,0.979023430055086,0.999990626175236,0.981558346508611,0.976692718846906,0.999649136466855,213.588548940678,216.6495,214.011680895522,212.015103603604,224.103477941176,233.146664705882,4.63868961378962,NA,4.8782819428336,18.0426914295827,9.43962610757406,21.3583331995193,166.12505,216.6495,162.56075,149.611,170.26625,197.6643,247.6516,216.6495,249.93945,237.4846,262.51645,253.7197,472,1,335,111,68,17
"ZNF671",0.999782375140089,0.999879582639128,0.99984257093495,0.997782426923368,0.999914554964324,0.999808095887262,0.998700533189507,0.999511246221509,0.995369432266352,0.987834253126998,0.927591962898339,0.99612031189936,0.906854251052543,0.881730063267426,0.982897556632419,145.949611016949,180.8839,148.16038119403,151.885731531532,139.419042647059,115.749064705882,5.7326865140157,NA,6.08193130808204,17.3709763220797,11.6753262873656,23.3876592612019,56.59305,180.8839,61.82665,45.60335,64.259175,44.1726,201.024225,180.8839,205.5867,211.60305,193.62015,191.9456,472,1,335,111,68,17
"ZNF416",0.999991486674537,0.956866803179198,0.999950744875921,0.987350698062261,0.999942466448728,0.999999831930969,0.999999999999073,0.99999152589667,0.99759631040527,0.997959514523047,0.809936304422828,0.999985017260007,0.670411820301079,0.695962451294367,0.8627097085479,141.524488559322,131.5519,145.758588059701,146.255313513514,141.577617647059,120.067358823529,3.19472228087855,NA,3.77354955038691,7.5611697599059,6.64348848102954,11.3498455990957,107.194675,131.5519,107.9921,103.0357,104.938,75.9139,163.634275,131.5519,165.5535,182.16235,166.9901,156.1964,472,1,335,111,68,17
"ZNF586",0.999334213047542,0.790594151946149,0.999852977782907,0.997654914707022,0.999680833374204,0.998567839147158,0.991182633660084,0.998289988722666,0.798205584045687,0.965260917386662,0.993172938860066,0.997037145948223,0.938104280838913,0.979662832126787,0.999913921057999,241.21678559322,287.7698,253.550725074627,247.58504954955,230.838014705882,222.525347058824,6.12738609432484,NA,7.94677303092831,12.746758542012,9.72641633333065,13.1962481638447,167.9185,287.7698,171.05455,167.18275,171.857525,201.7955,281.94805,287.7698,297.2892,290.43215,287.184175,255.4916,472,1,335,111,68,17
"ZNF446",0.999168407880968,0.843746946146334,0.999772449320668,0.996844378323102,0.998465071622977,0.819119940105062,0.99627086875205,0.999688474396255,0.999988779276009,0.975802500308234,0.937259272960394,0.999994943756297,0.991819668900013,0.888910050141194,0.990046731083396,304.490030508475,374.1336,320.691886567164,294.803713513514,316.827766176471,348.662835294118,8.10547421881244,NA,10.5706171559621,24.6771731797933,16.5447991658222,51.2998435247957,195.8071,374.1336,207.49095,172.38385,221.921625,219.9063,371.8636,374.1336,389.93665,333.73675,379.012975,364.5946,472,1,335,111,68,17
"ZNF8",0.997089882390561,0.924686147824067,0.998651590087659,0.999999984880356,0.997257757646785,0.991067126432682,0.99526832788089,0.998655906309815,0.999999999869766,0.998465192697399,0.999999471959663,0.997930709257494,0.999956490199151,0.999999875351094,0.999977121366482,115.734953601695,88.9332,111.768443880597,115.493189189189,111.886214705882,114.582764705882,2.25612697057425,NA,2.69677689926003,9.67240660876977,4.86963993210625,7.55786464208049,84.658625,88.9332,79.02535,74.5888,82.68765,103.3573,137.286225,88.9332,132.13865,134.70895,134.915025,140.7804,472,1,335,111,68,17
