"gene","p-adj-N0 (mol+)-N0","p-adj-N1-N0","p-adj-N1-N0 (mol+)","p-adj-N2-N0","p-adj-N2-N0 (mol+)","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N0 (mol+)","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N0 (mol+)","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N0 (mol+)","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N0 (mol+)","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N0 (mol+)","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N0 (mol+)","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N0 (mol+)","count-N1","count-N2","count-N3","count-NX"
"ZNF264",0.999969040369824,0.664405507241205,0.999709474122964,0.992061343029826,0.999874938397015,0.998418432534536,0.928508146954508,0.999999883896582,0.500307284669469,0.83003870333747,0.999999927355297,0.999981485095733,0.99665824497984,0.999728854708898,0.998484814894711,886.732238771186,804.111,934.197775223881,914.041342342342,831.219747058823,880.683852941176,16.6589311903199,NA,25.8238590489038,65.518692342664,35.7251954380549,68.4352133118687,658.210975,804.111,676.5366,651.7152,620.6689,738.0373,1048.158425,804.111,1100.7335,1034.52135,1010.535525,1029.4975,472,1,335,111,68,17
"ZNF213",0.998965667168903,0.995351666609185,0.998381406653014,0.999689107049779,0.998509376032495,0.999999938197955,0.961803457513727,0.999802253514982,0.885418636400016,0.945659576136752,0.820724367144582,0.999999680343535,0.742787162266061,0.791201960110347,0.978903694677336,770.415701483051,897.4306,758.001358507463,759.957053153153,806.349967647059,871.898011764706,14.9505638166425,NA,18.5904186023292,31.3503497646614,39.1790543300546,115.343147547173,560.772975,897.4306,524.23805,521.40225,584.973375,575.5258,919.160125,897.4306,900.7809,901.3165,1007.5842,947.4768,472,1,335,111,68,17
"ZNF343",0.999995463668407,0.940588704434236,0.99996366856299,0.673920431303453,0.999999996719425,0.324413878853319,0.89678911718556,0.999831672065509,0.994579349652268,0.396092341114723,0.755266203846635,0.997737712423141,0.890231942233962,0.412844254020379,0.979009971980487,322.470307627119,335.4573,315.713621492537,338.520048648649,308.376366176471,288.261452941176,4.70120576260069,NA,5.47755180766461,11.2839109145436,10.8694623479843,20.1888935946812,254.308225,335.4573,248.97155,265.75355,244.547125,232.3271,374.946175,335.4573,362.15285,389.8289,370.4163,346.8652,472,1,335,111,68,17
"ZNF302",0.991074277578731,0.899213104033318,0.984726849628493,0.996259821531173,0.987102203356096,0.999946225733607,0.0912490961795713,0.937610172664105,0.34422155522744,0.419102661415565,0.854578619406987,0.9553227759074,0.95762607452954,0.946452773206996,0.999956673036383,764.754325635593,974.7174,738.406695522388,746.387521621622,645.437066176471,664.354247058823,19.4444375079804,NA,14.8935276015358,27.3344485760265,25.9515340955062,63.7455599289455,530.3668,974.7174,561.1248,586.32235,478.510275,477.6612,923.5756,974.7174,876.8068,903.1937,755.853625,925.5177,472,1,335,111,68,17
"ZNF268",0.992038594732065,0.947762007290092,0.995368171355728,0.408857154152528,0.998914267356589,0.818719827061915,0.999742010815539,0.994298315785457,0.999954331505035,0.899405800492255,0.777059729984015,0.999857835776329,0.901405209899474,0.996833523243487,0.89709696139279,426.840844067797,549.2292,440.205992835821,468.521372072072,434.602441176471,494.681211764706,9.47592810144248,NA,11.2965719073527,21.3978245743644,23.1304300420906,70.4104173316746,267.51225,549.2292,282.04235,309.46485,299.054625,322.9989,541.04125,549.2292,575.7079,630.5654,537.351875,615.3311,472,1,335,111,68,17
"ZNF184",0.994804611254392,0.922626982921984,0.997342058630815,0.999999999997829,0.99492000931861,0.988278729151818,0.501018581602716,0.999645683585893,0.84916656419305,0.685749030372992,0.989739013478979,0.999086275985102,0.999479106443794,0.992157752909902,0.999795477836393,325.580997881356,252.4152,315.93844119403,325.481318918919,294.547088235294,304.687117647059,7.0263394340395,NA,6.65056014040496,12.8881658862836,11.5718668929243,24.2824313950531,236.5378,252.4152,243.54525,228.24745,222.311525,238.7857,376.61965,252.4152,358.10145,398.03695,363.409475,331.7319,472,1,335,111,68,17
"ZNF500",0.495271350770291,0.910580546764651,0.544162322392755,0.998542622593975,0.471098358085501,0.896934980920642,0.651194571127999,0.632576797689862,0.937787896122226,0.624962738609234,0.997968151656831,0.596852887743535,0.999992262651386,0.992313496482625,0.999492070970431,293.285321398305,507.297,302.178008059701,288.037634234234,317.3006,306.445894117647,5.66537303933366,NA,6.50084168274343,10.6281429970275,16.4398969295119,34.616715786922,211.565525,507.297,217.08015,210.9666,214.85225,174.0683,358.778575,507.297,368.05335,344.064,374.432575,363.747,472,1,335,111,68,17
"ZNF419",0.997429603876953,0.992603305980054,0.99614969024819,0.999999971177814,0.997341733576162,0.999473068285159,0.999999431246518,0.997773178068528,0.998825834368718,0.999998469796442,0.695592034339405,0.999998653439674,0.59462422682764,0.730762257231708,0.795481660095604,196.984171398305,148.407,201.323517313433,197.495905405405,195.841058823529,159.184776470588,4.73405411500933,NA,5.81134019283703,12.1477544639986,9.96401813628124,19.0192662012925,141.72615,148.407,139.531,136.2493,144.170425,96.2935,237.28335,148.407,237.8042,236.31265,218.75925,200.4008,472,1,335,111,68,17
"ZNF175",0.999973543673294,0.622925329707919,0.999999782191169,0.999999999995195,0.999974593675813,0.913986689495393,0.998836849400715,0.999994987931735,0.997436300927947,0.999534981885403,0.970022515639927,0.999999999951944,0.999478253394087,0.976739808428601,0.995035326528781,158.985644915254,178.0062,170.742267761194,159.075438738739,164.308057352941,179.391411764706,5.55033458530728,NA,5.10468170623999,7.50828188634126,8.95829461287492,29.6077564648345,91.557525,178.0062,109.86975,110.30375,116.812275,105.1515,200.058925,178.0062,211.13525,195.47935,201.06205,187.4356,472,1,335,111,68,17
"ZNF14",0.972277575225135,0.999994309806231,0.973782638470512,0.65611127736264,0.990341613691217,0.744682666496109,0.99604813764361,0.961690264109005,0.99337162760622,0.689711649464313,0.951804183627929,0.994515644422015,0.961266999095814,0.999930623274468,0.904350593581203,263.574152118644,342.8571,264.546291940298,279.959356756757,256.868776470588,285.823417647059,4.8477031673161,NA,5.49998571766549,9.57465783665907,10.657568701993,31.8369052388731,193.301325,342.8571,200.9362,208.83175,193.266225,214.7996,320.1497,342.8571,316.412,340.6645,304.933175,352.1486,472,1,335,111,68,17
"ZNF85",0.999999999967582,0.948605726650628,0.999999947812168,0.995953503288455,0.999999983010277,0.999998969012549,0.999963249220204,0.99999999079598,0.985481572782418,0.995836348948847,0.926330932479084,0.999879928785214,0.825786258838948,0.869935495151441,0.968571232956966,172.56765,173.4841,177.499309253731,176.70135045045,170.630141176471,153.957694117647,3.25769117955641,NA,4.7153687259261,7.06878729352442,9.50159774828139,20.7303181684752,129.754875,173.4841,129.1335,125.7968,127.11875,103.0335,205.848225,173.4841,211.17085,207.575,197.5828,169.7744,472,1,335,111,68,17
"ZKSCAN1",0.998990970889466,0.961895602051484,0.999560184783447,0.771050762699922,0.999895798857628,0.977602343521239,0.942540189824443,0.999844335517523,0.997753756887412,0.999993423031689,0.597052416359614,0.999999999843941,0.755250922208906,0.923624788448553,0.91100887033493,1605.87010635593,2030.0103,1672.26149432836,1762.3275036036,1738.81100588235,2048.65002352941,50.8152365259398,NA,57.5884785932231,117.477378977794,144.65123620119,389.25312939164,825.53915,2030.0103,897.87415,1018.44505,850.4109,1009.1042,2122.285625,2030.0103,2288.62935,2248.1316,2253.357575,2624.4422,472,1,335,111,68,17
"ZNF862",0.99992723160714,0.999999992347535,0.999923213960568,0.504922525914362,0.999999989117837,0.532173229075635,0.804419809032739,0.998934634441663,0.830118293934167,0.212788041278535,0.981790865735603,0.999999967322406,0.981180295150832,0.999999985002277,0.815378279165906,557.983121822034,488.3864,558.774039701492,500.31879009009,609.476261764706,503.6177,15.6766329029418,NA,16.0667171636767,24.1175616357001,37.4406484235902,71.589439137438,314.0493,488.3864,343.64155,306.59535,412.7473,289.1479,683.254975,488.3864,716.75455,615.86435,722.987,514.4991,472,1,335,111,68,17
"ZNF684",0.998397606213357,0.94550548096057,0.999291379481329,0.222673776862796,0.999973547739468,0.623305848060221,0.181679024026383,0.999997361303263,0.472747384125639,0.998041179868908,0.769819230950756,0.999999307179971,0.897686279877963,0.999281730491819,0.999999064152725,56.3044796610169,47.2765,54.9064564179104,51.2014063063063,49.7532617647059,49.2116411764706,0.942009851586826,NA,1.3493429229516,1.78139354934601,2.15930681827375,4.93494889166171,41.7949,47.2765,40.2401,38.71235,38.3424,37.9222,67.93405,47.2765,64.99935,59.65855,58.54875,56.6899,472,1,335,111,68,17
"ZNF430",0.97531032784669,0.977524533613332,0.982127659760004,0.914929821568704,0.987725574602842,0.996440847522507,0.828739992017876,0.945716141403708,0.610958913857009,0.521262591201782,0.893850256471766,0.922093157326364,0.800207577228263,0.713957758541174,0.998825338127912,154.448029449153,208.0164,158.190283283582,162.03211981982,143.205132352941,135.659423529412,3.32893386936656,NA,3.91705584251764,6.69892881499668,7.25916553090995,18.7731976415113,104.73985,208.0164,107.67965,118.55325,103.7552,96.02,197.5893,208.0164,202.40925,202.10445,182.446575,164.9298,472,1,335,111,68,17
"ZFP30",0.994054421254908,0.978662657962917,0.996277723029148,0.983665956205721,0.99698707703222,0.999969903824712,0.542987188037205,0.97362554209285,0.3246909044127,0.410743560251429,0.942182507977987,0.999592067486101,0.981735820575366,0.991574457222854,0.571907269065334,323.089370338983,412.7441,331.555995820896,334.864648648649,287.478648529412,360.008270588235,7.83994816063141,NA,8.54882148844701,15.7485317691248,16.4771143253771,39.8186013327949,220.50055,412.7441,238.83925,222.1698,204.4316,282.1959,389.25155,412.7441,397.549,407.8082,344.3376,480.663,472,1,335,111,68,17
"ZNF549",0.999999691481536,0.631726604048512,0.999999990619908,0.592155880397306,0.999998893112903,0.994531175334849,0.999999999999845,0.999999688713279,0.960557332245868,0.878722400502437,0.978441584380841,0.999875986611122,0.851669802759026,0.761129583461698,0.986052351163063,224.435938135593,236.3823,242.322612835821,251.865648648649,224.339623529412,195.389788235294,7.1319810734774,NA,9.05217363816516,18.9872409904265,13.0519802830405,37.4509249489885,138.03945,236.3823,142.1142,148.2835,143.140275,84.7526,284.080325,236.3823,314.11615,322.4384,285.646425,273.4226,472,1,335,111,68,17
"ZNF211",0.999999999783074,0.999655798115763,0.999999987437018,0.995049355666228,0.99999971556417,0.99961434275463,0.999840389679797,0.999999953413203,0.999999168526582,0.999991654144162,0.997472950547211,0.99999902111297,0.994400533690264,0.987232692584646,0.994443323921431,238.991582838983,236.481,242.137851940299,247.074416216216,243.876751470588,222.581023529412,6.46356782922379,NA,8.1478812095773,17.3433635507588,10.2633241939494,22.4519149483967,159.936275,236.481,164.34095,154.3948,178.1145,136.8904,287.57805,236.481,282.17905,289.5073,284.460675,301.0238,472,1,335,111,68,17
"ZNF205",0.999995986755498,0.915986294696423,0.999960933049573,0.84339686984195,0.999873249040834,0.996637748542132,0.99769121014737,0.999999838623566,0.924671044608948,0.841042917793155,0.981269640178574,0.999999959860967,0.921211119364514,0.860362832893128,0.998187228714369,348.55526440678,374.2939,333.598742686567,322.51001981982,360.691073529412,384.8118,9.44374773429158,NA,10.8341431994891,23.2712194711447,24.3827366435634,58.5987270280866,215.754275,374.2939,200.9869,188.42925,235.34165,208.8038,433.23625,374.2939,406.1593,385.24605,428.336125,497.6507,472,1,335,111,68,17
"ZNF45",0.99302627582061,0.713169820720535,0.997244450034978,0.999828036491285,0.991438570215764,0.845544393495664,0.990085953461742,0.987626049741549,0.749617925059271,0.999434333014129,0.99999899157522,0.992615820391025,0.996108073770267,0.999999999736936,0.999946454667553,311.283663983051,388.9003,325.149922089552,307.49080990991,300.430983823529,308.129170588235,5.21483112222278,NA,9.59203644621216,10.8178405429971,11.5893612258461,26.5991248342828,232.4467,388.9003,233.9193,229.274,226.1817,222.3786,382.355875,388.9003,385.6889,396.7706,352.843975,411.6032,472,1,335,111,68,17
"ZNF133",0.998096301949128,0.56505427042935,0.999594327377395,0.460365736881642,0.999890701134611,0.985596822583793,0.914097972664357,0.993519842261486,0.419362196975964,0.292577883869371,0.65768543411648,0.999999909613077,0.909451406151456,0.982070698116403,0.428328499505192,331.723746398305,250.7708,309.643485671642,295.991435135135,356.298408823529,261.905117647059,10.0269502981032,NA,7.7857918732262,16.2406790090278,23.0127797752364,28.9165212066921,225.29985,250.7708,213.49465,198.16505,221.401525,195.9575,387.520425,250.7708,353.8138,336.78845,476.0756,323.8049,472,1,335,111,68,17
"ZNF436",1,0.991973640899291,0.999999981224143,0.999999986714729,0.999999999999893,0.999363975984203,0.875650537041781,0.999991440576587,0.97220743438317,0.943651055502223,0.998513180696687,0.999998735094668,0.992599659347473,0.998605869422658,0.944929034343098,974.928006355932,974.7461,993.80667761194,976.80141981982,1040.11096617647,929.250258823529,19.2749969405317,NA,27.7797103586491,33.7463667008469,63.6465543257439,80.4252754478699,674.361375,974.7461,687.28395,740.7892,710.6447,720.1401,1223.964575,974.7461,1208.61625,1106.53625,1170.1549,1201.8532,472,1,335,111,68,17
"ZNF484",0.997608595042829,0.568585086647284,0.999439766043382,0.871910784518769,0.999455237908052,0.999999999994112,0.999392188659305,0.9963862583305,0.828994170427553,0.898331384203904,0.999886011580967,0.998939378842187,0.999908306538635,0.999921190044499,0.998920487821876,91.8495201271186,112.2302,97.1326701492537,97.1741216216216,89.8611647058824,94.5399882352941,2.10602329146411,NA,2.46387158760184,3.86592614686946,5.2391711864753,12.6513174309358,60.016625,112.2302,61.14645,72.79395,64.7844,65.0713,120.30615,112.2302,126.59675,121.0937,111.263625,106.7768,472,1,335,111,68,17
"ZNF780B",0.999997561213981,0.999135730088453,0.99999935647834,0.998216506046276,0.999999815092517,0.999979679782493,0.869612408850965,0.999849831040454,0.786606684464716,0.815905624021782,0.999985748730922,0.999999755267432,0.999999941862242,0.999999999357269,0.983633499262382,308.387462288136,328.0576,312.990756716418,316.285304504504,282.666136764706,315.302070588235,8.38736888334649,NA,9.93988514440744,15.2260544283269,14.8968398515641,32.5026676063716,197.827325,328.0576,204.6562,210.3232,188.5575,212.8661,383.67225,328.0576,378.77635,387.4819,364.778675,400.1236,472,1,335,111,68,17
"ZNF557",1,0.998971506229807,0.999999998465585,0.997956870423952,0.999999975541903,0.999977812417425,0.171378866185773,0.999645020723749,0.123224543179769,0.199678548022153,0.8704885954992,0.999810861824388,0.914960916231181,0.948922605174399,0.260363936623725,215.279181991525,215.4162,217.683306268657,219.372892792793,188.168763235294,239.8992,4.42105140752922,NA,4.7269626265841,7.08215281497799,8.26621123127419,14.3108638252989,159.100975,215.4162,164.8318,163.11015,140.6817,196.2394,253.9503,215.4162,261.88685,273.41635,233.477675,267.2023,472,1,335,111,68,17
"ZNF337",0.99961032061847,0.999645160346749,0.999458804669184,0.993323230995051,0.999864369819719,0.976671076073688,0.985425142354399,0.998755101416722,0.996629094742799,0.93383096712804,0.988641992946505,0.999988986230044,0.980139341023247,0.999087251941611,0.947865979508592,511.046769915254,442.9229,515.816268358209,498.06511981982,529.968838235294,476.957582352941,10.0460640496334,NA,12.0404303110815,21.9101357431781,22.9712292192988,52.5745318228695,371.6724,442.9229,361.9826,355.95325,375.3913,324.8441,604.98775,442.9229,639.1154,572.44635,673.1057,552.5764,472,1,335,111,68,17
"ZNF317",0.999991239099199,0.997999478143961,0.999997390000345,0.999218750058663,0.999998102242636,0.999999879099884,0.714074741622484,0.999999986692557,0.859411693362306,0.932896656318264,0.983572917028796,0.999999998920295,0.993746088206918,0.996020426809922,0.999999923556331,791.1305125,753.5457,783.032579402985,781.290044144144,743.239582352941,747.175817647059,12.9152226083744,NA,14.6844088093337,18.67853158175,19.4359116951786,24.0730787358899,648.66885,753.5457,646.7401,654.82475,639.99325,675.5827,878.5934,753.5457,883.11895,887.00205,818.229275,800.2472,472,1,335,111,68,17
"ZNF426",0.999999975795713,0.991210043112093,0.999999302669106,0.899228539045294,0.999987619394871,0.989148222655195,0.995805174390028,0.999999999348597,0.964227898297054,0.859494821246856,0.734225467998841,0.999725583154965,0.631726552583477,0.503713009418196,0.911350968909593,145.683515466102,141.8294,149.385419104478,155.326800900901,139.947675,115.962323529412,4.07483501779428,NA,4.87243593675964,7.94398663826541,8.34447497577085,16.1778910727876,74.76705,141.8294,91.26415,96.6863,79.783925,62.2988,199.8588,141.8294,194.30255,205.098,183.9918,145.8994,472,1,335,111,68,17
"ZNF331",0.999999654780682,0.999965959378555,0.99999921502438,0.913900647245796,0.999972730367745,0.957650878114724,0.869401600213684,0.999928770193265,0.91835063604662,0.99984707784328,0.997690107124698,0.9999728997504,0.998806554729211,0.99999999984404,0.999994708219555,486.04850720339,504.8304,482.679717910448,459.53384954955,449.693897058824,458.487394117647,12.7556484801481,NA,12.2490092467707,21.3113743683573,23.5811095541532,42.1698937829287,348.152675,504.8304,339.6018,323.04815,317.722025,364.1661,547.659,504.8304,577.0961,548.18055,524.530375,462.2723,472,1,335,111,68,17
"ZNF227",0.999984173855514,0.993476651325548,0.999953027281605,0.923011888329526,0.999999900867715,0.777656751039585,0.714787228267782,0.999999999412097,0.541493525151579,0.995315079258232,0.671616395260097,0.999957303208361,0.572582477736657,0.913860851804276,0.984561190719184,329.042780720339,307.0874,334.435559402985,315.05414954955,304.223367647059,279.524335294118,5.12168858518944,NA,9.4787268112093,11.5149056427633,10.7217750911629,18.2592137769698,259.8369,307.0874,247.4911,238.4447,246.05805,220.8962,384.18485,307.0874,379.7004,377.6912,358.650725,353.2059,472,1,335,111,68,17
"ZNF141",0.986182359294292,0.999999954930023,0.985866542617054,0.999667131108417,0.989134124522888,0.999532339085741,0.98559417961503,0.976719220908561,0.989408499676172,0.9729119690292,0.999998603733657,0.985596610559092,0.999999385045729,0.999934303789005,0.999916915514522,88.0503044491525,115.1079,87.9031373134328,89.3535252252252,84.5119441176471,87.0389470588235,1.99451355778403,NA,2.1028159630711,3.94478082552139,4.42490969537095,7.989248702379,56.128125,115.1079,61.12925,57.0248,51.50695,69.4347,112.5839,115.1079,108.53135,113.3003,114.2179,100.583,472,1,335,111,68,17
