"gene","p-adj-stage II-stage I","p-adj-stage III-stage I","p-adj-stage III-stage II","p-adj-stage IV-stage I","p-adj-stage IV-stage II","p-adj-stage IV-stage III","p-adj-stage Tis-stage I","p-adj-stage Tis-stage II","p-adj-stage Tis-stage III","p-adj-stage Tis-stage IV","p-adj-stage X-stage I","p-adj-stage X-stage II","p-adj-stage X-stage III","p-adj-stage X-stage IV","p-adj-stage X-stage Tis","mean-stage I","mean-stage II","mean-stage III","mean-stage IV","mean-stage Tis","mean-stage X","SEM-stage I","SEM-stage II","SEM-stage III","SEM-stage IV","SEM-stage Tis","SEM-stage X","Q1-stage I","Q1-stage II","Q1-stage III","Q1-stage IV","Q1-stage Tis","Q1-stage X","Q3-stage I","Q3-stage II","Q3-stage III","Q3-stage IV","Q3-stage Tis","Q3-stage X","count-stage I","count-stage II","count-stage III","count-stage IV","count-stage Tis","count-stage X"
"ZNF671",0.0125971864817298,0.181405730696157,0.986990060852084,0.507412185290024,0.983698399476274,0.955096010888298,0.995015823771672,0.999888891777607,0.999715406782437,0.999999886445089,0.195960100122647,0.836536765586453,0.740115559043043,0.999489638949705,0.999999943680429,176.24269112426,139.978502079723,146.407296428571,117.527653333333,109.6904,102.904482352941,11.2124248713721,4.66995152163338,9.60059680696236,23.7225922697429,NA,23.6869761532302,92.3645,52.8597,62.641525,49.5314,109.6904,47.3332,227.6947,195.8121,203.24385,167.5524,109.6904,117.0865,169,577,224,15,1,17
"ZNF416",0.344537262075978,0.475563859166358,0.999999080120309,0.795934047129109,0.987000027241508,0.990252868881031,0.999999994303709,0.999946780981806,0.999937384221849,0.999140605397316,0.956660672612029,0.999977277555692,0.999991841967177,0.999221217840095,0.999882334377116,153.477742011834,141.374217331023,140.872641964286,129.581226666667,155.7873,138.3893,7.6387728899165,2.5062141049484,4.43312275864867,11.6463694036769,NA,10.7900930048703,110.419,106.385,103.71085,90.125,155.7873,105.1371,168.0971,163.5201,168.50645,159.5991,155.7873,172.0613,169,577,224,15,1,17
"ZNF586",0.803432077670845,0.728846920107164,0.998659393620496,0.238343281786876,0.438267450190267,0.539328700130147,0.998317024478968,0.999611673906015,0.999771760860484,0.999982933209363,0.965487844767149,0.998850690991672,0.999854521400725,0.885153838381978,0.999944475674328,259.652098816568,244.850662911612,240.6264,180.41712,203.2301,232.060476470588,11.6845396371703,5.78490215898559,7.32049937032225,13.2695164814311,NA,18.9113295353791,181.8683,164.1434,171.193275,157.6605,203.2301,175.4386,290.8624,288.5211,289.88105,195.9095,203.2301,267.4079,169,577,224,15,1,17
"ZNF446",0.810838573891289,0.950673868395489,0.999870826930634,0.966687002870178,0.99851261043361,0.996979958658788,0.999498564135241,0.997964172760165,0.9983756275575,0.995043380269324,0.781105390025278,0.944852586367769,0.928949906349831,0.999505165152173,0.987711662929718,328.145689940828,307.195654419411,310.941015625,286.67046,391.0498,264.512805882353,14.0584648506237,7.88488148121741,14.0268330506665,27.7279126699721,NA,28.7226661241074,220.4412,192.2681,203.55765,210.48175,391.0498,191.3381,385.736,372.3673,369.417725,382.1235,391.0498,320.4035,169,577,224,15,1,17
"ZNF8",0.984605165438053,0.773932223496857,0.930944868363212,0.950130517779824,0.983542190961708,0.998839656178334,0.999973058480243,0.999996152539309,0.999999967436061,0.999999929970957,0.999999996244066,0.999800112181084,0.993182817417573,0.982515328844004,0.999970788941748,117.826184615385,114.478086481802,110.205340178571,104.3172,107.5303,118.267029411765,4.09343854891766,2.03463156066556,5.11752259156613,11.3840711496204,NA,7.09560699061069,84.8659,82.488,75.91935,65.62645,107.5303,103.3573,135.9987,137.8117,127.894725,126.5651,107.5303,140.7804,169,577,224,15,1,17
"ZNF264",0.593075902885919,0.392899670352994,0.982791692734314,0.985414853963115,0.999989556053249,0.999999911076773,0.977798588317601,0.991425303706799,0.994550854209218,0.994601813645046,0.999999889626833,0.988468096124282,0.960614448054302,0.99396937595006,0.978287917660625,958.105646745562,895.769972616984,871.614085267857,878.420213333333,632.2342,964.885864705882,28.0417515291075,18.0377999466765,35.5105543569717,87.1204381271559,NA,49.967289653419,739.0273,651.9525,642.043725,643.74665,632.2342,835.2145,1096.4816,1044.8143,1026.603625,1030.0166,632.2342,1086.9565,169,577,224,15,1,17
"ZNF213",0.9849587232866,0.990901917094425,0.999999995028393,0.999831591895548,0.996348144112411,0.996349955733202,0.0841913195691807,0.0712339899239899,0.0714537035711698,0.120493216778305,0.990449025152679,0.998832802442168,0.999078946281712,0.988246488812486,0.0677679795914448,784.920862721894,765.359120277296,764.511874107143,808.44858,1672.9475,733.413888235294,27.5874158544263,13.7030098883854,21.6510907278914,89.7991203110896,NA,68.2780259600843,553.0274,536.7716,537.08905,541.46905,1672.9475,544.8056,921.178,928.0645,933.41185,934.42395,1672.9475,827.5282,169,577,224,15,1,17
"ZNF343",0.938031985633747,0.866583199955487,0.998068089303671,0.999987169725131,0.997069334536728,0.991616073832892,0.0230269571975815,0.0174313734789185,0.0158383951545886,0.0342490407529178,0.999999967635731,0.99896991575412,0.995899235465791,0.999999383040643,0.030373763113953,327.42929408284,319.089824783362,315.603919642857,331.726846666667,647.039,328.653017647059,7.69037401081924,4.25142194464211,7.05648360842787,25.6328707664404,NA,19.7632571281861,258.6869,252.9253,247.337225,263.74775,647.039,278.51,369.3808,368.2589,371.111525,382.6019,647.039,370.6604,169,577,224,15,1,17
"ZNF302",0.0245580955478027,0.010152631478493,0.941492670673922,0.227879799201069,0.809487422522679,0.930680449071258,0.328065955001875,0.194491886283617,0.167796964546015,0.11158332215949,0.903496289690698,0.999999999111981,0.999617158411504,0.935429241630074,0.223658546354699,829.273179881657,734.989305545927,709.784658035714,620.76786,1536.6756,736.952347058824,40.5033123549841,13.1956265729141,17.0128670199893,59.4293843613184,NA,65.3598185039252,569.6203,517.4624,545.304225,482.5397,1536.6756,574.8544,977.2912,896.4821,852.599275,674.7994,1536.6756,953.9526,169,577,224,15,1,17
"ZNF268",0.967602120157645,0.999893460153584,0.837978315658922,0.925583497783969,0.977179885835428,0.890494241988125,0.998260090276761,0.999262711752626,0.997719633249723,0.999986767584657,0.91234771049372,0.765056264351736,0.938311074159865,0.681906778280061,0.985706384183819,445.225371597633,430.600285788562,450.321699107143,390.2409,356.3257,499.340682352941,14.9556253991151,8.90557444479895,14.1604755705374,34.8012449305372,NA,47.9725765408372,303.0378,266.5106,300.88565,304.5417,356.3257,393.7065,564.6822,558.1948,546.71275,464.30575,356.3257,613.2075,169,577,224,15,1,17
"ZNF184",0.984822289142067,0.522268997338424,0.682909763863735,0.772837433848054,0.866048841194208,0.984108707134678,0.983673263658942,0.976228791114269,0.955926857634546,0.914835600182733,0.950157093009687,0.858247555162195,0.605751587169883,0.571427483080672,0.997722090796312,330.055620118343,321.998333102253,306.157886607143,281.337466666667,423.9569,360.851664705882,12.012410802583,5.7834732092722,7.84346821009802,18.3376563629953,NA,33.0054569681443,246.6791,240.6651,224.28515,223.2706,423.9569,291.3547,369.3564,378.5872,372.196525,340.9034,423.9569,406.1747,169,577,224,15,1,17
"ZNF500",0.722400295908699,0.999316339654226,0.876571804866041,0.944037147714986,0.997247184874702,0.969967187570723,0.995127109882467,0.998610888526063,0.996482159200075,0.999792514258275,0.925078663015679,0.995785592886515,0.958494555222507,0.999999999985023,0.999801574877172,308.360724260355,293.336930155979,304.017125446429,278.449686666667,243.9435,278.011841176471,9.82661510497491,4.9179727030416,8.68879798590673,18.845721590503,NA,28.3147334664773,228.1118,207.5134,211.3007,231.6429,243.9435,209.6422,373.535,365.2468,365.27785,307.90815,243.9435,329.4025,169,577,224,15,1,17
"ZNF419",0.866586221793123,0.602716718345557,0.967236653512728,0.574166422108206,0.781533288489086,0.902696730105785,0.999898420655823,0.999993003964763,0.999999667741981,0.99995922045805,0.556656672477346,0.776191167296047,0.9055766731268,0.999999954629669,0.99997365158441,209.091775147929,198.62445355286,191.972888392857,162.608866666667,184.0511,164.488488235294,10.4928738859554,3.97371262571688,7.15324945172439,19.2613037017393,NA,15.8935922924629,148.8953,142.1274,133.18895,121.8949,184.0511,130.9555,237.9667,239.8562,231.253725,200.0571,184.0511,196.5409,169,577,224,15,1,17
"ZNF175",0.98396558726941,0.979879250549779,0.999979873275164,0.583410204301018,0.700015614740373,0.747722786644552,0.999965925173631,0.999994673571576,0.99999691777362,0.999894034437075,0.965974863813294,0.889994941196621,0.878008172100283,0.456322071593095,0.998903440821396,169.434618934911,163.162628076257,161.747935714286,123.440633333333,149.3943,191.077611764706,7.15747610786692,4.89160828403353,5.0949825275738,24.3108265330679,NA,27.3186370777403,123.0605,92.051,110.476725,53.08235,149.3943,144.2275,206.1673,205.0808,200.7407,161.73315,149.3943,204.4184,169,577,224,15,1,17
"ZNF14",0.651350325672282,0.859316933152488,0.999958097973509,0.999453041941573,0.99998328129412,0.999998385471087,0.992602817171623,0.980808056709734,0.982726161845022,0.987428021453927,0.870043594629035,0.528105042632079,0.594247342922316,0.895692151976981,0.999759038456965,275.861910059172,262.212580589255,263.813180803571,266.63146,335.1279,305.309347058824,7.65419233979914,4.38704725007561,6.10027183619217,42.8096445042612,NA,27.3645003168837,208.8184,192.0115,207.512375,153.63735,335.1279,223.5058,338.8598,314.3604,315.811025,317.11235,335.1279,329.3298,169,577,224,15,1,17
"ZNF85",0.998616019621207,0.99999956130725,0.999344126275379,0.990734159455366,0.974354659843186,0.987886070972689,0.999999999997425,0.999999980595713,0.999999999885832,0.999989206130698,0.980887610011057,0.991743809721575,0.983619879647893,0.927705546478883,0.999972242002935,172.493114792899,175.233228422877,173.119288839286,159.87164,171.9381,186.476882352941,4.85323828035061,3.38067430367408,5.19650798996844,19.211169828667,NA,18.908841619539,133.6311,127.4519,124.2306,112.92865,171.9381,134.0148,205.5984,208.7966,199.88985,185.8776,171.9381,238.2424,169,577,224,15,1,17
"ZKSCAN1",0.999980407659297,0.926007094838461,0.696186944194631,0.987901169781879,0.979939285087438,0.999788689764783,0.945407527424668,0.948582741667049,0.916616599508549,0.902383745819373,0.7691744990281,0.706210077021301,0.933522919944525,0.997233538926493,0.832056303852191,1638.65803313609,1622.01976915078,1749.81249955357,1831.87042,623.1494,2017.06921176471,77.5843515993196,45.7733008623923,82.0952563827929,223.651755991158,NA,359.189211525502,885.4999,848.3282,877.164325,1449.13295,623.1494,1253.2335,2232.5994,2128.3994,2302.056375,2267.0723,623.1494,2408.7016,169,577,224,15,1,17
"ZNF862",0.386315566893958,0.598121977831873,0.999999786711185,0.998910577538943,0.999872171383783,0.999924444322424,0.999499581631013,0.999985462614993,0.999982972223767,0.999932738737802,0.861876144079945,0.996165761779457,0.995768475598787,0.994934927755118,0.999999991498627,598.615778698225,545.638188561525,547.3364375,566.041853333333,495.2894,506.9373,26.7713182948007,12.9276696087992,20.3142485240084,47.8684737296797,NA,75.3553348728518,367.0886,323.2044,308.090825,478.5925,495.2894,315.2516,711.5312,684.2863,683.491525,570.8424,495.2894,667.0831,169,577,224,15,1,17
"ZNF684",0.904143261416648,0.0236836016327823,0.0483780692359267,0.709202323212932,0.871363890145004,0.99985042827994,0.995738492858217,0.998301285366637,0.999960255738018,0.999995916071457,0.991843435820021,0.999895975857167,0.985728835108466,0.985696561151725,0.999278434381668,57.5222982248521,55.555412305026,50.6776553571429,49.2009466666667,46.4334,54.2896,1.51029194696824,0.969831375169915,1.23125252122367,5.71465670000742,NA,4.58228152035258,43.9893,40.7942,38.684,35.9813,46.4334,45.5291,69.1228,65.9326,59.073575,55.54145,46.4334,60.7159,169,577,224,15,1,17
"ZNF430",0.97460173860171,0.937097091465115,0.999077302687049,0.99996727051109,0.999999901836231,0.999981862528358,0.567843545140035,0.609542577460716,0.630241053435375,0.63204185747598,0.987305267581931,0.936554555691233,0.906475187628127,0.990451534271894,0.489169895383471,159.769106508876,155.05499982669,152.969445535714,156.15028,42.0592,171.5121,5.6106586739838,3.03981617437874,4.33703499117949,21.0126064851582,NA,15.9660560640494,110.1563,104.4141,110.4542,110.5106,42.0592,107.8932,201.4277,198.4834,195.335075,196.72625,42.0592,215.3304,169,577,224,15,1,17
"ZFP30",0.999999989497485,0.888692939473306,0.7013105010916,0.999999878395297,0.999999651021829,0.999297502913194,0.988426280087,0.988038085304915,0.995191474243612,0.991032348784458,0.525827352435032,0.496213627378255,0.254244295320401,0.799032290463133,0.903962315157926,327.583794674556,328.11644627383,309.714082589286,324.905426666667,224.428,398.096829411765,10.849011316826,7.25419755322902,9.51577700972319,42.7850286917776,NA,41.3982227310801,227.8927,222.408,217.11885,219.63245,224.428,309.3941,400.0621,395.7256,378.113225,406.9176,224.428,478.6024,169,577,224,15,1,17
"ZNF549",0.684582586879714,0.990590569286248,0.958600206267099,0.823410362565163,0.971959622524055,0.91526000270812,0.997048698740243,0.999347447246643,0.998480031330888,0.999992650933978,0.997493344840946,0.999999960524998,0.999934035384232,0.990691253971348,0.999326543172279,248.385490532544,227.614329636049,238.393639732143,194.90444,171.6016,229.562676470588,16.4651232046854,6.07162825732886,10.8138088965081,24.6347623423019,NA,24.0950188435203,144.6386,136.1844,149.968675,141.17385,171.6016,182.888,314.1848,291.137,307.26285,255.5787,171.6016,319.5682,169,577,224,15,1,17
