"gene","p-adj-Negative-Equivocal","p-adj-Not Available-Equivocal","p-adj-Not Available-Negative","p-adj-Positive-Equivocal","p-adj-Positive-Negative","p-adj-Positive-Not Available","mean-Equivocal","mean-Negative","mean-Not Available","mean-Positive","SEM-Equivocal","SEM-Negative","SEM-Not Available","SEM-Positive","Q1-Equivocal","Q1-Negative","Q1-Not Available","Q1-Positive","Q3-Equivocal","Q3-Negative","Q3-Not Available","Q3-Positive","count-Equivocal","count-Negative","count-Not Available","count-Positive"
"ZNF195",0.976214604920277,0.995088708845943,0.999256456596048,0.98999596358395,0.990415923200859,0.999999625276564,374.9863,393.835558805513,389.061766666667,389.460308695652,46.0293326076318,5.82771856177231,23.6396115507217,10.363547361263,270.58285,304.0599,330.2842,305.57345,458.39465,456.9075,474.41865,464.9694,10,653,15,115
"ZNF263",0.0743764851545357,0.0861273821901837,0.882749119021587,0.00793405540641623,0.0274376298461526,0.987719454518145,1208.63834,958.030564931087,895.569293333333,866.212714782609,151.161152887142,13.0382377866989,81.2007703628854,24.0789587106124,888.784875,721.4264,670.09495,681.4806,1492.3739,1126.4808,1093.11785,1014.76125,10,653,15,115
"ZNF200",0.8182068304863,0.537201678859301,0.732352710317602,0.963415814456345,0.634457053561043,0.489154406203867,297.01253,273.475196018377,250.765333333333,283.628632173913,23.4156832970035,3.25937893069474,25.0728278600876,8.415338415081,241.921925,218.7205,182.97075,218.39195,361.49215,311.8117,289.7861,315.04925,10,653,15,115
"ZNF582",0.912392932504845,0.999413839999599,0.925790515472994,0.999730890179786,0.0832567632484464,0.99196951848653,48.28869,55.2465840735069,49.8837533333333,47.295672173913,12.7549668563309,1.29358856435222,11.0277987181135,2.94637725492088,8.9934,31.0391,20.1569,21.41835,71.69495,76.7234,82.31295,69.27025,10,653,15,115
"ZNF285",0.967592336191451,0.568774180351274,0.464270339130488,0.959585110368565,0.0117405355131951,0.0579375122361554,87.42798,97.1222445635528,122.266246666667,76.5837565217391,27.7126011808379,2.63387781144836,23.6364377390963,4.83140566107215,17.023925,50.2479,49.45985,32.6468,121.47785,131.5162,195.0592,109.5354,10,653,15,115
"ZNF275",0.994962868119092,0.935595683273492,0.924549172656943,0.961175163099972,0.83808987994233,0.991866142217703,649.12062,629.837495712098,589.26518,608.810967826087,84.7174076962919,9.5020953161458,74.5250480552726,25.8145616195883,471.67705,464.5329,376.489,418.4426,753.681175,761.0343,739.34675,754.3985,10,653,15,115
"ZNF37A",0.818318188575761,0.840648764241455,0.995727757335085,0.995547321579786,0.002631214451838,0.43026141326249,684.97982,772.294893874426,791.102466666667,660.901706956522,74.7508188290682,12.5206133838451,64.0376706604395,26.8430291133473,476.378025,557.5322,629.5887,472.6859,825.522375,909.3778,928.31285,794.2256,10,653,15,115
"ZNF510",0.486744517162802,0.350974901016571,0.832076346478201,0.578344117167096,0.989127729243007,0.793292906407626,299.06037,353.803199234303,380.541746666667,349.945336521739,37.556760107573,4.75472807770658,38.4379178484362,10.6109072320709,233.506025,265.9295,271.70895,264.83485,311.915025,433.1748,441.50245,410.4251,10,653,15,115
"ZNF506",0.688681033096634,0.363054164971077,0.625806578117355,0.390686071830647,0.334983649074706,0.953175382698277,507.11104,443.15269295559,385.959306666667,412.195965217391,106.940910023229,6.95473298935512,54.9226323819603,17.3394226139376,339.8459,323.9549,198.264,302.0092,625.43145,544.3516,554.3376,496.6116,10,653,15,115
"ZNF324",0.945975668471302,0.999989914018819,0.923669741947937,0.999998779655861,0.279540794826102,0.999909202375181,196.56361,217.053842419602,198.008586666667,195.986499130435,19.2487647871144,4.66792354875855,15.7553545388646,10.1128610551953,155.2891,165.799,173.99055,144.5249,248.9012,248.4195,219.94545,225.1192,10,653,15,115
"ZNF671",0.29711668131065,0.620004254059377,0.994790122363705,0.547661345114984,0.623318700682833,0.996701190849462,75.38195,148.266881623277,139.89588,132.354649565217,22.0031206051589,5.32340028504935,33.5386185627315,9.11629920867252,28.488525,56.2993,25.184,64.31645,99.14155,200.8367,223.95205,177.33805,10,653,15,115
"ZNF416",0.979746793303446,0.99591068474238,0.839951337931251,0.999998705003916,0.575295006833616,0.9888497863248,140.62181,149.608894640123,133.951473333333,140.256975652174,28.6731502292009,2.9334833386137,14.9867287872922,4.99075026680141,80.527225,109.8326,83.3653,105.5265,147.796275,172.1732,170.32925,166.3131,10,653,15,115
