"gene","p-adj-Negative-Indeterminate","p-adj-Not Performed-Indeterminate","p-adj-Not Performed-Negative","p-adj-Performed but Not Available-Indeterminate","p-adj-Performed but Not Available-Negative","p-adj-Performed but Not Available-Not Performed","p-adj-Positive-Indeterminate","p-adj-Positive-Negative","p-adj-Positive-Not Performed","p-adj-Positive-Performed but Not Available","mean-Indeterminate","mean-Negative","mean-Not Performed","mean-Performed but Not Available","mean-Positive","SEM-Indeterminate","SEM-Negative","SEM-Not Performed","SEM-Performed but Not Available","SEM-Positive","Q1-Indeterminate","Q1-Negative","Q1-Not Performed","Q1-Performed but Not Available","Q1-Positive","Q3-Indeterminate","Q3-Negative","Q3-Not Performed","Q3-Performed but Not Available","Q3-Positive","count-Indeterminate","count-Negative","count-Not Performed","count-Performed but Not Available","count-Positive"
"ZNF85",0.159031904387204,0.131676886433627,0.983607154595241,0.363132154596657,0.999721631715733,0.994954749122744,0.120082383404184,0.866951807473228,0.999959227174785,0.995824000844657,314.18715,185.752106145251,177.421312903226,192.55986,179.127546102819,53.56305,7.0867059374405,12.9258643134739,32.9234939018416,3.07020143799808,287.405625,121.3131,128.7049,183.6341,133.5882,340.968675,237.0265,208.26315,220.5033,208.76215,2,179,31,5,603
"ZKSCAN1",0.929657280263207,0.999942601900556,0.100484133501689,0.995012089124315,0.98355814230509,0.988365174399539,0.999994286300535,1.45479766011647e-08,0.999402250192125,0.972164107370695,1966.16725,1331.73311620112,1863.78322580645,1601.88416,1910.40712620232,215.79575,63.2070044895839,280.651745967773,611.979448320935,46.8792488459016,1858.269375,750.7146,1029.05035,732.3893,1089.30735,2074.065125,1703.89095,2083.9741,2709.669,2468.532,2,179,31,5,603
"ZNF862",0.999463393009909,0.92813658163641,0.173138866231177,0.999588167661895,0.999999660906318,0.910156154867201,0.944978564905488,0.000134766199886727,0.997606061012946,0.932497897028072,393.329,439.851115642458,567.300938709677,444.52834,549.674344610282,118.1433,18.8801892597709,68.4253466364883,87.600455650622,12.3158954756923,334.25735,266.12885,308.90985,257.1086,343.75275,452.40065,551.1379,687.007,582.6381,673.41085,2,179,31,5,603
"ZNF684",0.922405900824724,0.962851386072044,0.986406825813468,0.970310726078135,0.999925683456496,0.999991195349667,0.992889929628516,0.00808568956346534,0.855357050700855,0.987843055966334,46.74715,59.6101413407821,57.4398258064516,58.27268,53.4090834162521,8.82495,1.75714435835227,5.81204317924589,10.9440303528179,0.843068732156178,42.334675,43.5515,38.31585,55.3884,40.1259,51.159625,71.34415,65.91615,59.5089,63.24545,2,179,31,5,603
"ZNF430",0.0113769074049316,0.0238971397428627,0.978475971177295,0.3656243397805,0.427704869379094,0.64266829901252,0.0289447608835186,0.0712415933086448,0.97618407406146,0.731048215469849,309.806,153.965248044693,161.585138709677,206.6633,168.999403150912,38.1864,5.80824740410466,12.2344141299294,54.3691922324951,2.61622866515676,290.7128,98.71525,123.80155,145.9854,127.03315,328.8992,193.859,196.14035,242.0516,207.282,2,179,31,5,603
"ZFP30",0.947564608387205,0.957334283018324,1.42380771217532e-06,0.979988098581702,0.999961971379583,0.250016944401371,0.988805827603686,0.206151084530546,4.38034769207896e-05,0.998462102008775,403.9515,318.049775418994,487.098206451613,326.50694,347.804929021559,78.8401,15.9954948921231,54.2226626454254,52.4239533055034,5.47760214347374,364.53145,211.5563,309.83295,232.2693,254.9611,443.37155,364.56675,542.139,392.9522,415.29065,2,179,31,5,603
"ZNF549",0.966599656170672,0.98959497808011,0.975764887391245,0.998919701497074,0.984147496362038,0.999005043595693,0.997962625072268,0.0370161296931441,0.959846940381514,0.999999999992616,285.1511,211.469051396648,229.930616129032,249.84614,250.017132006633,11.7285,8.08577515119956,22.531681098215,26.3013257889902,7.06716944415632,279.28685,136.2168,133.0885,220.2451,150.9687,291.01535,270.3373,304.4821,245.3213,323.1768,2,179,31,5,603
"ZNF211",0.999528153934412,0.999669814992006,0.549595726193007,0.999403203542374,0.999988884338765,0.958143804103059,0.998592918229985,0.000354084305904778,0.997940538741369,0.907464278007016,224.6358,202.070030167598,245.793429032258,196.45828,254.292000995025,58.4872,6.59903068226338,25.8008853907931,33.1232309426692,6.59327691472001,195.3922,137.4387,153.3954,130.7734,171.5778,253.8794,254.94305,272.5151,261.8935,291.9348,2,179,31,5,603
"ZNF205",0.96046966939634,0.900558865684928,0.915459447195709,0.999992314735666,0.745956894799549,0.575766077155647,0.826610323723685,0.0153598340056192,0.981614847059364,0.365485816681157,193.14855,263.912775418994,288.002883870968,183.82214,302.867284245439,64.73545,11.8717124481379,37.35501170346,59.2345492227518,5.63309626285845,160.780825,167.6956,156.94725,81.6347,208.3276,225.516275,310.47645,307.2293,315.0464,368.51945,2,179,31,5,603
"ZNF45",0.66154455657518,0.89797041046571,0.523493790996696,0.951808171512133,0.935370984350128,0.999969925016244,0.910554586246179,0.000472447252717778,0.999290980286164,0.999999977729285,424.54525,290.409691620112,332.905816129032,340.1538,339.041169817579,16.81865,9.46861925091807,21.739638085952,33.9770050019863,5.90467404894102,416.135925,201.51315,236.5613,302.4295,258.42605,432.954575,356.86905,402.7566,399.4941,400.8392,2,179,31,5,603
"ZNF133",0.699981509440908,0.98715976592909,0.0396756698511008,0.993691595623865,0.723111040350286,0.999999579191842,0.980175891734867,2.20462496036689e-08,0.999766217721888,0.999962750088927,223.87775,350.538148044693,274.620261290323,272.1569,279.207003814262,4.94844999999999,14.1741945037247,25.4028939999239,82.4523841179744,4.83917589668192,221.403525,214.27845,203.10795,212.2244,206.63035,226.351975,418.56395,301.85445,261.0306,322.66985,2,179,31,5,603
"ZNF436",0.580901904229581,0.774076717474121,0.841357235822557,0.475465252902146,0.954708647309555,0.815908664057874,0.561134451808422,0.999614177543993,0.761434564750467,0.961558692533369,598.74835,1025.49461899441,943.790780645161,1156.3455,1032.57357844113,6.29775000000001,37.1842181455709,59.024315580913,296.166711568946,15.4272136876413,595.599475,666.2409,690.8892,668.1376,755.6436,601.897225,1262.32795,1110.7995,1731.6019,1246.0839,2,179,31,5,603
"ZNF484",0.999935988864418,0.689716359214991,0.000114038830011043,0.194394073828931,0.00151534984413981,0.38263600551789,0.480407215105231,5.6621374255883e-15,0.807834365179552,0.584815656719548,63.1298,66.8879206703911,101.817264516129,136.85158,110.0462986733,10.8672,2.84869217370691,8.06415813656436,25.1657370118461,1.67531316583193,57.6962,39.7501,72.3379,114.1737,80.4104,68.5634,90.2084,135.05005,184.3151,133.97675,2,179,31,5,603
"ZNF780B",0.99888488752334,0.927559454433874,0.000623189912922428,0.985188171885049,0.640090084935043,0.997705752490113,0.999957408413575,0.0121971573170931,0.0467664011684499,0.934439590155432,309.83945,275.724448603352,416.069512903226,388.27448,324.761693034826,92.00885,11.5047471981609,84.1280262737625,45.2789907521181,6.52910307714653,263.835025,175.46035,213.54055,378.1238,216.9687,355.843875,366.8265,428.1391,452.3112,400.01865,2,179,31,5,603
"ZNF557",0.976911870586164,0.999999943458078,0.236751203402719,0.940276131643983,0.988133753449659,0.693858471404913,0.991200460226113,0.791843122472688,0.459952003966941,0.954177580742972,254.40345,215.816247486034,252.898506451613,195.22816,224.680347263682,7.11215,7.54113332707137,15.5153834836198,23.1371038018936,3.67515681894929,250.847375,152.13925,186.437,153.6715,169.1266,257.959525,258.26355,299.67515,231.9412,266.784,2,179,31,5,603
"ZNF337",0.996821551801111,0.489882336339548,2.1374661961393e-05,0.891063671550367,0.784220422928888,0.914144204481674,0.911736094459706,0.000249269034611865,0.017946119467573,0.996756439076586,385.969,439.210135195531,638.427587096774,550.32462,516.524066832504,41.966,16.6803704939041,55.3164575836882,110.932353571564,8.39499481231541,364.986,287.82295,434.50065,450.0283,379.584,406.952,523.4755,717.82735,500.7945,617.5759,2,179,31,5,603
"ZNF317",0.999990234224958,0.999999971460159,0.996138233561346,0.985752338626443,0.922788265820267,0.887392255927144,0.999552070189751,0.813893741586121,0.900872745901209,0.97063037787502,839.7884,824.270625698324,843.487641935484,723.48658,799.381231343284,193.1982,27.4993683164296,42.995200112189,32.7878198305621,9.562686508327,743.1893,618.47925,694.62815,687.5784,681.9741,936.3875,945.05635,925.18755,790.5299,886.9037,2,179,31,5,603
"ZNF426",0.903140115641468,0.80221859072849,0.885876589092133,0.853957191877005,0.990308829982406,0.9999962510141,0.887355820238833,0.997802045314158,0.920007926431275,0.994038364358955,213.40135,159.67406424581,144.220448387097,141.5909,157.36284079602,71.59125,7.35203719121709,12.7660641945686,27.115470801205,3.34740775082819,177.605725,94.656,104.2087,127.3408,95.35935,249.196975,213.5897,184.9535,151.2147,207.094,2,179,31,5,603
"ZNF331",0.999991298706753,0.999999470507033,0.99991055679344,0.995357080544876,0.97709592871101,0.973729458311715,0.987058990528539,0.0040163992004415,0.385822997061669,0.999992108023744,411.08825,424.66426424581,418.002848387097,489.14376,497.510727529022,42.70075,15.1673729393532,27.8676119619852,67.8713750483854,10.4685827056777,389.737875,285.43105,304.12225,413.12,355.2543,432.438625,512.04255,517.11245,495.0708,577.57085,2,179,31,5,603
"ZNF227",0.999999658866646,0.999068106098433,0.921821234278372,0.977518525911845,0.845387455131605,0.970756087380708,0.999995594758495,0.998994123545373,0.943213292756628,0.863281662681471,331.8496,335.367437988827,358.139609677419,400.82614,338.494760862355,21.3563,11.5933879107608,29.5317003063562,35.2020953760085,5.54296618167488,321.17145,234.5839,269.08615,376.3269,269.50605,342.52775,384.2784,395.92425,401.5056,388.79565,2,179,31,5,603
"ZNF141",0.499985723039126,0.972060247798617,0.00424068379353681,0.996197837404324,0.357144176298551,0.998169209965501,0.995318442485637,5.340172748447e-14,0.868805508496856,0.999993701235031,108.09015,64.5765525139665,90.7789741935484,96.37368,97.6235597014925,26.82815,2.29277486561681,6.82779225082368,30.7729983573327,1.63143504558402,94.676075,42.8245,65.49165,56.2153,71.0444,121.504225,82.9729,106.6794,112.5213,118.3675,2,179,31,5,603
"ZNF304",0.999999964643454,0.998362085941758,0.764820634193952,0.999833180009578,0.997257189730746,0.99985682146109,0.98348157610194,4.09537718810693e-05,0.897288094708977,0.983220665410346,411.05035,407.072724022346,471.531574193548,449.96266,518.154749253731,57.00315,12.553214433851,33.158901128044,72.4582748310474,12.6923621996518,382.548775,292.2837,338.0123,407.2153,373.30105,439.551925,497.56735,594.41365,525.0992,590.7492,2,179,31,5,603
"ZNF132",0.998871834310904,0.996058261654043,0.127088437939714,0.998016167161259,0.999884350411302,0.809199001915952,0.999799691848879,0.00234592400691325,0.931851661456999,0.915163377605208,80.12515,69.7707067039106,94.7593193548387,66.05592,86.7877859038143,4.64225,3.8665692524631,11.993181541599,13.8157299950962,2.22521643631983,77.804025,35.3519,47.7995,53.5694,53.1213,82.446275,89.14405,122.9795,75.3895,108.07365,2,179,31,5,603
"ZNF20",0.385088313442716,0.999777276459016,7.29282079170446e-08,0.637436140056621,0.999291789815502,0.205937404611772,0.981629404952105,5.18474152499948e-14,0.614086925874312,0.428787511212344,237.21805,149.210551955307,228.215119354839,156.70414,210.030102155887,67.67055,4.94206852003794,13.735381805599,26.714513583717,2.85406406038164,203.382775,108.35995,175.05335,112.7396,165.75475,271.053325,178.3807,283.70125,181.7191,245.70945,2,179,31,5,603
"ZNF670",0.998016779530663,0.989734975798721,0.0308692706428918,0.993209946815974,0.710782737123089,0.999999957519341,0.91992986630867,5.18474152499948e-14,0.670078387920745,0.984848075077233,145.5126,159.067434078212,124.220703225806,123.6026,109.071279767828,1.15309999999999,6.16618887545998,10.8480289390161,13.7180899734985,2.21118225372069,144.93605,99.6216,78.0228,107.3544,74.80225,146.08915,195.0553,156.43525,135.7114,135.79095,2,179,31,5,603
"ZFP37",0.645921933252253,0.861751105340549,0.680459580470074,0.701054393841598,0.999495537910313,0.947749079485737,0.838205888703925,0.0380000618056984,0.99998953418704,0.942582896099962,31.4337,72.3502418994413,61.6004419354839,76.50216,62.237408291874,10.6313,3.48348347160629,6.58271335118803,21.0262176539814,1.65802777582038,26.11805,36.90125,33.159,56.2606,29.7873,36.74935,94.05885,86.3376,86.2839,86.8162,2,179,31,5,603
"ZNF189",0.541539278908796,0.648956054951893,0.989645437766346,0.956639020409467,0.799763763353357,0.912833372260551,0.688528421268721,0.293121695693446,0.994653587547502,0.943297803422638,714.4132,523.043017877095,539.248232258064,611.66452,552.154194029851,135.8099,16.3502057956039,28.7775319424225,78.2861758400511,6.57419947698785,646.50825,381.99585,495.81965,537.7492,433.724,782.31815,604.10645,643.8577,693.445,647.2291,2,179,31,5,603
"ZNF434",0.740681014104091,0.765116000907362,4.91828799908944e-14,0.999954057046058,0.440521716025217,0.272836109447862,0.997828070502208,5.6621374255883e-15,0.00547020716245239,0.951533952274999,451.63895,334.385717877095,567.766190322581,438.11188,481.968576782753,8.84545,7.53253574356171,32.337110776963,52.2972124099402,5.77197754026276,447.216225,270.99015,428.2112,374.7685,377.9366,456.061675,381.3879,692.93465,494.7012,563.85265,2,179,31,5,603
"ZNF287",0.838757050462506,0.263278898275906,0.00181936399272231,0.561531014493019,0.781280167422883,0.992781785471693,0.18345786481839,5.32907051820075e-14,0.989130172838623,0.964732429563844,58.39015,112.221070949721,165.441435483871,150.24138,171.909156218905,45.32455,4.35013053936907,9.28786053396345,36.2215275296529,3.16712970595261,35.727875,73.5875,119.54385,84.7802,121.7223,81.052425,138.47405,199.7236,212.2347,206.96785,2,179,31,5,603
"ZIM3",0.999940397881392,0.918061094377538,0.0571751631803616,1,0.999643515584362,0.708763651875638,0.999997334447865,0.978280401811837,0.0169376632830814,0.999983543690921,0,0.0520675977653631,0.351916129032258,0,0.0238150912106136,0,0.0332241036083117,0.341285728937315,0,0.0185750744042895,0,0,0,0,0,0,0,0,0,0,2,179,31,5,603
"ZFP14",0.95821282811435,0.981595638900926,4.74624607447183e-05,0.983344982027233,0.23045742355484,0.999979592645517,0.988213949920925,5.27355936696949e-14,0.998187554093397,0.999395884060217,275.35565,219.690556424581,320.974732258065,326.28836,314.681445936982,24.83555,8.28723801105406,22.5927016261834,51.8736061284889,4.60885242008666,262.937875,148.71445,253.3974,256.2371,232.5765,287.773425,263.84455,382.26485,379.5256,383.96965,2,179,31,5,603
"ZNF473",0.963556623159385,0.960288277062859,0.99994684070513,0.925700646030809,0.990685205892595,0.995390708604829,0.806591561420099,0.0032406795762695,0.544791225426015,0.999530662374795,456.4374,382.115581005587,378.333116129032,349.29582,334.191139137645,31.7717,11.7085891385268,21.8728895832576,63.527232708614,6.46473009775091,440.55155,265.5258,317.514,241.1793,244.58185,472.32325,455.911,415.3322,352.2869,377.89505,2,179,31,5,603
"ZNF614",0.964158005623234,0.981416693264634,0.996953235844663,0.99736551348113,0.993103371181652,0.998966040481596,0.954892086113305,0.996958900821372,0.984931744670051,0.987749534442056,397.7501,305.011308379888,318.216590322581,343.03892,299.23625787728,72.3836,10.0268538206438,40.6789726093804,50.86373278472,8.58103396939962,361.5583,216.3755,208.1063,259.9328,208.7278,433.9419,370.4597,361.86755,406.5245,339.9276,2,179,31,5,603
"POGK",0.994322985461577,0.999886120845446,0.245953643739657,0.999804833294369,0.876011450873779,0.999994197133873,0.990661047687919,1.14075415780235e-11,0.762351968467638,0.994177981750472,2682.21345,2972.28065977654,2572.04031935484,2537.53294,2353.13485190713,671.51505,108.45102881489,180.286447961862,294.286439695749,33.9355304982095,2346.455925,1972.56975,1961.99445,1909.4314,1764.40815,3017.970975,3603.35245,3039.9805,3074.0276,2755.644,2,179,31,5,603
"ZNF514",0.948988379499844,0.981703691519403,0.974107623580003,0.952121650272839,0.0973215750363942,0.228002122196539,0.959599013243753,0.993981501890581,0.991505613307335,0.110703402917485,337.96185,275.172680446927,289.398551612903,410.5269,279.397245936982,131.12675,10.7750009810273,19.7233866003918,75.6956773706861,4.58940107239252,272.398475,168.4402,210.27905,354.5438,197.27815,403.525225,356.56175,350.57475,517.7619,339.4555,2,179,31,5,603
