"gene","p-adj-Negative-Indeterminate","p-adj-Not Performed-Indeterminate","p-adj-Not Performed-Negative","p-adj-Performed but Not Available-Indeterminate","p-adj-Performed but Not Available-Negative","p-adj-Performed but Not Available-Not Performed","p-adj-Positive-Indeterminate","p-adj-Positive-Negative","p-adj-Positive-Not Performed","p-adj-Positive-Performed but Not Available","mean-Indeterminate","mean-Negative","mean-Not Performed","mean-Performed but Not Available","mean-Positive","SEM-Indeterminate","SEM-Negative","SEM-Not Performed","SEM-Performed but Not Available","SEM-Positive","Q1-Indeterminate","Q1-Negative","Q1-Not Performed","Q1-Performed but Not Available","Q1-Positive","Q3-Indeterminate","Q3-Negative","Q3-Not Performed","Q3-Performed but Not Available","Q3-Positive","count-Indeterminate","count-Negative","count-Not Performed","count-Performed but Not Available","count-Positive"
"ZNF195",0.930796046435063,0.910652855693553,0.997970531390843,0.630584748899254,0.677582403147995,0.796942084658676,0.986156930438816,0.112324831638605,0.598925595059654,0.378595068313798,334.4957,417.674841899441,426.527712903226,505.39808,387.59291641791,29.8431,13.4717282978487,25.2925009714392,40.0002480772107,5.51595384436708,319.57415,288.3908,321.5727,468.5457,307.94435,349.41725,528.93125,500.4627,571.4286,446.867,2,179,31,5,603
"ZNF263",0.709963826845585,0.938562259165931,1.32349686765565e-12,0.999900177348664,0.420139883653167,0.614271120181173,0.999975271172441,5.39568389967826e-14,0.00527764196318603,0.999967978757064,1016.5267,739.655552513967,1189.30054193548,979.28294,994.310864842454,130.4108,16.6169878771078,92.5556348463795,207.190763551749,12.7484018141288,951.3213,584.04915,764.8745,643.8915,763.83595,1081.7321,850.28655,1438.894,1069.5626,1157.5342,2,179,31,5,603
"ZNF200",0.99850364542974,0.98838486778515,0.0326751629064695,0.999999994501296,0.989660813729768,0.952259830030239,0.99100102910631,0.627341978360727,0.00217936971948363,0.945968616833275,297.09765,280.046288268156,326.83364516129,297.96766,270.10714212272,83.58585,6.56663329316352,18.9965183480314,23.8456806170132,3.28976890732146,255.304725,220.64615,260.70645,267.7832,216.6964,338.890575,320.6375,369.31825,298.2635,306.00565,2,179,31,5,603
"ZNF582",0.878319399185451,0.99966864621683,0.000288617265532753,0.967555871124625,0.0585269822425278,0.92367280554761,0.99990215301085,3.6474234743622e-10,0.67054323842376,0.608700214829107,60.62025,39.0288681564246,65.2126129032258,77.92356,57.3404711442786,5.34535,1.93260690494095,6.93964002294027,11.5231812682783,1.35993154091094,57.947575,19.15775,36.4336,58.8299,32.0662,63.292925,54.7347,94.83425,88.9703,78.3661,2,179,31,5,603
"ZNF285",0.555880310931453,0.680038249587128,0.978277427663883,0.190627975671212,0.470463006857712,0.386661900437734,0.766308253985954,0.0361851813733718,0.955037068001918,0.181142850703729,35.3994,106.228984357542,98.8132290322581,155.34682,90.233367827529,22.918,5.69874072946643,13.1595423693131,47.6475569848067,2.51827104980605,23.9404,53.79295,34.0052,87.2258,46.0045,46.8584,135.1289,160.7052,172.7908,124.00845,2,179,31,5,603
"ZNF275",0.999636049617895,0.997154719045237,0.983495328853929,0.999982467919383,0.999908245359381,0.996766661261553,0.999999200736628,0.679558194203707,0.764804958648573,0.999970948976467,608.722,644.001309497207,669.778012903226,628.09794,616.295198341625,85.988,20.9226920405347,38.0700925609456,84.112888496577,9.70570332830579,565.728,427.423,523.5181,499.0142,458.39335,651.716,824.0395,771.46825,723.788,740.4057,2,179,31,5,603
"ZNF37A",0.841632039799931,0.977851072458325,0.507953423719358,0.92911160883071,0.99993685718565,0.985587996754282,0.966172545911258,0.0135851493410647,0.999587482874006,0.989953490447838,913.1748,685.203078212291,781.166661290323,703.4696,769.268503150912,420.1585,24.4605859676942,48.5668845097681,169.47260694129,12.5126592323291,703.09555,458.0992,616.1755,489.3779,565.003,1123.25405,854.87645,939.9723,903.4162,896.3107,2,179,31,5,603
"ZNF510",0.99959063210403,0.843533325133948,0.0176430342137357,0.758786983419436,0.336703849484379,0.986544081839111,0.859484182304603,1.26726751314976e-09,0.999108331227301,0.966821454942119,283.6425,301.035198324022,372.0279,400.96846,366.542008623549,63.7572,8.22444937189897,21.8495019734375,56.6180822584676,4.89548506328245,251.7639,221.91705,308.67,347.7503,280.16775,315.5211,365.8961,459.2355,458.2908,442.44095,2,179,31,5,603
"ZNF506",0.999694082074673,0.963434960806803,0.375848709067157,0.882029876280958,0.608987564155986,0.972054713642729,0.988016217086063,0.0927081945357477,0.945709923127001,0.86862859984207,383.19075,408.093283240223,471.732429032258,526.0398,446.749770812604,272.64095,16.662759097652,35.423366576861,137.875386728288,6.73385506187278,246.870275,265.4543,394.8412,345.0233,343.89125,519.511225,520.22915,525.2802,568.7121,544.66865,2,179,31,5,603
"ZNF324",0.952411830786117,0.958553248339418,0.999999682524489,0.90005830741964,0.985422534575208,0.98712244820461,0.995416155261589,0.0409261811157333,0.715439302007457,0.828756268212192,250.88155,192.179083240223,192.948464516129,165.09816,219.648991376451,24.30415,6.39548383693614,16.866932106319,24.1513036432529,5.03387203879868,238.729475,139.5512,131.8691,137.5423,166.51125,263.033625,223.58705,237.26535,186.7718,246.5312,2,179,31,5,603
"ZNF671",0.88193892361897,0.999999975577794,0.00723857085467516,0.923697398870415,0.99999894649078,0.627498400490571,0.999999099834914,7.18314296932476e-14,0.999224920435919,0.495943147201023,160.2117,77.1669212290503,158.567067741935,74.54686,164.146573134328,43.4212,4.5922496815831,22.0865305771798,22.2525031140903,5.62599864144576,138.5011,32.9348,57.0477,44.4493,76.19805,181.9223,104.93375,217.18385,97.15,219.283,2,179,31,5,603
"ZNF416",0.988146641977123,0.995812665524425,0.995006406767941,0.916286117183041,0.933809727487579,0.896676307669019,0.996106649151001,0.832964338262314,0.999994524442301,0.857523442217808,167.3161,142.342183240223,147.791248387097,116.78034,148.71381708126,4.1549,4.31102531233699,12.7142619087088,21.0812904766905,3.06455835561238,165.23865,102.36835,104.9039,99.2108,110.33725,169.39355,171.34345,179.25675,135.9625,170.034,2,179,31,5,603
"ZNF586",0.99679250668991,0.80403236267375,0.0346002090792875,0.9981108394804,0.99999998854711,0.783824562909222,0.687435044796296,1.2179146580138e-13,0.96722811221053,0.568378748427377,146.42855,178.390750837989,250.043538709677,179.2642,265.356119568823,10.99195,5.67811189273947,22.7261054355278,14.0281104750782,5.73890126910032,140.932575,125.03605,184.01705,152.0826,183.7412,151.924525,220.3698,296.39005,208.1878,304.2797,2,179,31,5,603
"ZNF446",0.993229066808363,0.988111993866825,0.00642714544604839,0.99472193507884,0.999995032322065,0.60504098562471,0.942571565036143,5.36237720893951e-14,0.871284161055733,0.299309201131649,225.9656,178.398875418994,282.548696774194,173.50772,310.532428855721,33.2791,6.66319988007226,47.8234580608775,50.0481337240301,6.77500932898717,209.32605,113.62435,164.3336,115.292,225.7336,242.60515,218.8744,322.58585,153.8699,363.5938,2,179,31,5,603
"ZNF8",0.994282846842481,0.999985695312834,0.77985675493552,0.99918682316359,0.811055813023666,0.980340584456062,0.999999732919896,0.0161337791147117,0.999415667417364,0.986288569086687,111.1027,127.917391061453,114.891387096774,99.09854,112.461241625207,0.921099999999996,4.15646325467449,9.48467760533339,14.2502172866802,2.42013521162606,110.64215,85.9525,82.6917,80.1385,80.15545,111.56325,158.3477,146.57845,126.166,131.2378,2,179,31,5,603
"ZNF264",0.99301894107211,0.998897681309862,0.0786155016674576,0.996819436098428,0.682194556315461,0.999622673512093,0.991096328425747,4.33775237951295e-12,0.956729481166997,0.999994893292252,869.76635,734.449965363129,956.154803225806,999.65366,1013.4196026534,114.93725,20.1182442428593,83.7079538505314,184.380245327594,19.7234493337441,812.297725,554.6441,694.10435,768.8839,772.00555,927.234975,889.3591,1033.85115,1253.2712,1153.8052,2,179,31,5,603
"ZNF213",0.938444657863976,0.624377689945346,0.10425088371978,0.833613281108907,0.952110642670978,0.997971107278777,0.583759693768417,1.18967712792184e-07,0.999991664207237,0.996186624495541,455.6678,637.293570949721,794.635577419355,745.0959,799.377988557214,119.858,21.6304600352366,68.4999700968935,149.064641532605,13.8204035514924,395.7388,436.6657,536.94745,563.6137,567.7181,515.5968,768.60225,959.8918,918.4875,948.8128,2,179,31,5,603
"ZNF343",0.878038330751091,0.53423302542439,0.137901694704816,0.990446693523857,0.970325183341063,0.542684965708963,0.778385420430276,0.451899083938025,0.444773129323236,0.876103854058417,242.74965,313.359524022346,360.757083870968,283.459,328.272054394693,29.07955,7.57830355965345,22.2453150207153,9.03031250915493,4.28150315147646,228.209875,234.8508,279.84195,280.4961,259.96965,257.289425,378.2448,409.77125,293.9507,372.4883,2,179,31,5,603
"ZNF302",0.999998539972703,0.941488944209629,0.0591491084143755,0.977444082272261,0.856028086099828,0.999916352137757,0.929401219934672,5.86537518554309e-09,0.999992546758589,0.999764816192027,604.4693,617.205729608939,802.020358064516,778.224,806.980726699834,27.0314,23.0640515657505,58.1814868758173,38.8877255063214,15.1159386822754,590.9536,414.21405,631.46785,726.4938,587.71145,617.985,720.3867,967.422,827.6019,957.2099,2,179,31,5,603
"ZNF268",0.46900098023882,0.808615340254616,0.316982575062952,0.964259007137813,0.65535025006879,0.986479346147716,0.854570587301464,8.44820907008881e-07,0.988363787624255,0.996932838009728,634.8364,400.409059217877,474.569419354839,523.73778,492.625279104478,152.6822,12.5872367108771,36.04195909794,97.9978891131304,8.50258636388966,558.4953,281.37895,351.15255,457.1304,360.32425,711.1775,493.89775,565.159,631.5147,611.71745,2,179,31,5,603
"ZNF184",0.996485872789204,0.999041098397401,0.155099756694918,0.999999400874251,0.969207612204729,0.997760200751523,0.995094181169873,7.113064803832e-09,0.988894444425021,0.983085705683279,356.005,389.296468715084,331.495038709677,351.5944,319.857544610282,61.2313,14.0746958823404,18.2749388670449,54.938139360093,4.46887451076782,325.38935,264.5125,268.42575,271.4769,252.77775,386.62065,472.69,396.53265,443.4486,368.88875,2,179,31,5,603
"ZNF500",0.928476944707098,0.97533419839129,2.58698243171818e-06,0.982467792354723,0.99901201939983,0.343900275702848,0.992500689393016,5.26245713672324e-14,0.957748605064783,0.432049850206645,269.4513,210.326056424581,314.426967741935,222.418,301.254431674959,23.0917,7.55735543573328,20.045181422569,46.408931887989,4.20349882260608,257.90545,153.18685,250.58925,158.6229,226.0254,280.99715,239.7449,383.1196,265.3501,358.27125,2,179,31,5,603
"ZNF419",0.999870303001848,0.999999509012852,0.993323003064765,0.999089499062046,0.99943444046442,0.995478434074839,0.999999976709904,0.59935029294418,0.999472814370245,0.987306773469465,199.6742,187.602749162011,196.610048387097,176.44466,201.062297180763,32.958,6.8789252039022,16.1149256360805,46.634556526964,4.68851241298002,183.1952,128.16645,146.81155,92.0232,139.68615,216.1532,228.77445,231.3464,285.4566,238.3019,2,179,31,5,603
"ZNF175",0.624003111254493,0.999387381218362,0.000203605550188501,0.999986955936738,0.125905402369911,0.98751456721042,0.985260206999492,3.18978177205054e-12,0.80923395413043,0.862593351662968,224.21095,117.394239664804,206.336025806452,232.00032,184.791169485904,4.59725,6.03706888741533,42.3605132575711,59.3971870006434,4.2002545926332,221.912325,60.01545,141.55715,169.5608,130.56935,226.509575,165.1901,205.78155,204.8153,218.7281,2,179,31,5,603
"ZNF14",0.160403304671816,0.790796757582271,0.000631434110188844,0.270423301765983,0.999916895398221,0.404343732353248,0.509656682711828,1.78753875701432e-07,0.493004755595982,0.740879226914174,399.091,236.590622905028,315.611909677419,230.22448,285.627855389718,159.8637,7.02612373312906,17.8415782304774,60.5572154396848,4.18832262305116,319.15915,173.4913,245.7825,178.2329,221.8303,479.02285,287.19095,380.7754,262.1135,341.01725,2,179,31,5,603
