"gene","p-adj-Negative-Indeterminate","p-adj-Not Performed-Indeterminate","p-adj-Not Performed-Negative","p-adj-Performed but Not Available-Indeterminate","p-adj-Performed but Not Available-Negative","p-adj-Performed but Not Available-Not Performed","p-adj-Positive-Indeterminate","p-adj-Positive-Negative","p-adj-Positive-Not Performed","p-adj-Positive-Performed but Not Available","mean-Indeterminate","mean-Negative","mean-Not Performed","mean-Performed but Not Available","mean-Positive","SEM-Indeterminate","SEM-Negative","SEM-Not Performed","SEM-Performed but Not Available","SEM-Positive","Q1-Indeterminate","Q1-Negative","Q1-Not Performed","Q1-Performed but Not Available","Q1-Positive","Q3-Indeterminate","Q3-Negative","Q3-Not Performed","Q3-Performed but Not Available","Q3-Positive","count-Indeterminate","count-Negative","count-Not Performed","count-Performed but Not Available","count-Positive"
"ZNF195",0.999992459275246,0.997436077599265,0.949726180775859,0.862969298392462,0.64365427456993,0.85210053023981,0.997037531772363,0.0481316649967287,0.314860369400011,0.34542603699605,409.028,414.622117391304,434.61429375,505.39808,383.898309315589,73.3937888514757,12.5111069805392,25.7899492505274,40.0002480772107,4.91461573082761,322.46325,289.596,322.6201,468.5457,311.578425,501.785,489.9753,508.78695,571.4286,443.28645,4,253,32,5,526
"ZNF263",0.744582760626452,0.749112120757862,5.10534725606249e-10,0.999999958440053,0.677930339493867,0.655669041513907,0.99993218027322,4.98490138056695e-14,0.0148656510712567,0.999775309037072,983.579975,794.466449802372,1181.32143125,979.28294,1004.05427395437,161.379938574225,15.6409946878746,89.9711212155546,207.190763551749,13.9018493077119,709.9215,627.5981,769.37245,643.8915,774.102925,1224.400625,933.6947,1413.0129,1069.5626,1165.6874,4,253,32,5,526
"ZNF200",0.508242951188913,0.989659316337024,0.0300692873773517,0.921125733748134,0.983875694421466,0.969216954174715,0.377686819360505,0.667950476484376,0.00353584435671539,0.940818925388127,344.37485,277.899897628459,323.430803125,297.96766,269.378272623574,65.1785645257383,5.35798610156154,18.7054219796519,23.8456806170132,3.51606885193782,260.29815,218.3814,250.8598,267.7832,217.19105,383.7093,317.8473,368.230875,298.2635,305.7985,4,253,32,5,526
"ZNF582",0.419548135225199,0.995448557818132,0.0037342252909861,0.998505122228778,0.130086500954585,0.923459109475215,0.907699039109553,2.24772276458118e-07,0.700869310102402,0.626816096530294,71.69475,43.6415399209486,65.141603125,77.92356,57.5906522813688,21.055744744784,1.85173226193306,6.71965276696635,11.5231812682783,1.44693250653864,53.36595,20.3407,36.7053,58.8299,32.15575,85.36995,61.7859,94.262675,88.9703,78.61815,4,253,32,5,526
"ZNF285",0.998603389401235,0.998789164539816,0.999999996360931,0.837341148680806,0.340982621187256,0.404201423741419,0.980808542249054,0.371018742513491,0.945242202444284,0.190207810006266,109.227425,99.7988169960474,99.6590875,155.34682,90.6551648288973,36.4447471809582,4.53587141819495,12.7697174873443,47.6475569848067,2.71532684285993,52.992075,50.7501,34.2901,87.2258,45.57275,150.547,131.7568,158.13615,172.7908,125.289025,4,253,32,5,526
"ZNF275",0.941292183849028,0.998255242631818,0.750570690645202,0.980843235562542,0.999999960066313,0.991557842123635,0.925691826323557,0.997322801681698,0.641776336720213,0.999991862556261,720.62855,625.814926482213,681.462528125,628.09794,619.51009486692,88.487112230506,17.1900413807924,38.6688065091477,84.112888496577,10.2666480236828,593.988125,429.2965,530.8664,499.0142,460.256775,818.471225,777.4015,778.865575,723.788,744.878175,4,253,32,5,526
"ZNF37A",0.999995668347497,0.972451448611249,0.307093868477201,0.999997578861656,0.999857668863158,0.975030880746078,0.976518642200428,0.000179027174608382,0.999818296975005,0.978820131965345,691.589875,681.267226482213,792.907740625,703.4696,783.389275665399,106.127292543965,19.3566386181039,48.4682764598843,169.47260694129,13.6291665035299,513.4013,479.9672,621.1688,489.3779,581.4291,865.285525,824.1265,964.443825,903.4162,916.3265,4,253,32,5,526
"ZNF510",0.999995672172165,0.92653469219645,0.0969346723117722,0.874125467796359,0.565720393472757,0.992348495751322,0.956698286594911,6.25899070316738e-06,0.992060177059831,0.966989152468763,324.3536,320.37853201581,375.828871875,400.96846,366.217822623574,57.8590969661211,7.20215257464356,21.4944313172351,56.6180822584676,5.29251243814257,262.094875,232.6955,315.4109,347.7503,279.564475,380.306725,384.5443,463.13925,458.2908,441.8645,4,253,32,5,526
"ZNF506",0.999999640277271,0.952049409771017,0.208819731155098,0.912099520268105,0.682766846533287,0.994437314968262,0.998790199892361,0.256590551753254,0.663537793715387,0.865969443455476,421.26275,418.006895256917,490.73609375,526.0398,446.168338022814,63.2623387930831,13.1017341019115,39.2113279692948,137.875386728288,7.15225222021412,349.390575,289.0173,396.3261,345.0233,336.093675,436.227625,551.513,543.329775,568.7121,541.27645,4,253,32,5,526
"ZNF324",0.98300624041732,0.991613326872813,0.999739246864775,0.936092627383751,0.981142738497562,0.975890069454187,0.999998742402918,0.010685739843991,0.766663852830214,0.800342188817774,225.27735,193.959443873518,197.94219375,165.09816,222.48016026616,37.9363628370481,5.05248229220882,17.0777601846068,24.1513036432529,5.64702676721471,205.91005,142.1347,137.34455,137.5423,167.4852,261.42785,232.5034,247.49835,186.7718,247.7028,4,253,32,5,526
