"gene","p-adj-Distant Metastasis|New Primary Tumor-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Locoregional Recurrence","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis|New Primary Tumor","p-adj-New Primary Tumor-Locoregional Recurrence","p-adj-New Primary Tumor-Locoregional Recurrence|Distant Metastasis","mean-Distant Metastasis","mean-Distant Metastasis|New Primary Tumor","mean-Locoregional Recurrence","mean-Locoregional Recurrence|Distant Metastasis","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Distant Metastasis|New Primary Tumor","SEM-Locoregional Recurrence","SEM-Locoregional Recurrence|Distant Metastasis","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Distant Metastasis|New Primary Tumor","Q1-Locoregional Recurrence","Q1-Locoregional Recurrence|Distant Metastasis","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Distant Metastasis|New Primary Tumor","Q3-Locoregional Recurrence","Q3-Locoregional Recurrence|Distant Metastasis","Q3-New Primary Tumor","count-Distant Metastasis","count-Distant Metastasis|New Primary Tumor","count-Locoregional Recurrence","count-Locoregional Recurrence|Distant Metastasis","count-New Primary Tumor"
"ZNF195",0.618000851338834,0.68163044477329,0.905811073406068,0.99454343760183,0.676425635834904,0.888562522658403,0.148457891414257,0.999966241948687,0.681190773825942,0.527801420695376,431.625733333333,193.7748,341.6687,497.4868,213.388775,52.1683753475369,NA,28.2993509405349,NA,44.5205172749482,307.9995,193.7748,279.1103,497.4868,190.2855,494.77425,193.7748,401.5792,497.4868,256.331875,15,1,9,1,4
"ZNF263",0.662998743862004,0.997127492793635,0.598053132701817,0.801559689778134,0.999754853083247,0.741332723783399,0.627749649655879,0.315012470034974,0.812416518084709,0.433993716079389,733.351993333333,965.4148,709.922755555556,923.3922,601.4876,49.6680749698584,NA,46.4893797088202,NA,38.4322194156804,578.24925,965.4148,645.2962,923.3922,551.762675,891.0781,965.4148,812.2673,923.3922,636.626325,15,1,9,1,4
"ZNF200",0.203998146041181,0.432915812143963,0.581023921560692,0.976689824282884,0.27343939874334,0.715639423579688,0.984331920830819,0.172975875682418,0.449343475991453,0.998672607729571,232.93712,382.5693,280.556277777778,193.8394,213.812025,14.1590471327,NA,23.7252188607092,NA,44.2717713480305,207.23535,382.5693,224.6942,193.8394,163.6828,254.8787,382.5693,317.3662,193.8394,231.034275,15,1,9,1,4
"ZNF582",0.97644030521573,0.688074553258771,0.807601481806046,0.99998924583568,0.988054364090407,0.991450325631962,0.973170813077755,0.914736191841834,0.996438632324338,0.999349717616747,19.72548,2.2637,35.7448666666667,22.1678,29.585975,4.22942177359641,NA,15.0669224588537,NA,8.8912371662005,6.10255,2.2637,8.8981,22.1678,24.326125,33.6204,2.2637,35.6412,22.1678,40.1756,15,1,9,1,4
"ZNF285",0.970491592632262,0.771754795831889,0.818613029464786,0.993618964406201,0.941507359537896,0.999996294107381,0.999999628600957,0.980279892685285,0.912502361266068,0.994393568279545,29.50106,0.9055,51.3981,48.4599,28.618825,10.0807282034149,NA,19.7735194705009,NA,5.53296056049185,5.83085,0.9055,12.5301,48.4599,20.8208,39.6952,0.9055,65.4699,48.4599,33.909225,15,1,9,1,4
"ZNF275",0.993812921279669,0.999977319613799,0.99615795289664,0.842207532416433,0.99102724965661,0.868803845050725,0.219266559423876,0.949551219778205,0.307117317823995,0.99986868023232,744.0306,634.2954,733.235911111111,468.6171,424.13375,60.7293484588747,NA,108.192894621752,NA,81.7871882530765,620.4018,634.2954,568.9302,468.6171,329.713675,904.94605,634.2954,905.9233,468.6171,548.181125,15,1,9,1,4
"ZNF37A",0.443590808165518,0.984669485788181,0.588845180571905,0.973812009576704,0.923828242536173,0.995262833519524,0.993151917384205,0.398702644701522,0.940712000119323,0.938281419179547,425.293046666667,191.0583,396.372922222222,343.3432,456.46195,26.3206246973735,NA,62.264834182218,NA,32.6869157911465,367.01625,191.0583,269.0355,343.3432,413.755675,501.5348,191.0583,485.7831,343.3432,490.995825,15,1,9,1,4
"ZNF510",0.999996086666607,0.99998864717419,0.999999828173119,0.832612238412715,0.950829867505427,0.857457821648741,0.963721172072475,0.9987105751595,0.980011728588911,0.968091788610552,218.8035,212.79,215.598288888889,119.603,184.792,24.0330922012941,NA,32.2723570249647,NA,35.847587197467,150.4059,212.79,158.7694,119.603,174.8854,244.9807,212.79,214.511,119.603,222.1184,15,1,9,1,4
"ZNF506",0.999807754232406,0.984514090783902,0.995620631267893,0.976189288409555,0.9980110642049,0.93387950191926,0.897509389172543,0.973189780139082,0.989419218167854,0.858045106616597,261.831013333333,228.6361,303.756333333333,146.4106,357.72825,43.4953842819452,NA,62.6295089541663,NA,139.837159445612,139.4563,228.6361,141.6791,146.4106,231.29995,350.2697,228.6361,377.0218,146.4106,427.44535,15,1,9,1,4
"ZNF324",0.99121151584167,0.906244446467092,0.999983059529524,0.774494061137256,0.766748506178895,0.583481878444143,0.962692153672317,0.943284155067249,0.73541913460292,0.94582228149473,207.9944,243.1239,235.801088888889,117.0254,179.6557,23.1014132847404,NA,19.5339729623976,NA,20.6799778298156,136.8585,243.1239,202.9703,117.0254,151.6817,294.55085,243.1239,271.8556,117.0254,210.79645,15,1,9,1,4
