"gene","Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","Current smoker-Current reformed smoker for < or = 15 years","Current smoker-Current reformed smoker for > 15 years","Current smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current reformed smoker for < or = 15 years","Lifelong Non-smoker-Current reformed smoker for > 15 years","Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current smoker","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999918129799434,0.999987915761524,0.999950085035259,0.645990213873545,0.884501598500046,0.994093701813071,0.997260514998527,0.999165947051217,0.999282917097445,0.998956428215767,329.162290163934,331.640513253012,323.70856,350.054278195489,340.745116666667,9.0594117744955,13.5725216403672,56.555174377696,12.3242420993043,47.5216351602647,230.54555,234.66445,309.2348,246.5619,189.981525,410.502525,422.40475,399.1533,421.5328,410.2293,241.727603921569,338.166356087824,222.1543,309.8748,201.1448,267.70015,236.8272,421.5328,9.41529663257344,6.3279066606878,1.39895630702378,1.39486293985757,0.484350904157786,0.480123368862845,"LUSC"
"ZNF263",0.989048067052105,0.408509173876244,0.350120008438733,0.952557504120454,0.859973251892962,0.524549225391814,0.999935573214937,0.999963019135157,0.484902622492208,0.992599354386441,680.256566393443,666.338830120482,859.49232,697.846966917293,673.030911111111,16.1043065673158,20.9588020514469,156.122723627252,17.9264144722579,29.4676059626176,524.368375,522.03245,624.7177,537.3632,575.612725,777.63795,785.7889,1203.778,823.7917,789.395975,605.273164705882,684.95723253493,594.6574,654.1238,542.90075,638.36625,532.9194,801.374,12.8047838299144,10.1969854313814,1.13164976158784,1.10000110988277,0.178427522300646,0.137504979405894,"LUSC"
"ZNF200",0.784351678998179,0.383406940937231,0.60439202817988,0.997428896222565,0.935633200955591,0.439679270911732,0.879649731208699,0.599257557201547,0.243337468153187,0.827135116718607,257.237220491803,271.156028915663,334.62872,260.652836842105,235.119966666667,6.22024347189577,11.9348335376282,46.4735431958916,7.59292428589608,16.4387042855167,193.342775,199.5899,297.0976,209.258,182.61895,298.960925,321.6657,404.0459,287.7802,263.434425,178.098639215686,261.302567065868,174.2531,243.7766,154.6565,195.82715,197.3607,303.6791,4.50819892890422,4.29007002046408,1.46717890836559,1.39897998945212,0.553044804531512,0.484375326816711,"LUSC"
"ZNF582",0.999900912224953,0.997763802807418,0.998785956641332,0.95299581247119,0.993510509855619,0.999895440585298,0.77044040703759,0.843736042941537,0.998673118376612,0.922024193394413,24.6417991803279,24.2315192771084,21.43236,22.9232105263158,18.2891222222222,1.50542538171204,2.38624475866739,12.9964432752811,1.80803466786538,3.48136626132057,7.8512,8.0619,1.8963,7.5949,6.581375,32.038475,35.7597,26.3078,36.3522,24.80805,47.7748274509804,23.7369403193613,45.1848,16.7226,41.4716,52.4731,7.6845,33.2266,1.75277275856548,0.98221338752312,0.496850362122536,0.370093482764115,-1.00911667837015,-1.43403836445506,"LUSC"
"ZNF285",0.984557202519495,0.999999953719945,0.99982817003065,0.0858171833329667,0.582328246744062,0.971935684196618,0.951335938485636,0.882740861677312,0.997437377924684,0.381725184025331,29.7870118852459,27.6047963855422,30.09956,20.9052060150376,35.53305,2.36645500393904,3.40635164626753,13.3320648584756,2.00944172243631,8.42930520326677,6.24645,5.61895,3.8272,5.2684,4.940975,42.6759,37.802,45.9103,28.7977,54.599075,24.6475274509804,26.9293349301397,21.3186,13.683,16.76855,29.71745,5.7088,38.1075,1.96949438231671,1.44443993347607,1.09257754083842,0.641833891531339,0.127735672232334,-0.639728122884916,"LUSC"
"ZNF275",0.988562136383864,0.954872632373623,0.9807529880169,0.440499629039795,0.911012163031681,0.9982089751567,0.999999635805348,0.998809056622532,0.966788990561728,0.941737322776539,636.236140983607,654.966509638554,732.9535,691.425445112782,633.605022222222,19.5199537429364,28.9356673353948,124.527309834522,28.5608291624801,54.4969160691491,454.482525,452.4149,549.9368,506.3291,496.388425,783.23545,832.1651,819.1715,859.5458,725.401525,532.972317647059,656.453248902196,518.0983,604.8238,458.84485,603.9101,459.8237,811.2324,19.474215089096,13.432137895476,1.23168357373658,1.16739197947571,0.300631667367595,0.223289061382842,"LUSC"
"ZNF37A",0.999766687342104,0.0200328178623538,0.0205443565542737,0.21670626900981,0.38039834871702,0.0857913268638449,0.999203090832044,0.999907457757464,0.0368384506592637,0.782685370187245,352.998155327869,349.03685060241,592.5043,392.49849924812,342.613344444444,10.581045341479,17.5190494424918,160.417117124554,16.6789785156407,29.7585582055343,245.77575,216.42035,356.3697,268.017,275.4864,452.49775,438.7174,697.0976,491.1297,458.6025,429.212143137255,366.62439261477,422.2607,346.4254,360.6564,511.86965,244.4874,462.0419,14.9803571813225,7.78913412539309,0.854179916567575,0.820406445591551,-0.227388117077036,-0.285589268371357,"LUSC"
"ZNF510",0.999951831068184,0.724911069813121,0.719029692867822,0.993873938381198,0.999577488604439,0.671057736497383,0.948376520258185,0.944711038840482,0.942408510616419,0.899971385461526,209.661421721311,208.363781927711,257.19624,205.897065413534,224.821511111111,5.71084556073704,8.91468404864577,49.3803626201914,6.61059234145214,20.0941265289218,148.26605,142.9747,229.3922,147.4122,146.226475,245.859475,273.93745,267.3592,248.913,287.257425,242.526274509804,210.766197804391,229.3941,195.8078,201.8199,289.9556,147.6839,256.1983,8.97830036059791,3.79144473162586,0.869044800322743,0.853586905678917,-0.202497543236108,-0.228390050000784,"LUSC"
"ZNF506",0.7737408666998,0.921632130510982,0.788736116290767,0.991253857758261,0.625472545669944,0.953113760311923,0.999524332450785,0.939328819915475,0.968991307104757,0.999999990119809,257.432785655738,284.079901204819,189.78154,248.60052406015,247.945483333333,12.5976946370204,20.5050349329525,82.995234859934,12.6495334287774,35.4553030669245,139.27575,172.2504,29.975,148.3585,119.973725,323.81035,351.359,227.9934,311.292,322.597275,344.055298039216,258.25356746507,326.9339,228.8877,304.1673,374.3116,141.5482,329.3819,9.6730350538393,8.00471811097563,0.750616453043644,0.700103904795434,-0.413852181342032,-0.514359041674407,"LUSC"
"ZNF324",0.999642046119893,0.998811656837742,0.997691341874324,0.999179579173179,0.99591870277732,0.999562316916901,0.997747893377266,0.994716907435548,0.999986341669273,0.999609716819832,201.093097131148,203.240275903614,190.7481,198.846666165414,194.509222222222,5.68884542460356,9.68469438795569,37.8078838491524,6.33041288678589,19.7466179230551,133.553375,152.96375,134.6397,140.7407,137.84125,246.79115,245.49035,273.8786,243.7585,236.00565,187.308268627451,200.487798003992,177.3434,187.1243,156.7911,213.5897,136.8217,247.6297,6.59728680814302,3.82496572434373,1.07036277401482,1.05515232030061,0.0980998466916858,0.0774512793874692,"LUSC"
"ZNF671",0.999967581949762,0.320817330499908,0.357463791362091,0.891790231230897,0.974393703254328,0.457182244601023,0.944609692888778,0.942510294267054,0.240973993589092,0.795606802096275,75.8158758196721,74.9520036144578,22.59052,69.6997345864662,87.1883833333333,4.27239551252926,6.23135161350605,9.533037187455,4.81460664237435,17.1728976037012,33.685425,39.57435,10.7459,29.393,31.742925,96.847,95.4575,28.9776,94.5204,110.155625,158.140737254902,73.6373229540918,154.9725,56.3155,123.6076,185.50275,32.6072,95.7018,7.69702790101756,2.76076819244715,0.465644237103803,0.363390278920454,-1.10269997130903,-1.46040826843817,"LUSC"
"ZNF416",0.948465379213179,0.999994202997989,0.998791788335762,0.937973633193938,0.713853348127494,0.999963567153758,0.829468392780262,0.660267967934339,0.991792799295674,0.957859996048393,131.507800409836,136.925168674699,129.64256,126.661942857143,116.546644444444,3.76046078005217,6.17285130190715,21.0685971132774,4.8948183371468,16.6647846853095,89.444425,92.60695,103.0341,83.4971,79.399375,162.386175,176.2223,148.7151,163.8812,112.344925,99.4517215686274,130.665683033932,96.1806,120.0361,82.2187,112.90775,87.5086,165.7235,3.63339068680149,2.70304774387857,1.31386044377085,1.24802818863679,0.393812042956898,0.31965052005532,"LUSC"
