"gene","Lung Clear Cell Squamous Cell Carcinoma-Lung Basaloid Squamous Cell Carcinoma","Lung Papillary Squamous Cell Caricnoma-Lung Basaloid Squamous Cell Carcinoma","Lung Papillary Squamous Cell Caricnoma-Lung Clear Cell Squamous Cell Carcinoma","Lung Small Cell Squamous Cell Carcinoma-Lung Basaloid Squamous Cell Carcinoma","Lung Small Cell Squamous Cell Carcinoma-Lung Clear Cell Squamous Cell Carcinoma","Lung Small Cell Squamous Cell Carcinoma-Lung Papillary Squamous Cell Caricnoma","Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS)-Lung Basaloid Squamous Cell Carcinoma","Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS)-Lung Clear Cell Squamous Cell Carcinoma","Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS)-Lung Papillary Squamous Cell Caricnoma","Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS)-Lung Small Cell Squamous Cell Carcinoma","mean-Lung Basaloid Squamous Cell Carcinoma","mean-Lung Clear Cell Squamous Cell Carcinoma","mean-Lung Papillary Squamous Cell Caricnoma","mean-Lung Small Cell Squamous Cell Carcinoma","mean-Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS)","SEM-Lung Basaloid Squamous Cell Carcinoma","SEM-Lung Clear Cell Squamous Cell Carcinoma","SEM-Lung Papillary Squamous Cell Caricnoma","SEM-Lung Small Cell Squamous Cell Carcinoma","SEM-Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS)","Q1-Lung Basaloid Squamous Cell Carcinoma","Q1-Lung Clear Cell Squamous Cell Carcinoma","Q1-Lung Papillary Squamous Cell Caricnoma","Q1-Lung Small Cell Squamous Cell Carcinoma","Q1-Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS)","Q3-Lung Basaloid Squamous Cell Carcinoma","Q3-Lung Clear Cell Squamous Cell Carcinoma","Q3-Lung Papillary Squamous Cell Caricnoma","Q3-Lung Small Cell Squamous Cell Carcinoma","Q3-Lung Squamous Cell Carcinoma- Not Otherwise Specified (NOS)"
"ZNF195",0.992405367175454,0.824184902949584,0.898935155094899,0.164350602287222,0.67775006667551,0.0674361841931832,0.043245965342617,0.761584762704117,0.984325675301336,0.0203398677851959,432.9379,495.6395,361.456733333333,755.2822,331.250073875803,27.6997182590623,NA,105.790891976079,NA,6.38061392843834,380.4057,495.6395,208.56645,755.2822,235.46885,490.07215,495.6395,334.594475,755.2822,410.1223
"ZNF263",0.974686389868321,0.59048610248038,0.999992451774277,0.994641708723431,0.999890662521213,0.998826347451173,0.668681950161691,0.99880860075929,0.910993893927726,0.999996723300782,761.736313333333,620.7074,602.112116666667,668.2963,682.282226552462,64.7190628831927,NA,51.7224392883619,NA,10.4931876496407,652.4672,620.7074,501.907675,668.2963,529.8548,838.76665,620.7074,680.90715,668.2963,797.3614
"ZNF200",0.999992581533468,0.674617600733417,0.963609893471887,0.996963661632109,0.998068390493353,0.998933520579342,0.975430409953273,0.999328672388263,0.763771499621926,0.999649735888231,275.88736,283.4302,213.987833333333,241.5084,260.749661670236,26.7268671985448,NA,23.1672874855138,NA,4.47496322099865,232.27645,283.4302,172.40395,241.5084,196.13475,299.2023,283.4302,252.258825,241.5084,302.62735
"ZNF582",0.937076420536133,0.996551256100491,0.977410332149366,0.951976399750353,0.999999276848388,0.984390368380383,0.94556408724061,0.974029747418882,0.999997544147526,0.982285600316873,27.9985666666667,10.1744,24.1792833333333,11.5004,23.6562310492505,5.7141990242575,NA,8.71593392599312,NA,1.02785303886566,9.65355,10.1744,8.16745,11.5004,7.6595,40.7493,10.1744,30.572125,11.5004,33.42745
"ZNF285",0.972835676285722,0.891839980127829,0.857335834314851,6.94357904507115e-11,2.69632760563354e-10,6.95387081250942e-11,0.999182019819015,0.979491674226751,0.73326295732644,6.94367896514336e-11,28.3219466666667,9.2054,41.6159333333333,301.9524,26.3720526766595,7.03975651340887,NA,17.4008764856767,NA,1.39105171092994,5.39675,9.2054,7.284425,301.9524,5.7014,45.01935,9.2054,72.8207,301.9524,37.5984
"ZNF275",0.912829387618985,0.853493700094497,0.996044931318872,0.951233281956483,0.999979972175879,0.999241151860095,0.998131268832575,0.929699992888616,0.861537905652618,0.963579907317357,681.55648,414.2442,534.816266666667,455.7368,657.402530835118,51.6927366710157,NA,63.0225105322676,NA,14.1734802777232,547.7113,414.2442,412.4443,455.7368,459.3736,805.99865,414.2442,673.1057,455.7368,814.69255
"ZNF37A",0.8545105995715,0.661702075046365,0.523641558584279,0.9896582959307,0.995315639787054,0.828966254794262,0.283565788929012,0.530990919210199,0.997501495559236,0.853249490856007,452.681746666667,633.2364,339.11485,538.1118,362.619438543897,66.0976182894173,NA,46.419142861157,NA,7.95956023091633,322.74895,633.2364,269.149575,538.1118,241.2859,485.0148,633.2364,435.168075,538.1118,459.66045
"ZNF510",0.916774414724013,0.509515877468466,0.999978107558664,0.986148807367569,0.859734013696642,0.752965295566723,5.41262733030345e-05,0.997327399670043,0.820191836733649,0.414998730627354,305.39804,233.5271,242.36075,349.0238,205.988090792291,25.4030066091975,NA,46.474054771114,NA,3.77357057124792,264.06235,233.5271,159.788975,349.0238,146.95925,388.42915,233.5271,314.81045,349.0238,248.7815
"ZNF506",0.99972108364115,0.367764837696213,0.970067199379894,0.999992748362653,0.999989590043537,0.947382357605894,0.795854285917214,0.988508823560451,0.0371161566065713,0.995954621638531,304.906173333333,339.6318,461.52745,318.8018,252.3252,47.4364157570837,NA,94.0212434959878,NA,8.24441388251575,181.05935,339.6318,305.3187,318.8018,137.5967,406.22365,339.6318,565.921675,318.8018,322.5066
"ZNF324",0.860438047549926,0.944946047914044,0.703785864304944,0.892254730295763,0.999997777006284,0.747580932130993,0.938624641830116,0.925147215480297,0.645806473836272,0.947319963722657,184.612173333333,270.3488,154.269966666667,263.7069,201.611873875803,18.2581237024939,NA,36.0621238103236,NA,3.90041027601753,133.0324,270.3488,103.86355,263.7069,138.4774,220.32125,270.3488,184.04995,263.7069,248.14375
