"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF213",0.956504633928476,0.973185644169375,0.999826644049369,0.996081100817429,0.999622114231225,0.999934551012295,0.999996326364477,0.999962805491483,0.999778021124598,0.999369975236915,457.126758333333,470.73391796875,476.382523076923,487.86728,461.969683333333,10.1146312373343,17.8348236039679,30.8239083767815,60.9510908778293,47.6166444214585,335.096875,357.5804,320.5246,475.3974,389.7727,535.2706,531.225525,615.62155,548.375,478.900525,361.853843137255,461.740774650699,368.4028,431.8844,316.9705,408.22045,337.6938,540.842,11.7848690966418,8.21642896708739,1.27604220159009,1.17231573701394,0.35167604306669,0.229361179724085,"LUSC"
"ZNF343",0.86623356957968,0.355602734233856,0.159162169787621,0.627333660491752,0.491690142441095,0.961939545384123,0.954135801611182,0.878733937977914,0.999999259819606,0.980723312193444,305.712150961538,319.67386015625,263.254602564103,219.59368,265.794883333333,7.72127468990267,12.9475354150768,16.2209802452376,64.5403305330892,34.3522852349342,208.2118,223.65175,192.2461,153.5301,203.792425,364.8265,391.924975,320.9076,230.3313,300.965325,185.226829411765,305.095208383234,185.6756,283.5897,168.63535,208.10975,208.5454,369.24,4.75500125653829,6.10689170731358,1.64714371752808,1.52733961812968,0.719966439411133,0.611020894428988,"LUSC"
"ZNF302",0.911177135002255,0.976028772980037,0.834305845714738,0.986017184437783,0.998000832397122,0.956559122655427,0.936583662401264,0.98159652428052,0.871947175025417,0.999891733144659,424.634959935897,401.25880625,450.731046153846,364.71764,341.504533333333,14.5062422343123,23.3827795552168,44.6898670354519,74.6723206871033,64.8241993401984,271.632075,249.616925,303.9267,210.6625,203.915325,500.142525,470.348,471.90985,439.2233,444.565425,468.458480392157,424.156720558882,445.4328,366.2452,372.7263,553.9666,270.2199,490.305,19.3846961837063,12.1506777728801,0.905430765611952,0.822223239958979,-0.143323766165869,-0.282397944951296,"LUSC"
"ZNF268",0.995333171271681,0.999993333742289,0.999877903496841,0.858104575735712,0.821164547886767,0.868813376799334,0.382458476953511,0.340655387675009,0.430044907181628,0.989466544655404,287.794600641026,292.964028125,289.393797435897,230.49688,193.609416666667,7.54493065487998,10.2448901175216,21.1731763871332,32.5531887716611,24.357778033001,186.031075,219.5409,196.06275,181.302,173.64185,360.18735,359.08625,366.3144,227.5728,231.597725,332.253460784314,287.61214251497,322.9559,273.4516,283.93395,377.20595,198.7857,358.1523,10.700565198997,5.74036417844058,0.865640772668059,0.846714984925186,-0.20815964153977,-0.240051673184815,"LUSC"
"ZNF184",0.872001566392647,0.999329994457549,0.997301988446502,0.999977075650788,0.999949440645213,0.999999996211798,0.414612302627609,0.583667522513114,0.538212333740052,0.803954706473486,260.194818589744,249.25585390625,255.880812820513,255.29624,182.815766666667,6.29208918850887,8.92013409904323,18.9163593768915,22.3989251459439,23.4943709331926,176.80095,189.455225,170.386,231.3665,146.380525,313.149175,277.12215,322.752,302.5775,215.917075,185.566354901961,255.966794810379,189.6083,235.6246,158.26285,205.3483,176.8979,303.6649,6.30488890094483,4.87066639364064,1.37938148833937,1.24269138007144,0.46402151067473,0.313468050434116,"LUSC"
"ZNF500",0.620084690513044,0.226614068567649,0.04841505280837,0.999836944180058,0.988500926419235,0.976397563955457,0.999999137031509,0.99795813388755,0.914538624801983,0.999879123191825,222.956216025641,235.71882734375,192.41351025641,216.58556,224.522666666667,4.66571498844548,8.90247527033503,10.9087655590124,20.2365660128293,18.4266727682937,166.387025,168.1394,139.5336,197.7226,193.317,266.273525,274.8166,238.37675,248.1553,234.4128,190.116496078431,224.088785229541,190.7842,210.9493,155.2874,229.603,165.2459,267.4239,7.97455256046183,3.86783769240256,1.17869195915064,1.10569585951038,0.237186731827503,0.144954602283463,"LUSC"
"ZNF419",0.979525372101906,0.999902569988514,0.999693295830778,0.769577486205126,0.699959672262185,0.77407323787335,0.999035399943718,0.999965859200237,0.999732973749247,0.834387572817885,171.650115705128,166.71169140625,169.623830769231,215.2141,162.881333333333,4.31470542895431,7.98995277021935,14.1059547067175,81.0586645183166,40.418722857513,118.433275,109.9774,113.2054,145.9627,103.8724,210.1902,208.938325,210.36375,193.0097,187.940775,135.290343137255,171.811644311377,132.5473,153.0442,106.2583,156.9434,114.4206,210.0846,5.41471531567505,3.82514905706116,1.2699475833029,1.15463838192102,0.344768951430855,0.207441088614196,"LUSC"
"ZNF175",0.983275280365465,0.995862829721013,0.999999549318935,0.997106051499901,0.990722736764814,0.991034897910588,0.997736565683416,0.999764572835157,0.999867330719424,0.989906179235225,118.171606730769,114.67001640625,114.244920512821,127.6768,110.011833333333,3.49107781413239,5.38523311632755,10.8618887901387,34.5470574033882,16.308291480505,73.9126,73.6638,75.29115,76.4706,82.236725,161.107625,148.9286,152.0828,145.6311,129.582075,166.639354901961,116.826749700599,166,109.7561,138.13395,191.4075,73.8872,155.5952,6.16657984647244,2.76517148490325,0.70107538383914,0.661181325301205,-0.512358515068529,-0.596882117800719,"LUSC"
"ZNF14",0.89634446262294,0.924568526030312,0.704735237728988,0.961104405927729,0.904894441896845,0.996758534217436,0.964811487296582,0.993225544102981,0.882275591402289,0.875492436990521,169.5002625,160.01629296875,183.454235897436,200.14472,142.251933333333,5.90801273174999,8.04837801384022,14.8216813635488,71.0790940716425,15.8104986321256,113.630825,104.615975,116.3765,84.7843,115.923725,209.1011,206.66125,230.8694,191.068,144.03185,178.451721568627,168.138244510978,164.0156,149.5129,138.316,206.87125,111.5661,209.4143,8.47148661459564,4.45511367377895,0.942205785592922,0.911577313377508,-0.085885904018664,-0.133563074502053,"LUSC"
"ZNF85",0.778003237399543,0.99988002781529,0.985270362187213,0.999933396178629,0.994846563910792,0.999771389527437,0.970990723243881,0.997519652100574,0.984381247588078,0.984996853356818,72.5568916666667,64.0717734375,70.7475435897436,76.69926,54.4893166666667,4.26214547590125,5.16047270908072,10.6687331967495,27.7025881082725,11.9509237107268,25.7942,24.08255,22.6793,29.5231,35.8985,96.953275,86.4615,88.28185,111.8447,55.335275,63.2586764705882,70.9056061876248,61.5059,52.1762,46.17945,74.14135,25.3955,96.7179,3.33935051916268,3.13553993006013,1.12088349209443,0.848312113146869,0.164636327997997,-0.237332932405267,"LUSC"
"ZKSCAN1",0.966876275188259,0.997707549333124,0.962759830140477,0.69300551763431,0.607124649182364,0.797839360840788,0.999998915450432,0.999574041614584,0.999990584612349,0.883596240733164,803.481200961538,830.60982890625,781.776305128205,570.42156,795.804216666667,22.1012259218012,34.5834987179198,76.4867026787368,103.873133032154,208.290571754149,540.8851,592.150025,475.57665,561.6957,470.95055,960.035175,1004.612475,1058.16725,714.5631,1052.58165,555.647064705882,802.956173253493,523.5445,731.9317,395.7749,668.54055,541.4499,968.9144,28.4455967950233,17.752520346634,1.44508308287117,1.39803149493501,0.531152440684761,0.483396862197421,"LUSC"
"ZNF862",0.98733546562674,0.180421458780477,0.399344062624371,0.992548787409287,0.997864123001517,0.995795899626635,0.999999987472159,0.999911456130821,0.908670506563152,0.997306819562024,344.256941666667,333.339615625,266.454112820513,303.48256,345.570083333333,11.3206817312152,21.5861094653524,22.6259448907918,80.9392655259337,51.1235044482634,192.532175,201.6057,163.36745,169.2547,257.035575,438.94545,392.258275,361.55625,476.2794,425.948375,389.851915686275,332.339175848303,387.6092,292.9418,341.3466,452.2992,188.6544,415.1053,17.0519381450782,9.29655592428244,0.852475420733206,0.755765859014698,-0.230269857111278,-0.403988747158359,"LUSC"
"ZNF684",0.107331207329059,0.839947426874263,0.992262916411563,0.812005104465875,0.473527921156725,0.625880181490337,0.957216728102114,0.999992888373831,0.999074731158947,0.700575596195739,50.4703951923077,43.247515625,45.5159205128205,64.3373,42.365,1.76792967673812,1.88997228917586,3.3596200827646,17.7615238316142,8.78410878306198,32.627,27.896425,29.28115,30.6796,27.767575,59.069825,49.630925,53.32035,85.2941,60.259975,53.5491960784314,48.0614057884232,49.581,41.6069,40.9059,61.74665,30.6122,57.8329,2.91873575915671,1.26426800772955,0.897518717517804,0.83917024666707,-0.155986068610688,-0.252964567766779,"LUSC"
"ZNF430",0.994471684435294,0.741491254095563,0.897138161031623,0.999994985481574,0.999999913214271,0.995997375758228,0.95923084517666,0.978416077500846,0.999792383197193,0.993678838749933,140.579595192308,136.92837890625,122.710066666667,137.90788,116.097166666667,5.26957474671894,6.52502317960166,11.795835362698,30.3488939360465,21.2825112112687,87.252725,91.42985,54.9152,105.4622,75.277775,173.245225,167.731275,178.23695,166.2136,160.419425,121.100574509804,138.050304391218,115.5711,128.0884,96.77375,141.01425,86.7188,170.5663,4.95521341960743,3.83526459135875,1.1399640749024,1.10830821892324,0.188988359673508,0.148359148603584,"LUSC"
"ZFP30",0.981661845216765,0.999904384904278,0.999745907447518,0.867137624428938,0.919520692070267,0.906941936861207,0.503592922172578,0.607542103554221,0.601971122714689,0.996457392679898,214.22113974359,205.97706796875,210.752994871795,151.7979,120.9039,8.32261547402115,11.2973685606499,25.4097931745212,55.1896871458518,10.333517177999,123.108375,126.2693,116.9933,65.4807,102.886775,261.746075,251.21895,273.68475,241.5534,137.111075,145.574431372549,211.880773652695,138.7521,178.6909,108.45605,179.18975,120.5185,261.4777,7.27969155734784,6.47404676365116,1.45548068884746,1.28784285066676,0.541495698073645,0.364956558983688,"LUSC"
"ZNF549",0.795164070121596,0.997964685526583,0.996602549820864,0.986334649555548,0.999185132847198,0.995871558593467,0.999999977458348,0.998925483215182,0.999973727838123,0.996091498412032,157.015635897436,144.4628609375,151.382130769231,132.4857,156.23585,5.76964476763574,10.3751646193229,17.6466438114085,44.5558025429797,33.5102006575386,83.488925,60.7462,80.22715,72.2937,95.9606,210.57585,190.4259,204.9189,152.6915,195.0152,165.892676470588,153.567688822355,170.3016,137.2158,141.1925,184.2804,73.4509,207.473,5.29560710799506,4.75738418673411,0.925705052745845,0.805722318521963,-0.111375498294845,-0.311645376128886,"LUSC"
"ZNF211",0.919675579083502,0.999999783580864,0.98655190170804,0.842954065673953,0.9234675281589,0.86180079455983,0.999674543521042,0.99446156123028,0.999805854891612,0.897841978822337,210.440466346154,200.217746875,211.059282051282,156.44966,219.832816666667,5.98895045760666,12.1003608923499,20.5361180907008,47.1046234351852,48.2005275850546,134.260475,115.954825,115.3966,105.0725,145.936825,260.39515,229.094275,261.99925,175.3634,244.698,226.483858823529,206.813977245509,224.5345,183.7372,189.29925,252.72095,127.2471,258.0214,7.37074847513809,5.18579911937243,0.913151066569619,0.818302755255874,-0.131074543591108,-0.289293385344041,"LUSC"
"ZNF205",0.888756213117083,0.999999714312448,0.98758574128789,0.995074529710781,0.975325472705501,0.995450619207155,0.816595834369292,0.919755832836203,0.85419082589425,0.843255564803996,253.881634935897,264.146921875,254.485435897436,235.19016,301.167383333333,6.0894693667218,9.42443189607821,14.8612703961972,13.050735435009,56.5130525322273,184.9422,196.788275,188.90935,219.2272,231.385125,301.336625,324.614325,299.1171,247.8728,404.046025,191.349980392157,258.257346506986,191.7566,246.283,147.82955,239.39685,187.0745,307.8579,9.14842224433371,4.84491050192508,1.34965964447818,1.28435214224699,0.432595636067341,0.361040813224218,"LUSC"
"ZNF45",0.995981527378655,0.442472310366907,0.386542548731706,0.999999389104399,0.999999045967287,0.968090840230148,0.749469031378835,0.703407117387501,0.989382199234843,0.914945288068874,258.541649038462,262.85291875,226.760494871795,260.5652,203.55365,6.41303077583222,10.2419308642546,12.5043033078781,35.5244075254887,17.2295930895025,181.331675,187.402425,171.15255,206.0041,173.148025,310.909675,316.776375,286.72505,320.8816,240.437825,256.157037254902,256.315601397206,250.6631,236.9951,234.5523,284.90715,181.6521,310.3181,5.2551593026088,4.98058926964286,1.00061901146267,0.945472628400431,0.000892768478980461,-0.0808924023839904,"LUSC"
"ZNF133",0.999008937868349,0.854352523482803,0.935773399379816,0.840842979679905,0.872809857424555,0.971825474931747,0.974340016014342,0.964392880055289,0.874368356620428,0.763322603616098,386.011674038462,381.573371875,358.217628205128,310.1036,426.70485,9.12349029495972,15.8308487507904,20.3625311776348,31.7845966434844,70.0639705086228,277.230125,250.345875,262.00895,266.7961,321.57115,444.63385,466.6731,436.1193,303.9364,510.12475,234.975641176471,381.959268463074,231.1595,354.0328,190.2661,271.84925,269.6283,443.9482,8.75166306099642,7.22328575884117,1.62552708251242,1.53155202360275,0.700907592620628,0.614994373087028,"LUSC"
"ZNF436",0.359591555374547,0.997827061077225,0.943321990548759,0.825238526330923,0.581275896508639,0.794827371222016,0.440355739465583,0.745729105572565,0.584516365508197,0.296214515256647,789.410343910256,716.671396875,769.024548717949,971.2921,524.913883333333,21.1576501518169,33.2565268832773,69.21940193602,221.798431495011,106.099139234995,528.862675,478.951475,465.7621,644.7301,312.225,978.91795,847.555075,986.5954,1424.6283,675.347025,395.128450980392,764.6248500998,389.1303,672.3098,321.84305,480.5188,507.1595,929.4691,16.89934379797,16.9046704212494,1.93512982475095,1.72772410680947,0.952430357708959,0.788872857827785,"LUSC"
"ZNF484",0.731022847641838,0.96055888048067,0.999992252957486,0.990582514492093,0.999799061663647,0.99967385445844,0.994807969226513,0.956242811166003,0.969187621745706,0.972897841708789,95.1270057692308,103.82795,102.8893,109.1225,84.1735,2.20943987458441,9.92022788217533,8.559444810794,5.03234056737022,10.5920407440052,67.310575,66.499575,64.88425,104.8448,75.96845,113.2056,112.40225,124.7728,115.9664,86.052325,84.1344568627451,98.4671221556886,86.2712,87.7306,68.88195,94.9708,67.3259,113.2317,2.60357957076483,2.99500635142322,1.17035428559699,1.01691642170272,0.226945323571814,0.0242011118897087,"LUSC"
"ZNF780B",0.979588759980007,0.997971170062384,0.99999955121482,0.993172702840177,0.998463167699914,0.998404931265706,0.987201125426718,0.968851128453261,0.976295256362126,0.965133538295467,283.419694871795,297.75351875,296.105882051282,329.47256,233.744666666667,10.6646522217167,30.156295217303,34.7185177906147,129.591879013797,48.5557322307721,172.452075,165.3828,157.62055,149.0683,149.605175,333.217225,322.210625,326.36665,279.4173,290.39365,240.716966666667,287.619350499002,233.1602,230.7059,199.52055,270.7136,164.6601,330.4675,11.1170953273598,10.6417394386991,1.19484452833474,0.989473760959203,0.256822908756199,-0.0152666447504544,"LUSC"
"ZNF557",0.957218355438548,0.630384125076809,0.898022361155451,0.999121484859619,0.994129595364667,0.947607267820317,0.99715369328414,0.999854653502846,0.999458444838645,0.993618185553816,184.121509294872,177.713584375,163.334905128205,194.0448,171.875,5.31184183087242,6.41291441454991,13.403932784522,41.8686529004338,25.0490073462137,121.579625,130.35855,110.2687,126.4706,135.447225,221.645925,222.45735,188.26985,215.7456,223.522425,157.235060784314,180.404316167665,151.9692,168.3909,129.75895,176.6372,121.8044,219.7249,5.69158070276913,3.88476140669202,1.14735425590055,1.10805939624608,0.198310905148029,0.148035217463774,"LUSC"
"ZNF337",0.98568463749017,0.97810350294883,0.919883593157733,0.508045251840887,0.443677360123388,0.693440621276854,0.905132523137037,0.857310815448839,0.97499505252216,0.977647189033322,538.305298076923,553.4414046875,510.853351282051,338.94828,437.370216666667,16.1512953456846,24.3291455327368,43.1702404325738,42.0356615688085,40.5065408782616,358.44495,354.276575,341.6477,260.035,369.818975,653.505025,732.966725,631.25825,371.6063,523.477625,414.096260784314,538.020484630739,398.3932,482.4085,320.71165,512.55915,354.9014,661.0793,17.0104214377415,12.4104753509761,1.2992642908963,1.21088537655763,0.377694927616034,0.276062304752719,"LUSC"
"ZNF317",0.74144977504359,0.961641989460835,0.675287297399503,0.933030964611451,0.825402071284027,0.986403180165454,0.99995579412989,0.999713628016392,0.995883870946632,0.962802040642684,755.830059294872,791.64501015625,723.6664,655.79972,769.494633333333,16.6069566946098,20.6419642071467,52.2784952523512,62.9941062140769,100.206779265569,584.162275,655.18875,498.9658,581.6212,604.35205,898.1889,918.821325,824.2165,732.0212,942.97835,670.908145098039,760.504855489022,670.3527,730.4121,608.9937,731.3023,582.6367,899.325,12.3543154964559,12.4423530342318,1.13354542055513,1.08959373177732,0.180842200250991,0.123790308940052,"LUSC"
"ZNF426",0.999835353959421,0.999980103309399,0.999741542217691,0.871581511528788,0.891349523801709,0.87767288720486,0.996691918257581,0.995146560426299,0.998375351263863,0.87423541875748,124.077218910256,122.8891828125,125.208274358974,94.21672,134.066466666667,3.7966107477109,6.42733726725643,11.6134771972164,12.7257439031044,26.8144995181794,78.324375,80.19325,75.6535,95.3782,97.4172,155.78515,161.73075,147.0604,113.354,181.318875,149.0686,123.292022155689,145.2599,114.486,129.27645,164.76015,78.2658,155.7455,4.34833199790719,3.0420667094367,0.827082444966201,0.788145937041124,-0.273896948059771,-0.343465303845629,"LUSC"
