"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.965988993316688,0.999959298628381,0.988940287446484,0.958455839065205,0.983956703433025,0.957116646506377,0.942920761044707,0.977751388591886,0.943077035846412,1,339.231804166667,329.541515625,342.011964102564,295.23052,295.209833333333,7.45456680458128,13.6430376683742,27.3376862953176,33.8380339927041,67.5160652846104,240.791625,226.553575,220.0801,248.4472,180.31615,428.4161,396.103575,423.2744,304.4453,378.322425,241.727603921569,338.166356087824,222.1543,309.8748,201.1448,267.70015,236.8272,421.5328,9.41529663257344,6.3279066606878,1.39895630702378,1.39486293985757,0.484350904157786,0.480123368862845,"LUSC"
"ZNF263",0.116313715688173,0.838754558630978,0.134020155360198,0.931333701804902,0.999321375374251,0.792257746859012,0.874507953746221,0.532289327771029,0.987583939206777,0.725318627522141,672.162769230769,728.9229046875,632.576128205128,753.05742,583.474833333333,11.4485480284805,25.7268341564755,24.0566625831974,73.5232894095429,64.6463059633298,524.23925,564.03295,527.68115,646.4441,470.745975,794.769875,825.43855,689.33565,881.4606,682.77285,605.273164705882,684.95723253493,594.6574,654.1238,542.90075,638.36625,532.9194,801.374,12.8047838299144,10.1969854313814,1.13164976158784,1.10000110988277,0.178427522300646,0.137504979405894,"LUSC"
"ZNF200",0.797747061646294,0.999818170276417,0.988792498971546,0.836454256348501,0.938657382624524,0.886395755238102,0.599279710499479,0.431366672895211,0.613251849455715,0.399806203162826,257.719954807692,269.0090734375,260.479669230769,302.89032,200.387,5.54162492476293,8.98902907075118,10.8483415772036,35.5667517354818,14.2636191129975,195.731675,197.2065,205.44125,267.6003,173.317275,295.20515,321.570175,303.50195,367.767,213.3425,178.098639215686,261.302567065868,174.2531,243.7766,154.6565,195.82715,197.3607,303.6791,4.50819892890422,4.29007002046408,1.46717890836559,1.39897998945212,0.553044804531512,0.484375326816711,"LUSC"
"ZNF582",0.99966873925238,0.990234688895412,0.997700031265831,0.999795246127556,0.999505982277204,0.997378478699091,0.993045526408067,0.995909809266259,0.999473129375035,0.993472850123547,24.0331663461538,23.57550859375,22.2711923076923,25.7742,20.1214,1.21996881362361,2.08883328494187,3.85642683005289,7.67633546863346,5.42768623442193,7.94695,7.819675,4.8744,18.2524,15.401725,34.5443,31.975275,31.89395,40.3361,24.825875,47.7748274509804,23.7369403193613,45.1848,16.7226,41.4716,52.4731,7.6845,33.2266,1.75277275856548,0.98221338752312,0.496850362122536,0.370093482764115,-1.00911667837015,-1.43403836445506,"LUSC"
"ZNF285",0.830673643613975,0.431512930049317,0.186119697945315,0.818404531853741,0.923615563824688,0.477771357010838,0.999999999998938,0.998900151754447,0.964881631225681,0.929736146093329,27.4947836538462,23.9071015625,36.9033076923077,11.72664,27.5145833333333,1.80838179778986,2.91063946818033,6.12548167533819,3.60780429937656,5.18073022764273,6.4925,4.730725,7.3261,9.084,19.013475,38.968,30.51045,63.13705,12.8155,34.243525,24.6475274509804,26.9293349301397,21.3186,13.683,16.76855,29.71745,5.7088,38.1075,1.96949438231671,1.44443993347607,1.09257754083842,0.641833891531339,0.127735672232334,-0.639728122884916,"LUSC"
"ZNF275",0.918862014204248,0.195611568917057,0.0947311881611852,0.886539967182345,0.801749522527669,0.999971511641251,0.821623412374879,0.711796879300813,0.999819651516375,0.999999483117561,660.527906410256,686.95941796875,550.051094871795,534.92064,527.849916666667,17.7743335179388,26.1352922375218,33.4768689992487,119.631643133063,70.8707842407077,461.599775,483.681475,425.1947,415.1139,462.816975,812.093075,859.996475,718.12355,637.7744,573.068475,532.972317647059,656.453248902196,518.0983,604.8238,458.84485,603.9101,459.8237,811.2324,19.474215089096,13.432137895476,1.23168357373658,1.16739197947571,0.300631667367595,0.223289061382842,"LUSC"
"ZNF37A",0.841449445984488,0.999111018375748,0.922867342857823,0.599330529093032,0.456563564696202,0.703407069252545,0.490803705730174,0.671909878724327,0.4903880360153,0.192169762587448,361.399065384615,380.29016171875,353.923184615385,247.63696,477.450533333333,9.60422487890742,15.9336832758001,32.289984135718,45.8533157193087,69.564072257182,242.829675,257.41955,208.5996,214.2857,378.6898,460.974325,461.711975,445.2708,286.5254,568.77005,429.212143137255,366.62439261477,422.2607,346.4254,360.6564,511.86965,244.4874,462.0419,14.9803571813225,7.78913412539309,0.854179916567575,0.820406445591551,-0.227388117077036,-0.285589268371357,"LUSC"
"ZNF510",0.7548521057163,0.999988517917009,0.973984245345002,0.999994945025294,0.997024677971979,0.999981273854018,0.656834492453215,0.474441181215341,0.687555250633853,0.907392689056699,207.572533012821,218.13427421875,208.779912820513,204.96296,160.5126,4.64833015656201,8.04783453992849,13.2543826919208,38.3826738930158,12.8676120940134,146.1718,151.199575,151.5394,163.0435,135.235675,256.744125,286.335825,234.96775,224.0727,187.45655,242.526274509804,210.766197804391,229.3941,195.8078,201.8199,289.9556,147.6839,256.1983,8.97830036059791,3.79144473162586,0.869044800322743,0.853586905678917,-0.202497543236108,-0.228390050000784,"LUSC"
"ZNF506",0.89265452819891,0.539463106174435,0.895488652917005,0.935847702453216,0.98024256544442,0.999692224520127,0.996151249834548,0.976487121804311,0.88146279828052,0.92083745709271,265.361032051282,248.14411796875,218.387564102564,201.91294,292.548416666667,11.0965146955894,13.4151621447396,22.1564979831215,59.3787204844008,41.5203961885916,146.21205,138.5903,107.3359,139.3351,239.66215,326.8356,320.6519,322.108,314.1748,323.21295,344.055298039216,258.25356746507,326.9339,228.8877,304.1673,374.3116,141.5482,329.3819,9.6730350538393,8.00471811097563,0.750616453043644,0.700103904795434,-0.413852181342032,-0.514359041674407,"LUSC"
"ZNF324",0.999844126551606,0.935743170897157,0.924627009277167,0.970081597625542,0.977099827294311,0.904911000505455,0.843576170663929,0.868140448709773,0.711825729268877,0.999394596542998,200.943057692308,199.51044765625,212.114046153846,177.03714,165.399733333333,4.263252507101,8.62910154825751,17.1827579041838,21.4189875337888,17.7499992712801,146.97325,129.476775,130.57045,151.1387,140.31915,249.290325,242.020025,260.4458,207.3786,195.484075,187.308268627451,200.487798003992,177.3434,187.1243,156.7911,213.5897,136.8217,247.6297,6.59728680814302,3.82496572434373,1.07036277401482,1.05515232030061,0.0980998466916858,0.0774512793874692,"LUSC"
"ZNF671",0.146511080012411,0.854715200060822,0.995087215117597,0.9097963779337,0.638090988309984,0.763906541560204,0.99538785364327,0.874187004971683,0.944796275258328,0.995471851637333,78.4072817307692,63.4563578125,67.8760487179487,102.53146,88.2050666666667,3.73215819560123,4.77747398607788,8.71123375251732,20.2435193453757,23.4008053601675,35.999125,29.33875,25.0323,90.7733,46.641325,101.57075,80.56925,95.78955,144.9659,133.024575,158.140737254902,73.6373229540918,154.9725,56.3155,123.6076,185.50275,32.6072,95.7018,7.69702790101756,2.76076819244715,0.465644237103803,0.363390278920454,-1.10269997130903,-1.46040826843817,"LUSC"
"ZNF416",0.449985831026632,0.999035916341519,0.951177138182056,0.198491474242555,0.0883772982502602,0.205793942559428,0.741291210255211,0.936307010579246,0.834430082226475,0.108205119820451,133.0896,122.98994140625,130.582,188.89176,104.27965,3.255600349695,5.05367905576271,8.50939116179688,45.1340924190417,15.6893928572513,89.0368,84.696575,89.9606,132.5052,79.93165,168.407075,153.973625,166.6713,169.5685,127.69765,99.4517215686274,130.665683033932,96.1806,120.0361,82.2187,112.90775,87.5086,165.7235,3.63339068680149,2.70304774387857,1.31386044377085,1.24802818863679,0.393812042956898,0.31965052005532,"LUSC"
"ZNF586",0.748589903388662,0.826018958030332,0.448972667125872,0.98894049303738,0.999645090080556,0.918836125770476,0.305205420004817,0.500008273113798,0.17372824877206,0.876490196799,178.541970192308,166.81353046875,195.264720512821,158.37216,104.950166666667,5.29385230119258,7.73017717586109,17.7450018546381,21.246020897561,12.6038148246385,116.571625,106.2778,131.49975,139.5912,90.04125,225.799525,211.567775,231.09485,172.6891,119.560925,162.791260784314,176.5297750499,152.731,160.1475,126.78645,190.5124,114.1104,220.8378,5.89771267063206,4.28254556579236,1.08439343856295,1.04855923159018,0.116888288869847,0.0684083594867821,"LUSC"
"ZNF446",0.862554983435668,0.971153802064937,0.999999988123339,0.971354386044232,0.995116387295983,0.996079944878324,0.792315723410791,0.909669705064726,0.925289943557615,0.99816093786413,224.731516666667,214.3042375,214.025066666667,196.36948,177.83735,6.09211740949832,7.62758902600381,14.8979928995983,18.9293801078746,45.3761663997944,158.116725,147.67345,160.0144,182.7899,108.141025,270.290825,266.297725,248.01235,225.5062,198.17855,182.611174509804,221.492848103792,174.5638,202.4575,150.78335,214.4164,155.4752,266.6211,7.09752427078893,4.73864634569535,1.21292056030175,1.15979086156465,0.278485064875813,0.213864675882257,"LUSC"
"ZNF8",0.874016677778766,0.999679866874658,0.949469277100744,0.673199655492349,0.540387294145072,0.756198638619877,0.77570622217086,0.639325042458451,0.849734989075107,0.999630055549736,114.155091666667,119.96067734375,112.2459,79.53756,86.5973,3.08163940268654,5.54678205130011,11.4804525855791,7.49139003233712,6.28186152134328,74.425925,78.31525,69.90925,71.7479,73.303725,141.18825,144.189925,136.2276,90.5786,97.480475,73.3808509803922,115.273381437126,70.2379,102.4578,62.04995,82.61065,74.7478,141.0317,2.73596135670791,2.62462920540284,1.57089185934799,1.45872527510076,0.651583868504624,0.544708202947662,"LUSC"
"ZNF264",0.996086563123719,0.999879161873443,0.999994612828458,0.997150536925663,0.993480359408215,0.995735155867878,0.999616510175701,0.99996870430234,0.999930640830625,0.995049191839669,650.284625,639.2163125,642.875017948718,694.08958,626.233733333333,15.3860460235337,26.8760502453212,54.8983960062497,149.027185624655,83.9935658750505,447.763625,436.5692,397.1939,573.499,539.545275,808.384225,803.173725,780.76605,665.2427,732.070425,775.757870588235,646.425178243513,768.0556,609.5392,654.27895,890.1248,437.6438,803.1634,23.8761036809295,12.7306180477098,0.833282139636362,0.793613379031414,-0.263123036827524,-0.333491747464524,"LUSC"
