"gene","p-adj-classical-basal","p-adj-primitive-basal","p-adj-primitive-classical","p-adj-secretory-basal","p-adj-secretory-classical","p-adj-secretory-primitive","mean-basal","mean-classical","mean-primitive","mean-secretory","SEM-basal","SEM-classical","SEM-primitive","SEM-secretory","Q1-basal","Q1-classical","Q1-primitive","Q1-secretory","Q3-basal","Q3-classical","Q3-primitive","Q3-secretory","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.165740584973076,7.15967125086703e-06,0.00210341347323806,0.791972593536627,0.716963706456519,0.000233185226763077,282.654683333333,335.667769230769,442.950625925926,308.690088095238,16.5885467858575,14.2998859621591,36.3170707870274,18.9202937079352,206.979575,246.4833,311.7028,207.85875,319.201275,406.0052,554.42745,377.338525,241.727603921569,338.166356087824,222.1543,309.8748,201.1448,267.70015,236.8272,421.5328,9.41529663257344,6.3279066606878,1.39895630702378,1.39486293985757,0.484350904157786,0.480123368862845,"LUSC"
"ZNF263",0.0424237906906338,0.0534521189602924,0.965724011603595,0.999999095187852,0.0441275770373505,0.0551100554798547,596.142621428571,733.85864,761.9763,596.918761904762,27.4881862580393,26.9650927550763,97.3513569756425,21.6470042897746,468.612325,576.1846,476.5332,487.777425,698.364725,873.6784,856.82965,669.632375,605.273164705882,684.95723253493,594.6574,654.1238,542.90075,638.36625,532.9194,801.374,12.8047838299144,10.1969854313814,1.13164976158784,1.10000110988277,0.178427522300646,0.137504979405894,"LUSC"
"ZNF200",0.693395932196133,0.842372436594134,0.999932897327678,0.996400529506973,0.543125066916173,0.739728391725967,266.564416666667,288.991116923077,287.637788888889,261.672907142857,15.0919097786357,12.4437609046694,25.0112083157822,14.6003994339818,195.5799,224.6942,207.417,200.2068,313.560475,350.9741,326.1644,307.52525,178.098639215686,261.302567065868,174.2531,243.7766,154.6565,195.82715,197.3607,303.6791,4.50819892890422,4.29007002046408,1.46717890836559,1.39897998945212,0.553044804531512,0.484375326816711,"LUSC"
"ZNF582",0.079147969597633,0.978189160010251,0.352697020262565,0.962807813520894,0.241848969722799,0.99999317014941,32.7308119047619,21.5416630769231,30.413,30.2587476190476,4.15377408993453,2.5354419537602,5.20579824601973,3.33816924462201,12.432675,7.8106,7.85105,13.5904,52.164425,31.6484,48.93155,44.11255,47.7748274509804,23.7369403193613,45.1848,16.7226,41.4716,52.4731,7.6845,33.2266,1.75277275856548,0.98221338752312,0.496850362122536,0.370093482764115,-1.00911667837015,-1.43403836445506,"LUSC"
"ZNF285",8.17189816885167e-05,0.701429986532122,0.0375416089799979,0.477545976098912,0.0224555569900782,0.997530032227242,40.8103214285714,14.1693292307692,32.7874814814815,31.3720119047619,6.47704579949649,1.95159937925642,7.02593593574493,4.37006911138259,9.322625,4.451,4.403,10.90055,70.82125,16.2011,46.68995,46.953075,24.6475274509804,26.9293349301397,21.3186,13.683,16.76855,29.71745,5.7088,38.1075,1.96949438231671,1.44443993347607,1.09257754083842,0.641833891531339,0.127735672232334,-0.639728122884916,"LUSC"
"ZNF275",0.0301975444663616,0.136725827777249,0.999864092220899,0.342524528719704,0.782154022938009,0.901151184415178,516.047019047619,671.383192307692,666.718537037037,618.801559523809,33.3571085575577,41.5002623568118,59.1346346838633,35.1920557776367,340.166625,491.4428,479.68505,466.53855,617.235875,816.2577,889.25935,744.96985,532.972317647059,656.453248902196,518.0983,604.8238,458.84485,603.9101,459.8237,811.2324,19.474215089096,13.432137895476,1.23168357373658,1.16739197947571,0.300631667367595,0.223289061382842,"LUSC"
"ZNF37A",0.934831736095233,0.382893223761185,0.621225560823545,0.208472722318143,0.400403757884286,0.999135972860453,263.395145238095,278.448038461538,314.123659259259,318.382719047619,18.1187946599334,15.3749729816638,29.9682054653318,19.7567905383433,149.745225,189.4453,213.54495,205.60335,368.659775,331.1132,381.0539,390.776675,429.212143137255,366.62439261477,422.2607,346.4254,360.6564,511.86965,244.4874,462.0419,14.9803571813225,7.78913412539309,0.854179916567575,0.820406445591551,-0.227388117077036,-0.285589268371357,"LUSC"
"ZNF510",1.98499052694867e-05,0.00250556673531266,0.990742955286662,0.0196901107160375,0.398248985681839,0.759031676009557,167.853561904762,237.898935384615,232.869648148148,215.005021428571,7.11035521402362,10.4170338175907,16.4453835142218,10.8925951194484,141.210075,177.8135,162.7162,169.881775,197.06195,285.9918,272.76255,269.071675,242.526274509804,210.766197804391,229.3941,195.8078,201.8199,289.9556,147.6839,256.1983,8.97830036059791,3.79144473162586,0.869044800322743,0.853586905678917,-0.202497543236108,-0.228390050000784,"LUSC"
"ZNF506",0.999861417846785,0.350356949490073,0.315906465867291,0.313801297040319,0.263375697965485,0.999218245951576,230.519757142857,233.139846153846,304.831122222222,299.011245238095,23.5166882456265,17.1835739628441,52.5664834422765,30.2196956083972,119.1554,131.6757,109.65815,185.35965,302.28105,309.633,405.4764,358.49375,344.055298039216,258.25356746507,326.9339,228.8877,304.1673,374.3116,141.5482,329.3819,9.6730350538393,8.00471811097563,0.750616453043644,0.700103904795434,-0.413852181342032,-0.514359041674407,"LUSC"
"ZNF324",0.383439202566099,0.993836516611487,0.348039467949506,0.946366675740909,0.755473287693664,0.878016569481957,208.98205,181.354829230769,214.583814814815,198.484483333333,16.9624445149996,8.95627100053465,15.4353916296493,13.5907868627611,143.142475,130.0316,171.7782,160.8603,252.735725,212.301,262.4783,230.50655,187.308268627451,200.487798003992,177.3434,187.1243,156.7911,213.5897,136.8217,247.6297,6.59728680814302,3.82496572434373,1.07036277401482,1.05515232030061,0.0980998466916858,0.0774512793874692,"LUSC"
