"gene","C2-C1","C3-C1","C3-C2","C4-C1","C4-C2","C4-C3","mean-C1","mean-C2","mean-C3","mean-C4","SEM-C1","SEM-C2","SEM-C3","SEM-C4","Q1-C1","Q1-C2","Q1-C3","Q1-C4","Q3-C1","Q3-C2","Q3-C3","Q3-C4"
"ZFP14",0.00485485120434637,0.368768027900411,0.0250007833059187,0.102992821933718,0.0905009859121801,0.734722961106236,296.31935,126.80558,225.761133333333,198.16381,36.31005,9.4830673870009,18.9185069677228,20.0135612083821,278.164325,115.5943,190.0769,167.40005,314.474375,134.2011,262.160775,198.547675
"ZNF473",0.84066071628661,0.986767441899735,0.405428558628534,0.998737845508599,0.469725742620605,0.990124189571418,315.61505,396.31954,283.849333333333,302.02017,126.83475,66.9195802884074,28.3848848604754,35.2963182999337,252.197675,285.6315,231.59145,222.28535,379.032425,548.5278,345.036875,372.41005
"ZNF614",0.997952406108999,0.9057000623381,0.909367056290125,0.572424558544312,0.417354256481968,0.810744334565055,166.8692,183.76782,229.582333333333,281.8927,58.4567,68.6147385451071,24.4836208301614,37.6995140054027,137.64085,96.9479,200.583125,221.887375,196.09755,210.6603,251.028325,369.628875
"POGK",0.999580948205587,0.958578461773926,0.951362432744239,0.961063671602282,0.950804950130166,0.999931948785413,1788.7292,1742.33568,1572.21856666667,1587.8238,175.3679,272.458960184499,191.193774862661,174.719697394828,1701.04525,1217.3499,1307.012725,1313.2011,1876.41315,2382.8546,1612.469175,1720.3825
"ZNF514",0.989562142428504,0.0575134957107442,0.019186617828488,0.548939077577572,0.498339839020158,0.1279468554625,133.2017,155.65006,328.408966666667,223.83118,3.6698,21.246471911581,58.9688713323093,18.5803980314309,131.3668,123.4291,233.141975,184.842,135.0366,167.3937,345.36005,269.9503
"ZNF300",0.999944309474985,0.999953263541999,0.999999926021839,0.728815970365368,0.428381477380699,0.381931780372765,58.8877,55.55566,55.82065,119.32526,26.9976,32.8694899248315,14.4460017958315,29.3805172473158,45.3889,11.5875,25.867025,56.626675,72.3865,36.5322,85.2817,144.44265
"RBAK",0.726528755495728,0.987918663901175,0.27002724688259,0.952923084814169,0.826555421197642,0.577935104162957,768.74425,573.62134,827.7793,678.51337,213.51365,47.7299266352107,137.653122379613,52.025626773131,661.987425,475.8395,577.493275,553.06455,875.501075,625.1192,922.80445,828.545975
"ZNF92",0.974298745553372,0.989073010870964,0.74989269606291,0.952111607984063,0.999633091567839,0.585454089711085,405.982,348.31522,447.826716666667,339.37279,78.0025,39.0382199730136,105.788675667299,38.3437508246866,366.98075,335.2783,276.1475,276.748625,444.98325,406.7207,674.267025,387.420725
"ZNF157",1,0.975413447857227,0.943167093430239,0.45245944943561,0.17874178249663,0.398233850111474,0,0,0.909833333333333,3.14441,0,0,0.386538793798386,1.2166351629209,0,0,0.469775,0.44095,0,0,1.145775,2.690575
"ZNF182",0.945790840413516,0.991172913551972,0.664318016378295,0.96366178606963,0.451329023196419,0.994106389610222,171.4382,121.18698,197.413016666667,211.72964,16.8758,11.4298696389941,32.740610234869,46.2356079276212,163.0003,123.9861,154.7246,117.571125,179.8761,134.5722,233.13995,253.43255
"ZNF673",0.407526205781522,0.999922855118619,0.183517437927958,0.769105049868531,0.00612503027917943,0.431898496765736,198.33705,94.30608,194.5593,256.95261,36.79145,29.7505755009277,28.0552790080465,28.3213094545882,179.941325,45.8015,136.118275,196.43145,216.732775,153.2284,244.758,297.739525
"ZNF41",0.86992598938128,0.986982492368853,0.92866487522332,0.880337114275049,0.156313219013945,0.38499274330441,344.09395,255.48264,306.476166666667,423.489,45.90955,20.6200274865142,37.0160411896218,58.8921159004384,321.139175,223.5551,242.7318,311.991225,367.048725,271.2107,346.1466,432.793075
"ZNF7",0.991763484054262,0.86786686104198,0.916578151131399,0.957415093946163,0.992279246492367,0.966845754576054,426.97195,462.73108,521.3976,485.63033,36.75015,84.3557712287867,50.6160058287758,48.1999122624283,408.596875,314.7407,436.64555,363.077225,445.347025,560.3725,578.6225,624.537975
"ZNF214",0.900530904442626,0.387452656755492,0.607143814809417,0.999470628673077,0.809445187422501,0.11000150193473,43.55335,34.32366,22.22935,42.15449,20.50865,3.75169008136333,7.51955791416623,4.79682859081451,33.299025,26.6484,9.773675,27.212675,53.807675,40.2765,34.448375,52.005625
"ZNF215",0.526932642257862,0.471367902248849,0.999787952912906,0.711051689112315,0.93312188515309,0.885632211919259,88.3445,42.38992,40.3901,55.31592,29.2197,18.3420022481298,14.4482278544925,13.1008839732524,73.73465,7.6263,10.361325,24.687475,102.95435,80.1527,68.064725,67.63425
"ZNF547",0.541294014783859,0.999913549178926,0.308859382073911,0.943475428868713,0.0456228233971052,0.787870251551119,41.7245,22.07682,40.8547333333333,49.20379,14.555,4.42991317188046,6.71458358647636,6.27204104125691,34.447,25.4337,31.94935,35.09445,49.002,26.7787,49.8822,57.57605
"ZNF773",0.99578267992407,0.791220797904202,0.422849037257994,0.564137190476363,0.15713728966979,0.955692697408637,43.15045,34.61744,77.2721333333333,89.15364,7.53595,15.1366143291226,10.2951247111652,18.496824616411,39.382475,19.2998,60.6212,56.20055,46.918425,33.0808,94.206725,100.8608
"ZNF776",0.439837427311477,0.574444484364491,0.98316912674459,0.933801102652027,0.455098130975213,0.652841195748598,523.33295,329.7431,362.950333333333,454.21394,279.31755,59.223702942631,27.9429116873632,45.2932581678412,383.674175,306.8289,303.69065,394.6409,662.991725,317.022,400.9611,537.4566
"ZNF256",0.959726091528295,0.952980389176283,0.999996244437755,0.589533091429815,0.72335634790802,0.701140854487352,37.9868,58.0891,58.7264833333333,86.10304,16.5715,25.0690370977826,16.0023753473126,16.4494251003844,29.70105,18.851,37.727825,58.194475,46.27255,112.2498,65.31855,126.24225
"ZNF599",0.993328436348811,0.94198462698527,0.680126735990138,0.616002746636705,0.175447623571649,0.775219833613182,59.3398,47.93256,83.0409666666667,108.53313,20.2691,16.5457924439599,13.7406255568337,20.7273644218997,49.20525,28.9457,66.287175,70.0637,69.47435,44.711,108.211,108.075825
"ZNF18",0.51385929884862,0.137107216713947,0.667719938612362,0.784638512657567,0.847746210219082,0.158140570982632,194.071,150.51312,124.771033333333,167.0512,7.61850000000001,16.59698707011,11.3754675805632,13.6321002830166,190.26175,124.9719,101.290975,140.848675,197.88025,172.0742,147.356825,191.151725
"ZKSCAN2",0.0689632315382681,0.0830085312492024,0.99625523434506,0.292086602645475,0.476834917882996,0.574561341250382,237.29265,129.4637,135.85915,168.48499,3.81965,23.6299887546947,13.7502781801375,17.6600485174774,235.382825,81.6918,111.60415,126.005825,239.202475,163.5661,161.45905,192.938425
"ZNF689",0.0265265536115151,0.0654002259344519,0.895751157670165,0.113156830076289,0.523332184039272,0.914919739169999,445.24575,200.30936,240.09825,271.50743,121.45615,58.4874560895377,26.4142867481691,23.2161559515641,384.517675,142.2801,206.467825,227.08405,505.973825,211.3495,276.97535,315.277975
"ZNF19",0.993494031382151,0.70765129490287,0.297988209991532,0.998639491961206,0.924914481950788,0.473831943517261,47.9864,41.96136,72.1525333333333,51.2761,12.1298,4.99497602662916,15.8637579602621,8.18128389717789,41.9215,35.2399,49.590675,39.0442,54.0513,44.6118,92.18085,56.546575
"ZNF230",0.530677486147084,0.562788900952725,0.999385219161931,0.609098219766508,0.985978773473391,0.995979577490957,133.0452,95.72374,98.0527,101.7859,15.494,13.0491508938168,16.1648048376506,9.62758197141017,125.2982,80.7899,78.5488,74.43955,140.7922,123.9861,107.245675,118.015075
"ZNF222",0.499735907700599,0.571502214898888,0.996576177023267,0.690970176358639,0.926142695657921,0.976916602327631,56.1361,34.44374,36.76465,40.56807,3.7618,7.62139385562772,7.97589258732212,5.95257476916129,54.2552,20.7197,27.32405,23.75705,58.017,48.0881,36.577925,49.2671
"ZNF221",0.826678008993416,0.449802177653739,0.0212853731481798,0.790201895271981,0.0729207215848143,0.751628689507567,26.8025,10.60026,54.7195833333333,43.05571,10.5083,4.44103057393214,13.4603085194809,6.37434251941066,21.54835,4.3621,41.8256,29.4207,32.05665,12.3928,75.327675,54.532975
"ZNF233",0.724366213346306,0.0674616495772882,0.176077908541629,0.29415019030065,0.764207132209459,0.471006912791143,9.5918,18.73392,32.2606166666667,24.31387,2.3758,1.36324154734222,1.98934638535989,4.59546209631608,8.4039,16.9029,28.419425,13.154625,10.7797,21.8241,36.082225,30.9374
"ZNF235",0.794044944684593,0.974352197104481,0.893436928212483,0.998956549519884,0.630034905351459,0.968369715263665,101.61985,74.27956,89.44945,97.73659,31.78745,13.3985125015652,11.366780776067,12.6632569331244,85.726125,50.4838,82.2271,64.052275,117.513575,86.1479,93.07,113.27435
"ZNF208",0.999998209468326,0.99995705357351,0.999738569283787,0.909207883221172,0.770489801531388,0.794918077211103,25.35215,13.2442,59.4391333333333,466.74245,1.41695,4.49467901067473,26.4412432736393,393.903300686066,24.643675,4.0556,24.772225,24.310975,26.060625,21.1349,72.991125,142.25805
"ZNF714",0.991310058727532,0.999501510178987,0.945923337693486,0.87791042019963,0.460188359145805,0.782874636510596,287.89975,180.80028,327.797666666667,543.26324,124.57695,32.7587530712846,96.1985031048358,194.275504777396,225.611275,147.7404,202.3672,238.607275,350.188225,196.3775,349.9775,475.033675
"ZNF394",0.982974770113188,0.956353418456143,0.997825513082846,0.916344134924717,0.984265582947834,0.998376805189443,575.7152,525.8723,507.963433333333,494.12067,34.2813,112.906671227718,46.5121904414077,45.4820520543191,558.57455,320.4701,435.98495,383.309325,592.85585,694.6698,527.266025,613.569075
"ZNF333",0.998305489607172,0.965007625788253,0.824173217891587,0.655733833659444,0.260961823496623,0.748377860543441,153.6052,125.68362,230.4338,334.61338,42.8045,9.88407786070102,27.9957148036505,90.4543347853905,132.20295,106.7684,185.388525,151.885275,175.00745,134.161,258.285875,370.535375
"ZNF382",0.23730601304092,0.580380005920682,0.767510808178849,0.876985552737153,0.245520093735901,0.795115726433891,80.51055,25.54324,45.2341,61.13431,15.39265,3.76172979912168,11.9439057928301,13.4554796920433,72.814225,19.7807,31.764475,24.802825,88.206875,30.9695,45.879875,89.259675
"ZNF577",0.961729104852906,0.202707360383002,0.1870065847744,0.782581894146003,0.932710437288619,0.286461530963594,47.9108,88.2791,215.405816666667,120.70463,14.3912,21.5180821907065,60.3537384504026,27.8672712829148,40.7152,50.7088,162.81375,49.814475,55.1064,97.9504,216.2713,193.457925
"ZNF75A",0.958868561168189,0.998718454621078,0.809921549624293,0.435374557609889,0.0389546463859676,0.199064523473241,154.5104,125.32794,163.191666666667,238.21967,64.4266,38.3810014360048,26.9918584321726,19.4686369567515,122.2971,58.8877,125.753975,182.966775,186.7237,214.9479,211.917,277.579175
