"gene","M1-M0","MX-M0","MX-M1"
"ZNF195",0.944654788698719,0.230553383762221,0.748712782595683
"ZNF263",0.977779829757975,0.279508655236333,0.731739224764937
"ZNF200",0.609278721163028,0.998056390517356,0.688725538419801
"ZNF582",0.987147002154063,0.790634078312674,0.863778162580277
"ZNF285",0.986614865538273,0.550475719707896,0.873952100296057
"ZNF275",0.941825483739443,0.636054684534102,0.695652442114735
"ZNF37A",0.994289278706699,0.989458932255637,0.999997729863922
"ZNF510",0.995252117036212,0.810490346081879,0.896763208899982
"ZNF506",0.776346199458374,0.960718164552015,0.750866997351231
"ZNF324",0.207127180653491,0.897496408136698,0.219298373756934
"ZNF671",0.999945695222788,0.942818293712069,0.981062115460616
"ZNF416",0.78968761993938,0.620061099948879,0.999898206244525
"ZNF586",0.795659453521988,0.709707046309846,0.99774030271956
"ZNF446",0.972964986116263,0.966232767081584,0.940686967618382
"ZNF8",0.234674931866877,0.285088955299065,0.8898133541092
"ZNF264",0.779576616605326,0.9661896149369,0.91144191802764
"ZNF213",0.950972450250827,0.926009999087263,0.999562872491429
"ZNF343",0.984471027760728,0.965920722956655,0.999949975237999
"ZNF302",0.914345797217045,0.83231132559626,0.999948816350029
"ZNF268",0.997169938705928,0.273243647367505,0.58697479846468
"ZNF184",0.924899993567641,0.952022099392327,0.876537680745029
"ZNF500",0.730307117144923,0.949965200618044,0.895822112819907
"ZNF419",0.656363879347585,0.966110434481496,0.657565065736307
"ZNF175",0.999692843080003,0.377549208413617,0.715290056755972
"ZNF14",0.942765518984152,0.987004375383379,0.930149723033399
"ZNF85",0.904668787897488,0.966442992648653,0.97692223690124
"ZKSCAN1",0.984819229254218,0.991965969691115,0.997590152865523
"ZNF862",0.943084936951665,0.986550639620338,0.982835325074968
"ZNF684",0.965121729374167,0.999421733325673,0.971359461651437
"ZNF430",0.990055566085168,0.967781446639275,0.964393238978084
"ZFP30",0.955359020155615,0.557816235611531,0.923960732279767
"ZNF549",0.969973659448792,0.913084900480819,0.900479266720852
"ZNF211",0.948022309300557,0.949159762288609,0.996901419213416
"ZNF205",0.843654390558736,0.736135092537311,0.999858519929702
"ZNF45",0.984873851513577,0.505480740806155,0.701347490093379
"ZNF133",0.920337474038524,0.663846225030064,0.979451781633965
"ZNF436",0.273689182042253,0.907796901285416,0.551484094180946
"ZNF484",0.361046447457493,0.355670727127056,0.945970310055251
"ZNF780B",0.991189671084606,0.988751979462313,0.980266063786032
"ZNF557",0.908546938711032,0.995863508307901,0.916691816985799
"ZNF337",0.743556070041471,0.920521733730155,0.923709125774314
"ZNF317",0.783763193758587,0.794045308757755,0.984716225219646
"ZNF426",0.808390380912243,0.99525305734143,0.835919468719282
"ZNF331",0.971327350125451,0.996043027638646,0.968545598247813
"ZNF227",0.95780827872498,0.0182972008164756,0.311707666961877
"ZNF141",0.982621648684655,0.998753661499638,0.983055683003011
"ZNF304",0.982025552564628,0.901046713752998,0.993522362040386
"ZNF132",0.963555948484633,0.735365466702187,0.787185852286606
"ZNF20",0.451413089653666,0.995596307223607,0.543722214702107
"ZNF670",0.940855094346422,0.841549260538627,0.815977784021889
"ZFP37",0.859558884016281,0.997676750628697,0.883973562176773
"ZNF189",0.680993631954148,0.712994172618001,0.482088385180411
"ZNF434",0.844018178869759,0.123802451529081,0.235341238235257
"ZNF287",0.99841980635129,0.96970083828091,0.994917164928318
"ZIM3",0.901270056446603,0.998140527561397,0.943213462171951
"ZFP14",0.781814405289449,0.317986420410644,0.337376829308772
"ZNF473",0.89275975033751,0.449475952606614,0.935082011823803
"ZNF614",0.996857404693857,0.620249215927727,0.809925114151478
"POGK",0.795970235994703,0.974544317158189,0.785823555639369
"ZNF514",0.828133672702952,0.866513699300962,0.981831222551599
"ZNF300",0.863291800536919,0.0105586979969988,0.0734648469924353
"RBAK",0.70215353633985,0.997197342912565,0.759223714439174
"ZNF92",0.994229992142814,0.303435816277599,0.596005884645669
"ZNF157",0.935677006916175,0.739504780981808,0.747418203914438
"ZNF182",0.788416600904247,0.00427716778102882,0.0359690217162413
"ZNF673",0.999623608487939,0.110357492569359,0.42946184717295
"ZNF41",0.962360506270374,0.0197857767829717,0.314531313994239
"ZNF7",0.707576695733139,0.664231970440743,0.4754493031944
"ZNF214",0.907864075308596,0.0710604658996263,0.216555599915065
"ZNF215",0.995678061186497,0.177893934506377,0.575654036837874
"ZNF547",0.871997270530855,0.915441037378523,0.792295802841763
"ZNF773",0.951730361889035,0.864926714846857,0.998189903551346
"ZNF776",0.995750121722994,0.0301535081561156,0.295604878744904
"ZNF256",0.934041037349413,0.929518995528277,0.867657891596454
"ZNF599",0.919378831653202,0.560947663813214,0.954497920978454
"ZNF18",0.612563018476098,0.0822101182436052,0.855676973828309
"ZKSCAN2",0.82612842829579,0.933102889991348,0.764933860590932
"ZNF689",0.604608471362307,0.0530348657588675,0.796739725818527
"ZNF19",0.772337933918009,0.947645465143919,0.7323447045501
"ZNF230",0.903013821667067,0.0612530174576584,0.198419827313407
"ZNF222",0.657446317551776,0.278491810103481,0.238111217657854
"ZNF221",0.845617170957269,0.741067677773458,0.64472898217411
"ZNF233",0.502821071687366,0.260998218601368,0.999903402865948
"ZNF235",0.694204573957416,0.510529207766771,0.382205182184912
"ZNF208",0.980585091612585,0.952551890109167,0.999771461314863
"ZNF714",0.999632876093104,0.985802988862522,0.992461855401154
"ZNF394",0.926733438203172,0.998808454900809,0.957568967294701
"ZNF333",0.968852201761377,0.96771795247707,0.937048135580525
"ZNF382",0.98712618934039,0.965022425228267,0.958265519139137
"ZNF577",0.932220968090794,0.883091918877144,0.999905351790342
"ZNF75A",0.981222201707933,0.742068926947074,0.956005499275947
"ZNF496",0.771600026466499,0.96478500771257,0.751954676922552
"ZNF2",0.992364373701061,0.657669016250858,0.810335973617594
"ZNF589",0.860532411277577,0.962384471396426,0.958696307643709
"PRDM9",0.94052395001956,0.932487073477326,0.997693842950388
"ZNF12",0.867138772293835,0.998749397805116,0.894394883904191
"ZNF202",0.852463886988491,0.999953962564051,0.89835881361069
"ZNF3",0.810911822087906,0.985346031664704,0.909478705128407
"ZNF606",0.932344489822001,0.241453621376987,0.419592255128689
"ZNF91",0.993929611810207,0.780901073975283,0.947574531308804
"ZNF226",0.649079750279212,0.122892611231886,0.143204121834854
"ZNF229",0.953311420174857,0.785805211356187,0.987592346927206
"ZNF180",0.929405129708447,0.369921572605952,0.511976126886247
"ZNF641",0.894061752419563,0.964667855649133,0.973157069678568
"ZNF610",0.999323196040194,0.934786247088133,0.969479375374275
"ZNF528",0.999542257161635,0.013826799096156,0.183045564515917
"ZNF701",0.979407220010083,0.000173292819853788,0.0178422804483949
"ZNF283",0.877623720078511,0.959406134212089,0.838310258333493
"ZNF558",0.609366570731893,0.116917720055925,0.905584284386173
"ZNF597",0.488572126887007,0.0533046397815253,0.878682055902342
"ZNF30",0.978205492635276,0.649139546246292,0.92951767419229
"ZNF354A",0.970435049636345,0.859779212714096,0.869169438513055
"ZNF764",0.781500467223958,0.150653361209518,0.222321511116984
"ZNF747",0.669641098815409,0.995560610954291,0.789007977270326
"ZNF778",0.990927207250976,0.997776681782115,0.988581187732874
"ZNF212",0.88423579877659,0.998602390136053,0.930322763514103
"ZNF282",0.988955108409383,0.546843075758508,0.866549885035797
"ZNF160",0.908935616926637,0.564064643643074,0.608474841154538
"ZNF415",0.964307694294414,0.151356656957873,0.62945188575456
"ZNF439",0.794679294001445,0.611086569177712,0.999518596963408
"ZNF440",0.858156059878236,0.710840427251308,0.999404236567882
"ZNF562",0.513253729163208,0.668191242090089,0.911725789745054
"ZNF561",0.871079856732899,0.439552441952751,0.489710668463293
"ZNF584",0.990282270427416,0.974551980585289,0.99981525464282
"ZNF274",0.874007781640759,0.744270661449314,0.999602464423439
"ZIK1",0.999829189964307,0.979930817899036,0.994560943008515
"ZNF540",0.890964060045259,0.812432530383686,0.999895974619211
"ZNF570",0.955461235406499,0.87795527874026,0.858227591532597
"ZNF57",0.73350349708872,0.985478324808828,0.858306432535307
"ZNF556",0.826412459404652,0.697230773851993,0.999985695429239
"ZNF554",0.914489150278661,0.948396896962844,0.987719651919494
"ZNF738",0.89920715235354,0.885135846881801,0.996101613273419
"ZNF596",0.679881141356152,0.999433906243712,0.755254654623506
"ZNF621",0.861902672855648,0.806479912102499,0.998105868855496
"ZNF680",0.880291484242527,0.886363799157101,0.777747051423657
"ZNF483",0.894747409003385,0.89542001865508,0.799467904540492
"ZNF417",0.900294432194693,0.999469640780254,0.93699557745897
"ZNF791",0.679365962272657,0.984177624040237,0.822432642884886
"ZNF519",0.906580846553076,0.940423629156065,0.98743643296775
"ZNF25",0.864489381464828,0.991146324646684,0.934310350342968
"ZNF77",0.888120640922435,0.923951739221552,0.815275617587007
