"gene","p-adj-GASTRIC-EBV-CIMP-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-CIMP","p-adj-OTHER-GASTRIC-EBV-CIMP","mean-GASTRIC-CIMP","mean-GASTRIC-EBV-CIMP","mean-OTHER","SEM-GASTRIC-CIMP","SEM-GASTRIC-EBV-CIMP","SEM-OTHER","Q1-GASTRIC-CIMP","Q1-GASTRIC-EBV-CIMP","Q1-OTHER","Q3-GASTRIC-CIMP","Q3-GASTRIC-EBV-CIMP","Q3-OTHER"
"ZNF14",0.45230629280783,0.14499206944065,0.999783683057367,147.04366,196.9468,196.22385,13.855878857135,3.705,13.461473755778,149.9455,195.0943,165.646175,161.066,198.7993,202.328625
"ZNF85",0.817939384033026,0.556459626266703,0.99918383151995,51.85872,134.9089,139.62856875,13.9802552348804,72.9589,46.5569745826451,37.6227,98.42945,59.252425,61.7967,171.38835,133.86585
"ZKSCAN1",0.993533315967128,0.0867246911794919,0.351482693246591,1344.12718,1447.3103,2655.1866875,88.5450795441023,401.6865,325.076812193533,1293.7428,1246.46705,1824.33705,1486.9838,1648.15355,3297.9968
"ZNF862",0.930364528789004,0.209228902393908,0.709520511303926,297.9338,383.0531,550.65573125,66.8511274630802,29.6564,78.6312955705984,227.3594,368.2249,393.8309,290.395,397.8813,677.181575
"ZNF684",0.8520814120218,0.99987902362621,0.814296949035866,65.29326,53.0462,65.49855,18.9478110301586,1.6558,5.57022812829511,54.0991,52.2183,46.292075,64.8899,53.8741,82.359775
"ZNF430",0.972380350713283,0.664520181125205,0.937375829119947,162.3141,194.68405,238.8205375,22.0747026619386,14.74925,49.084572606273,124.7756,187.309425,166.5413,200.6543,202.058675,222.65045
"ZFP30",0.00943225478319154,0.450297952480191,0.0257056227418501,109.4958,496.69065,197.64738125,41.3561824530021,364.34285,19.58653436118,36.9862,314.519225,154.9082,115.5943,678.862075,225.02765
"ZNF549",0.881996826672357,0.028358081581257,0.369608937207832,41.79308,69.9699,142.78361875,10.8704031054695,22.2511,19.9550325622223,22.0162,58.84435,81.978725,62.0265,81.09545,173.358275
"ZNF211",0.999810433596105,0.915211883655315,0.965169274488212,218.01296,216.7002,200.5926125,56.521811445818,10.9274,18.149242380489,142.4312,211.2365,164.53685,224.2178,222.1639,244.68325
"ZNF205",0.787844451704117,0.905488899141095,0.567690061219592,280.94002,335.80305,259.343475,43.9689646302753,27.98185,25.49917783225,213.5769,321.812125,207.79235,342.1437,349.793975,286.71825
"ZNF45",6.0589148129786e-06,0.615239775559197,4.80609161868095e-06,204.61774,628.29385,242.15178125,9.5690194856422,184.78805,14.220830277461,200.4635,535.899825,221.108975,209.9619,720.687875,262.457925
"ZNF133",0.944057434486657,0.613993635096831,0.577964248954733,204.50756,172.435,262.348675,34.2599853656361,11.2242,32.7148280171055,151.5729,166.8229,192.038825,264.1947,178.0471,280.80715
"ZNF436",0.296489271383909,0.0688166667575711,0.995245786197205,368.61348,732.2861,712.53649375,65.9418356621682,140.051,78.4704003532513,232.1865,662.2606,425.746325,458.3866,802.3116,961.6676
"ZNF484",0.183258592129621,0.179397708871068,0.715770308445999,121.14908,196.27085,167.46629375,24.3217082931977,17.03435,12.1368359396559,75.7906,187.753675,135.3519,145.8771,204.788025,207.219825
"ZNF780B",0.940212033042516,0.533132582723494,0.928123859668516,321.72344,353.25055,384.34789375,70.390943010366,99.75895,23.6395672034611,180.8866,303.371075,319.415325,387.7917,403.130025,423.1905
"ZNF557",0.95488614589388,0.194371036116931,0.641654480561028,186.44246,206.1204,261.40153125,38.3505918779958,54.3513,20.0496992996502,147.1611,178.94475,206.4341,177.55,233.29605,289.583425
"ZNF337",0.971201892926208,0.774303666282527,0.751424912592709,307.04396,260.8702,391.21755625,69.828501029412,33.2375,66.073402538466,207.5038,244.25145,250.601325,363.4415,277.48895,395.718225
"ZNF317",0.929863424708006,0.894583822187283,0.994726980075046,946.82602,886.96835,901.41016875,103.889572395671,93.67225,47.4201543077692,855.7356,840.132225,765.43195,911.3441,933.804475,1022.2054
"ZNF426",0.0620955873507847,0.0719968167085168,0.525913377340018,94.42514,232.82285,176.55375625,9.09694349727424,61.40435,18.7167287615629,82.9361,202.120675,130.713075,94.438,263.525025,238.316825
"ZNF331",0.986788138330534,0.728968577518526,0.769059855421384,569.54918,620.35335,416.6209875,345.477450470534,139.88875,51.1755621859609,130.6104,550.408975,313.204075,520.8575,690.297725,499.83905
"ZNF227",0.272463735070428,0.984337039136691,0.245133692203965,250.68388,343.4252,256.72688125,25.5969789631394,39.887,18.3482450618631,211.0142,323.4817,220.71485,284.1731,363.3687,290.916925
"ZNF141",0.943366191071901,0.00321297830882239,0.0208341223377574,42.14122,32.4287,111.19738125,20.9941303256267,14.7378,8.2051517369842,10.4287,25.0598,78.041475,42.0402,39.7976,134.658
"ZNF304",0.0293882727492939,0.0176497786176323,0.559450710370523,95.68414,365.87055,275.2216375,34.6673082765536,143.10515,29.1361456945533,39.3232,294.317975,160.14235,111.8774,437.423125,351.107175
"ZNF132",0.935978249047559,0.159564482219946,0.632364554330053,34.48186,44.6635,68.94156875,2.80361050122873,6.0229,10.0753112262464,30.9695,41.65205,33.40975,39.3232,47.67495,83.308175
"ZNF20",0.981817417641503,0.969320973291663,0.999070176014771,108.2447,115.77885,114.2589125,5.01508193681818,24.85665,13.9852085657755,106.53,103.350525,85.153525,115.3501,128.207175,119.289225
"ZNF670",0.657788746116674,0.996070994716096,0.630773176871424,89.46452,121.3083,91.33381875,24.4554888137694,24.1805,10.0303746805109,56.1703,109.21805,66.336375,88.2062,133.39855,116.519
"ZFP37",0.749514481025624,0.122595064193143,0.82260654835658,28.2255,45.82995,58.78440625,9.58283263503021,19.99195,7.64658229101118,8.7241,35.833975,35.6608,33.3651,55.825925,71.7549
"ZNF189",0.775686471946511,0.527235519233041,0.999900382520045,597.93154,475.6126,477.76920625,133.004642242459,189.9981,45.1462381587902,413.3043,380.61355,385.289675,550.2693,570.61165,551.068975
"ZNF434",0.272085653668103,0.544558810163438,0.557060481567219,281.652,392.5836,327.20220625,24.9629083168007,73.4495,21.9366239309734,241.4438,355.85885,255.662225,308.7971,429.30835,400.6604
"ZNF287",0.987140232847273,0.0540147152314632,0.298080665335176,37.55108,42.45775,86.39995,9.78397248183988,9.63655,10.6418486666086,29.6349,37.639475,54.6374,38.7132,47.276025,122.625475
"ZIM3",0.827269502940239,0.958444467052136,0.887017168038932,1.11766,0.352,0.89671875,0.89850393744268,0.352,0.364043528214547,0,0.176,0,0.9533,0.528,1.35725
"ZFP14",0.00246880069754563,0.0160360779436091,0.0866747782566959,126.80558,296.31935,208.51280625,9.4830673870009,36.31005,14.3820171329873,115.5943,278.164325,175.683375,134.2011,314.474375,222.228975
"ZNF473",0.678764931291361,0.217722789327811,0.96905051831271,396.31954,315.61505,295.20610625,66.9195802884074,126.83475,23.9386308043061,285.6315,252.197675,227.63705,548.5278,379.032425,363.8818
"ZNF614",0.982675727722516,0.384479301908424,0.512154072618594,183.76782,166.8692,262.2763125,68.6147385451071,58.4567,25.5079756284332,96.9479,137.64085,204.461175,210.6603,196.09755,330.722925
"POGK",0.993732977944558,0.82018055487566,0.857148829672091,1742.33568,1788.7292,1581.9718375,272.458960184499,175.3679,126.573307776994,1217.3499,1701.04525,1296.58435,2382.8546,1876.41315,1703.30375
