"gene","Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed"
"ZNF195",0.113558652815111,517.858,391.129936363636,57.0364204048677,37.5457011761479,340.0366,300.3465,576.2117,423.67525
"ZNF263",0.0815916137813173,610.837917647059,516.602863636364,34.9856857149855,35.2705617323808,502.9108,446.8841,675.2611,597.1915
"ZNF200",0.0715395619403648,244.727094117647,185.887590909091,24.3351011982185,9.16771902776708,170.7637,167.92595,274.3882,203.15235
"ZNF582",0.343728387981141,18.1136588235294,25.9273909090909,4.85555786223723,6.73250266505642,7.0241,8.6252,21.648,42.491
"ZNF285",0.583954695161433,23.1878294117647,28.8704636363636,6.34324858313224,8.14111521881674,4.3621,9.17025,38.3912,51.82945
"ZNF275",0.971728497191499,929.6228,934.510354545455,93.0597725804836,89.6439406255278,644.7458,740.2754,1157.4103,1074.7363
"ZNF37A",0.754125672242215,668.096405882353,643.343745454545,50.0573978788229,58.7977174680637,546.8545,503.3859,766.2176,779.6945
"ZNF510",0.57312174202292,361.911852941176,336.207809090909,29.0122587813604,33.4845655048017,296.2376,268.4717,468.7401,401.6672
"ZNF506",0.483251188600335,623.306782352941,694.837654545454,68.8049691495538,65.2640071987885,555.6161,594.98475,798.4977,776.1263
"ZNF324",0.201361376932437,175.233294117647,151.977736363636,12.8282116028917,9.48140394232332,144.3986,138.3577,195.6625,156.0364
"ZNF671",0.287466184814246,77.1020176470588,109.5093,15.3187086045142,28.7324912559157,38.2387,46.04125,100.609,161.0025
"ZNF416",0.397159056405894,94.1786411764706,108.306809090909,9.22257519311054,14.6564436294662,72.763,80.8643,118.3934,133.27785
"ZNF586",0.710160718911343,211.681776470588,223.4708,16.8911715917546,29.1291229338207,170.2223,164.48655,242.4145,278.2675
"ZNF446",0.959136813137262,168.569605882353,169.8906,11.9977961255619,25.9485807874097,144.5924,134.41185,180.4082,188.4418
"ZNF8",0.980701531824957,231.719411764706,232.591245454545,25.8233056511756,19.0422952788898,151.7502,209.7355,287.5246,258.95395
"ZNF264",0.277497364966356,1059.47132941176,1254.46929090909,116.257011419911,123.960461243353,701.7448,978.2693,1436.6659,1513.63715
"ZNF213",0.958580135547459,654.992082352941,651.4121,39.4464567423047,59.2435880774497,599.5889,537.87875,776.3615,758.93085
"ZNF343",0.11746392458372,270.726341176471,353.9307,22.7320852429544,53.7614079092378,209.0295,265.03555,314.5301,359.94535
"ZNF302",0.145751806976329,338.274282352941,604.595772727273,32.5697277884438,217.168115862115,251.9747,270.7926,393.9466,590.69185
"ZNF268",0.81470616977652,344.113264705882,359.814536363636,43.1081747140593,48.4562258948692,215.5272,288.6362,444.1023,458.4875
"ZNF184",0.188228804491138,219.838011764706,261.864009090909,20.3171874074092,22.4955620959515,163.8915,214.4131,244.2748,292.0533
"ZNF500",0.54342092051307,283.779694117647,266.370036363636,18.2159492826613,21.0114477324463,226.1554,212.37685,316.0676,318.67375
"ZNF419",0.628308101490098,82.2774882352941,73.6462272727273,12.2082506203191,11.0203960250824,42.4413,43.78475,107.3851,98.77575
"ZNF175",0.00598106766336248,134.282888235294,224.552409090909,19.8867758059956,21.3930052529217,75.3922,176.327,168.3398,253.4785
"ZNF14",0.192101935805978,164.283882352941,197.080281818182,8.24756475034866,27.9025608339867,149.9455,130.6534,181.4442,249.4231
"ZNF85",0.0765674162582533,77.8345294117647,183.0171,12.1896543743339,69.0443493371655,45.1912,71.15005,106.4867,159.06845
