"gene","T1b-T1","T2-T1","T2-T1b","T2a-T1","T2a-T1b","T2a-T2","T2b-T1","T2b-T1b","T2b-T2","T2b-T2a","T3-T1","T3-T1b","T3-T2","T3-T2a","T3-T2b","T4-T1","T4-T1b","T4-T2","T4-T2a","T4-T2b","T4-T3","T4a-T1","T4a-T1b","T4a-T2","T4a-T2a","T4a-T2b","T4a-T3","T4a-T4","T4b-T1","T4b-T1b","T4b-T2","T4b-T2a","T4b-T2b","T4b-T3","T4b-T4","T4b-T4a","TX-T1","TX-T1b","TX-T2","TX-T2a","TX-T2b","TX-T3","TX-T4","TX-T4a","TX-T4b"
"ZNF195",0.999999964603018,0.999445425295523,0.993786536875873,0.999992979208438,0.999999961155395,0.992026178984084,0.999999985731996,0.999995845411566,0.999999308330763,0.999937094456025,0.999917829095559,0.99747306356607,0.999999320213626,0.996342659645856,0.999999997891211,0.999999904631757,0.99999999999935,0.998090761921295,0.999999999545916,0.999995151798796,0.999411948452326,0.99999977671626,0.99990106320932,0.999765242124262,0.999522031883289,1,0.999987594287368,0.999964488007118,0.99999724995048,0.999999999945238,0.951947450667056,0.999999997822019,0.999957069408832,0.956541712171652,1,0.996562711733704,0.999714061227829,0.999983110005515,0.964559116853552,0.999999988927215,0.999177287888233,0.977062207507134,0.999998795845125,0.994210212780011,0.999992487009456
"ZNF263",0.999999995378535,0.999999585916426,0.999999999989926,0.973564599529067,0.988986583714939,0.986720334469922,0.999782475142921,0.9999771551751,0.999985639802101,0.99996982539977,0.999877500138667,0.999998582767035,0.999999275372708,0.993159040115759,0.999999489377081,0.999969120500992,0.999998553680754,0.999999473374186,0.999830720589468,0.999999999931663,0.999999998906922,0.999765069681137,0.999994760902458,0.99999600144715,0.995965878209915,0.999999914250641,0.999999999903538,0.999999999976053,0.965647063063306,0.989707357807564,0.978418272994555,0.999998655771558,0.999999777856916,0.9848286284734,0.99999184422488,0.994570158328528,0.9999998397033,0.999992694041273,0.999945930343202,0.961633515380718,0.99879085716814,0.999109066042422,0.999653528988388,0.998704966813737,0.963045372627959
"ZNF200",0.999998625093644,0.999998540730838,0.999112843596856,0.999998418302136,0.999763349400194,0.999999999921605,1,0.99999956360553,0.999999929905585,0.999999739650107,0.999696271017166,0.9999999887638,0.936415414558766,0.996547864393043,0.999964578574652,0.999996056062511,0.999999999956365,0.999488435112826,0.999735915615725,0.999998217746327,1,0.999996938724175,1,0.993129798150353,0.999538652511224,0.99999951788234,0.999989560071231,0.9999999976888,0.9878162310726,0.999643712543334,0.804716000107332,0.971855255406813,0.997642116073176,0.999229043131704,0.999995327967086,0.991133655706212,0.999999964860893,0.999960701327587,1,0.999999999960737,0.999999995877436,0.999107439030074,0.99994115190615,0.999930870842619,0.987038937631929
"ZNF582",0.999999932676362,0.938084693635447,0.985211263433904,0.999884243461058,0.999996840862187,0.99999038311636,1,0.999999961521591,0.984723310629908,0.99994688779466,0.99732967341258,0.999935717885777,0.995383730591724,1,0.999635243512416,0.999999999994509,0.99999973802705,0.978196518780182,0.999889894953968,1,0.999230172491609,0.93255322623436,0.98574657787065,0.999999999461537,0.999997296489342,0.986737602269067,0.99304461428184,0.980479564160918,0.936896464065006,0.984787411486647,1,0.999989677066627,0.984387589234292,0.995126740568984,0.977757646765317,0.999999999195943,0.998595947852184,0.99986389301433,0.999999988843887,0.999999994939062,0.999390934121751,0.999999605892906,0.99897909638051,0.99999999978534,0.999999986936873
"ZNF285",0.97815436075655,0.9748021688088,0.999999998952898,0.672195308811015,0.990876192729009,0.967467013388245,0.244445046159569,0.76452976114077,0.594214531951996,0.999571703308443,0.997547636569309,0.999626955272332,0.999687000771658,0.822751467436605,0.304442153716903,1,0.995181156717025,0.996205313821549,0.822795621642413,0.431008122541361,0.999831952167023,0.739487245568848,0.999996605506522,0.999389595783054,0.996511546092455,0.767735693265213,0.776954537622622,0.94188629650227,0.984519648848328,0.999999946477281,0.999999999967313,0.955349738294662,0.554022080291562,0.999947922960734,0.997848418893286,0.997940125716766,0.999999713969259,0.999667549344011,0.999838814977925,0.916269866315324,0.57112948598359,0.999999742754236,0.999999950732969,0.989075561334808,0.999938379063178
"ZNF275",0.999999999502267,0.989485132529264,0.99691335092584,0.99970710232925,0.999941785848393,0.999999999985692,0.95785934122392,0.976492736348465,0.999832059353663,0.99991976070147,0.991840901550661,0.998174433496532,0.999999955899801,1,0.998730028547085,0.441227259065162,0.508757314529033,0.782545059764817,0.909414799718065,0.99559341270105,0.63334040972441,0.997692642070938,0.999641467647637,0.999996661585141,0.999999999882957,0.997355522023939,0.999999976982851,0.599652450529275,0.935121055616513,0.969177585341102,0.999991463416087,0.999997779713765,0.999998879909319,0.999021848508258,0.900531896759638,0.997014887226914,0.999999999936859,1,0.999557003180476,0.999981886963606,0.990891187021324,0.999836468084867,0.68817682394355,0.999966590356266,0.994373313269084
"ZNF37A",0.999999809847963,0.989100214344045,0.999264648907542,0.999999678848667,0.999999999999484,0.999971585655502,0.999903481716025,0.998583943694326,0.923097099965782,0.999126975606424,0.999996434594928,1,0.98806392048067,1,0.994495894441091,0.96704115770969,0.99124806861493,0.999929125175582,0.99815900417279,0.877814471527,0.976373549148329,0.999997375982895,1,0.992048898286837,1,0.99520742219948,1,0.979062931278041,0.981392916565294,0.998241460741838,0.999999999962694,0.99991662310565,0.901741415233263,0.974400228055815,0.999976457420433,0.982503534870007,0.999999982231131,0.999989593179983,0.989443640516183,0.999989593876841,0.99999948470819,0.999944608327166,0.964208581594677,0.999952900649101,0.983886290196927
"ZNF510",0.945412805491409,1,0.876548942874802,0.992496433796862,0.999999999954447,0.985123538412922,0.999997235802598,0.910009948488153,0.999994950104595,0.975377380626022,0.94593541721349,0.999992583625608,0.769427596672261,0.999999995652089,0.924498283948786,0.999478993021379,0.999994721004891,0.99883099475269,0.999999903702718,0.995360733971679,0.999999997838578,0.999900795845691,0.981117995851509,0.999067772244016,0.999318877695786,0.99744718014596,0.962437247404556,0.99999673148232,0.999565000186754,0.997009358112167,0.997597515911036,0.99991507209288,0.994985841445591,0.999005543539239,0.999999952085556,0.999999962086768,0.885478620407208,0.999987845281172,0.818383718751779,0.999977053701004,0.836758181576957,0.997980173022281,0.999224698464354,0.942717677323464,0.977887094941096
"ZNF506",0.999999999129346,0.998707530751936,0.999825996935748,0.999977166729338,0.999998239023967,0.999999999995922,0.999982823010889,0.999875267996998,0.983493342601836,0.998253579192323,0.996654868534171,0.999519266140597,1,0.999999999992309,0.973725482726511,0.999998411737309,0.999999964468909,0.999999971908638,0.999999999947437,0.999438025527543,0.999999947301223,0.84986539916557,0.920283005215905,0.992093398351956,0.999647006618747,0.793855139593733,0.946888937153666,0.998302351188442,0.999999994559014,1,0.999230327939195,0.999996787425586,0.999706840053197,0.996380516567891,0.999999941289355,0.742969014568457,0.999482069790142,0.998158493269274,0.940017425456664,0.991039430927772,0.999999987189931,0.910960065984132,0.996057692874031,0.640538052659405,0.996086321443004
"ZNF324",0.999999989688706,0.999999999993525,0.999999999484957,0.99999999949483,0.999999553184175,0.999999971233071,0.999984325138266,0.999800842921854,0.999901689865967,0.999999822630577,0.999999950889,0.999968543742409,0.999987889431535,1,0.999997784184524,0.999999876971926,0.999991745521121,0.999998244827967,0.999999999966724,0.999999997559427,0.999999999667545,0.999999994660728,0.999989718691377,0.999997949292675,1,0.999995959779717,0.999999999998111,0.999999997957336,0.998984423495154,0.99994536295277,0.998107828574464,0.999140339101144,0.985728722785285,0.917284305286397,0.996982997068862,0.953503593800256,0.999986707791746,0.999822721265212,0.999914630628067,0.999999861571597,1,0.999998272843333,0.999999998379577,0.999996779539313,0.986554553295003
"ZNF671",0.99999897175049,0.892552050829555,0.980676965683195,0.999191461574164,0.999982026344854,0.999997248623549,0.974019759481214,0.995625905296942,0.999999999828165,0.999995581279915,0.986253388918924,0.999720060183312,0.997463544763043,0.999999999998812,0.999825844564431,0.999999999999402,0.999998765874424,0.964130604502474,0.999478177401674,0.985418437676682,0.996991515557785,0.98744580746045,0.999718509216016,0.998775406820568,1,0.999881897411607,1,0.996984032804773,0.990240538996549,0.999724169260533,0.999832526045284,1,0.999961035819071,0.99999999993519,0.997049137408009,0.999999999997889,0.999997122988441,0.999999999970775,0.998865808630059,0.999999413274067,0.999414024006161,0.999998344483814,0.999996480499737,0.999997884426613,0.999996327982955
"ZNF416",1,0.95938998953972,0.948867478785181,0.99781482385739,0.997008017062208,0.999999999998515,0.723627172222082,0.703064060651024,0.987615761476737,0.996232088534917,0.999545547794132,0.999139805156233,0.991130887084651,0.999974789562542,0.814272069466414,0.999999999878191,0.999999998754227,0.997338630360413,0.999794863064487,0.893153810185933,0.999997965035166,0.99999996256913,0.999999745355413,0.895479677715916,0.998513219426421,0.653365616177635,0.99907418371772,1,0.999999326044573,0.999997549881887,0.975709886580935,0.999613006005311,0.760812339807425,0.99999077497518,0.999999999927097,0.999999998939764,0.999999995644764,0.999999999399245,0.974379148532612,0.996801263963985,0.776207671083968,0.999364436673214,0.999999883735576,0.99999689337014,0.999987869616231
"ZNF586",0.881931925909404,0.999442093662463,0.362888981881319,0.996988497890482,0.999995698621461,0.900203546476206,0.99999605026669,0.996888241407886,0.993525639734603,0.999992380204021,0.999961931985022,0.892026932091921,0.805529007109557,0.999677073245952,0.999999999994329,0.955033559838172,1,0.66915878890308,0.999997389965547,0.99858887141094,0.978074972358332,0.999990990903431,0.888366936580074,0.883955558049029,0.99951694685657,0.999999999758628,0.99999999995924,0.974950833236908,0.963039537580532,0.999943811564677,0.411014932861905,1,0.999924232505105,0.969772062959394,0.999986162919442,0.968222425014106,0.998262852910127,0.999984995909539,0.921884625155848,1,0.999997640963767,0.999875614327547,0.999991683815342,0.999799118812727,0.999999999993967
"ZNF446",0.999981591146015,0.998235841029917,0.99999979973624,0.999999937417264,0.99999999961337,0.999997746792844,0.8845741627892,0.97754349531908,0.987889039443656,0.981831956857936,0.990860882030359,0.999993827330788,0.999999999809938,0.999982647956608,0.987220557686722,0.999999999231362,0.999999958446686,0.999980568909536,0.99999999999634,0.971442397043966,0.999893285089205,0.974702367311364,0.999849273027302,0.999996758812932,0.999835839550956,0.996277224883992,0.999998431967931,0.999371162813326,0.999691192660587,0.999999999918548,0.999999989885282,0.999999944003744,0.97470124148033,0.99999751020078,0.999998673830392,0.999825306574184,0.999773868220158,0.991522549089281,0.951548797655169,0.999023529240821,0.721206695741743,0.905198849806742,0.999607730037584,0.858481158517689,0.973704211081483
