"gene","C2-C1","C3-C1","C3-C2","C4-C1","C4-C2","C4-C3"
"ZNF195",0.366867207274771,0.306472663912944,0.999982477478536,0.875231256709656,0.872464370534769,0.843978162109525
"ZNF263",0.931160947724621,0.893557908025927,0.999875133842829,0.968137251925956,0.780830193991434,0.724052186503056
"ZNF200",0.347185540926544,0.196939709920781,0.993796500377747,0.761104644470302,0.938187000462649,0.83503492917063
"ZNF582",0.00389231752213992,0.00432530482297899,0.994982079401737,0.00115881479397784,0.86591122786473,0.735970718101061
"ZNF285",0.0106404268525868,0.037878601060917,0.883285294911303,0.342047333533115,0.451990749279353,0.813160421291062
"ZNF275",0.536054363238107,0.852413089056721,0.204798484608502,0.430970888898403,0.0722226225876679,0.84791310989232
"ZNF37A",0.502286830929976,0.996386360092183,0.418083297918281,0.719510479027992,0.993994160699231,0.628439215732113
"ZNF510",0.518908892751922,0.471940031507916,0.999999842800896,0.653081155182918,0.999288127382029,0.999064563239494
"ZNF506",0.382530872784407,0.790686437664545,0.882270787913126,0.535219649562775,0.998622470130173,0.951366544919456
"ZNF324",0.172872052425147,0.908334054568094,0.472095926734372,0.464363295869851,0.959599218723886,0.819608522000557
"ZNF671",0.0750763786726185,0.0743245892649039,0.999335566047811,0.0862141839063618,0.999700631279387,0.996579695514574
"ZNF416",0.535189226390233,0.795117912106274,0.17080700053942,0.999998861581014,0.647230804566711,0.850692923859308
"ZNF586",0.693945628914838,0.999833670686414,0.754847419358976,0.99771399721724,0.858651392191434,0.999469476444265
"ZNF446",0.874594400982212,0.997017805376828,0.798808360896249,0.955976355974906,0.997805695517453,0.908081248901899
"ZNF8",0.697145988146973,0.863623979208813,0.985507760741761,0.414085169040382,0.953035719539949,0.823097786251409
"ZNF264",0.0406045285950719,0.126230477724345,0.901386487967924,0.0892237972988299,0.997205676026239,0.970994539919589
"ZNF213",0.479877632580731,0.986688856473686,0.690639775428441,0.994754925996262,0.72409141830372,0.999947631534157
"ZNF343",0.999354696950512,0.243540558522952,0.260023733030878,0.999839221051045,0.999984867160927,0.326884112270998
"ZNF302",0.903179468789536,0.941754875043602,0.649520467280746,0.962099399365314,0.99890511657792,0.776926829515755
"ZNF268",0.998550797426905,0.923563215684967,0.974440771115696,0.833251920230335,0.914101154654926,0.991873005168434
"ZNF184",0.782692136732732,0.947881635823278,0.97524107952602,0.998876983733034,0.900527918329388,0.987695427696893
"ZNF500",0.0666655198029614,0.146547971867039,0.953132998099873,0.0385148637130037,0.97374631177746,0.790419702527726
"ZNF419",0.809256713914294,0.999323427309057,0.765484092015573,0.983825239774211,0.686794796096595,0.99483652762701
"ZNF175",0.0288890602301386,0.470037294269527,0.384191957695259,0.106133071766738,0.972611215683238,0.700565429533032
