"gene","p-adj-EBV-CIN","p-adj-GS-CIN","p-adj-GS-EBV","p-adj-MSI-CIN","p-adj-MSI-EBV","p-adj-MSI-GS","mean-CIN","mean-EBV","mean-GS","mean-MSI","SEM-CIN","SEM-EBV","SEM-GS","SEM-MSI","Q1-CIN","Q1-EBV","Q1-GS","Q1-MSI","Q3-CIN","Q3-EBV","Q3-GS","Q3-MSI","count-CIN","count-EBV","count-GS","count-MSI"
"ZNF268",0.734749374058987,0.990402028950884,0.819169495687965,0.212187460254882,0.222662769799449,0.173327607291279,355.00896,497.3601,374.440828571429,208.38866,40.80370879909,NA,24.8518743937116,87.9282050214412,263.147175,497.3601,325.0168,65.5296,438.358325,497.3601,389.75195,215.5272,10,1,7,5
"ZNF184",0.551548297243846,0.908263428758001,0.391824429991675,0.953026381557854,0.434049525975365,0.999849433325267,243.22416,346.0049,219.148742857143,222.32148,29.1172750838444,NA,15.699944394546,27.6945756916657,191.9761,346.0049,190.0902,163.8915,264.2339,346.0049,234.66375,255.8348,10,1,7,5
"ZNF500",0.272058652242675,0.111041132131632,0.883218277801333,0.0395860089602001,0.0198171313895734,0.000726553725722723,288.22032,405.491,358.8138,192.54586,21.3911887442616,NA,19.3817974698525,23.1552349485942,255.44385,405.491,333.98945,188.7512,314.39015,405.491,396.77895,201.3096,10,1,7,5
"ZNF419",0.999714019690692,0.935068194135276,0.997844692163102,0.605465337604293,0.949107660775624,0.905638305567989,89.57814,85.1813,76.3638714285714,58.30786,16.5352215292098,NA,11.8163193295325,21.5679006381845,58.267925,85.1813,54.0619,26.0323,102.31475,85.1813,99.01455,88.681,10,1,7,5
"ZNF175",0.850040347973537,0.274380154276273,0.374335622357178,0.833823423179864,0.984539814722651,0.119604083428081,157.87358,90.4611,231.128585714286,121.16954,30.1648491684786,NA,28.6779201528884,13.9667793567307,81.75605,90.4611,173.0487,105.8934,226.684125,90.4611,250.4525,143.1054,10,1,7,5
"ZNF14",0.999866048736866,0.997349371758112,0.999997310782708,0.394867359320284,0.880230712283013,0.545961657732027,197.0497,193.2418,192.187614285714,151.92828,16.8321286006256,NA,21.5774563607641,14.93091036402,168.0682,193.2418,156.60535,156.101,197.61755,193.2418,205.34205,174.1472,10,1,7,5
"ZNF85",0.91404187630039,0.718508434470049,0.998734387345048,0.651050580486483,0.999981295385166,0.996787180711222,173.95018,61.95,88.4015714285714,68.58114,74.1077812689161,NA,15.8189550084507,18.8694598307583,50.52405,61.95,66.0035,45.1912,193.188975,61.95,105.61775,99.1921,10,1,7,5
"ZKSCAN1",0.780291758518839,0.180269620233424,0.999948379089169,0.15073942287614,0.996666109167883,0.990664211344179,2980.55804,1848.9968,1785.97531428571,1588.36782,508.655901160798,NA,131.446208850951,180.905402802988,1624.49395,1848.9968,1544.518,1309.2181,3525.44615,1848.9968,1957.88715,1571.2583,10,1,7,5
"ZNF862",0.951432896679105,0.999541556522453,0.940759876076469,0.751598675757832,0.999999951201121,0.737114458135933,519.20961,353.3967,535.064714285714,355.06422,128.489625668349,NA,49.884279031992,76.9403757399546,236.0485,353.3967,435.46205,227.3594,668.633175,353.3967,651.8892,520.1123,10,1,7,5
"ZNF684",0.999998563341534,0.283376970863515,0.821793326760936,0.233288820641995,0.750808152994727,0.991229319699551,51.79498,51.3904,74.192,78.37026,7.59938412017418,NA,7.20605352398081,14.3699989117814,39.912525,51.3904,61.18555,58.8103,54.19315,51.3904,87.96995,81.1974,10,1,7,5
"ZNF430",0.993287020578422,0.873464809344124,0.999743935705623,0.82920181946371,0.998113476208326,0.998452966680099,258.05058,209.4333,192.900642857143,176.36472,77.7584321093572,NA,21.5436700146233,30.8879298506617,168.774525,209.4333,172.7067,124.7756,209.55575,209.4333,207.1662,208.363,10,1,7,5
"ZFP30",0.852198571061881,0.828058064199212,0.978631498681068,0.237882998888021,0.996568791482676,0.685554643692642,269.12546,132.3478,200.7784,94.83344,71.4077412729152,NA,10.546593395861,43.3659938964346,154.06715,132.3478,187.4926,36.9862,236.3849,132.3478,217.7948,111.2399,10,1,7,5
"ZNF549",0.984095667057659,0.758848007759674,0.851891284423469,0.328591017652594,0.950031491427918,0.0986297462290762,120.21908,92.221,156.694671428571,48.43372,29.581726598684,NA,23.3657252900657,16.3123946885612,50.1407,92.221,140.01665,22.0162,169.60975,92.221,171.96945,62.0265,10,1,7,5
"ZNF211",0.972766303585099,0.973985614250679,0.995770401194753,0.790068666505819,0.999942950707952,0.954910623202311,189.30564,227.6276,207.024614285714,232.61814,21.4496670327599,NA,33.029382874729,50.286246098845,126.694775,227.6276,169.11115,170.6268,230.37205,227.6276,231.83965,224.2178,10,1,7,5
"ZNF205",0.996531677557239,0.89833978851701,0.951412220728057,0.98098808955851,0.978987614617937,0.995584492790203,285.01301,307.8212,249.8973,263.71388,39.3817120771514,NA,10.7559975985051,53.0114423302781,208.597575,307.8212,233.9187,181.2391,361.76385,307.8212,267.0342,342.1437,10,1,7,5
"ZNF45",0.721416388968447,0.884293429063949,0.533029331888288,0.729892800968238,0.442013726584,0.98389559320742,292.80999,443.5058,243.773242857143,215.2173,62.073840348494,NA,8.59266174642663,14.4540325328609,202.003525,443.5058,239.1183,200.4635,310.892375,443.5058,254.5424,233.4033,10,1,7,5
"ZNF133",0.75890733669195,0.666287867090334,0.970937082956439,0.652743839211823,0.983590576197448,0.999209467106804,284.36089,161.2108,217.087157142857,208.11136,50.3049585130056,NA,21.6382988893135,33.1249310889789,186.570725,161.2108,193.62555,151.5729,306.89995,161.2108,251.74365,264.1947,10,1,7,5
"ZNF436",0.999241358016,0.0941171948482334,0.738526842755478,0.928259110970472,0.973382829395521,0.0672126802815339,555.95338,592.2351,890.050285714286,465.22052,93.4985288148581,NA,107.077136846104,84.2101093164497,362.564925,592.2351,728.4283,444.5063,749.369575,592.2351,1050.7782,518.4747,10,1,7,5
"ZNF484",0.775812381682851,0.999295457327648,0.815092035332084,0.970059660091026,0.672322316778851,0.95344032261745,159.40073,213.3052,162.685242857143,146.32772,19.8462433323681,NA,12.4074244476338,25.5827478413754,104.062475,213.3052,143.73075,115.8749,212.364875,213.3052,170.8964,200.429,10,1,7,5
"ZNF780B",0.784562459234079,0.527877561638116,0.991553979454954,0.986518759563491,0.713100748631136,0.471930113636554,345.08089,453.0095,419.472814285714,324.9113,23.9307498072085,NA,43.0553732321222,70.2961320571623,306.480025,453.0095,361.01305,180.8866,381.83955,453.0095,437.5973,387.7917,10,1,7,5
"ZNF557",0.977926811851204,0.209268197589265,0.945796242064034,0.438513789156881,0.665341356217987,0.0248932311061829,229.99171,260.4717,303.229485714286,168.77648,20.8489577118242,NA,35.0695239724399,22.6065424349103,167.1347,260.4717,225.9523,147.1611,278.330925,260.4717,368.3589,177.55,10,1,7,5
"ZNF337",0.977842080602156,0.956641263000726,0.998536009344905,0.970141524042346,0.99847276824483,0.999999451213759,398.05418,294.1077,336.127014285714,337.7805,101.734216979416,NA,61.6380803990614,63.4145424971512,231.89085,294.1077,234.545,217.0281,352.6299,294.1077,423.7834,363.4415,10,1,7,5
"ZNF317",0.969228100328882,0.94936249619197,0.997371651138397,0.998880792351839,0.983990917902831,0.988812643771746,886.36231,980.6406,939.293214285714,902.26266,82.6142550340913,NA,42.3493823014065,61.4994158402712,715.996675,980.6406,867.1362,855.7356,1016.932725,980.6406,1016.85675,911.3441,10,1,7,5
"ZNF426",0.989590581757822,0.105532337706998,0.845513095875829,0.460617540437748,0.728009729878827,0.0133718418764535,150.76152,171.4185,227.4008,98.35844,24.9080875130004,NA,21.1868322248019,12.8265786311705,103.762875,171.4185,196.7393,82.9361,200.3769,171.4185,267.57645,94.438,10,1,7,5
"ZNF331",0.998221226818829,0.999818040058317,0.999195881193716,0.721483778246001,0.982945354012719,0.795530072674879,410.0105,480.4646,425.442971428571,639.1436,88.4566975576022,NA,48.761123296818,331.512577512204,258.166525,480.4646,373.20615,130.6104,441.5666,480.4646,506.67165,520.8575,10,1,7,5
"ZNF227",0.272553323062475,0.99999999997638,0.287714709580435,0.706775487121031,0.60197389006825,0.746802567480668,248.24806,383.3122,248.261571428571,288.85522,25.6168397361848,NA,9.4258363763979,36.8121462013477,203.100125,383.3122,232.2913,226.4466,308.728575,383.3122,261.97345,334.299,10,1,7,5
"ZNF141",0.7404827224781,0.999308605854837,0.719100314338537,0.544926658879574,0.990174750736365,0.535116311742913,98.37018,47.1665,101.276171428571,62.98402,16.4763578931267,NA,11.0295428736323,26.5155525618721,74.949075,47.1665,77.11755,10.4287,146.780375,47.1665,131.031,122.7359,10,1,7,5
"ZNF304",0.152251843587556,0.848917025808344,0.29957351239986,0.0812500471772236,0.0141693273201503,0.0287045460353649,253.12096,508.9757,296.887557142857,99.06196,42.5997150809465,NA,31.5458356695977,34.0901270551255,159.07105,508.9757,285.9799,39.3232,338.788625,508.9757,349.67725,111.8774,10,1,7,5
"ZNF132",0.997682125121622,0.00442231348689981,0.38275740416664,0.883033518458481,0.947335375030594,0.00387121349383757,45.43261,50.6864,98.1407142857143,34.56078,7.56232152815596,NA,14.3699221942823,2.74564472781895,27.07465,50.6864,73.3254,30.9695,57.587275,50.6864,130.24325,39.3232,10,1,7,5
"ZNF20",0.816149912836889,0.204735044269675,0.999776079845273,0.882411145512854,0.963941539125047,0.728284943809864,132.93551,90.9222,86.8036714285714,114.60416,19.3936022081651,NA,9.45196047587393,9.88091189271517,95.727175,90.9222,68.7976,106.53,135.056775,90.9222,103.84475,115.3501,10,1,7,5
"ZNF670",0.988782607218912,0.0777311455962578,0.813189152111401,0.99776468212838,0.996574113966178,0.21996599361483,109.83727,97.1278,60.8277714285714,105.99708,14.1520749402737,NA,5.05189968647883,21.1509869580689,78.2075,97.1278,54.2613,84.7711,138.92285,97.1278,70.81985,120.8307,10,1,7,5
"ZFP37",0.800877576491113,0.0613391256543512,0.983751439229953,0.961389625907727,0.68676492763097,0.0583683414687197,40.74342,65.8219,75.9118285714286,33.7398,8.56943140077696,NA,11.1282893390313,8.2746541191158,26.365225,65.8219,64.03265,30.7835,48.21285,65.8219,86.6418,36.2956,10,1,7,5
"ZNF189",0.87536410348486,0.606336482309414,0.567584397489151,0.683381969112661,0.998499607314634,0.190621179256568,507.6437,665.6107,384.364228571429,630.51858,68.3206473228522,NA,26.9286420293719,125.474787931765,403.219425,665.6107,338.978,531.2862,573.4663,665.6107,430.16785,576.2395,10,1,7,5
"ZNF434",0.420551964479125,0.804868358750175,0.241018783988822,0.99748148954456,0.405317415446951,0.93691124687444,330.12224,466.0331,293.407871428571,321.51038,29.8068282405827,NA,28.4073257051158,28.547302935013,267.292925,466.0331,241.14135,293.7428,383.626575,466.0331,311.3657,352.7169,10,1,7,5
"ZNF287",0.997581616853571,0.0386400309350445,0.435492201363186,0.922788520977263,0.999127973841938,0.0301855615935038,59.13793,52.0943,111.034414285714,46.87112,9.81614783277534,NA,16.8826417706024,13.7114829821358,41.283725,52.0943,86.1725,29.6349,65.6365,52.0943,141.92995,71.3645,10,1,7,5
"ZIM3",0.999943727970238,0.999965099324426,0.999988551197163,0.920129767349182,0.982535728103836,0.921023637954112,0.79255,0.704,0.757071428571429,1.34216,0.498849013507873,NA,0.505265753136423,0.855717383602787,0,0.704,0,0,0.480375,0.704,1.03075,1.1225,10,1,7,5
"ZFP14",0.153199006852009,0.886751091783803,0.283508169628609,0.263246472573711,0.0291442379595783,0.115065533105678,199.29463,332.6294,219.679771428571,139.90748,16.0819751362411,NA,28.9405447120283,13.716552626677,168.54305,332.6294,173.64055,121.0677,228.776975,332.6294,244.9604,159.3279,10,1,7,5
"ZNF473",0.807597397008823,0.282301000052273,0.336251154365649,0.982734286794089,0.905720991927256,0.26167272372127,340.02215,442.4498,240.565385714286,361.8993,40.1165348926135,NA,22.1527087905792,55.1675695317729,239.9274,442.4498,214.6275,285.6315,382.083625,442.4498,245.16185,376.4266,10,1,7,5
"ZNF614",0.781409535877334,0.597995258099127,0.452482751917903,0.999527980089808,0.829757039135889,0.657077171182136,221.7046,108.4125,292.705214285714,214.9207,38.7016352992078,NA,30.9512654812555,60.5421389827862,176.860275,108.4125,261.128,118.1924,251.028325,108.4125,351.4272,210.6603,10,1,7,5
"POGK",0.939847582202358,0.759989059468851,0.744077312957856,0.932000526410642,0.994489969659253,0.522791396224787,1660.53865,1964.0971,1414.18561428571,1826.38066,199.329081645888,NA,60.1543413397904,242.270581609932,1210.543375,1964.0971,1326.1702,1495.0677,1808.900725,1964.0971,1418.9564,2382.8546,10,1,7,5
"ZNF514",0.631030416165859,0.905294898155754,0.819409920191478,0.466993740201933,0.975575508457001,0.845037255649752,263.72124,129.5319,228.417728571429,177.55018,43.3661883949189,NA,23.717288981094,32.551826174923,173.435175,129.5319,199.87285,123.4291,294.042125,129.5319,267.30065,233.7941,10,1,7,5
"ZNF300",0.994581108705368,0.950561389706321,0.99999998858295,0.652955778600195,0.984976244618381,0.915364363531885,65.30303,85.8853,86.1519142857143,116.35024,16.5028598870017,NA,17.1323460305413,64.7929216417318,37.225475,85.8853,62.1728,11.5875,73.7683,85.8853,106.0666,185.368,10,1,7,5
"RBAK",0.700205437201708,0.293676783714555,0.995667343434011,0.575451274286408,0.978663703283705,0.988258926707829,808.31015,555.2306,609.270257142857,650.83616,87.4721921590834,NA,63.6626613966926,60.7685602719663,608.847625,555.2306,506.64795,600.8111,913.23635,555.2306,627.23435,710.5027,10,1,7,5
"ZNF92",0.942793362604542,0.960267164988345,0.864757658681933,0.999860328890315,0.939304856648859,0.98540106353315,384.96009,483.9845,344.167928571429,378.29348,53.9511762765259,NA,69.5307783758857,61.6883628681569,311.91295,483.9845,264.7469,335.2783,455.352375,483.9845,369.01305,406.7207,10,1,7,5
"ZNF157",0.953505944012436,0.732600239745017,0.759372564728059,0.780907531834123,0.999994862468516,0.324965951356344,1.5513,0,3.00227142857143,0.07484,1.03515046614275,NA,1.17312492792993,0.07484,0,0,1.4807,0,1.14395,0,2.70125,0,10,1,7,5
"ZNF182",0.999997575601037,0.951707849952936,0.993570795082679,0.942551558812626,0.993463548117067,0.769471986913495,186.09401,188.314,156.6862,220.90566,26.3550681998799,NA,23.6769599969896,88.993071282306,135.225625,188.314,109.6749,124.8808,233.13995,188.314,189.3893,144.5242,10,1,7,5
"ZNF673",0.990044207636009,0.990713754414825,0.998467040680172,0.887910795594291,0.9142862335163,0.793344827724767,203.01052,235.1285,217.746671428571,163.1252,31.7469507729896,NA,24.2048914026416,62.8661018707698,136.118275,235.1285,176.5887,71.3645,252.298725,235.1285,255.5422,175.6435,10,1,7,5
"ZNF41",0.999642801485404,0.79811586352133,0.953792675238289,0.99627939056452,0.996940806062282,0.940984496225989,374.00234,390.0035,304.4354,355.65468,54.331624143573,NA,16.2877607868023,94.1302274740447,255.563025,390.0035,275.2197,252.0278,435.054875,390.0035,345.0617,324.6052,10,1,7,5
"ZNF7",0.788744450603383,0.331814979728469,0.999485360870813,0.999951412757944,0.7962556412862,0.450434350193256,526.32338,390.2218,406.837385714286,530.19418,37.9059327680914,NA,38.0423015075663,94.6039364921957,457.282475,390.2218,363.34685,314.7407,618.42815,390.2218,424.5925,719.4911,10,1,7,5
"ZNF214",0.115044508118829,0.247749966549488,0.488603146649733,0.277560973536002,0.544485322722172,0.99946760956419,25.8992,64.062,40.4621285714286,41.47142,4.41070534419761,NA,6.90966550233437,5.83822166788826,18.7868,64.062,26.9673,34.1831,36.56465,64.062,51.5401,44.8833,10,1,7,5
"ZNF215",0.33704733726702,0.999628108312526,0.376171556877155,0.986582895681108,0.464061039100848,0.995586421596093,46.22026,117.5642,48.1601428571429,53.45012,12.3729328218064,NA,7.38678813264592,25.837744100219,10.361325,117.5642,30.00035,7.6263,77.63745,117.5642,63.05875,91.2019,10,1,7,5
"ZNF547",0.837234273634587,0.828411676614557,0.973343738299048,0.753326420636249,0.575537179927035,0.376101236863247,39.57359,56.2795,47.5949142857143,29.16392,6.3101677561157,NA,8.71021012866177,2.69290828183954,28.331875,56.2795,32.90935,26.2163,53.869975,56.2795,54.85105,27.5443,10,1,7,5
"ZNF773",0.840909014647343,0.620504923820832,0.994468300628538,0.255051832403762,0.998326724092707,0.870312537247352,91.14328,50.6864,63.0417428571429,42.22918,19.7632996170725,NA,5.76790121335957,15.4374016357805,50.51055,50.6864,54.8182,19.2998,108.459275,50.6864,73.4132,59.869,10,1,7,5
"ZNF776",0.0387548074951604,0.990475830273185,0.0572925781791012,0.981536246892217,0.0724713387244658,0.999635108749719,378.62477,802.6505,398.855428571429,406.86732,54.1040168583403,NA,25.0571866481143,59.2490393582833,255.04545,802.6505,362.42045,307.0018,405.502625,802.6505,447.2329,542.2903,10,1,7,5
"ZNF256",0.999405944244334,0.347704659531925,0.906380286974631,0.558257573585871,0.945100815086429,0.997248379046219,48.71131,54.5583,88.7867428571429,83.32596,15.0094113359767,NA,15.3350156069114,25.4819103796909,15.133975,54.5583,61.88065,24.3511,65.31855,54.5583,113.994,125.7242,10,1,7,5
"ZNF599",0.618628772645399,0.892418375308558,0.817089382640979,0.199394291520906,0.998985305538593,0.551495890387318,105.54364,39.0707,87.4890285714286,46.99784,20.4685944627275,NA,13.408891288454,16.6175382460399,66.520125,39.0707,68.25825,28.9457,112.5252,39.0707,105.28025,40.0374,10,1,7,5
"ZNF18",0.353830757518818,0.297039038252327,0.841801100597365,0.374838664947684,0.855428776398829,0.999997866894065,133.95069,201.6895,168.054471428571,168.45362,10.5057275649836,NA,14.9254417933131,20.3997573129045,104.551525,201.6895,156.02535,124.9719,154.1694,201.6895,190.57535,205.5655,10,1,7,5
"ZKSCAN2",0.407709163120784,0.913392159341239,0.598890368218649,0.975349400269031,0.336862942598341,0.785775937640402,150.92831,241.1123,168.321171428571,138.653,21.0908676756155,NA,13.1297863194761,20.4022747968701,111.60415,241.1123,143.93715,120.2873,172.40725,241.1123,187.41585,163.5661,10,1,7,5
"ZNF689",0.00846564146650397,0.589636828876525,0.0344978110566019,0.957167071295993,0.0068478318967361,0.432625014127788,237.3443,566.7019,291.365957142857,213.5991,22.8306138608862,NA,25.407708933753,57.7198226861535,168.9806,566.7019,241.39815,142.2801,301.66345,566.7019,328.03535,226.754,10,1,7,5
"ZNF19",0.997747453748839,0.993449333741051,0.999925412995838,0.978128488176752,0.981641811054851,0.933086727046403,54.39912,60.1162,58.2530285714286,47.91544,11.6452984371453,NA,9.5762270545772,6.35537558879096,30.52285,60.1162,44.54525,39.5453,66.0003,60.1162,56.8424,59.6948,10,1,7,5
"ZNF230",0.379687468199018,0.872378466316712,0.596478150550652,0.905769583522247,0.612449667375439,0.999999851252898,93.65276,148.5392,105.541985714286,105.40472,10.7534622177872,NA,9.4835432369128,15.9565943981289,71.267575,148.5392,91.3604,80.7899,111.609425,148.5392,111.2334,124.0529,10,1,7,5
"ZNF222",0.76069187433567,0.880860227229309,0.571516374061901,0.999800154762608,0.76135482536814,0.94690656344886,40.98239,59.8979,34.3157714285714,40.16546,6.72230785356487,NA,5.56011512966252,7.18061048843342,23.725675,59.8979,23.2828,25.5624,51.09875,59.8979,41.34515,49.3283,10,1,7,5
"ZNF221",0.999992820402267,0.288644384941297,0.844606569964084,0.235057017980776,0.746165168687046,0.0151037798093001,36.6741,37.3108,57.1525285714286,12.27228,8.60618818762923,NA,8.07340195550191,4.1597162520297,14.41875,37.3108,47.69535,7.6302,58.322725,37.3108,61.87995,12.7222,10,1,7,5
"ZNF233",0.682367337010195,0.990282713973785,0.612181636804912,0.617680759029517,0.967229146335666,0.513948500348553,25.66966,11.9676,27.3966714285714,17.82294,3.72126150289567,NA,5.501392816054,1.87678538373465,15.75405,11.9676,18.3981,15.0637,36.082225,11.9676,29.93695,21.8241,10,1,7,5
"ZNF235",0.551914783236882,0.806179006809898,0.806053920496648,0.996839633084572,0.524806431521199,0.780099078629078,84.89034,133.4073,100.195885714286,81.00364,10.0473258292521,NA,15.1025695999914,14.2880753594947,62.18205,133.4073,75.39595,50.4838,100.873,133.4073,105.752,101.7774,10,1,7,5
"ZNF208",0.968256203881185,0.857477219393904,0.999812973976005,0.814250398935678,0.999999856486814,0.998522955939662,434.94388,23.9352,97.4861571428572,17.0415,397.29452474508,NA,22.1707555995651,6.28472271695419,16.74645,23.9352,61.00385,4.0556,28.9729,23.9352,129.0175,23.7882,10,1,7,5
"ZNF714",0.806553919616496,0.50896515789781,0.995554189247921,0.467828906367378,0.999385495924497,0.997117280791585,572.49128,163.3228,270.348642857143,219.70864,195.443166349902,NA,37.7616194791551,69.7996098573667,219.3845,163.3228,193.5731,147.7404,651.641725,163.3228,351.8691,196.3775,10,1,7,5
"ZNF394",0.911109466341932,0.996492470696985,0.945824472851677,0.994986170068759,0.955464857110643,0.999964993941226,496.93048,609.9965,514.058757142857,518.41332,39.4427593805471,NA,49.8891432672569,114.91332513859,421.02185,609.9965,432.2696,320.4701,542.579675,609.9965,581.51615,694.6698,10,1,7,5
"ZNF333",0.991900693426929,0.950905288109265,0.953045499197574,0.721569471543046,0.993915486637005,0.497136821005479,258.63754,196.4097,313.479585714286,137.44458,93.854505481377,NA,30.5340215540245,20.1877179216572,128.752075,196.4097,274.03695,106.7684,209.832825,196.4097,366.72635,134.161,10,1,7,5
"ZNF382",0.758138794330172,0.0130005896594382,0.923453890108562,0.997220317649952,0.726494607660119,0.0282178583207311,35.51144,65.1179,84.1528,32.43662,8.39142416973954,NA,14.4232491534625,4.74261100591225,16.7005,65.1179,58.5692,28.0268,45.879875,65.1179,99.26165,34.7625,10,1,7,5
