"gene","p-adj-EBV-CIN","p-adj-GS-CIN","p-adj-GS-EBV","p-adj-MSI-CIN","p-adj-MSI-EBV","p-adj-MSI-GS","mean-CIN","mean-EBV","mean-GS","mean-MSI","SEM-CIN","SEM-EBV","SEM-GS","SEM-MSI","Q1-CIN","Q1-EBV","Q1-GS","Q1-MSI","Q3-CIN","Q3-EBV","Q3-GS","Q3-MSI","count-CIN","count-EBV","count-GS","count-MSI"
"ZNF195",0.998231127513187,0.32527696200032,0.76572304788369,0.993771649268609,0.991178566690815,0.613560669078894,538.28189,576.2056,353.049585714286,507.98618,87.7292102792444,NA,31.4261343061216,83.3482636735247,348.134475,576.2056,288.0253,401.2567,628.68755,576.2056,386.79065,555.0406,10,1,7,5
"ZNF263",0.924519008218189,0.607713399029083,0.645416006888885,0.398676885001767,0.516544104851971,0.967681746151352,669.25182,781.1756,563.669471428571,517.71202,73.2155894017779,NA,25.5998460086581,51.7373407393384,584.769175,781.1756,517.7545,435.5499,774.4188,781.1756,592.9876,541.1894,10,1,7,5
"ZNF200",0.988324358466145,0.188064419784105,0.912317629856856,0.899645865486607,0.999978178697547,0.679600359501576,264.35256,234.0725,170.807857142857,230.2328,38.2527329793868,NA,14.8851723243997,26.335083858059,180.158175,234.0725,143.08855,202.4322,292.834375,234.0725,192.0987,261.8896,10,1,7,5
"ZNF582",0.999987168393778,0.00608000292134991,0.341234614171566,0.678157545819823,0.932528867091002,0.00223198170190264,18.85188,19.3594,46.7162285714286,9.67156,5.02306790523702,NA,6.020724387904,4.5422421767889,7.53485,19.3594,36.9475,4.7664,21.79905,19.3594,57.5371,8.232,10,1,7,5
"ZNF285",0.912157538762427,0.201073629700054,0.405178873123592,0.400131926798043,0.998063411520655,0.0207184634534513,23.03577,8.7997,44.0693571428571,4.85772,7.41976189570124,NA,8.6379177722648,1.54619878036428,4.47245,8.7997,29.42845,2.693,42.464075,8.7997,55.8042,5.2385,10,1,7,5
"ZNF275",0.99999999732235,0.9760721373973,0.997592458597689,0.869709322422346,0.980219670743137,0.71748048731263,937.00899,937.698,1005.82617142857,794.5551,138.525160821208,NA,58.8620520109709,128.744669700004,666.33095,937.698,906.6084,690.3052,1011.537675,937.698,1153.1501,708.2936,10,1,7,5
"ZNF37A",0.652792747109584,0.72059274475542,0.910307121579696,0.362923547964259,0.991967998616845,0.903161298961863,797.24594,540.6547,688.553857142857,605.15308,80.262017409409,NA,50.000320791056,85.8037256732212,652.523625,540.6547,649.6904,531.3601,963.557775,540.6547,785.28435,765.5753,10,1,7,5
"ZNF510",0.98694132166093,0.965516105812507,0.999491600342993,0.904247923334934,0.911762017711082,0.736330777255715,349.39754,388.2436,375.011314285714,308.02608,37.8822565287327,NA,19.21729216106,67.5797673403616,248.2688,388.2436,345.3373,226.5115,390.01245,388.2436,415.91435,407.4836,10,1,7,5
"ZNF506",0.966322728911474,0.949278776632081,0.996758876029164,0.903341282284201,0.861278424674317,0.701464185647113,639.65017,755.7198,702.805114285714,550.49804,59.6629277175591,NA,93.0699983940951,142.113255156507,561.090575,755.7198,529.3636,281.4164,747.928425,755.7198,780.1163,764.3627,10,1,7,5
"ZNF324",0.987369201525525,0.999669732815923,0.992246212374291,0.50543155303334,0.978773684262154,0.608252805582671,195.36695,176.6983,192.8,153.36184,22.3406151124372,NA,14.085426802229,11.2238121722791,153.889525,176.6983,168.70865,139.6292,242.311925,176.6983,209.74295,154.8474,10,1,7,5
"ZNF671",0.969024817079645,0.0546745966047792,0.837094926471154,0.871837910529511,0.849331958715595,0.0313970558457324,71.11676,99.9648,154.667871428571,45.65828,13.8143621834122,NA,35.6184567249214,6.53942566770202,44.2286,99.9648,93.3866,38.2387,90.360425,99.9648,190.14505,52.0112,10,1,7,5
"ZNF416",0.78668606086765,0.995906434132988,0.739752404540615,0.875232757432723,0.59179019130787,0.954759216876948,92.74955,51.3904,97.4016857142857,110.09278,14.1161559445453,NA,9.07319843341414,24.9105024241865,65.331675,51.3904,78.3496,84.8427,115.0968,51.3904,112.36365,95.0174,10,1,7,5
"ZNF586",0.646573018096599,0.771496244781104,0.890644603005129,0.411503164371438,0.986278615752343,0.907234920999411,183.95381,271.3833,217.501242857143,245.21188,24.0631197600461,NA,28.1575378075608,21.7861991894731,133.694725,271.3833,168.14555,234.6118,234.827325,271.3833,246.5986,274.0705,10,1,7,5
"ZNF446",0.584228335463283,0.999671168688819,0.572222048162132,0.915590732176808,0.428295815787403,0.952336188826313,159.98,226.8286,157.629771428571,142.39894,17.985950156769,NA,7.21082210647944,27.9193391990498,134.628575,226.8286,150.88575,91.0582,180.0808,226.8286,168.40735,193.5323,10,1,7,5
"ZNF8",0.0765397003029554,0.59295024804824,0.236608196211895,0.524120330122953,0.0234444196789255,0.119102366277196,237.16462,473.3897,291.3923,171.4237,34.7448178097294,NA,26.0885795686359,16.9244400972381,152.90465,473.3897,252.6939,154.9421,274.9159,473.3897,341.84215,208.7297,10,1,7,5
"ZNF264",0.774064004699002,0.197328839687611,0.999998566222603,0.882124660843661,0.58319143425112,0.104617307010566,1107.85766,1567.0539,1574.70295714286,924.15798,156.279550167311,NA,109.991954141571,250.841782189601,737.210125,1567.0539,1515.48185,864.2355,1440.147,1567.0539,1730.06325,1000.9355,10,1,7,5
"ZNF213",0.378463163523192,0.827297384367154,0.622312289672827,0.745278324432141,0.195110251355651,0.368275619767181,603.03593,843.717,661.835157142857,525.8334,49.4075019199133,NA,34.5648205086566,70.6132100804941,588.619325,843.717,612.80035,412.1315,650.85175,843.717,718.03685,561.4901,10,1,7,5
"ZNF343",0.767129067389062,0.671375393247453,0.972909520803931,0.925110545357529,0.924100974710663,0.980787330483291,300.23779,207.3214,249.082928571429,269.36858,36.2760319729967,NA,15.4526209540603,38.4915899786226,212.887125,207.3214,244.78685,188.3767,340.254825,207.3214,275.0869,331.1506,10,1,7,5
"ZNF302",0.918126264391229,0.993416129592162,0.956782866524388,0.901826007521388,0.992923233510439,0.974590822807881,544.57055,183.3861,474.712457142857,342.53358,241.817857139997,NA,76.1284330107379,28.2479041462088,265.042875,183.3861,307.77505,309.3859,392.457225,183.3861,634.17795,393.9466,10,1,7,5
