"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.622785503707996,0.865212000042216,0.509732003340854,329.406948484848,399.49975,309.486288888889,17.7258769598783,169.82495,25.5071810804844,277.5034,314.587275,278.034,414.1274,484.412225,369.5115,296.317216,337.153265151515,272.7821,342.11515,251.1451,296.9994,279.584925,408.9873,17.0817375154917,12.5742708326683,1.13781193581245,1.25417008667358,0.186262120305189,0.326733015253732,"KICH"
"ZNF263",0.520738187848353,0.132688838750194,0.132485350700409,883.386372727273,1066.7835,713.517466666667,36.2218658224756,196.8913,98.1694546463325,734.9976,968.33785,497.6846,1005.2491,1165.22915,908.1156,608.021372,833.767724242424,593.6516,807.1615,551.0051,633.2411,718.43315,957.0315,21.3802526443987,26.7314233497657,1.37128029151321,1.35965522538809,0.45552349004193,0.443240866415178,"KICH"
"ZNF200",0.784815979554079,0.972396471280163,0.866303662724926,189.060321212121,169.6769,185.668555555556,6.7513998283195,9.9208,15.5057461540079,163.5338,164.7165,146.0896,203.6119,174.6373,196.4846,165.298992,186.685746969697,164.6041,187.7146,138.803,187.4734,161.873075,204.838225,6.50296712468731,4.55360938435315,1.12938224674532,1.14040051250242,0.175533858254232,0.189540592743938,"KICH"
"ZNF582",0.399226030806297,0.999561201082969,0.457419700383417,73.1132393939394,51.76885,72.8753777777778,3.98599482884111,13.96395,6.90981186574123,57.1291,44.786875,56.2771,83.005,58.750825,82.4938,79.550696,68.1647272727273,77.7958,70.54035,62.7183,87.9933,49.33135,86.53035,3.9330020562605,3.14617335293387,0.856871538530942,0.906737253167909,-0.22284916198013,-0.141243535828511,"KICH"
"ZNF285",0.0856414158814831,0.476466675164399,0.033798667268518,80.0576151515152,34.4854,92.674,4.84672548049688,11.8561,10.877094981964,61.4657,28.55735,81.7427,95.1139,40.41345,86.3562,62.079148,77.4462848484849,66.1556,82.64695,45.4084,76.555,60.518475,94.622175,3.6822757540101,4.2646223540932,1.24754103984296,1.24928123998573,0.31908727608681,0.321098295087185,"KICH"
"ZNF275",0.993449577046248,0.0712676533340928,0.586531472449957,1622.35537878788,1575.5388,1119.31773333333,102.859462535557,74.4612,205.128653514626,1356.4486,1538.3082,577.8103,1964.507,1612.7694,1630.0398,607.836272,1489.31069393939,598.8024,1465.2194,520.385,715.3299,1078.110075,1897.49395,35.1141647352596,80.2909129899304,2.45018397641692,2.44691637842467,1.29289008061529,1.29096479921321,"KICH"
"ZNF37A",0.984125060214727,0.981331801108619,0.997319189062669,305.278072727273,321.03135,314.106344444444,23.4855985092006,63.30775,31.2396311754268,214.7556,289.377475,241.5643,359.2277,352.685225,376.4308,406.473064,342.968828787879,397.4535,296.2034,351.4529,481.4559,231.5742,429.77615,24.6945919368856,20.1848292053986,0.84376766670049,0.745252966699249,-0.245082290554333,-0.424197881586349,"KICH"
"ZNF510",0.671165746521475,0.927358966320985,0.81080804598412,248.857190909091,192.97555,236.364833333333,16.8552918447566,64.92675,17.3316493238286,176.2574,160.512175,209.6502,331.4448,225.438925,240.18,283.01588,246.095028787879,285.3117,241.12435,223.3305,354.1113,179.49475,292.59255,13.9070949130507,11.3940313150551,0.869544948459708,0.845126049860556,-0.201667489731744,-0.242761560656383,"KICH"
"ZNF506",0.55731616730444,0.770577894420369,0.801624742883506,537.484287878788,454.68005,509.065611111111,17.195023263744,35.98085,49.5649561081395,471.8045,436.689625,391.1808,615.085,472.670475,659.5704,413.19172,506.581503030303,403.7541,495.4617,371.6449,475.9432,420.98605,604.6133,14.8250080912142,14.676724244936,1.22602046098674,1.2271372600303,0.293983056286261,0.29529662902504,"KICH"
"ZNF324",0.712377811951437,0.990375466021978,0.706435246696514,245.326124242424,202.6642,249.029,13.590732464433,5.4659,20.8993230480944,203.992,199.93125,224.9524,306.1115,205.39715,277.1336,177.905168,241.344631818182,178.7207,231.2536,161.1979,194.757,206.950575,278.121975,8.56055006144411,8.42544378542559,1.3565914612339,1.29393853090325,0.439986317225696,0.371769083120654,"KICH"
