"gene","p-adj-YES-NO","mean-NO","mean-YES","SEM-NO","SEM-YES","Q1-NO","Q1-YES","Q3-NO","Q3-YES","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.0686362134082723,321.416255,390.5187375,15.2122238270538,32.7945029342568,274.7032,323.18555,391.22475,444.029175,296.317216,337.153265151515,272.7821,342.11515,251.1451,296.9994,279.584925,408.9873,17.0817375154917,12.5742708326683,1.13781193581245,1.25417008667358,0.186262120305189,0.326733015253732,"KICH"
"ZNF263",0.170073733245156,862.069715,739.1307875,36.4652225589781,74.5806523164435,729.772225,632.0094,1014.66585,885.92235,608.021372,833.767724242424,593.6516,807.1615,551.0051,633.2411,718.43315,957.0315,21.3802526443987,26.7314233497657,1.37128029151321,1.35965522538809,0.45552349004193,0.443240866415178,"KICH"
"ZNF200",0.437891591663913,188.2651125,175.90205,6.48932398129577,13.9156062627926,159.931825,172.88145,204.020675,198.761475,165.298992,186.685746969697,164.6041,187.7146,138.803,187.4734,161.873075,204.838225,6.50296712468731,4.55360938435315,1.12938224674532,1.14040051250242,0.175533858254232,0.189540592743938,"KICH"
"ZNF582",0.542998505230024,72.92432,67.3869625,3.19751621151481,12.7383628671558,59.04265,46.786725,83.99525,88.8458,79.550696,68.1647272727273,77.7958,70.54035,62.7183,87.9933,49.33135,86.53035,3.9330020562605,3.14617335293387,0.856871538530942,0.906737253167909,-0.22284916198013,-0.141243535828511,"KICH"
"ZNF285",0.107319080066967,83.4551675,64.4535875,4.69858147390824,10.8612695639867,67.5281,52.10745,96.0913,83.973525,62.079148,77.4462848484849,66.1556,82.64695,45.4084,76.555,60.518475,94.622175,3.6822757540101,4.2646223540932,1.24754103984296,1.24928123998573,0.31908727608681,0.321098295087185,"KICH"
"ZNF275",0.610475041580479,1541.1842575,1411.9224125,97.6108806286117,287.051413508714,1200.047625,915.152575,1951.07675,1657.873475,607.836272,1489.31069393939,598.8024,1465.2194,520.385,715.3299,1078.110075,1897.49395,35.1141647352596,80.2909129899304,2.45018397641692,2.44691637842467,1.29289008061529,1.29096479921321,"KICH"
"ZNF37A",0.0356439493101075,306.09441,427.282275,20.0625950812431,77.1511142750538,218.2197,280.680675,363.528475,470.3139,406.473064,342.968828787879,397.4535,296.2034,351.4529,481.4559,231.5742,429.77615,24.6945919368856,20.1848292053986,0.84376766670049,0.745252966699249,-0.245082290554333,-0.424197881586349,"KICH"
"ZNF510",0.399606117041619,240.2893725,268.9034875,12.8306773875794,40.2070696390015,198.12655,175.93115,273.061275,334.805125,283.01588,246.095028787879,285.3117,241.12435,223.3305,354.1113,179.49475,292.59255,13.9070949130507,11.3940313150551,0.869544948459708,0.845126049860556,-0.201667489731744,-0.242761560656383,"KICH"
"ZNF506",0.423255615091535,530.8559075,497.1173625,17.678192082794,29.0223432222236,427.166875,428.266725,625.082225,551.6174,413.19172,506.581503030303,403.7541,495.4617,371.6449,475.9432,420.98605,604.6133,14.8250080912142,14.676724244936,1.22602046098674,1.2271372600303,0.293983056286261,0.29529662902504,"KICH"
"ZNF324",0.47499251233107,249.43111,228.49105,11.5692053651941,29.9955613166884,208.40395,202.293575,306.3217,234.26485,177.905168,241.344631818182,178.7207,231.2536,161.1979,194.757,206.950575,278.121975,8.56055006144411,8.42544378542559,1.3565914612339,1.29393853090325,0.439986317225696,0.371769083120654,"KICH"
"ZNF671",0.0626927268442168,220.4369725,171.46555,10.2352752554027,26.2783126534166,174.8759,102.652,264.15395,211.860075,149.980968,200.149293939394,157.9696,211.06,93.898,189.8109,151.1863,258.38185,13.6425255802713,9.31205583645914,1.33449794736219,1.33607985333887,0.416297086422052,0.418006235785936,"KICH"
"ZNF416",0.137597172325446,131.8174325,114.5416625,4.23427404666507,14.7066549365164,116.0004,81.909075,147.831325,139.652825,104.161284,127.256225757576,104.4859,125.75315,88.7226,126.4442,110.777475,150.483925,4.91590001886626,4.00445231242621,1.22172289809307,1.2035418176041,0.288917101130198,0.267286269774142,"KICH"
"ZNF586",0.833249785100387,147.4318825,143.317975,7.81881922659541,19.0864847930203,114.7351,111.64455,168.240125,193.044175,156.867164,140.723159090909,151.8281,133.48335,136.7146,159.7181,112.15885,161.017275,7.09387333128355,5.68036822442878,0.897084867875275,0.87917421083449,-0.156683618470787,-0.185779027124869,"KICH"
"ZNF446",0.886087132529247,293.12838,286.4403125,18.8374036793911,43.8059764732729,212.1421,225.37245,364.77605,354.19555,255.787344,283.476292424242,253.629,259.4508,223.1714,284.5342,215.7252,327.380875,8.38207368146268,13.8973214681178,1.10824987660157,1.02295399973978,0.14828320186585,0.0327412713399192,"KICH"
"ZNF8",0.851614328379112,93.2003475,94.8794875,3.44029354630436,10.3255173752671,80.93315,67.198875,103.749475,113.3442,86.075744,94.7237015151515,81.6309,90.55715,78.5941,90.4097,81.9907,109.79805,3.88404999607832,2.95670447954615,1.10046915789832,1.10934891076786,0.13811871236199,0.149713191168083,"KICH"
"ZNF264",0.375763341831502,710.0917025,655.655075,23.9985151487504,65.132665933648,596.64285,600.333225,809.710925,725.263175,559.764464,688.060681818182,573.1796,671.2573,475.9641,626.2516,592.916975,787.38495,32.8670531816599,20.0727666410967,1.22919678913055,1.17111163760888,0.297715903485519,0.227878609014094,"KICH"
"ZNF213",0.81431221214642,483.87455,465.1422,33.7772486169406,51.5331151794961,356.372475,426.15315,572.737375,540.92005,391.015312,487.480309090909,384.5087,463.0603,340.449,441.8673,366.7125,550.838825,21.0940869871854,23.8655382192759,1.24670388634527,1.20429082618937,0.318118840924534,0.268183832990749,"KICH"
"ZNF343",0.589374674596097,206.51001,218.53535,8.67012907552589,24.2135675536096,170.6887,197.25835,231.279575,262.6656,190.72866,212.768368181818,197.2996,205.67495,159.3493,216.9714,168.9155,250.810525,9.50074619949402,8.96165980841903,1.11555530344427,1.04244990866682,0.157762036690136,0.0599780616035579,"KICH"
"ZNF302",0.0249832320571293,519.3337575,380.8853375,22.5121165045438,73.6701776781195,449.931125,239.323275,621.421,515.793675,530.904276,502.412362121212,559.0165,517.4053,416.4152,613.9535,362.19865,617.48445,23.3418771983805,23.3384376627079,0.946333237145018,0.925563556710759,-0.0795797982989492,-0.111596034231638,"KICH"
"ZNF268",0.595372973121312,419.6605625,387.4115625,21.1525638411098,86.3101438450084,334.40045,228.294875,524.54955,622.762,414.730196,399.313266666667,422.5213,401.3839,343.5497,483.2648,313.345275,521.40055,15.7290383619115,18.9759574861515,0.962826605147089,0.949973172950098,-0.054652087491805,-0.0740413222841314,"KICH"
"ZNF184",0.808090480703411,97.117945,92.7666,7.38970146385907,14.7038871988474,68.1559,63.923,115.0126,103.627025,204.711076,95.5106015151515,202.6841,81.85065,180.2731,228.9879,67.468,112.1405,6.76024197054681,5.70226472722621,0.466562940224844,0.40383360115569,-1.09985637838655,-1.30816713913654,"KICH"
"ZNF500",0.489507233917187,282.3382375,259.979975,13.0100632916234,30.4125576175237,224.730075,191.172575,325.77685,305.6523,236.383752,282.461831818182,229.3992,287.57575,189.4718,278.0159,228.975525,324.33525,11.445533745089,9.53994135786933,1.19492913293881,1.25360397943846,0.256925059553788,0.326081664619226,"KICH"
"ZNF419",0.465409475130936,232.8222925,211.4264375,11.9466862663221,25.5109576149638,196.443475,186.96705,252.91395,240.90125,147.718288,223.464954545455,143.5443,216.15015,127.9752,170.2388,191.60185,252.312875,6.00265187609699,9.06286200742142,1.51277785283739,1.50580796311661,0.597200147409065,0.590537793698537,"KICH"
"ZNF175",0.74434857242908,214.8162625,207.2056375,8.63699212249835,29.4786697086635,175.5949,170.786225,248.64985,227.454275,169.150912,211.731286363636,168.011,216.20775,144.6448,190.2078,176.407175,247.431375,7.77131405243309,7.61701451995143,1.25173009036828,1.28686663373232,0.323923508542989,0.363862545537755,"KICH"
"ZNF14",0.290951229981023,235.53795,210.5058875,9.40808742431553,23.2565598334445,196.712675,167.0397,269.022175,275.389825,259.247472,226.468063636364,243.032,236.73995,209.3825,291.6097,172.383625,266.6361,19.1675246810593,7.48585811054207,0.873559390528459,0.974110199479904,-0.195022304157258,-0.0378431036372251,"KICH"
