"gene","p-adj-BRCA basal-like c8-BLCA nonsquamous-like c1","p-adj-GBM-like c6-BLCA nonsquamous-like c1","p-adj-GBM-like c6-BRCA basal-like c8","p-adj-LAML-like c13-BLCA nonsquamous-like c1","p-adj-LAML-like c13-BRCA basal-like c8","p-adj-LAML-like c13-GBM-like c6","p-adj-LUAD-like c10-BLCA nonsquamous-like c1","p-adj-LUAD-like c10-BRCA basal-like c8","p-adj-LUAD-like c10-GBM-like c6","p-adj-LUAD-like c10-LAML-like c13","p-adj-RNA cluster 12-BLCA nonsquamous-like c1","p-adj-RNA cluster 12-BRCA basal-like c8","p-adj-RNA cluster 12-GBM-like c6","p-adj-RNA cluster 12-LAML-like c13","p-adj-RNA cluster 12-LUAD-like c10","p-adj-RNA cluster 2-BLCA nonsquamous-like c1","p-adj-RNA cluster 2-BRCA basal-like c8","p-adj-RNA cluster 2-GBM-like c6","p-adj-RNA cluster 2-LAML-like c13","p-adj-RNA cluster 2-LUAD-like c10","p-adj-RNA cluster 2-RNA cluster 12","p-adj-RNA cluster 3-BLCA nonsquamous-like c1","p-adj-RNA cluster 3-BRCA basal-like c8","p-adj-RNA cluster 3-GBM-like c6","p-adj-RNA cluster 3-LAML-like c13","p-adj-RNA cluster 3-LUAD-like c10","p-adj-RNA cluster 3-RNA cluster 12","p-adj-RNA cluster 3-RNA cluster 2","p-adj-RNA cluster 5-BLCA nonsquamous-like c1","p-adj-RNA cluster 5-BRCA basal-like c8","p-adj-RNA cluster 5-GBM-like c6","p-adj-RNA cluster 5-LAML-like c13","p-adj-RNA cluster 5-LUAD-like c10","p-adj-RNA cluster 5-RNA cluster 12","p-adj-RNA cluster 5-RNA cluster 2","p-adj-RNA cluster 5-RNA cluster 3","p-adj-squamous-like c4-BLCA nonsquamous-like c1","p-adj-squamous-like c4-BRCA basal-like c8","p-adj-squamous-like c4-GBM-like c6","p-adj-squamous-like c4-LAML-like c13","p-adj-squamous-like c4-LUAD-like c10","p-adj-squamous-like c4-RNA cluster 12","p-adj-squamous-like c4-RNA cluster 2","p-adj-squamous-like c4-RNA cluster 3","p-adj-squamous-like c4-RNA cluster 5","mean-BLCA nonsquamous-like c1","mean-BRCA basal-like c8","mean-GBM-like c6","mean-LAML-like c13","mean-LUAD-like c10","mean-RNA cluster 12","mean-RNA cluster 2","mean-RNA cluster 3","mean-RNA cluster 5","mean-squamous-like c4","SEM-BLCA nonsquamous-like c1","SEM-BRCA basal-like c8","SEM-GBM-like c6","SEM-LAML-like c13","SEM-LUAD-like c10","SEM-RNA cluster 12","SEM-RNA cluster 2","SEM-RNA cluster 3","SEM-RNA cluster 5","SEM-squamous-like c4","Q1-BLCA nonsquamous-like c1","Q1-BRCA basal-like c8","Q1-GBM-like c6","Q1-LAML-like c13","Q1-LUAD-like c10","Q1-RNA cluster 12","Q1-RNA cluster 2","Q1-RNA cluster 3","Q1-RNA cluster 5","Q1-squamous-like c4","Q3-BLCA nonsquamous-like c1","Q3-BRCA basal-like c8","Q3-GBM-like c6","Q3-LAML-like c13","Q3-LUAD-like c10","Q3-RNA cluster 12","Q3-RNA cluster 2","Q3-RNA cluster 3","Q3-RNA cluster 5","Q3-squamous-like c4","count-BLCA nonsquamous-like c1","count-BRCA basal-like c8","count-GBM-like c6","count-LAML-like c13","count-LUAD-like c10","count-RNA cluster 12","count-RNA cluster 2","count-RNA cluster 3","count-RNA cluster 5","count-squamous-like c4"
"ZNF195",0.999758141423976,0.904920582078008,0.999335112586433,1,0.999863137117278,0.921674575712053,0.83173715374189,0.999137166293435,0.999999998634541,0.860125695868718,0.99998654025795,0.999995722520908,0.817983470037404,0.999995738927516,0.13375417652823,0.984078736834679,0.999998082503724,0.999989483644849,0.988422115539118,0.999991042303648,0.984548590728804,0.998508979412125,1,0.985058708321719,0.999149019250313,0.856048853966772,0.999528128095374,0.999915562298433,0.433222515203939,0.847833438086262,0.982153515311215,0.46207414640772,0.90812944585271,0.257804697760448,0.898074894995713,0.537569014823207,0.758407305513131,0.997469690955358,1,0.793555465371339,0.999996747065376,0.0156160854224862,0.999886880764625,0.626841585782069,0.927234503600347,560.4128,436.6599,315.35065,552.2135,331.685294736842,494.44945,375.7884,440.32494,127.6455,319.053084792627,NA,NA,41.35555,NA,48.1593271947607,72.9107806830326,73.5177,55.0968659450572,NA,8.57788337230175,560.4128,436.6599,294.672875,552.2135,198.58475,344.1637,339.02955,375.0946,127.6455,226.8502,560.4128,436.6599,336.028425,552.2135,392.67495,605.574325,412.54725,543.9144,127.6455,376.1153,1,1,2,1,19,8,2,5,1,217
"ZNF263",0.999999936614809,0.99998192291171,0.999999995090167,0.999088243235966,0.999966175055444,0.999995639995155,0.999982106368602,0.999999999801369,0.999999999838709,0.999909952549894,0.999999844371577,1,0.999998130979223,0.99928258905158,0.999986110663591,0.999983432054163,0.999109891971121,0.979099414068802,0.944191263768656,0.921008775401911,0.98542149287145,0.999615492619781,0.992262867920788,0.858465583864662,0.821671582977916,0.309115901210426,0.72814197902422,0.99999998822631,0.999999999986249,0.99999883773321,0.999890510361657,0.997654507153889,0.999852770027841,0.999995408920613,0.999998449633576,0.999928792094836,0.999999990487411,0.999999999309919,0.999950345731064,0.997346662825249,0.974791496446063,0.999999930843396,0.98574743700826,0.541286775027911,0.999999050666364,730.332,642.7984,585.90345,463.3657,609.4866,657.6889,873.30345,916.16976,764.4412,680.191644700461,NA,NA,230.08725,NA,56.0553127464919,70.0568772047985,133.18255,112.362847769179,NA,17.1273834686259,730.332,642.7984,470.859825,463.3657,481.65405,544.33525,806.712175,703.8921,764.4412,522.414,730.332,642.7984,700.947075,463.3657,606.6155,812.7198,939.894725,1014.5609,764.4412,793.2786,1,1,2,1,19,8,2,5,1,217
"ZNF200",0.998588335376451,0.999294350801513,0.822061086531268,0.999999979081017,0.991175263573048,0.999979400087399,0.999989614134671,0.874914020705776,0.999871397043167,0.999999999584315,0.999584556895564,0.76803460837806,0.999999982760065,0.999996228694113,0.999739215481748,0.985034110640869,0.999999997311179,0.437251252339938,0.941979857168904,0.32431737434406,0.218192088530841,0.999999922054602,0.998859200086328,0.926405846621198,0.999946514956782,0.908979783396304,0.760486654894386,0.959569093765182,0.998670220955533,1,0.825692915805333,0.991546820214651,0.878459841727934,0.772803077507789,0.999999996179386,0.998946850042503,0.999999999999495,0.973003097046845,0.977248590061684,0.999999952220109,0.843934480171553,0.719377221469247,0.613053317104257,0.998981382610504,0.974252911254165,280.0117,396.7413,187.35405,248.0333,233.065889473684,204.8467625,418.75045,308.72868,395.8594,272.900756682028,NA,NA,16.91175,NA,16.7077072605561,17.3390192021589,58.38475,25.0590576821915,NA,7.33309795138433,280.0117,396.7413,178.898175,248.0333,183.0543,182.463875,389.558075,271.6502,395.8594,204.2643,280.0117,396.7413,195.809925,248.0333,289.804,245.9418,447.942825,328.7105,395.8594,317.3662,1,1,2,1,19,8,2,5,1,217
"ZNF582",0.610044352566045,0.999999708685769,0.60048546301248,0.999987559739765,0.309070251776383,0.998322993189758,0.333146149530411,0.999998896481082,0.134737119136137,0.081887798217223,0.235253196277677,0.999999999999045,0.0856841873739504,0.0524984164134666,0.999729246120847,0.74096946515904,0.999968379234242,0.713700785285715,0.385889668544878,0.999998372957291,0.999595551488881,0.608835066993362,0.999899645027456,0.478770682896039,0.238041824333099,0.999922592212723,0.9935349891655,1,0.999999999982573,0.678126657581836,0.999999996361016,0.999932318858875,0.419627249648201,0.305171549604702,0.808032148704628,0.696173966823236,0.16884430368206,0.999999999998691,0.0320139444029621,0.0299412777211718,0.978623552975816,1,0.999013352132204,0.966954625995546,0.229283498883575,85.6781,22.8106,77.629,99.9537,30.6533210526316,24.5289375,36.593,36.93882,82.5476,24.4859161290323,NA,NA,34.5609,NA,5.91277202774474,6.58165686936421,7.6417,12.6280433702296,NA,1.48770435864499,85.6781,22.8106,60.34855,99.9537,15.821,10.84695,32.77215,23.5525,82.5476,8.5483,85.6781,22.8106,94.90945,99.9537,39.51165,32.819,40.41385,56.0182,82.5476,35.1124,1,1,2,1,19,8,2,5,1,217
"ZNF285",0.999763218806407,0.967446295666772,0.999974811048238,0.715857508820516,0.973197265244586,0.99678358265946,0.766860651290994,0.997256296775467,0.999996385498289,0.998873196478665,0.99970699380672,0.999999991915733,0.990746504706109,0.744696251650463,0.220694608909984,0.993177128633339,0.999999947271299,0.999999615053519,0.980822487617689,0.998559762360323,0.999764446711667,0.880669719535162,0.999488861678254,0.999999989490609,0.997937560264581,0.999999947316362,0.787345085638698,0.999915892414889,0.99147263824215,0.822732625414701,0.334674559120097,0.129263311381851,0.0582759084926188,0.59863086135182,0.497345473813917,0.132398417678882,0.278575492644624,0.852009619005831,0.926517084052267,0.99999999999218,0.100208150382739,4.63285883166575e-05,0.718158024942773,0.719300768755948,0.00451473662424251,103.5926,74.5418,55.25895,20.3609,45.9088894736842,81.234025,65.00435,49.8226,149.5352,23.27853640553,NA,NA,13.42135,NA,8.02366863100837,34.4983783431231,8.38385,20.1236833158098,NA,1.83800094483883,103.5926,74.5418,48.548275,20.3609,21.1904,22.74615,60.812425,29.4064,149.5352,5.579,103.5926,74.5418,61.969625,20.3609,61.8578,89.387475,69.196275,51.5423,149.5352,33.1326,1,1,2,1,19,8,2,5,1,217
"ZNF275",0.999968586849982,0.998879140017458,0.939744037553454,0.999764626171972,0.999999999697383,0.88704878315933,0.999997319951366,0.987104179079554,0.999095301414925,0.961851031575306,0.999999999975709,0.998894244957994,0.98787788768278,0.994406479984169,0.999683231059636,0.999999940665538,0.998136044935713,0.999736252925769,0.993037850856563,0.999999999919237,0.999999946650406,0.999996050515208,0.989220078111519,0.999826109882419,0.968804684414184,0.999999999992832,0.999910704448721,0.999999998826944,0.999999976242039,0.999999802633005,0.990228543244375,0.999993699668966,0.999589105260785,0.999995807121309,0.999969299907467,0.999599675788681,0.99982204813619,0.94691300257143,0.999984291995747,0.884231320916797,0.993912266963598,0.921542234389027,0.999988330006093,0.999994480645017,0.995380932228248,474.3452,272.9124,743.0326,218.4174,584.276826315789,505.20495,559.5514,597.05424,385.5739,649.710750230415,NA,NA,439.9042,NA,61.3202082445675,88.4079945837459,236.048,131.799092710506,NA,19.2101037649085,474.3452,272.9124,523.0805,218.4174,440.59485,416.366325,441.5274,334.3736,385.5739,484.3581,474.3452,272.9124,962.9847,218.4174,737.30705,556.699925,677.5754,801.5604,385.5739,795.8947,1,1,2,1,19,8,2,5,1,217
"ZNF37A",0.999896555142502,0.999999999333877,0.999958309222932,0.999221311272389,0.999999998623679,0.999467690484204,0.999999978958139,0.999895908543608,1,0.998533356403736,0.999973614089834,0.960764656136767,0.996662589749001,0.899903790210406,0.753439387464554,0.998847896720643,0.912048711780527,0.980902606205187,0.83246248733665,0.856581009443748,0.999939632974484,1,0.999222844797479,0.999999986714861,0.99469711790163,0.999991854298807,0.995352664495897,0.97927203165229,0.999999999986785,0.999630818726748,0.999999903603055,0.997959214069617,0.999998610674357,0.999998053149828,0.999667171414223,0.999999999777506,0.99999999973019,0.994558293795651,0.999988867280937,0.975231253462646,0.891881862045516,0.986567531776315,0.978911473200081,0.999999450100946,1,307.2729,170.6721,276.9115,132.6546,269.846352631579,394.47595,466.11095,305.89762,329.9268,329.736722580645,NA,NA,13.9911,NA,29.4745052684582,65.5806163053345,131.99125,87.0260474817477,NA,11.4734445299445,307.2729,170.6721,269.91595,132.6546,171.44725,288.663425,400.115325,176.6753,329.9268,216.9158,307.2729,170.6721,283.90705,132.6546,323.60545,534.316425,532.106575,357.0417,329.9268,408.9232,1,1,2,1,19,8,2,5,1,217
"ZNF510",0.683950792848908,0.998727500464296,0.0965902460271953,0.997995958027227,0.989098444785923,0.766782795092024,0.800886330760741,0.996377051596126,0.0126873957215603,0.999941169450562,0.999999337459644,0.472155907076778,0.821906797344777,0.998696817000094,0.0363062318498837,0.999811701620171,0.871455801747524,0.781191236049919,0.999998917436367,0.951218769857296,0.999950319556695,0.999999964507204,0.4644841495813,0.908541200408386,0.997784416168008,0.0996049345220934,0.999999999042278,0.999846427413668,0.999999999855136,0.76382419404416,0.995330320227141,0.999450223944823,0.884621093685433,0.999999998997691,0.999979932708145,0.999999999999348,0.936462855435791,0.95638500756799,0.0383950555150044,0.999999993850751,0.882368672916539,0.125174208856663,0.997530074930419,0.292842047378082,0.973501799849117,319.3457,114.053,393.7623,228.2894,185.408831578947,292.930825,260.54155,299.7398,305.6636,213.551961751152,NA,NA,116.4858,NA,14.6789933027954,39.0592739410508,49.39435,42.3147238015682,NA,5.16189334797633,319.3457,114.053,335.5194,228.2894,145.9081,184.885125,235.844375,237.6987,305.6636,156.7144,319.3457,114.053,452.0052,228.2894,216.99575,363.3805,285.238725,324.4291,305.6636,266.1538,1,1,2,1,19,8,2,5,1,217
"ZNF506",0.999096693471783,0.984107169160719,0.999999962103702,0.923507092635243,0.999703272350121,0.999954491949557,0.347846098757426,0.944959529487105,0.907761800417858,0.999991939271427,0.982610543667549,0.999999999941093,0.99999998547956,0.999007291279254,0.0949675535346693,0.542525097245304,0.969931488642506,0.972034140696183,0.999986764905012,0.999999998934343,0.779942436142175,0.704296359935815,0.997062108854994,0.998470748488279,1,0.998323352874436,0.902205715273026,0.99979369296248,0.999999991247638,0.99992666221506,0.997093666630621,0.97003832334344,0.530428817623104,0.997586563323617,0.700684066821777,0.85110948617694,0.388817112207137,0.964406277829773,0.939903405998641,0.999999412117424,0.999965819809345,0.0600173156457826,0.999999078887115,0.999769924235896,0.580929188822503,701.0028,493.279,437.54485,312.2011,226.372694736842,469.84855,203.69395,306.2064,646.4034,250.0484640553,NA,NA,42.13875,NA,29.2695358518997,228.455832649377,110.50605,21.4092033332397,NA,11.4536109291342,701.0028,493.279,416.475475,312.2011,152.70915,61.612475,148.440925,279.3338,646.4034,132.5209,701.0028,493.279,458.614225,312.2011,301.43435,502.543125,258.946975,322.5663,646.4034,322.593,1,1,2,1,19,8,2,5,1,217
"ZNF324",0.983197134122881,0.999746891431621,0.999759706484652,0.955828363191443,0.999999997029804,0.997817343465782,0.99963131503818,0.997475395556631,0.999999999789161,0.984374201899517,1,0.902663297202625,0.993082749455396,0.792456292515718,0.842066482949159,0.999803940243932,0.999692000379049,1,0.997393947071572,0.999999999983509,0.994512362586794,0.999996410327614,0.989153315090515,0.999991599995898,0.959220755673294,0.99995481372819,0.999306280910189,0.999995377617657,0.0969871927057318,0.0025717051354871,0.0026822855794264,0.00128888166398655,0.000151599193113805,0.00398537089298612,0.00289147386240185,0.00149393697137901,0.999999997130034,0.928306144140376,0.997354470927766,0.826596426475515,0.488548849719927,0.99998749621694,0.998056284351846,0.999921974151171,0.000853330123539275,213.4164,87.169,150.09405,67.2528,157.886015789474,212.3992,152.01915,179.04442,548.8231,199.355185714286,NA,NA,18.48675,NA,12.8419279568036,24.4363307980731,14.89325,48.0352139941564,NA,5.57382263947868,213.4164,87.169,140.850675,67.2528,111.82285,194.624275,144.572525,130.6286,548.8231,135.1956,213.4164,87.169,159.337425,67.2528,199.33005,251.977575,159.465775,199.483,548.8231,249.1499,1,1,2,1,19,8,2,5,1,217
