"gene","p-adj-classical-basal","p-adj-primitive-basal","p-adj-primitive-classical","p-adj-secretory-basal","p-adj-secretory-classical","p-adj-secretory-primitive","mean-basal","mean-classical","mean-primitive","mean-secretory","SEM-basal","SEM-classical","SEM-primitive","SEM-secretory","Q1-basal","Q1-classical","Q1-primitive","Q1-secretory","Q3-basal","Q3-classical","Q3-primitive","Q3-secretory","count-basal","count-classical","count-primitive","count-secretory"
"ZNF195",0.164145997553217,6.76608510397081e-06,0.00204047127184326,0.814849476815454,0.676705631567381,0.000173028856208512,282.654683333333,335.667769230769,442.950625925926,307.267193023256,16.5885467858575,14.2998859621591,36.3170707870274,18.5297605880493,206.979575,246.4833,311.7028,210.1356,319.201275,406.0052,554.42745,375.88915,42,65,27,43
"ZNF263",0.0416218817828017,0.052509549737322,0.965465535581739,0.999966911220349,0.04512796431391,0.0563894795204301,596.142621428571,733.85864,761.9763,598.697637209302,27.4881862580393,26.9650927550763,97.3513569756425,21.2123119523226,468.612325,576.1846,476.5332,487.98015,698.364725,873.6784,856.82965,672.33025,42,65,27,43
"ZNF200",0.691451691391914,0.841222209326925,0.999932313456241,0.996315911713895,0.534764566232268,0.73536593337789,266.564416666667,288.991116923077,287.637788888889,261.677304651163,15.0919097786357,12.4437609046694,25.0112083157822,14.2568131737335,195.5799,224.6942,207.417,200.6945,313.560475,350.9741,326.1644,306.721,42,65,27,43
"ZNF582",0.0781122897777212,0.978048511412379,0.350665986954087,0.94947772444549,0.259470808843108,0.999862290385619,32.7308119047619,21.5416630769231,30.413,29.9957651162791,4.15377408993453,2.5354419537602,5.20579824601973,3.27020446482641,12.432675,7.8106,7.85105,14.0194,52.164425,31.6484,48.93155,43.9904,42,65,27,43
"ZNF285",7.87759880673811e-05,0.700246330719935,0.0370377627969434,0.430248636409753,0.0257171305035938,0.994424663255564,40.8103214285714,14.1693292307692,32.7874814814815,30.9362372093023,6.47704579949649,1.95159937925642,7.02593593574493,4.28942276089494,9.322625,4.451,4.403,11.2689,70.82125,16.2011,46.68995,46.35395,42,65,27,43
"ZNF275",0.029691825510448,0.135365088962195,0.999863226636408,0.306372427640495,0.81052282828842,0.917433566221627,516.047019047619,671.383192307692,666.718537037037,622.219527906977,33.3571085575577,41.5002623568118,59.1346346838633,34.5334553738384,340.166625,491.4428,479.68505,475.7749,617.235875,816.2577,889.25935,745.9098,42,65,27,43
"ZNF37A",0.934433505736837,0.380861143719561,0.619512380938116,0.182720463374002,0.359524355050147,0.997880668124962,263.395145238095,278.448038461538,314.123659259259,319.83941627907,18.1187946599334,15.3749729816638,29.9682054653318,19.3467780148193,149.745225,189.4453,213.54495,206.4047,368.659775,331.1132,381.0539,390.44385,42,65,27,43
"ZNF510",1.86316397281505e-05,0.00241610549738069,0.990666728055485,0.0193442754383029,0.376969132918955,0.744883167652677,167.853561904762,237.898935384615,232.869648148148,214.692460465116,7.11035521402362,10.4170338175907,16.4453835142218,10.6408543799175,141.210075,177.8135,162.7162,170.27205,197.06195,285.9918,272.76255,268.09905,42,65,27,43
"ZNF506",0.999860631171908,0.348634316912896,0.314211341505408,0.340140976809823,0.288897406656884,0.997676313960943,230.519757142857,233.139846153846,304.831122222222,296.497986046512,23.5166882456265,17.1835739628441,52.5664834422765,29.6153787811478,119.1554,131.6757,109.65815,186.59345,302.28105,309.633,405.4764,353.2479,42,65,27,43
"ZNF324",0.381029998545356,0.993788426123634,0.345648882241298,0.935840877709826,0.770109031644091,0.863236018559244,208.98205,181.354829230769,214.583814814815,197.875023255814,16.9624445149996,8.95627100053465,15.4353916296493,13.2849459983593,143.142475,130.0316,171.7782,161.9037,252.735725,212.301,262.4783,230.3738,42,65,27,43
