"gene","p-adj-C10-GBM-C1-LUAD-enriched","p-adj-C2-Squamous-like-C1-LUAD-enriched","p-adj-C2-Squamous-like-C10-GBM","p-adj-C4-BRCA/Basal-C1-LUAD-enriched","p-adj-C4-BRCA/Basal-C10-GBM","p-adj-C4-BRCA/Basal-C2-Squamous-like","p-adj-C8-BLCA-C1-LUAD-enriched","p-adj-C8-BLCA-C10-GBM","p-adj-C8-BLCA-C2-Squamous-like","p-adj-C8-BLCA-C4-BRCA/Basal","mean-C1-LUAD-enriched","mean-C10-GBM","mean-C2-Squamous-like","mean-C4-BRCA/Basal","mean-C8-BLCA","SEM-C1-LUAD-enriched","SEM-C10-GBM","SEM-C2-Squamous-like","SEM-C4-BRCA/Basal","SEM-C8-BLCA","Q1-C1-LUAD-enriched","Q1-C10-GBM","Q1-C2-Squamous-like","Q1-C4-BRCA/Basal","Q1-C8-BLCA","Q3-C1-LUAD-enriched","Q3-C10-GBM","Q3-C2-Squamous-like","Q3-C4-BRCA/Basal","Q3-C8-BLCA","count-C1-LUAD-enriched","count-C10-GBM","count-C2-Squamous-like","count-C4-BRCA/Basal","count-C8-BLCA"
"ZNF195",0.987146917593091,0.455322187046792,0.999999181871533,0.986580595131412,0.951416887494005,0.914342787239127,0.632772954218332,0.59126482451346,0.405771311271458,0.968815362861028,365.760346428571,315.35065,319.595405365854,436.6599,560.4128,39.6701162428583,41.35555,8.72097143977673,NA,NA,215.387225,294.672875,230.6276,436.6599,560.4128,469.916225,336.028425,376.1153,436.6599,560.4128,28,2,205,1,1
"ZNF263",0.993647953016478,0.995911803826705,0.983665474663749,0.999990622274519,0.999750444068399,0.999866105381747,0.999021699343505,0.990483717724156,0.999725010325332,0.999223054796035,663.547371428571,585.90345,682.61119804878,642.7984,730.332,46.7762242093707,230.08725,17.8139173254657,NA,NA,485.019825,470.859825,522.414,642.7984,730.332,775.30875,700.947075,796.7279,642.7984,730.332,28,2,205,1,1
"ZNF200",0.915228847302518,0.791555976467085,0.755278716067332,0.61064081671111,0.440410974304612,0.738357029547905,0.998411046389236,0.944547780084062,0.999994709185191,0.92513328930228,250.030903571429,187.35405,272.984853658537,396.7413,280.0117,16.5095433768231,16.91175,7.18645993038312,NA,NA,183.4865,178.898175,206.5563,396.7413,280.0117,303.108275,195.809925,317.3662,396.7413,280.0117,28,2,205,1,1
"ZNF582",0.0766291179363965,0.220532208753772,0.0111440394770377,0.986619814427251,0.286194047792213,0.999984241315146,0.181171005302579,0.998475687097202,0.0627497336510165,0.292963448774051,34.5596571428571,77.629,24.8927853658537,22.8106,85.6781,5.07628464259087,34.5609,1.53413537403797,NA,NA,16.125625,60.34855,8.8981,22.8106,85.6781,44.3097,94.90945,35.6412,22.8106,85.6781,28,2,205,1,1
"ZNF285",0.99582175918026,0.00114803987141732,0.568028167359671,0.890905940962261,0.983405975219409,0.427130862602595,0.326334002508489,0.662747732283812,0.0565706272669073,0.956191653350978,47.2361857142857,55.25895,24.1527629268293,74.5418,103.5926,7.10944333131339,13.42135,1.96136320373205,NA,NA,19.12665,48.548275,5.7088,74.5418,103.5926,63.139625,61.969625,33.5941,74.5418,103.5926,28,2,205,1,1
"ZNF275",0.864724600315461,0.356547647513035,0.988420744272698,0.871202506798976,0.637660420653878,0.662227803864856,0.999145235450889,0.932811334594333,0.971532265295361,0.985904141441601,544.593625,743.0326,646.974969268293,272.9124,474.3452,48.3196769689244,439.9042,19.3499166465225,NA,NA,370.056275,523.0805,491.4428,272.9124,474.3452,646.84035,962.9847,792.0092,272.9124,474.3452,28,2,205,1,1
"ZNF37A",0.999999660882256,0.629598192842875,0.992688682510535,0.966456381102805,0.985338033523563,0.880514313582289,0.999874345385857,0.999890139475696,0.999944497806597,0.978124665547352,281.177764285714,276.9115,328.207789268293,170.6721,307.2729,25.9845523886684,13.9911,11.9356788330486,NA,NA,173.427975,269.91595,214.2857,170.6721,307.2729,337.760825,283.90705,406.8522,170.6721,307.2729,28,2,205,1,1
"ZNF510",0.0265967046606732,0.998418502226003,0.015860364682168,0.696830716550631,0.0378836088122707,0.720490192537349,0.735725767935142,0.942080137640296,0.688952021289772,0.369031566525477,219.327682142857,393.7623,214.62564097561,114.053,319.3457,16.7656644121473,116.4858,5.46520766204023,NA,NA,163.831875,335.5194,154.6382,114.053,319.3457,262.621175,452.0052,267.3447,114.053,319.3457,28,2,205,1,1
"ZNF506",0.612828144582946,0.876772005741407,0.752902686020487,0.695852404756084,0.999444551476951,0.795006140559719,0.150261627175607,0.828797514773162,0.207349559841504,0.951522938288856,225.195971428571,437.54485,264.202204878049,493.279,701.0028,29.4287692898053,42.13875,14.6471776014934,NA,NA,103.818475,416.475475,134.5026,493.279,701.0028,295.518675,458.614225,330.9833,493.279,701.0028,28,2,205,1,1
"ZNF324",0.980226815723837,0.919214962559165,0.925272989725243,0.785978992405147,0.973487718069675,0.676744562210925,0.997322429560973,0.972870658841842,0.999809788254938,0.827185722522658,184.820392857143,150.09405,199.014845853659,87.169,213.4164,18.9073987064539,18.48675,5.73895883238726,NA,NA,116.12075,140.850675,135.4343,87.169,213.4164,217.559,159.337425,244.4532,87.169,213.4164,28,2,205,1,1
"ZNF671",0.055370249877647,0.203631490886881,0.00700051727236384,0.998523343317575,0.343131703492029,0.999910417816101,0.911185027630866,0.894529383665314,0.68866500275555,0.92278670726136,100.793017857143,215.7673,75.7177219512195,83.9104,151.4945,15.4967472241605,9.00710000000001,3.77910911868638,NA,NA,41.64185,211.26375,37.6418,83.9104,151.4945,118.259525,220.27085,96.0769,83.9104,151.4945,28,2,205,1,1
