"gene","p-adj-C10-GBM-C1-LUAD-enriched","p-adj-C2-Squamous-like-C1-LUAD-enriched","p-adj-C2-Squamous-like-C10-GBM","p-adj-C4-BRCA/Basal-C1-LUAD-enriched","p-adj-C4-BRCA/Basal-C10-GBM","p-adj-C4-BRCA/Basal-C2-Squamous-like","p-adj-C8-BLCA-C1-LUAD-enriched","p-adj-C8-BLCA-C10-GBM","p-adj-C8-BLCA-C2-Squamous-like","p-adj-C8-BLCA-C4-BRCA/Basal","mean-C1-LUAD-enriched","mean-C10-GBM","mean-C2-Squamous-like","mean-C4-BRCA/Basal","mean-C8-BLCA","SEM-C1-LUAD-enriched","SEM-C10-GBM","SEM-C2-Squamous-like","SEM-C4-BRCA/Basal","SEM-C8-BLCA","Q1-C1-LUAD-enriched","Q1-C10-GBM","Q1-C2-Squamous-like","Q1-C4-BRCA/Basal","Q1-C8-BLCA","Q3-C1-LUAD-enriched","Q3-C10-GBM","Q3-C2-Squamous-like","Q3-C4-BRCA/Basal","Q3-C8-BLCA","count-C1-LUAD-enriched","count-C10-GBM","count-C2-Squamous-like","count-C4-BRCA/Basal","count-C8-BLCA"
"ZNF416",0.954227862884922,0.999999893994177,0.947352296592368,0.792963555950524,0.654434676056056,0.786542002529735,0.590956050586229,0.934073512252602,0.57313443358933,0.342599302662208,148.800435714286,181.90625,148.465115121951,75.7637,243.4038,10.273620595457,1.84065000000001,4.54421340953898,NA,NA,115.7173,180.985925,97.7301,75.7637,243.4038,176.867025,182.826575,189.9543,75.7637,243.4038,28,2,205,1,1
"ZNF586",0.868017659432818,0.909870114109589,0.942934436355746,0.998342171118288,0.997263587076246,0.999943215004684,0.909809238307396,0.69274141289231,0.831423496834827,0.919889768752608,205.692067857143,131.4409,187.51313804878,174.3381,297.5368,20.8158408430732,43.7027,7.25522164754759,NA,NA,136.9393,109.58955,121.0714,174.3381,297.5368,293.831075,153.29225,234.4633,174.3381,297.5368,28,2,205,1,1
"ZNF446",1,0.479577069061239,0.99062888030805,0.973490401953641,0.986718858984103,0.998422811924106,0.364846002852765,0.555498206037596,0.19296243551007,0.406786200024127,222.773560714286,222.72535,196.446709756098,173.055,371.1849,21.7320502257004,31.59325,5.20127471393952,NA,NA,137.1584,206.928725,141.7534,173.055,371.1849,281.5239,238.521975,238.8109,173.055,371.1849,28,2,205,1,1
"ZNF8",0.508873076601175,0.0161471853643993,0.946519253295384,0.553675531381426,0.997928540926694,0.894072214172876,0.999626747668793,0.79866595707415,0.919009862402884,0.730480920996444,139.774971428571,79.70725,106.992367804878,59.9063,150.4235,13.0338825221776,8.12805,3.43643464865617,NA,NA,96.80585,75.643225,71.9278,59.9063,150.4235,173.350425,83.771275,131.7508,59.9063,150.4235,28,2,205,1,1
"ZNF264",0.993484858550618,0.764864595328199,0.999978522616594,0.926107015187703,0.886136524236187,0.825263020357876,0.675766033077767,0.91434764757375,0.801706290508019,0.537857477015168,598.42015,691.7324,670.44747902439,346.6395,1008.2757,52.090431531496,67.4965,21.51819212347,NA,NA,418.51195,657.98415,433.3454,346.6395,1008.2757,737.144225,725.48065,848.0463,346.6395,1008.2757,28,2,205,1,1
"ZNF213",0.999999965124073,0.516686416588527,0.993124294183869,0.623055059398703,0.761763343915062,0.40820039220767,0.984459861702018,0.991464255336239,0.913953116793662,0.969464691155709,521.309160714286,518.42985,458.26316195122,806.5173,628.1764,47.0364774616319,73.80315,13.3970275278737,NA,NA,350.918475,481.528275,333.4668,806.5173,628.1764,682.83605,555.331425,540.842,806.5173,628.1764,28,2,205,1,1
"ZNF343",0.999960705008138,0.000649210605606187,0.840465534987079,0.999904134120313,0.999720736227222,0.872396168783447,0.9998830604073,0.999682961773921,0.86921816217115,0.999999999821598,189.248310714286,199.46035,288.637991219512,171.4868,170.5774,14.3966238519545,49.51425,8.84495164729717,NA,NA,135.567875,174.703225,196.3057,171.4868,170.5774,223.29715,224.217475,362.1251,171.4868,170.5774,28,2,205,1,1
"ZNF302",0.447673582507635,0.969483405446852,0.314219381093366,0.97892468228925,0.984332370719699,0.954365334128808,0.999920717466873,0.900039351301376,0.998890460773635,0.997888474579582,397.797253571429,620.0199,374.744573170732,503.055,422.9384,33.5841735791501,5.49279999999999,12.6714551309775,NA,NA,255.98,617.2735,250.4425,503.055,422.9384,490.525725,622.7663,453.8716,503.055,422.9384,28,2,205,1,1
"ZNF268",0.782993463140804,0.825875474982024,0.905054657296235,0.941812912326437,0.999998271510682,0.980895792477556,0.940203035184375,0.679261054652728,0.859414854604935,0.807749836866805,335.188885714286,225.8227,307.244853170732,234.2159,436.9584,26.8053883690648,39.5588,9.03354234104036,NA,NA,256.8812,206.0433,222.607,234.2159,436.9584,369.9359,245.6021,376.8669,234.2159,436.9584,28,2,205,1,1
"ZNF184",0.993629570496956,0.652468244388327,0.925566577844204,0.995156765423997,0.979015107917023,0.999952086041528,0.977571953764929,0.999324626033137,0.909356744816954,0.956631972193096,294.410185714286,328.31445,263.929495609756,250.5092,360.2376,30.3151249405107,115.08175,7.15421578097401,NA,NA,184.761575,270.773575,187.3581,250.5092,360.2376,378.291125,385.855325,311.0932,250.5092,360.2376,28,2,205,1,1
"ZNF500",0.996999370577644,0.999534945792794,0.998382158632912,0.998286143609156,0.999999291568232,0.999004085669064,0.449374708424429,0.499054930645067,0.407461636772047,0.61426115170156,210.916614285714,188.6664,207.106271707317,184.1141,362.1848,20.1040557829453,68.0758,5.99858961023689,NA,NA,131.6655,154.6285,153.7203,184.1141,362.1848,255.848575,222.7043,246.8708,184.1141,362.1848,28,2,205,1,1
"ZNF419",0.991981021750943,0.758939846670574,0.999953370102306,0.993753378555488,0.999990620687902,0.999749237489853,0.999999999082746,0.999017616796149,0.999371401998526,0.998385454645296,177.041242857143,152.13875,158.673228780488,144.6029,176.419,13.128571622154,0.0351500000000016,5.44217491057432,NA,NA,125.0211,152.121175,107.9924,144.6029,176.419,223.29645,152.156325,200.2166,144.6029,176.419,28,2,205,1,1
"ZNF175",0.421655321895588,0.429741360645127,0.697471172550814,0.998974006196135,0.723913950326678,0.973631836724735,0.915749434489121,0.997526713318482,0.985755342324496,0.931333737053535,100.444278571429,180.9088,122.423467317073,83.5031,155.389,14.8513152675726,5.35510000000001,4.31124174696686,NA,NA,45.0851,178.23125,74.0361,83.5031,155.389,142.680075,183.58635,168.0642,83.5031,155.389,28,2,205,1,1
"ZNF14",0.885228295037559,0.973113257113379,0.93506985474254,0.999885558123594,0.992785844837136,0.999999831668115,0.495938296737674,0.936789383611082,0.559578338733844,0.833215251705128,172.210996428571,252.4899,186.758197073171,190.224,364.9109,19.4943608269401,21.1527,8.38784233737993,NA,NA,113.818575,241.91355,124.5707,190.224,364.9109,209.128975,263.06625,224.803,190.224,364.9109,28,2,205,1,1
"ZNF85",0.999999518639361,0.999998068207908,0.99999798022251,0.993605852938473,0.997599782490103,0.992536657633561,0.994064452272811,0.997786576018847,0.993057196857637,0.999999999747279,77.3750678571429,79.72915,76.45774,113.2383,112.5499,15.2107046314552,23.63425,5.94281319207952,NA,NA,15.385575,67.912025,27.1059,113.2383,112.5499,114.4065,91.546275,97.6594,113.2383,112.5499,28,2,205,1,1
"ZKSCAN1",0.999789919780673,0.291171694632373,0.948219491938163,0.987907136962756,0.998091000839206,0.898861217739172,0.995463685731212,0.993351152391238,0.999999999807353,0.97009907110515,643.177375,590.69085,804.864684878049,437.0672,802.6482,67.0258000436975,113.16475,29.1934799267786,NA,NA,357.10095,534.108475,539.1907,437.0672,802.6482,903.764775,647.273225,953.907,437.0672,802.6482,28,2,205,1,1
"ZNF862",0.0158725452061509,0.99323615424496,0.0171656472842736,0.999869615366737,0.264691021565614,0.999231444852837,0.844467601868147,0.841067148166304,0.875351349169152,0.915234334110467,272.513992857143,641.42035,286.184512682927,247.2505,439.2951,37.4904739299897,129.52535,10.7746980806225,NA,NA,109.680625,576.657675,163.7529,247.2505,439.2951,437.6677,706.183025,376.8799,247.2505,439.2951,28,2,205,1,1
"ZNF684",0.434341779635807,0.388541009128211,0.162467403451511,0.316571655167775,0.979687445293725,0.150708470727896,0.999934950278915,0.893113510087189,0.988267964749225,0.704668612175974,61.17845,101.14895,49.6847136585366,123.4216,65.4269,5.98427177093416,23.62635,2.24343507629665,NA,NA,36.61085,89.335775,32.1229,123.4216,65.4269,80.390475,112.962125,58.0711,123.4216,65.4269,28,2,205,1,1
"ZNF430",0.999785943297197,0.106789940213797,0.905971701474503,0.999983592578377,0.999999852117409,0.977156456846039,0.715044164446908,0.777868882461346,0.933640399599465,0.866646800698841,103.5599,90.0286,155.462288292683,93.6864,238.7304,17.8160464678763,40.4062,7.46209567988294,NA,NA,44.269775,69.8255,96.0777,93.6864,238.7304,123.835975,110.2317,182.1632,93.6864,238.7304,28,2,205,1,1
"ZFP30",0.919329824319703,0.977950582731055,0.84363291155149,0.999759784735673,0.966603082782917,0.999995405184126,0.993995474179721,0.999859181805064,0.983806488611288,0.993114082396941,229.483842857143,308.5362,214.384955121951,205.7026,283.5167,28.3051904775906,107.1416,8.81347902991115,NA,NA,117.317675,254.9654,131.8975,205.7026,283.5167,322.8972,362.107,263.6967,205.7026,283.5167,28,2,205,1,1
"ZNF549",0.999995198672117,0.0259705115619208,0.937281409176197,0.759481388711684,0.878961973839293,0.974300774172829,0.996690403459643,0.997333704263633,0.873958553019859,0.802894923070388,211.742771428571,206.39085,146.863372195122,81.4664,250.4138,23.7609506169293,47.09565,7.37064939827272,NA,NA,137.57455,182.843025,68.9496,81.4664,250.4138,263.141975,229.938675,196.2537,81.4664,250.4138,28,2,205,1,1
"ZNF211",0.999998152213252,0.838212665098261,0.999275177671982,0.99345453253662,0.997795463857612,0.999494218784539,0.164940353154307,0.318966419660649,0.0955920021396167,0.308496195872176,205.845860714286,201.85195,184.485585853659,162.1181,440.1869,18.9799694443553,11.85195,7.17853803073701,NA,NA,139.068975,195.925975,114.5848,162.1181,440.1869,236.555575,207.777925,237.4834,162.1181,440.1869,28,2,205,1,1
"ZNF205",0.596254970001407,0.0112265683739698,0.979329217153246,0.520430021715867,0.195630482062742,0.167046061925938,0.999837254118912,0.854048046395022,0.923964365679338,0.850905236529824,282.867714285714,180.85435,219.773163414634,436.1507,298.9037,22.475240125836,24.43515,6.49037473806034,NA,NA,223.265925,168.636775,160.939,436.1507,298.9037,302.9734,193.071925,261.9656,436.1507,298.9037,28,2,205,1,1
"ZNF45",0.989966053067859,0.941459661278548,0.998857157803204,0.98127714446213,0.999763069551924,0.994024119858381,0.99997138418954,0.999690133126988,0.999999032005882,0.997634685854122,280.708046428571,242.4614,263.658135121951,217.9226,268.7177,28.0196909404474,109.0562,7.33963604816283,NA,NA,179.53645,187.9333,189.5996,217.9226,268.7177,322.32945,296.9895,325.4552,217.9226,268.7177,28,2,205,1,1
"ZNF133",0.975736487971867,0.460360378127062,0.999908050326576,0.97546673380387,0.999912233340731,0.998791027438771,0.999911969856861,0.989766161545958,0.989425357435775,0.984140483118585,304.546078571429,367.44035,352.871185365854,392.2607,283.9061,26.3966273026856,68.01455,10.143884341299,NA,NA,202.78935,333.433075,253.4172,392.2607,283.9061,432.30795,401.447625,410.158,392.2607,283.9061,28,2,205,1,1
"ZNF436",0.999903187132562,0.000276134815145213,0.825700728239103,0.994818728527749,0.993785737076105,0.716470545660526,0.00157835192983413,0.0188563787048704,0.0230816877081131,0.0222598086017005,533.678389285714,569.99495,830.352722439024,394.9002,1875.9303,50.9112154306997,2.55444999999997,24.7677485885622,NA,NA,312.821,568.717725,583.1107,394.9002,1875.9303,667.0538,571.272175,1003.7313,394.9002,1875.9303,28,2,205,1,1
"ZNF484",0.905127061273682,0.999981374001791,0.905336969981407,0.895291171911934,0.706838905517494,0.882396460660033,0.87683470842327,0.998903863177227,0.878757702333519,0.670280905289801,107.024878571429,136.8051,107.913984390244,64.3585,151.8839,10.0227343239627,11.7026,3.18091427336198,NA,NA,69.378875,130.9538,76.9174,64.3585,151.8839,132.920425,142.6564,131.8584,64.3585,151.8839,28,2,205,1,1
"ZNF780B",0.484585160497647,0.371798554793836,0.774764894063261,0.9347484500631,0.997793609303639,0.992595258996733,0.985214204697569,0.983409906349369,0.999831426388279,0.999705519382753,205.068017857143,400.95045,265.13396195122,336.8635,292.474,18.3927373311089,147.05385,11.9917146301819,NA,NA,128.2948,327.423525,164.238,336.8635,292.474,299.0181,474.477375,304.6812,336.8635,292.474,28,2,205,1,1
"ZNF557",0.992309122299839,0.116762038641578,0.999359777480969,0.998124507018739,0.985841236483973,0.932476581046879,0.666549524079036,0.913980442283996,0.905365153144314,0.761008852901933,156.829239285714,189.73375,206.615218536585,125.0509,296.7579,16.1649590121243,23.96605,7.32546846632094,NA,NA,101.971375,177.750725,139.6383,125.0509,296.7579,171.3731,201.716775,248.6295,125.0509,296.7579,28,2,205,1,1
"ZNF337",0.97082632158361,0.111940302128831,0.999999185386238,0.969182194435457,0.895993446775022,0.789108974621735,0.980334238530855,0.917525777038777,0.827576755658971,0.999998244047827,358.837957142857,454.45315,460.900374634146,223.8697,239.4197,36.4277907199521,6.67894999999999,14.7582289390392,NA,NA,206.243025,451.113675,305.4399,223.8697,239.4197,433.468525,457.792625,548.4278,223.8697,239.4197,28,2,205,1,1
"ZNF317",0.999244062932332,0.0235031839905286,0.973925492738191,4.22643987647575e-05,0.00194019456631822,0.000407267740591633,0.719274437116139,0.897393717949742,0.963215366642721,0.0976449112728119,587.768621428571,642.158,774.828573170732,2061.9145,980.6251,50.2725835521749,228.6377,21.8431153267719,NA,NA,442.7085,527.83915,589.9508,2061.9145,980.6251,651.250425,756.47685,907.3711,2061.9145,980.6251,28,2,205,1,1
"ZNF426",0.997568694640412,0.480801016916507,0.931366230182042,0.836722293161312,0.827653334004343,0.949810449969539,0.813287690065698,0.807799008314985,0.9373250642449,0.999999696683525,119.702367857143,101.5442,144.730118536585,200.4073,204.0697,13.0148572982419,46.528,5.39620036645592,NA,NA,78.004075,78.2802,94.3402,200.4073,204.0697,134.6545,124.8082,184.2697,200.4073,204.0697,28,2,205,1,1
"ZNF331",0.997714871678729,0.00471813460435289,0.963097791764959,0.608092824326907,0.640701279182777,0.198727030292992,0.896113542108931,0.980880683213149,0.999579428925737,0.449128206284101,561.693589285714,497.62045,367.85598195122,960.0815,310.7779,61.1903596810853,101.80425,18.6219569318878,NA,NA,333.9755,446.718325,208.0313,960.0815,310.7779,652.7348,548.522575,453.9239,960.0815,310.7779,28,2,205,1,1
"ZNF227",0.991407400779947,0.563306869537633,0.999999461996853,0.999987772376404,0.997086330090833,0.995154519197295,0.952944568686889,0.909869441824047,0.842541327792733,0.991274950263348,312.641642857143,273.55235,276.84866097561,322.9572,398.7888,28.1166462761334,60.31965,7.95720048767971,NA,NA,214.22875,243.392525,192.5041,322.9572,398.7888,406.534475,303.712175,328.2876,322.9572,398.7888,28,2,205,1,1
"ZNF141",0.999879434961812,0.458460719347638,0.997847361990327,0.999993746326093,0.999999797550541,0.998974428672063,0.975870897861723,0.977275945674053,0.881994879213734,0.989150301672786,65.5771214285714,60.6609,50.7615336585366,62.3218,92.2987,5.10831572827272,27.4369,3.21388621918741,NA,NA,48.984325,46.94245,33.9042,62.3218,92.2987,75.964275,74.37935,57.6779,62.3218,92.2987,28,2,205,1,1
"ZNF304",0.996431266584212,0.998311538048471,0.998534680738224,0.887642600375795,0.981508653126431,0.904791274006667,0.983911516775202,0.965187357302787,0.974946704641245,0.832750110648841,357.175192857143,316.4254,347.916992195122,211.4053,441.2423,27.5568860413884,15.8141,10.9424884977595,NA,NA,259.600725,308.51835,234.8893,211.4053,441.2423,421.794925,324.33245,434.0176,211.4053,441.2423,28,2,205,1,1
"ZNF132",0.000303079525087124,0.993722038222691,0.000291047080753226,0.831262444337311,0.00679846431942499,0.779446550133787,0.0795529136144547,0.994452585870616,0.0886947021179271,0.0727421382677558,58.8555071428571,186.0789,62.2829263414634,15.0713,165.904,6.43086793433108,72.4612,2.88113741510141,NA,NA,35.85775,149.8483,33.2835,15.0713,165.904,86.437775,222.3095,79.1773,15.0713,165.904,28,2,205,1,1
"ZNF20",0.996147017709465,0.999916475617814,0.993669067206974,0.998744209043819,0.999999998146909,0.998064816954095,0.0210047886744067,0.0489497530407057,0.0198583600222472,0.120017925364667,105.760285714286,93.7003,107.016964390244,93.1772,245.6898,10.9897066959596,19.6262,3.0060047950806,NA,NA,59.433225,83.8872,77.1392,93.1772,245.6898,132.601975,103.5134,130.3698,93.1772,245.6898,28,2,205,1,1
"ZNF670",0.898301519033678,0.452154846392995,0.991627074014023,0.97388932993453,0.999999792634078,0.998650000551373,0.998007031851656,0.998675999621259,0.999999939840214,0.999527540746392,112.294096428571,79.53225,95.4399380487805,81.4216,96.5748,11.5478828399826,14.80735,3.38149034425148,NA,NA,70.0673,72.128575,60.6576,81.4216,96.5748,157.397175,86.935925,115.5836,81.4216,96.5748,28,2,205,1,1
"ZFP37",0.0220617104840346,0.987604966460059,0.0107432051162348,0.663660634070511,0.0300352571932696,0.712833989592132,0.0182717584583884,0.941420945008123,0.0115511654944124,0.0134902354513774,70.3176178571429,173.35265,65.680367804878,6.9246,216.532,10.7247437221586,73.68075,3.09331395147292,NA,NA,18.08565,136.512275,31.1193,6.9246,216.532,96.063375,210.193025,89.009,6.9246,216.532,28,2,205,1,1
"ZNF189",0.92352907139739,0.0761335707307536,0.999962108192716,0.906429963975343,0.741413132880249,0.624074727966687,0.955394622594279,0.999982490351532,0.999675584376987,0.787691573578365,360.783253571429,466.63555,452.434321463415,204.4807,486.8075,26.5918513001203,33.90385,12.59859056982,NA,NA,264.37015,449.683625,319.2771,204.4807,486.8075,408.93405,483.587475,544.239,204.4807,486.8075,28,2,205,1,1
"ZNF434",0.991263190221646,0.999979759897081,0.987850473407339,0.601676067674745,0.584112252785905,0.600104442885273,0.967685129868387,0.928733708658098,0.969419393936274,0.97874423935767,354.009442857143,316.3575,356.231487317073,520.5703,428.3906,20.9182452239245,101.8374,7.94562409671585,NA,NA,259.95255,265.4388,278.471,520.5703,428.3906,421.574225,367.2762,403.7456,520.5703,428.3906,28,2,205,1,1
"ZNF287",6.39576705535605e-05,0.257464580036843,0.000398407449565208,0.944663572103396,0.0075442809549976,0.770183619453855,0.0242454483052291,0.999010449465201,0.0656228462561891,0.0566237572311473,86.4476428571429,267.38305,108.306550243902,45.6212,250.4138,13.4965490229238,86.08695,3.50458908293101,NA,NA,35.648125,224.339575,73.2964,45.6212,250.4138,121.750025,310.426525,129.3706,45.6212,250.4138,28,2,205,1,1
"ZIM3",0.99999997870291,0.977217056081864,0.999743122167129,0.999999994301809,1,0.999934636854368,0.999999994301809,1,0.999934636854368,1,0.0244107142857143,0,0.249334634146341,0,0,0.0244107142857143,0,0.142128955602517,NA,NA,0,0,0,0,0,0,0,0,0,0,28,2,205,1,1
"ZFP14",0.72103098188843,0.999929939375801,0.720998143113408,0.999927468192403,0.968908509461151,0.999967753373396,0.130720116054105,0.744663324835754,0.128039267370361,0.498405084202069,156.464003571429,227.4044,158.532951219512,167.0061,342.323,13.3147909723975,58.8236,5.46816107781356,NA,NA,108.960275,197.9926,109.0935,167.0061,342.323,208.566575,256.8162,199.2018,167.0061,342.323,28,2,205,1,1
"ZNF473",0.944957744997854,0.0496833330848034,0.999999997463935,0.821680408902897,0.99200928048401,0.983816495033366,0.922662657179497,0.999275278650213,0.998556641442491,0.99978235037092,412.283003571429,332.4469,331.382673658537,253.3605,289.7478,43.3150398145698,113.8205,9.14280695521135,NA,NA,238.4325,275.53665,235.8132,253.3605,289.7478,587.968,389.35715,409.4599,253.3605,289.7478,28,2,205,1,1
"ZNF614",0.999998289717461,0.957503941807976,0.999121619602497,0.957879191927176,0.973884121359463,0.980101230991676,0.999997305767225,0.999999978846354,0.999647420726123,0.982958643856677,315.800585714286,322.576,291.039718048781,191.0387,326.3558,34.6107726621507,51.0909,12.3236888262618,NA,NA,197.38775,297.03055,177.0404,191.0387,326.3558,425.5718,348.12145,365.9794,191.0387,326.3558,28,2,205,1,1
"POGK",0.999996345362223,0.942698922629518,0.999887836353061,0.999999998144433,0.99999981689316,0.999907089040265,0.960361506038128,0.984392141735078,0.983100597578991,0.988822400621523,1800.18169285714,1836.408,1919.36313658537,1807.7393,2342.5178,157.704137953481,711.9923,54.0478118846999,NA,NA,1264.656275,1480.41185,1444.8352,1807.7393,2342.5178,2015.879525,2192.40415,2199.5335,1807.7393,2342.5178,28,2,205,1,1
"ZNF514",0.999618610712076,0.961828100917302,0.999999975528996,0.998542016943722,0.996447612468823,0.993141676742379,0.72907813068124,0.893866028497601,0.795099205450868,0.808337774736539,176.969832142857,193.53865,192.106023414634,144.6029,317.3985,18.6531922536369,37.67315,7.90897764163541,NA,NA,86.912775,174.702075,114.55,144.6029,317.3985,232.3525,212.375225,237.4632,144.6029,317.3985,28,2,205,1,1
"ZNF300",0.917493666858414,0.947585831866035,0.819037130358652,0.999998325365163,0.990784703346355,0.999634158991952,0.470917969544966,0.909919906608866,0.366148387469772,0.782031631524561,108.116442857143,162.9106,94.8977156097561,112.831,257.0344,17.9212912154629,32.7416,6.17196629398251,NA,NA,38.9146,146.5398,38.2976,112.831,257.0344,134.734525,179.2814,127.4401,112.831,257.0344,28,2,205,1,1
"RBAK",0.946642158257594,2.14004649856658e-05,0.972702149615463,0.999508965096673,0.971343632837684,0.753545920854585,0.999963201782492,0.996798905754751,0.910436705092674,0.999298127164564,384.864064285714,493.2656,580.539380487805,340.8187,407.8162,20.6838758444137,127.2102,14.6006858737737,NA,NA,324.4488,429.6605,432.0652,340.8187,407.8162,454.7115,556.8707,700.4544,340.8187,407.8162,28,2,205,1,1
"ZNF92",0.995993747049282,0.999850594125352,0.993065952560539,0.868598639089482,0.842845374977327,0.875997642360632,0.999195012256722,0.993160197590989,0.999505692712932,0.985161139950572,233.279967857143,262.40885,229.802197073171,127.0876,206.4064,17.1944769044133,153.09565,7.60172925401064,NA,NA,176.605575,185.861025,160.7362,127.0876,206.4064,278.76905,338.956675,270.7203,127.0876,206.4064,28,2,205,1,1
