"gene","p-adj-T2-T1","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","mean-T1","mean-T2","mean-T3","mean-T4","SEM-T1","SEM-T2","SEM-T3","SEM-T4","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q3-T1","Q3-T2","Q3-T3","Q3-T4","count-T1","count-T2","count-T3","count-T4"
"ZNF195",0.952775712582861,0.244665602582494,0.32760820010063,0.936402399354417,0.811290415938188,0.30639867478419,347.183488495575,338.973637542662,307.381338028169,366.064682608696,12.1382976247469,8.50724952332028,15.9452329680745,32.4388545123898,254.2347,235.3333,214.82365,262.526,410.496,422.4449,364.1793,427.7698,113,293,71,23
"ZNF263",0.0871438219003331,0.126616143514899,0.94966535703949,0.994931501987933,0.461489512350302,0.370419890240889,730.09697079646,670.830959044369,654.658814084507,742.74182173913,20.3071206564723,11.6575978040155,23.8705117556691,108.150221320333,559.5543,524.5738,526.0341,570.86065,864.2311,793.2786,721.98075,744.61815,113,293,71,23
"ZNF200",0.999520165862868,0.922494711425026,0.922856426275127,0.911541450660297,0.87454162104884,0.733157355153508,262.461978761062,261.287110580205,253.286002816901,277.018834782609,8.56586070986238,5.7045046831606,9.74922988732027,28.4051981801657,208.9084,194.5166,196.9132,200.9116,301.5862,309.0068,290.27465,297.1832,113,293,71,23
"ZNF582",0.736281164809185,0.569243752724873,0.925123653849527,0.956345696895006,0.999998114676975,0.987909279520426,25.9293584070796,23.4344037542662,21.6225661971831,23.3515260869565,2.30354580508569,1.20383803402316,2.83947759935294,4.34646887959789,7.6488,7.9757,5.25105,7.8596,37.5909,33.2266,29.7461,33.7614,113,293,71,23
"ZNF285",0.881706778969835,0.99575720800975,0.815158499818381,0.852934510277562,0.61067419366367,0.925296657880407,28.0879769911504,25.4420252559727,29.2114070422535,34.0362130434783,2.93565004788825,1.92706441462134,3.98730338153642,5.2756577609399,5.2693,5.6926,5.15065,15.9939,42.6774,32.6133,41.72695,40.8155,113,293,71,23
"ZNF275",0.712881071131543,0.98659016364917,0.578061628177811,0.853850664716708,0.990301869908805,0.762176282754861,677.96357079646,642.576329351536,693.408050704225,622.809817391304,31.7661224065656,16.5134027823199,38.4747532779303,53.7043935720184,508.3488,440.7526,474.8536,494.92565,834.6251,799.6371,889.7485,625.8127,113,293,71,23
"ZNF37A",0.242579418001953,0.998015491375611,0.289999645229253,0.364476109538844,0.871295533413838,0.344526986528912,390.386725663717,354.436165870307,395.052035211268,325.76582173913,17.1204405462978,9.96950511365925,22.0637124289599,25.3535834373569,249.4322,232.0653,294.6164,235.04465,491.1297,439.8848,476.93005,442.8001,113,293,71,23
"ZNF510",0.844708743350069,0.464215977500232,0.760057749225132,0.990689438679822,0.882696532707659,0.623865571286362,217.661323893805,209.939258020478,198.906488732394,223.476095652174,8.88486176719564,4.79574810196462,9.27979315063898,19.2100812510184,150.3902,148.0077,143.4675,148.30935,264.0236,261.9709,230.90845,254.82635,113,293,71,23
"ZNF506",0.0254190147654657,0.0300415455464929,0.853593598451515,0.381649110593787,0.994974107419658,0.996082777131406,303.814907964602,248.283495221843,229.444521126761,238.950226086957,23.5217995452752,9.01933413520327,15.8705368901625,29.3897071170392,177.8341,137.0717,124.163,134.1757,368.5788,319.6758,311.7715,324.95355,113,293,71,23
"ZNF324",0.671539348862095,0.559978338524725,0.946826221761372,0.870114270910602,0.995669590754046,0.999698507912021,210.017396460177,199.298088737201,193.074761971831,195.015804347826,7.44128361105228,5.11770562053855,9.17397840373382,23.6901928701027,152.9138,135.4343,133.66635,115.3424,249.2997,243.1239,250.09235,236.18835,113,293,71,23
"ZNF671",0.443823300502286,0.744084846375082,0.999715818956379,0.585169218744528,0.939574282430214,0.941011297159002,81.8263628318584,71.6147948805461,72.372014084507,63.9148347826087,6.19688572565083,3.61505259454417,7.03492244759065,9.71558828697879,33.7292,33.6331,30.04245,29.43825,106.0688,93.6052,99.3006,80.3396,113,293,71,23
"ZNF416",0.267805345345411,0.0253710308795793,0.317415824269084,0.94855612295334,0.437801515032638,0.0995091710829971,139.905014159292,128.293282935154,115.188664788732,147.076691304348,5.51814533768754,3.38407754610841,6.4909021063,12.766815100599,94.0246,85.6385,82.0044,101.6495,173.642,162.2821,143.0783,178.8161,113,293,71,23
"ZNF586",0.90583551649336,0.316536033298967,0.0564795883812763,0.0834364476997578,0.135463278278252,0.00486561574390576,172.781113274336,179.793200341297,148.475061971831,223.5857,8.1805930877182,5.66768947366494,8.32650492477047,28.1418005494717,108.6242,119.7133,100.05585,137.11355,223.0543,224.2252,196.3868,256.96705,113,293,71,23
"ZNF446",0.824508988832446,0.193040972161792,0.404357963454542,0.953642578829236,0.753646359931005,0.29680954911347,231.43465840708,221.32444778157,199.505843661972,244.098065217391,8.80184180823191,6.28070486883374,9.62543672666154,38.5168769014453,161.1897,156.0407,150.25055,140.61005,288.3315,262.7404,228.06815,300.79015,113,293,71,23
"ZNF8",0.984237042443453,0.710273679019889,0.793760363430855,0.999759640826748,0.999731860451761,0.935219292768281,117.873474336283,115.54114778157,108.380692957746,116.696630434783,5.11593622272118,3.53036745000233,6.56544439174776,14.2318047946694,80.5017,74.2148,72.1982,72.65805,145.3484,141.294,127.85255,170.6318,113,293,71,23
"ZNF264",0.092570752735499,0.0881069200852891,0.880452000851711,0.670514441047229,0.999999989817482,0.977399340823009,706.680153097345,633.418678498294,605.591304225352,633.231326086957,26.0617564310753,17.1444429044385,29.8738439402996,59.5570202808456,509.1641,429.4368,411.89985,450.1503,883.0655,789.7834,776.2984,826.7075,113,293,71,23
"ZNF213",0.378410076863471,0.862778323606097,0.970335320044856,0.997419181001439,0.927447463093179,0.98979787813191,484.788502654867,452.175586348123,463.026691549296,476.63917826087,16.027980760793,10.4285653660481,21.1842141342686,62.5106250937748,372.549,335.6415,343.04445,315.70355,585.9934,525.1753,530.4474,536.9368,113,293,71,23
"ZNF343",0.417024879223607,0.108764265445444,0.561523804226068,0.999665156853115,0.810858341225459,0.426104669195951,285.292531858407,308.467232081911,331.956178873239,282.244665217391,10.0982641956897,8.09723275233815,20.2284960691098,23.5292787911858,206.599,208.8206,206.8318,222.373,341.4407,375.1156,413.4862,344.5936,113,293,71,23
"ZNF302",0.991319963775463,0.442719366284225,0.207354680235222,0.880548914114763,0.921297083609033,0.352450103492254,425.427354867257,434.217666552901,363.994171830986,471.48327826087,21.6392717012482,17.4076546537537,16.4986273028905,82.3562155412174,282.5212,257.3626,268.3571,289.0587,495.2057,496.6715,446.4609,491.49835,113,293,71,23
"ZNF268",0.984947225633488,0.999063093155777,0.999075535889817,0.390706439257313,0.444733022958293,0.48748470617789,282.063943362832,287.087686006826,284.75106056338,328.578547826087,10.9489320954416,7.57591853896666,16.3084565625645,30.1665306980586,189.1347,200.6786,202.5743,217.7262,355.9955,345.1564,359.42205,386.43125,113,293,71,23
"ZNF184",0.831669253268387,0.733596638942806,0.966336450000943,0.770296855001181,0.936781506672623,0.993094311759014,265.471578761062,255.216041296928,248.472743661972,241.387808695652,9.94683646786555,6.26291764495529,15.6037644774577,14.4161708302501,184.6725,177.0705,160.5624,207.0633,315.38,301.6798,299.1639,274.8855,113,293,71,23
"ZNF500",0.454019969180846,0.307000367207209,0.876018447752864,0.829415688104119,0.998883413951273,0.992145558956517,236.643756637168,222.54807440273,213.963914084507,219.812934782609,6.99573097988922,5.23074808686294,8.93893856202239,25.9752802115337,187.9106,162.5394,165.136,147.97555,291.7991,259.9299,268.0742,241.66305,113,293,71,23
"ZNF419",0.68953301932581,0.363057208176544,0.780991896854384,0.810291999413213,0.436809288753579,0.239469087996748,179.446734513274,169.142712969283,158.580195774648,196.656039130435,7.27886808930195,4.81658758684877,10.535291068634,25.9376859161912,127.6999,114.4206,103.67465,113.1321,218.5478,205.8047,202.49435,229.36375,113,293,71,23
"ZNF175",0.241041881865503,0.361474434414457,0.990556852457145,0.999999997396665,0.774582891225832,0.732893863236069,126.594446902655,113.771773720137,111.313601408451,126.567091304348,6.44343781644425,3.41342822862633,7.56504004756575,13.2677263224051,78.9758,73.7876,66.54655,83.4888,171.6387,152.5011,151.6489,147.887,113,293,71,23
