"gene","p-adj-Prostate Adenocarcinoma, Other Subtype-Prostate Adenocarcinoma Acinar Type","mean-Prostate Adenocarcinoma Acinar Type","mean-Prostate Adenocarcinoma, Other Subtype","SEM-Prostate Adenocarcinoma Acinar Type","SEM-Prostate Adenocarcinoma, Other Subtype","Q1-Prostate Adenocarcinoma Acinar Type","Q1-Prostate Adenocarcinoma, Other Subtype","Q3-Prostate Adenocarcinoma Acinar Type","Q3-Prostate Adenocarcinoma, Other Subtype","count-Prostate Adenocarcinoma Acinar Type","count-Prostate Adenocarcinoma, Other Subtype"
"ZNF195",0.610636575500619,377.654035684647,391.639293333333,4.77332225027601,26.1228839479843,307.62905,295.4856,433.208775,490.62955,482,15
"ZNF263",0.921461601322753,833.003588174274,838.10894,9.03238287877129,42.2136683502053,703.378575,728.84035,932.869825,946.1863,482,15
"ZNF200",0.277923919725599,182.719804149378,197.122133333333,2.27489525374364,17.7557647759193,148.796675,158.72855,208.780825,209.50515,482,15
"ZNF582",0.248406665168363,85.3459406639004,93.7620066666667,1.25941412802104,8.22674914470193,69.029425,73.06915,97.90775,101.1783,482,15
"ZNF285",0.526470559045704,120.468175103734,113.645906666667,1.88000356277519,8.38754738914704,89.7382,90.52005,140.22375,134.4264,482,15
"ZNF275",0.0906039632357827,971.400708506224,859.439246666667,11.4641021614698,66.5072005366163,815.490175,661.99195,1125.11035,1025.25165,482,15
"ZNF37A",0.409163749182442,503.143116390041,469.37356,7.10191780781014,40.2633445701881,396.51235,359.8798,610.097425,572.37555,482,15
"ZNF510",0.332751681069317,311.283055809129,286.770226666667,4.39318109769502,24.736849470736,254.140875,242.8302,363.433025,338.51155,482,15
"ZNF506",0.713185449907474,486.005317427386,496.129386666667,4.78511295635937,26.5177563643717,411.43985,430.3693,553.582825,532.545,482,15
"ZNF324",0.371629699552253,196.80583879668,186.514226666667,1.99262014967861,12.581971296992,167.969825,158.32675,222.30535,207.1697,482,15
"ZNF671",0.126982972179389,146.586909128631,175.891906666667,3.33202854800489,18.553585302609,95.964625,143.48095,193.8697,219.66835,482,15
"ZNF416",0.347890955397552,121.896210373444,129.062046666667,1.32693538321185,7.11366223712456,103.626225,113.80595,137.083325,138.7591,482,15
"ZNF586",0.625709172836048,208.133524688797,215.37954,2.59534190226443,11.0097314415056,167.78785,181.69755,238.932325,239.06475,482,15
"ZNF446",0.76544189385972,480.95876473029,494.622973333333,7.98583365981964,37.9975510420336,369.533775,405.21275,541.862225,563.40115,482,15
"ZNF8",0.931497949092594,65.6093825726141,65.09054,1.05252834708488,4.99212949746947,50.9341,50.9013,77.286675,78.676,482,15
