"gene","p-adj-M1-M0","mean-M0","mean-M1","SEM-M0","SEM-M1","Q1-M0","Q1-M1","Q3-M0","Q3-M1","count-M0","count-M1"
"ZNF445",0.0524587825911116,615.017126813187,796.111366666667,7.5280228267883,116.873852995189,509.95435,694.01145,706.288,896.4191,455,3
"ZNF74",0.807924137675681,408.381718461538,424.228033333333,5.27961161980356,40.0586068791853,326.861,393.8361,471.309,462.02415,455,3
"ZNF829",0.15942620584522,16.7015830769231,25.0605,0.481083251752856,0.498314569323434,9.3708,24.80805,22.1474,25.5588,455,3
"ZNF267",0.183333545127422,166.572017582418,216.745833333333,3.04153629271977,51.0792494727012,124.5725,173.538,196.18505,261.94275,455,3
"ZNF566",5.22709666905818e-06,196.070043516484,339.823766666667,2.46640581798954,103.842878071831,160.1771,243.51145,230.68205,421.60225,455,3
"ZNF224",0.000173579225749343,178.91846,311.988366666667,2.84479406176544,34.6693116505233,135.4962,291.7394,217.6884,346.48405,455,3
"ZNF529",0,317.950994065934,692.582966666667,4.0521029509986,196.356026576356,263.192,581.02295,358.4276,888.3006,455,3
"ZNF284",1.19035115098143e-10,31.5523520879121,88.3565333333333,0.668749315466853,38.1105506573675,22.2034,51.0972,40.47755,113.92285,455,3
"ZNF749",1.24068678264422e-05,71.1324795604396,142.023,1.25590013249806,63.1684642026383,54.5834,79.0235,83.78845,177.5213,455,3
"ZNF17",0.00019865999349844,113.709918241758,176.034066666667,1.3237781320457,46.8249772977462,95.4843,129.2103,127.30205,199.73755,455,3
"ZNF555",0.00154634288445776,68.1623654945055,101.548966666667,0.848047143328818,11.2860405265876,56.32495,94.44565,80.09495,112.6959,455,3
"ZNF75D",3.68087887558932e-06,427.16978021978,858.796233333333,7.29679664347064,297.535391395558,329.84355,596.0338,492.6282,1111.05925,455,3
"ZNF197",0.325187052389393,416.142112967033,470.714866666667,4.49318777712763,18.245477689036,355.37525,453.60885,460.538,484.76435,455,3
"ZNF732",2.88269408343922e-12,4.54952417582418,20.7583,0.17956513886951,10.0158414226331,2.1444,12.8821,5.6711,30.05475,455,3
"ZNF546",0.647304156680412,58.6329479120879,53.4577666666667,0.911711906612728,18.0613350010765,44.86405,36.41525,70.72255,67.15815,455,3
"ZNF286A",0.00939443365548753,183.474631648352,273.967166666667,2.78592612138386,73.4984742610424,142.25575,205.57785,215.56985,331.4791,455,3
"ZKSCAN4",0.00330734325638149,92.4099224175824,137.915866666667,1.23946904494998,29.8191029861918,74.12325,110.4108,110.3563,161.64275,455,3
"ZNF643",0.0491181885941014,34.353912967033,55.6135333333333,0.870654177288628,14.3299965499337,22.22195,41.3085,41.4088,63.49825,455,3
"ZNF642",0.14769058846534,62.0028821978022,38.9326,1.28591672193983,19.8314670413798,42.7509,19.421,78.6741,51.7606,455,3
"ZNF490",0.191141706609608,222.559789450549,262.351533333333,2.45154965331733,48.3957849815571,188.6551,218.44175,257.9279,301.9292,455,3
"ZNF626",0.782307179475908,411.772738461538,383.669466666667,8.158162725174,221.20575916638,287.7568,189.56515,500.73655,572.59995,455,3
