"gene","p-adj-N1-N0","mean-N0","mean-N1","SEM-N0","SEM-N1","Q1-N0","Q1-N1","Q3-N0","Q3-N1","count-N0","count-N1"
"ZNF195",0.0938115104676147,377.285149418605,399.21561375,5.5967913178391,12.4183116514151,303.36375,339.739175,438.8305,441.334625,344,80
"ZNF263",4.82703328308354e-07,814.637176744186,935.12794875,9.53185032935628,26.6618565244429,696.14615,782.40035,903.44725,1072.296525,344,80
"ZNF200",4.08834336385056e-08,177.787497383721,212.14447125,2.49541733754757,6.89043238579845,144.7697,167.920075,204.8741,236.071075,344,80
"ZNF582",0.582529500176892,86.0584104651163,88.0181725,1.34310504754365,4.61763887365267,69.7955,71.138475,99.157275,95.5805,344,80
"ZNF285",0.464445743912747,120.910027325581,117.12630875,2.29726923197045,4.14741716877222,89.8758,88.843975,138.97995,140.19545,344,80
"ZNF275",0.453388233299222,966.684591569767,990.429705,13.5996112409002,29.7612776834813,814.1549,804.22305,1109.63945,1191.713125,344,80
"ZNF37A",0.873701642558343,504.094508139535,507.21304,8.64986441151598,16.4063893785499,398.814925,390.517525,615.34635,609.16165,344,80
"ZNF510",0.201073467835574,309.706679069767,325.36281375,5.0663104598354,12.987290714179,257.6136,247.178925,363.6543,376.931375,344,80
"ZNF506",0.00288367462929917,482.814678197674,521.53177625,5.38114577878113,13.5084279949741,413.691575,430.438325,544.580875,602.5758,344,80
"ZNF324",0.0672619229353986,194.938110755814,204.46974875,2.2033324145986,5.13266172095897,168.3519,161.111075,221.573,237.670025,344,80
"ZNF671",0.0637142143128782,141.809681104651,158.79653125,3.71078206055378,10.2352618926906,94.754975,90.4799,187.662625,222.0632,344,80
"ZNF416",0.00794167269012169,119.897410465116,129.49671375,1.42819390029511,4.24892529577519,101.589725,112.703725,134.476325,142.4311,344,80
"ZNF586",0.0419795907605189,207.817713953488,221.8927625,2.90839758856992,6.95707506902587,170.22455,173.9903,238.481425,258.0365,344,80
"ZNF446",0.19637419540535,483.771024127907,455.21296625,9.9013868022307,16.7506199070264,371.591325,346.385775,546.5531,521.071175,344,80
"ZNF8",0.00448064173908014,64.7615168604651,71.91951375,1.07515729441649,2.36913668489147,50.641,58.12045,77.405175,85.241425,344,80
"ZNF264",0.054182774531729,770.524124418605,820.1043825,10.3710619548273,29.1508738906226,659.584,693.18855,895.493975,917.340675,344,80
"ZNF213",0.0144859711328374,625.716705523256,679.75000125,8.95175501554821,24.5585835357201,523.36655,545.622175,707.985075,778.8789,344,80
"ZNF343",0.0944873778103656,262.670963372093,274.6130025,2.91435499288339,7.84054701720727,226.7668,239.0304,292.59625,312.325475,344,80
"ZNF302",0.0480034497320871,644.491481395349,688.02001875,9.41084835156983,20.8461246239362,526.433,550.5013,732.607925,778.52095,344,80
"ZNF268",0.505845187920289,348.748203488372,338.14673625,6.97701977718765,13.7730618959789,265.1186,267.963425,427.736525,399.575375,344,80
"ZNF184",0.0637892936306264,206.402679069767,219.347825,2.99438892452519,6.5466482733926,167.592525,180.074975,237.39255,251.922325,344,80
"ZNF500",0.00112477952275036,310.56677005814,346.161785,4.39684890347007,12.2278394621972,261.4425,270.38455,360.514825,396.97875,344,80
"ZNF419",5.4027819796687e-05,232.202524127907,271.753045,3.97293899543915,10.6167818384022,178.300225,219.3955,280.21435,306.559125,344,80
"ZNF175",0.476564792838564,143.698744186047,147.619395,2.3702248906046,5.13337533315559,115.463825,121.218375,172.200925,165.12395,344,80
"ZNF14",2.87641258529536e-05,239.484044767442,270.05933625,2.81796593015994,8.8459408472757,201.688,226.1749,269.83605,290.93575,344,80
"ZNF85",0.0230502524390231,116.985652325581,128.14836875,2.07214619008164,4.86166250618252,90.257375,98.69705,134.54975,151.719725,344,80
"ZKSCAN1",0.25554580145077,1539.42230901163,1395.67681,57.1260422101024,90.3218536370206,796.315375,856.8109,1971.942875,1891.99635,344,80
"ZNF862",0.0734789536589816,735.45672877907,822.76102875,20.8494356158536,46.3084225113273,511.003375,555.197225,881.5377,1004.864175,344,80
"ZNF684",0.111147217356036,35.702610755814,37.908555,0.568720018453015,1.49556337177656,29.23325,29.86865,41.41705,47.085925,344,80
"ZNF430",0.773072280763264,114.884415116279,116.82524,2.93385246370393,5.94801015652799,81.4701,87.849875,148.45545,140.259325,344,80
"ZFP30",0.00060721048195056,197.840023546512,226.10499125,3.25891660766129,9.58458566696131,157.699725,180.882425,230.7735,261.276975,344,80
"ZNF549",0.00465187469051376,224.288686918605,247.71718,3.19384657258385,10.1676063676792,185.021375,195.4786,261.4369,287.455275,344,80
"ZNF211",2.34186958303351e-05,220.997236627907,257.62891875,3.51958071409125,9.30589309485894,178.008375,208.902725,249.798275,298.951825,344,80
"ZNF205",0.61682286689513,401.319120639535,388.5789675,11.7074317882088,15.7048197261116,275.86685,296.8749,461.67765,474.241025,344,80
"ZNF45",0.328809763064913,260.222311337209,267.2021075,3.03659234797998,6.98225556077028,224.1627,233.476025,302.270025,299.3715,344,80
"ZNF133",0.75800162757945,312.582083430233,316.9598175,6.39511327436639,10.500529154639,230.874225,251.540475,370.1019,379.783425,344,80
"ZNF436",0.417655409273171,628.870764244186,610.01064375,10.3195517477215,18.813614383656,516.292175,498.0658,721.89135,696.950275,344,80
"ZNF484",0.024377044799915,64.2148511627907,71.1187375,1.28800136553479,3.0819241392625,49.8408,53.794575,79.75685,87.72695,344,80
"ZNF780B",0.172169384388724,353.831643313953,374.21592625,6.25114784270653,15.2741986483437,276.5199,277.3797,425.748975,459.353025,344,80
"ZNF557",0.0926017630049991,167.310884593023,175.05526625,2.01366765562873,3.97177112076906,142.369025,157.1482,191.9012,195.921925,344,80
"ZNF337",0.0315586335247378,483.143532267442,531.67595875,9.91589452249175,18.9221844366791,352.31365,422.53705,573.827,612.351025,344,80
"ZNF317",0.394202639374053,639.593797093023,651.13054875,5.82772128676609,12.6057611488759,570.2779,590.203325,710.3528,703.55205,344,80
"ZNF426",0.300413626439231,123.54447005814,131.8435075,3.42844461179592,7.63031019643784,77.78255,85.779525,160.5207,161.397,344,80
"ZNF331",0.552334593521193,800.105587790698,775.98734375,17.6515412618449,36.19477520614,595.040875,589.678775,928.07885,915.961825,344,80
"ZNF227",0.0177619482190688,404.546179069767,432.01271125,4.88995882119807,11.4387796994578,350.296875,363.0054,455.940875,502.471525,344,80
"ZNF141",0.732177494632406,88.0387360465116,89.4174725,1.73536181363955,3.74484875665935,65.864025,65.9108,107.292925,105.518525,344,80
"ZNF304",0.164180600596788,351.579774709302,374.850795,6.81071264002672,18.5068955184478,268.22525,290.01705,419.1748,438.800725,344,80
"ZNF132",0.493775028837753,146.630527906977,142.8138475,2.43156332515915,4.91888500116539,115.717375,110.2179,175.973125,173.367275,344,80
"ZNF20",0.0391104083219924,120.358425290698,127.21845875,1.37650243719574,3.49974503287798,104.041925,104.9631,135.217825,143.15805,344,80
"ZNF670",0.0701785322864492,67.7078055232558,72.7559475,1.17194209004634,2.80561587236319,53.221325,54.84675,80.180325,82.066575,344,80
"ZFP37",0.642215815186742,64.7980343023256,66.97339875,1.94868335103517,4.89690896119765,38.062925,40.04405,87.56115,87.3497,344,80
"ZNF189",0.128926915853875,640.99147877907,674.7106475,9.42402979450784,21.7016786185745,543.81725,553.6276,716.66485,789.756075,344,80
"ZNF434",1.25261031547197e-08,317.254027906977,364.36714125,3.1094958417547,10.2368467264666,277.980375,304.0738,348.6343,401.605275,344,80
"ZNF287",0.517675103465699,158.860174127907,156.0206525,1.84867178397925,4.42125952630181,137.3405,121.917625,181.4629,184.398575,344,80
"ZIM3",0.468812126717631,0.0280075581395349,0.0152925,0.00819885094760531,0.00881942902924553,0,0,0,0,344,80
"ZFP14",0.0574143223442769,211.839240988372,228.0605175,3.31587413550621,10.4331257891814,170.073075,167.7143,248.553725,267.0398,344,80
"ZNF473",0.0106562646844789,254.966450872093,308.8008275,8.10737499121663,26.108025431462,176.874225,186.15365,270.0712,336.375825,344,80
"ZNF614",0.0528773912453632,814.474253488372,704.24627625,26.3621803163171,31.5702204080511,481.988675,545.340375,1028.143925,826.1355,344,80
"POGK",0.00259161326100354,909.071698837209,993.5636825,11.5241518803163,29.8223336543329,765.26715,818.92475,1032.239025,1125.896975,344,80
"ZNF514",0.0611755865671804,251.426523255814,279.69536125,6.31493088875026,15.4359177564047,175.81935,194.01265,306.2442,333.325925,344,80
"ZNF300",0.67862090324014,124.008088081395,120.46440875,3.56178994767913,8.92816431639442,79.7995,69.45855,150.453325,152.451725,344,80
"RBAK",0.000970017048301242,440.163901453488,494.89862125,6.75092207896096,18.0372744556998,361.77885,412.09635,525.50195,564.050625,344,80
"ZNF92",0.000135193108430354,207.193258139535,245.53247875,4.20940162694959,9.92255405114072,153.127025,183.236425,248.83325,288.039375,344,80
"ZNF157",0.992948914257947,1.1865875,1.18517,0.0686788913983432,0.152672286995563,0.356925,0,1.654125,1.572725,344,80
"ZNF182",0.00124991232974436,149.369369767442,168.45907375,2.40968891925146,6.41797306700807,118.835175,125.788525,170.124325,203.386825,344,80
"ZNF673",0.226829808800413,222.179352325581,231.2507975,3.2908010309034,6.4247471559085,177.5232,194.296575,252.29055,258.963475,344,80
"ZNF41",0.228534635164362,225.084629651163,238.3948875,4.67192679194037,10.9772419687886,176.55925,181.738725,273.1338,272.212225,344,80
"ZNF7",0.00188990555984614,461.031226453488,526.80479375,8.96855712080571,20.3983156900853,361.476425,394.4083,520.937825,611.892175,344,80
"ZNF214",0.691512192655436,55.9098328488372,54.752245,1.22101719334488,2.99981925204654,41.267875,35.1784,72.8426,73.71645,344,80
"ZNF215",0.0486274248569711,26.2635654069767,21.08131,1.14798488166995,2.27093959057128,9.424125,6.0977,36.163975,29.496375,344,80
"ZNF547",0.0737744763114365,64.9310409883721,71.73788375,1.58982116175609,3.91281762151303,44.865175,52.235325,77.083475,80.2639,344,80
"ZNF773",0.000263402994839068,149.051943604651,165.8534275,1.73761952662158,5.82819100304174,128.760075,141.503625,170.2222,181.177,344,80
"ZNF776",0.0602448001925944,508.054697093023,545.42536,8.51349610623248,18.7601727271656,426.183125,434.664775,613.9039,610.798325,344,80
"ZNF256",1.41171135337181e-07,105.711329651163,127.58303125,1.43284109225361,5.82931644586566,88.52685,100.72925,118.269,144.487775,344,80
