"gene","p-adj-T3-T2","p-adj-T4-T2","p-adj-T4-T3","mean-T2","mean-T3","mean-T4","SEM-T2","SEM-T3","SEM-T4","Q1-T2","Q1-T3","Q1-T4","Q3-T2","Q3-T3","Q3-T4","count-T2","count-T3","count-T4"
"ZNF213",0.165641581552771,0.0623239341495586,0.194768020246454,615.13132688172,645.046355972696,738.483281818182,12.0052342392367,10.592229168898,66.7424654528963,520.101925,539.2543,624.18135,684.1854,730.1276,860.1815,186,293,11
"ZNF343",0.0257210783773546,0.00207805354040214,0.0229774046442927,255.037245698925,268.655786006826,313.964327272727,3.28479999508733,3.51457094317689,28.3195065559769,222.170575,232.1429,263.35695,284.2407,305.0273,357.25515,186,293,11
"ZNF302",0.129199280418288,0.102713248168645,0.304051573659447,625.460902688172,657.124767235495,736.051227272727,12.2371684146452,10.2569162853118,76.1520128968238,527.39705,534.5963,522.3146,704.107475,750.4887,938.64865,186,293,11
"ZNF268",0.841535686610386,0.321139977553823,0.235684775970095,345.937018817204,339.350572696246,402.029645454545,9.19320871429525,7.30304885234173,42.8706924945731,265.9025,261.5842,299.8526,425.26295,415.3705,473.68975,186,293,11
"ZNF184",0.83098432743804,0.507019609944163,0.395486431002087,209.276198924731,206.207368259386,228.758827272727,4.20092801876801,3.22364398876244,22.5323917443315,168.04495,166.4858,192.14185,238.499325,240.2265,223.2993,186,293,11
"ZNF500",0.0351955673059153,0.102739244993949,0.392032049080788,300.426503763441,320.379313651877,354.722163636364,5.31048206376892,5.39760958681828,30.5729320411084,250.7587,264.4407,303.4071,355.482625,366.819,408.51695,186,293,11
"ZNF419",0.152689147355126,0.822539957821076,0.999320287816866,230.873324731183,244.785441979522,245.647636363636,5.84792188958752,4.68563308103584,22.7652345434887,172.4649,185.8876,191.9819,282.13105,288.5086,290.5335,186,293,11
"ZNF175",0.224758448928307,0.203997876482351,0.442453067259571,137.782550537634,144.600856313993,161.077309090909,3.24287069164393,2.4951647110806,21.0361801484294,106.2453,119.8489,123.5137,166.022075,168.8274,171.51555,186,293,11
"ZNF14",0.113118894231112,1.17362360274598e-07,2.0555790323229e-06,236.659219354839,247.271393856655,334.692172727273,3.94543137473365,3.15128509382492,39.7414535773464,200.408225,210.8469,221.1282,268.257025,275.406,383.1895,186,293,11
"ZNF85",0.11519664655539,0.236644689821257,0.556858271563539,113.298059139785,121.058361774744,134.230745454545,2.60847274621798,2.62493195893595,12.4830394170022,88.858075,93.2423,106.61645,132.655275,138.3495,162.97055,186,293,11
"ZKSCAN1",0.377637930794648,0.978563229453218,0.97676014506722,1550.2253155914,1425.56592525597,1488.84745454545,80.1346774514828,54.6667270587712,270.918931477156,778.534325,760.479,911.1563,1981.813625,1892.2625,2067.5727,186,293,11
"ZNF862",0.0311285361439904,0.506599714148,0.934342670669076,672.477052688172,763.33410443686,804.578463636364,24.6989936792917,23.8333701989016,123.759519035159,463.877075,512.0994,361.0249,784.7163,935.6039,1075.2966,186,293,11
"ZNF684",0.778077923160038,0.419586542619322,0.536169759337296,35.254097311828,35.942571331058,39.5010454545455,0.711155160650112,0.670271239189106,4.02221746910748,29.438775,29.2058,30.78295,40.8688,41.7481,46.1586,186,293,11
"ZNF430",0.979399170279469,0.0361366452283447,0.0394653697744937,111.264534946237,112.235809215017,152.245890909091,4.14046830902723,2.96897060946635,19.1160795168715,76.594725,81.0883,99.37165,146.560975,139.8964,177.93285,186,293,11
"ZFP30",0.00314035749486374,1.80836068675028e-06,0.000139183681364674,187.542136021505,206.906,286.221927272727,4.00454284320639,3.82092637498616,33.7386960975648,150.65745,164.7454,201.6012,216.3912,243.2336,321.8429,186,293,11
"ZNF549",0.560786211591751,0.0588643677523643,0.11439867595884,221.384787096774,227.679053242321,267.780054545455,4.35611938675911,3.96603826717575,28.0530881979389,183.808175,186.0391,218.2261,261.300025,259.3267,337.39725,186,293,11
"ZNF211",0.147160326102642,0.32489405076185,0.656180711313245,217.260908602151,229.477858361775,248.163809090909,4.64967095214241,4.25058812759777,24.037857911373,174.5589,182.0656,201.3424,246.76955,262.6504,287.70825,186,293,11
"ZNF205",0.729147419095783,0.648095666249648,0.783337190124927,413.674736021505,399.325466211604,358.004272727273,18.5966473469587,9.57833359589939,33.8378240347237,270.531025,297.0829,278.08555,444.341975,477.9708,428.95755,186,293,11
"ZNF45",0.871507810324753,0.14155525592449,0.184013509485075,256.763137096774,259.445441296928,290.411090909091,4.00620429931281,3.4206208692896,19.8787948034283,222.900375,223.2581,259.3517,295.12125,299.3767,319.18,186,293,11
"ZNF133",0.778527731115551,0.785975489050573,0.888881333772234,321.887760752688,314.441252901024,297.715127272727,10.3897988418688,5.85848350357868,30.9338169709289,233.195525,240.2235,257.2835,365.296825,379.3794,337.0723,186,293,11
"ZNF436",0.821308995356031,0.798447687273606,0.888382712258727,615.026135483871,625.353754607509,651.580472727273,13.7143037055413,10.7381528718566,42.1161367360154,500.1934,515.5333,587.5516,712.426025,713.7464,712.901,186,293,11
"ZNF484",0.205380680344229,0.000457285215524572,0.00267334917196949,61.1799790322581,65.0082699658703,89.5509454545455,1.68542073544427,1.42083316294459,9.43908140688935,46.1507,49.4822,64.26,78.1013,78.8157,105.10835,186,293,11
"ZNF780B",0.464240764543807,0.372526854387996,0.580302047334075,344.161605913979,357.649453924915,394.835081818182,8.40439214853553,7.18654154673338,57.2634896570927,266.509625,270.8457,281.60825,417.086175,426.8681,456.1074,186,293,11
"ZNF557",0.910734756757861,0.0617945155744497,0.0787462598529788,166.805717204301,168.212767576792,192.411990909091,2.53784535354693,2.16829772126569,14.3293388206502,148.2238,143.4585,157.38975,187.238625,192.3572,205.6454,186,293,11
"ZNF337",0.224497891300768,0.157781109350333,0.365962692009971,471.723698924731,500.703631399317,578.470145454545,15.1630956613649,9.8757686111351,83.6560561462885,336.66115,390.8684,326.58855,549.8902,584.9739,702.8111,186,293,11
"ZNF317",0.693151149506857,0.011142345449387,0.0211954612696201,632.205108602151,640.453440273038,728.929454545455,7.5861143027288,6.29951507090139,50.723200786148,571.528375,570.8264,622.0445,701.216275,705.7101,768.9495,186,293,11
"ZNF426",0.998389251010576,0.0366953157653787,0.0358283177246959,120.169073655914,120.488278498294,168.455445454545,4.61478208140381,3.61433690499151,27.0289389377297,74.8104,74.9558,100.2346,155.320825,154.7134,199.2445,186,293,11
"ZNF331",0.658114153754771,0.722668913360432,0.866516593990714,804.681522580645,778.487921843003,728.314454545455,22.3021585590481,19.3838053084639,80.4767517057706,598.0111,589.537,594.47395,933.564,900.4294,962.8726,186,293,11
"ZNF227",0.0156641747186187,0.122857999261108,0.493393259373068,393.343186021505,417.277080204778,449.294981818182,6.15805320200403,5.58034136397492,36.2595560828711,346.008775,353.4793,363.0054,443.725375,478.1767,516.601,186,293,11
"ZNF141",0.265311467614876,0.578724755733677,0.85537737973589,84.6406516129032,89.8396979522184,95.6637818181818,2.83566190774856,1.91602058834163,15.5983192331145,63.0521,65.3342,65.9742,98.646175,108.0093,116.0577,186,293,11
"ZNF304",0.845398615172229,0.0678269534632686,0.0949053101951965,345.297096774194,352.069049829352,435.658572727273,9.13633818464407,7.85119923982151,41.2419122309974,273.967925,262.9135,335.40035,416.419725,417.802,533.591,186,293,11
"ZNF132",0.0459706619228004,0.90561150129164,0.479946417705549,151.826425268817,142.017112286689,157.602845454545,3.12150385655206,2.59927052068209,14.9596150059015,118.429725,110.9755,113.0961,180.175025,169.1546,207.96745,186,293,11
"ZNF20",0.797023078632378,0.238729297728067,0.160486577278185,122.111281182796,120.533889078498,135.275672727273,1.7685090517462,1.58973893708911,9.88037828206713,107.774525,103.213,112.12145,137.31145,134.843,149.05125,186,293,11
"ZNF670",0.101350869411713,0.0243046443503602,0.107350776798363,64.7400715053763,68.9542232081911,82.5826181818182,1.586454064277,1.29546434796817,5.81169681485409,50.247825,54.4971,69.88485,75.507225,80.3197,90.87165,186,293,11
"ZFP37",0.151291155951076,0.345962746386185,0.679467633065316,59.6377268817204,66.02995221843,75.4617090909091,2.27183279755208,2.26341185576592,18.558163665085,35.88365,38.1738,31.9958,80.998,87.1175,105.31235,186,293,11
"ZNF189",0.905424798585007,0.973563184143216,0.93386152491735,645.117261290323,652.121064505119,633.081745454546,11.5682165912733,11.0080667607269,30.3868069421714,544.8829,543.3276,553.6276,732.1281,741.6437,725.3904,186,293,11
"ZNF434",0.000389975314167179,2.49705345822804e-05,0.00230509345508034,308.222424731183,331.42326109215,397.991618181818,3.82379766055056,3.99540751559643,35.8280116564319,271.7118,283.817,328.1662,340.605975,365.187,423.00465,186,293,11
"ZNF287",0.571843890558105,0.0189436056228179,0.0406328612341731,155.164093548387,158.463597269625,184.532672727273,2.29845862176378,2.1570892168336,10.9659628241382,132.536375,132.429,161.1108,178.19045,180.7539,215.791,186,293,11
"ZIM3",0.549202226750603,0.986836047500817,0.985605399537879,0.0385510752688172,0.0235153583617747,0.0311636363636364,0.0138858860777637,0.00744465307614056,0.0311636363636364,0,0,0,0,0,0,186,293,11
"ZFP14",0.0387402676760098,0.0148698131217634,0.0958473801088787,201.486285483871,216.729119112628,259.0342,4.26912351755763,4.13485029205006,22.0951268815259,165.903575,170.8424,198.03955,235.520925,252.4074,311.25215,186,293,11
"ZNF473",0.0706459918706258,0.0649213477872426,0.249432297843393,241.344301612903,274.997410580205,354.517790909091,8.1382556406569,10.7495677929167,79.4346353452452,176.713075,185.4191,207.68555,265.17215,286.2703,442.01245,186,293,11
"ZNF614",0.130181168628629,0.708190437839921,0.976066997831961,849.756696774194,768.208676109215,739.257754545455,36.8468719610273,24.22374183335,118.979122063006,504.37245,486.8788,569.4279,1103.4822,905.7803,768.01035,186,293,11
"POGK",0.00766805492378997,2.20675747675259e-08,2.08338439433575e-06,865.835752688172,930.122265870307,1281.63742727273,14.8220806253356,13.7493886380531,116.75646670146,745.1551,783.6763,980.1629,968.9287,1058.3658,1617.06315,186,293,11
"ZNF514",0.174825740775793,0.119900154922052,0.317086147138303,236.256653225806,255.639594539249,307.082609090909,7.23974269948906,7.17195290439995,53.1484870925606,169.7648,177.4559,168.10965,292.17365,306.2352,428.5358,186,293,11
"ZNF300",0.984461042759232,0.998775971554543,0.999991912278101,121.887856451613,122.994419453925,122.912045454545,4.82274231739191,4.0971303270325,37.139015152572,79.2298,74.8527,56.7504,145.21735,150.547,137.71575,186,293,11
"RBAK",0.000526446845335538,0.0018721185736269,0.0545358643220699,414.804956989247,460.648894880546,552.7866,9.29064149430781,7.43151439863848,65.8047137213354,339.587025,374.0795,432.70605,486.276875,542.2106,573.28895,186,293,11
"ZNF92",1.53377067542149e-05,0.000134177056230533,0.0169465734280794,189.144075806452,222.81092559727,288.616472727273,5.2949747462899,4.61349625371795,39.2247103566109,144.027325,166.5765,216.7693,228.924125,274.0984,317.8115,186,293,11
"ZNF157",0.898289287727772,0.929568503325233,0.870140895971685,1.13179408602151,1.18420307167236,0.988672727272727,0.0935428722586959,0.074727498123022,0.162302041151624,0,0.2272,0.57585,1.686525,1.6517,1.2913,186,293,11
"ZNF182",0.0430406251134728,8.03922263169499e-05,0.0012502587915757,143.954237096774,154.484461433447,205.225772727273,3.2741110661478,2.69607698287913,24.6974668489672,113.209475,121.6971,113.20595,167.2516,179.0198,260.7796,186,293,11
"ZNF673",0.874674328465435,0.234095792673725,0.171616336535547,224.981439247312,221.983797269625,257.778027272727,4.99292188627764,3.63496383971229,23.376227874438,181.825925,178.3833,189.17945,251.97295,255.5484,328.2024,186,293,11
"ZNF41",0.433343827837102,6.97219241900804e-05,0.000277935164766596,213.812413978495,223.812624914676,328.288627272727,6.3454425814714,4.88872947210654,43.1902695032386,166.245425,171.6418,261.55415,261.8576,267.1914,368.3319,186,293,11
"ZNF7",0.000271747112896792,0.000791754886647067,0.0338038722038377,428.193476344086,488.000712969283,612.346072727273,9.08398249281854,10.3084141424369,86.2047658463109,347.288075,378.8894,426.0342,485.330025,555.5679,750.79615,186,293,11
"ZNF214",0.872908702601521,0.531200263602403,0.432559820104153,55.9832956989247,54.887543003413,63.8188090909091,1.57334773488516,1.44670425022177,6.9960565686997,41.659425,38.0789,49.0283,71.7235,73.8274,77.08875,186,293,11
"ZNF215",0.00126062118952763,0.285067273173662,0.895083410681832,29.7794419354839,22.7509709897611,19.8359454545455,1.7514806957951,1.13779240179761,4.01518730925841,14.02085,7.7123,10.6714,38.58135,32.1543,27.3142,186,293,11
"ZNF547",0.757794982735063,0.956549432391644,0.997290780467951,65.3819204301075,67.4081102389079,68.0640545454546,2.30864129421341,1.74189967675729,8.77314940124763,46.145075,45.3155,53.3032,72.54865,78.7766,68.0793,186,293,11
"ZNF773",0.239732376360094,0.309897476333628,0.587040359645373,148.557583333333,154.097349488055,165.151563636364,2.32271024591258,2.28925940137703,12.4223450341001,128.831075,132.8984,141.7158,167.448375,173.3425,185.9614,186,293,11
"ZNF776",0.046016739500782,0.0204230640171311,0.116768979010278,482.781002150538,518.191126962457,614.825609090909,11.5135179443906,9.21599718962101,60.1647207756724,402.37645,427.7798,457.3339,577.6783,611.8126,802.7917,186,293,11
"ZNF256",0.00765134562023317,0.0381252921545124,0.263025889267214,102.075956451613,111.274504778157,126.899781818182,1.68952472834853,2.15516284618127,13.7429056015016,87.3885,89.3517,89.9951,112.958125,125.081,159.912,186,293,11
"ZNF599",0.534754657775664,0.978860373124946,0.991154727771111,156.69325483871,151.542743003413,153.549272727273,3.51718424451286,3.05581417743889,24.3656872742876,125.599125,121.2871,100.93505,181.8669,169.5771,186.82295,186,293,11
"ZNF18",7.22822124377132e-09,0.0587740375836959,0.893417599490907,318.818705376344,248.347380546075,231.183663636364,11.4943356537718,5.77824175381982,17.3430783466188,210.36165,179.9323,192.1692,371.3314,297.2821,242.7992,186,293,11
"ZKSCAN2",0.177921340818042,0.931221808635872,0.636648234009002,198.57198172043,188.963446757679,205.002281818182,4.04947941788078,3.4175808159797,22.1334686447052,164.244275,151.0464,149.48915,227.516225,214.7103,242.7123,186,293,11
"ZNF689",0.531469940982233,0.0184570849031992,0.0417454411150374,132.060087096774,137.557403754266,178.214063636364,4.1296372365605,3.11706970235128,18.3359817732996,94.626425,107.8509,151.4002,176.8932,171.2116,212.5889,186,293,11
"ZNF19",0.0531955619946798,0.289509174235879,0.696774457004355,66.7355166666667,62.2739890784983,57.1821454545455,1.57878446182746,1.11968313410087,9.91445781824213,54.763975,47.8475,34.98185,78.592025,74.5585,63.29655,186,293,11
"ZNF230",0.106479165742718,0.086868439728113,0.281161109746125,88.7639301075269,92.6979464163823,102.371236363636,1.4247849097524,1.2519271432411,6.35413528416764,74.799525,77.3103,88.1285,103.191175,105.8354,112.88905,186,293,11
"ZNF222",0.891472662067732,0.28647852286863,0.348214818694996,60.9003650537634,61.5236754266212,67.7282272727273,1.02383341282145,0.871917824616783,4.39864824498475,51.708375,51.9536,62.0885,69.41855,69.9976,75.60795,186,293,11
"ZNF221",0.888801761805499,0.999507493122197,0.993230405640986,15.4391198924731,15.0024385665529,15.3457181818182,0.764673328860673,0.572039381497658,3.39135937464123,8.564875,7.9041,8.795,19.8351,20.0228,20.34615,186,293,11
"ZNF233",0.969850566182801,0.996806276637108,0.999986093303582,128.646134408602,127.537167918089,127.459745454545,3.25740103281124,3.07938302059653,21.4396062157289,98.640975,92.0186,79.7353,154.3113,154.6521,158.0722,186,293,11
"ZNF235",0.256323657413348,0.136098534947556,0.315625288494452,102.479475806452,107.307942320819,121.857618181818,2.06550654208519,1.98223692538189,18.1111877030988,84.0333,83.8495,86.3957,118.9025,123.7362,126.373,186,293,11
"ZNF208",0.999772179247281,0.971519778293821,0.969380107435178,28.0144483870968,27.886733105802,32.7750545454545,5.569662233921,3.53721733386507,21.1025795445243,7.9548,7.1249,6.85975,24.2228,25.4742,16.8587,186,293,11
"ZNF714",0.976843091396835,0.94557241218508,0.921608866842865,160.087406451613,161.942444368601,150.5972,6.64893549097221,5.83996367848549,20.6751221871249,102.570475,87.3197,101.0755,210.26945,218.2782,199.612,186,293,11
"ZNF394",0.459288317441567,0.991289662294408,0.875752559218073,482.953006989247,468.637634129693,487.965854545455,9.4712342749399,7.46937570896767,36.8327341969375,388.217075,382.9605,400.2905,536.034575,523.5798,554.7832,186,293,11
"ZNF333",0.101709068608577,0.0537018386346197,0.198463131946305,178.507297311828,188.593760409556,216.335072727273,3.46847899840446,3.20834385115421,20.7631078346715,147.44815,146.3932,147.1768,210.312675,221.2212,270.7051,186,293,11
"ZNF382",0.253465543118937,0.0184150360725058,0.0615590423526269,37.9132801075269,40.8293436860068,54.4974090909091,0.992041738542026,1.29029778167441,10.2047489414261,28.610325,30.2637,35.44095,46.511525,48.392,54.83335,186,293,11
"ZNF577",0.950063825310282,0.993818721120691,0.999890612471327,449.544252688172,443.516525938567,442.604163636364,15.8058808874745,11.9509827536997,87.6153984661313,307.357325,298.8068,233.21135,547.70225,539.7436,503.20515,186,293,11
"ZNF75A",0.0314618278215956,0.169453264443383,0.545587944065289,449.786865053763,479.376724573379,519.624,8.67352769839873,7.4792878109106,43.5619281374751,378.4087,388.221,398.98025,498.996875,548.074,607.0808,186,293,11
"ZNF496",0.505248194470048,0.26413862585118,0.43267349527833,283.753588709677,294.834699317406,335.065027272727,7.21503373402772,6.46045897792443,31.6652127741817,209.37035,220.5921,307.7264,336.008775,361.7535,425.0358,186,293,11
"ZNF2",0.419803067881946,0.10637926991555,0.219395281497781,112.130786021505,115.05327883959,127.733072727273,1.8392793611985,1.44994255188032,5.04965090741368,95.39465,99.5897,121.0556,124.704875,129.4192,134.3196,186,293,11
"ZNF589",0.0844650606201603,0.99114872169804,0.860339607392555,1036.76764193548,921.646431740614,1014.07429090909,41.889120737472,34.1589675883326,109.052140854788,637.7972,543.7215,786.0138,1290.0094,1115.0579,1294.1177,186,293,11
"PRDM9",0.651997037979273,0.999987406475077,0.962205589081361,0.0273413978494624,2.91693754266212,0.0791727272727273,0.0113465581650246,2.63681674966273,0.0415832398294162,0,0,0,0,0,0.11265,186,293,11
"ZNF12",0.000540310822043644,0.00107700764640895,0.0366009289068527,615.637518817204,673.41390887372,797.592536363636,11.1135128070842,9.76362684479251,75.0420720879358,527.759975,569.0193,656.53495,694.15675,766.4374,818.0543,186,293,11
"ZNF202",0.641982879314728,0.277257087684449,0.411215252735051,224.118533870968,229.380401023891,253.820118181818,4.33189500340106,3.74570602058345,22.8347293761372,183.552925,188.7245,211.4574,254.607125,264.1587,295.3283,186,293,11
"ZNF3",0.293669605738694,0.216479150466471,0.433662086142189,849.856452688172,882.833892491468,971.940309090909,15.8395515150694,14.3512459248442,77.8355963972251,698.89875,723.0403,745.135,959.392625,999.1379,1072.46165,186,293,11
"ZNF606",0.0174032892910743,0.0282998152549877,0.18494338176834,361.192847849462,394.479152559727,464.409054545455,7.77323235004949,8.29958795209866,42.1693552802794,286.5125,306.1025,343.32035,431.527125,446.77,581.43635,186,293,11
"ZNF91",0.909473317827553,0.00385145544812371,0.00524577082689592,536.096276344086,543.275547098976,720.703018181818,13.1091212752395,10.6135081909828,96.9008244998948,429.49295,435.0962,530.0152,640.193675,642.191,897.8038,186,293,11
"ZNF226",0.836816485827348,0.813824633060575,0.708377681955803,423.679287634409,429.957057337884,401.333545454545,8.96843934633459,6.66943701642977,40.1606870306916,337.14525,353.0938,309.2615,488.8985,496.9952,450.7793,186,293,11
"ZNF229",0.0415911889485446,0.0028424361392303,0.0253930872556498,219.638235483871,239.876102047782,311.225372727273,5.10916604941374,5.6955714241414,41.6599212174922,167.1304,173.0871,200.8152,270.413775,291.1762,386.46445,186,293,11
"ZNF180",0.366128754815379,0.353745413867709,0.591122065656669,208.730720430108,221.373719795222,251.291290909091,6.75837308472294,6.0843377728476,29.0008664440359,160.448375,166.5574,202.1866,240.76675,251.0879,255.63655,186,293,11
"ZNF641",0.212274073666532,0.423040397355844,0.733077125944164,116.42570483871,126.689681911263,141.685818181818,4.63608957460871,3.89349614818618,13.9303855880055,76.113025,76.7974,107.2683,158.59445,169.6697,168.09935,186,293,11
"ZNF610",0.459431310913911,0.327371141055088,0.527449977725533,188.364952688172,197.156579180887,223.265490909091,5.77905799602295,4.54886324362671,30.5245794228772,133.042225,143.797,153.6241,223.227275,238.1397,281.8813,186,293,11
"ZNF528",0.0980677402775328,0.0153217599143487,0.0750364021472887,358.796444623656,382.054846416382,462.578045454545,7.73338640350216,7.21519474214014,68.1331715897575,281.154,304.249,314.8106,434.66075,444.4072,566.63365,186,293,11
"ZNF701",0.939633285671996,0.0398740022065813,0.0485969902189242,127.296432258065,128.675161774744,160.4169,3.34080993207009,2.46825432414442,15.6596378075031,94.32745,99.4176,127.8347,152.057,153.6439,186.22565,186,293,11
"ZNF283",0.659593185417316,0.445185505455839,0.60161749279248,49.232811827957,50.4880627986348,55.0332272727273,1.01673764994309,0.918664019529078,8.31764671990266,39.356,39.5604,36.45895,57.2991,60.0503,65.14775,186,293,11
"ZNF558",0.230461901395741,0.0380809929635638,0.117605269007553,315.729172043011,330.081503412969,386.967909090909,6.38965699781486,5.47062951692557,50.9720895779596,255.872925,272.1308,301.7285,361.26795,384.1899,415.8539,186,293,11
"ZNF597",0.201464172668912,0.0262271630182557,0.0908118891530931,39.3942946236559,42.0547552901024,52.7432,1.14497669043043,0.959061970157102,9.4907883429623,28.102225,30.5603,31.40085,47.408225,51.1044,62.4373,186,293,11
"ZNF30",0.279366545182335,0.451193426923243,0.212844276554532,256.035070967742,226.998101365188,331.854363636364,16.2910847413432,10.8354680960642,88.9961164171676,134.53735,124.5301,118.7439,269.720175,259.0032,456.1339,186,293,11
"ZNF354A",4.98917628322104e-07,4.10521032812028e-06,0.00278625431774771,180.183174731183,208.574576109215,266.707372727273,3.53272676048795,3.63632252788801,14.478208584905,147.515125,166.7057,238.56125,204.541475,235.7929,283.18485,186,293,11
"ZNF764",0.00012662004896602,0.0802407758291441,0.630208495542931,207.828482258065,228.907896928328,244.232209090909,3.29874478414193,3.48501393519992,16.621311819356,174.597675,188.823,219.8562,233.5784,259.0684,272.6957,186,293,11
"ZNF747",0.507605743297951,0.972274250694001,0.993228618934807,321.166624193548,314.440746075085,316.642,4.28268143309911,3.98447648184949,19.2091510741152,286.6677,271.6764,274.78495,355.459425,354.085,331.99105,186,293,11
"ZNF778",0.0113200517406697,0.586186516021612,0.992754367430753,85.6440005376344,73.4923880546075,71.9085636363636,3.7035048960955,2.41181094017322,10.5613769838052,53.59515,45.7367,53.25945,101.140925,88.7017,81.27705,186,293,11
"ZNF212",0.468055776717068,0.852047673313773,0.981162759543495,405.943040860215,415.761822525597,420.841645454545,6.15175369076034,5.35144897458883,31.5984933447247,354.212475,356.9784,369.17865,455.77045,464.7085,515.81845,186,293,11
"ZNF282",0.243611498424378,0.968630852529683,0.743703319096509,1072.2870827957,1106.20158771331,1055.49095454545,15.1191867117376,13.8425402143031,61.6715138082086,954.36515,954.6065,991.10385,1182.3573,1247.4959,1112.7431,186,293,11
"ZNF160",0.0381380207600408,0.0013177195959968,0.0139436268857234,502.380452688172,528.91367337884,628.588118181818,7.82771132276044,6.78920073441154,61.1630157256637,430.295275,457.2243,469.50915,554.2019,587.2387,811.9323,186,293,11
"ZNF415",0.248468225042938,0.164240314225677,0.0532731673119309,204.928837096774,196.762729692833,235.749927272727,3.89379100370836,3.19297290625777,22.8146196722592,172.5574,162.1274,168.8322,236.870325,228.9452,288.8076,186,293,11
"ZNF439",0.146582504373535,0.774805664135419,0.992736055577544,96.4736661290323,107.283802730375,109.453890909091,3.86148711331526,3.81265926453655,27.2902161513624,53.936975,57.6,31.03755,128.40885,153.2737,157.49265,186,293,11
"ZNF440",0.999853375704299,0.256746264296664,0.251791400415089,343.875511290323,344.0585,402.426854545455,8.89942688634752,6.71108562838208,60.0927613353939,266.1412,264.4673,311.1788,397.44425,409.2191,372.05535,186,293,11
