"gene","p-adj-T3-T2","p-adj-T4-T2","p-adj-T4-T3","mean-T2","mean-T3","mean-T4","SEM-T2","SEM-T3","SEM-T4","Q1-T2","Q1-T3","Q1-T4","Q3-T2","Q3-T3","Q3-T4","count-T2","count-T3","count-T4"
"ZNF195",0.410940530672914,0.147188419482375,0.289327467653431,370.066835483871,382.538124573379,430.832590909091,7.98823472988639,5.98466564396394,22.3445393988226,294.0083,310.1783,380.276,424.26125,440.4803,464.88855,186,293,11
"ZNF263",0.000200212755349538,0.00178378391816658,0.063227882298619,783.87298172043,855.236198976109,986.454990909091,11.9782104895939,11.4540072116988,109.294148360133,659.6569,721.4135,749.97355,856.980475,967.9325,1112.8403,186,293,11
"ZNF200",0.000182925322222527,2.23792522069388e-07,6.49246841888385e-05,169.937171505376,188.336088737201,252.279290909091,3.12747947180199,2.94117471979909,25.6365339857912,142.9468,154.6667,191.9258,191.127425,215.1601,305.65825,186,293,11
"ZNF582",0.857306998292632,0.999786596440296,0.982050041607952,86.5699672043011,85.1850638225256,86.7405545454545,1.63034580178808,1.83239209649078,3.66780050603439,70.70425,68.1967,84.50825,100.315125,97.7484,94.12145,186,293,11
"ZNF285",0.871750741608246,0.0281038890009359,0.039289848704475,118.626382795699,120.538140273038,151.218145454545,2.7611116644398,2.49197511151156,13.1995236369028,92.6225,88.9575,128.52035,136.7381,142.3645,186.052,186,293,11
"ZNF275",0.964807990473639,0.0644649103250858,0.0733872435634128,959.549216666667,965.559107849829,1134.90320909091,17.5826056797042,15.0723082430802,80.7475859345084,820.5351,805.8959,979.66205,1128.44675,1105.0824,1300.2986,186,293,11
"ZNF37A",0.992916690208676,0.952694450191094,0.940282716704097,501.333836021505,503.00436552901,486.895509090909,11.6433142281518,9.07291689572513,50.8548007892389,402.2752,392.464,370.5174,608.63585,612.7804,550.5749,186,293,11
"ZNF510",0.800507188531148,0.209424053405644,0.284708117195259,305.849048387097,311.600049829352,356.499736363636,6.98520926290017,5.62834263862367,36.3717241761916,254.140875,251.3719,293.39885,364.72115,362.0326,369.9575,186,293,11
"ZNF506",0.800218022652585,0.448393668622756,0.559975610221076,481.343406451613,487.52649556314,520.232172727273,7.54528299897195,5.94924454600717,47.3024731535257,408.183225,416.8586,381.57135,551.145475,549.8069,633.1259,186,293,11
"ZNF324",0.549788764638901,0.759668796389372,0.556688468544372,198.085689784946,193.958053583618,207.337554545455,3.02874805417359,2.44557848628273,18.9779165789196,171.711375,165.0638,180.16315,224.3122,219.554,242.1112,186,293,11
"ZNF671",0.316763469109414,0.759002021415151,0.479328750306781,153.468115053763,143.542233788396,169.517454545455,4.91429291430915,4.36836787235342,35.2841095175367,109.878875,90.7336,70.38435,196.28575,194.1804,265.745,186,293,11
"ZNF416",0.879434010723398,0.000100419635657323,0.000155202875040006,120.42126827957,121.695642320819,156.969081818182,1.84409663008348,1.72078060325047,11.8703250715526,104.76265,102.2624,120.15115,135.489225,137.0014,193.9163,186,293,11
"ZNF586",0.993136633357575,0.0866677098007638,0.0890921708230346,206.825145698925,207.409493174061,243.526590909091,3.73501076208706,3.3970063435327,20.7172747459894,172.33695,166.6261,195.85615,229.27965,242.1804,275.2867,186,293,11
"ZNF446",0.0907458903059518,0.0744434068683565,0.260462916811099,505.45215,471.174637201365,387.347490909091,14.526259686504,9.31513391472985,24.9573533282476,383.717775,359.3916,366.6697,592.132425,535.1919,432.2557,186,293,11
"ZNF8",0.157677522132162,0.406969431472483,0.7447015206514,62.8394704301075,66.2683546075085,70.7355272727273,1.3729221213005,1.18873699992256,7.75667393696423,50.378625,51.9584,51.3987,76.1997,77.6187,87.58195,186,293,11
"ZNF264",0.646690211796919,0.284955436569139,0.419505045205021,760.241732258065,777.315594197952,856.374163636364,14.6020296504712,12.1153843104569,66.26580189326,644.8486,669.7789,708.256,899.840825,874.8603,963.83075,186,293,11
