"gene","p-adj-Dead-Alive","mean-Alive","mean-Dead","SEM-Alive","SEM-Dead","Q1-Alive","Q1-Dead","Q3-Alive","Q3-Dead","count-Alive","count-Dead"
"ZNF195",0.0263374589527818,325.875554385965,411.38625,13.3180864676894,32.2934504027962,266.3026,346.6726,393.7131,465.1384,57,8
"ZNF263",0.142337695600515,849.883642105263,728.375175,29.0022627313933,69.597039647964,725.3873,632.0094,977.0795,873.77575,57,8
"ZNF200",0.265101963407879,188.672664912281,172.8790375,4.93162817274133,13.0687209903475,161.3195,172.88145,206.7952,192.239525,57,8
"ZNF582",0.951187904090233,67.6059947368421,68.2011875,3.12428218178391,13.5574295133101,51.1619,44.64165,83.005,93.027225,57,8
"ZNF285",0.0342093547334665,80.4683280701754,52.83075,4.50942297199563,11.2890558619842,61.4657,20.7552,95.1139,71.294125,57,8
"ZNF275",0.947418611300147,1486.74271578947,1503.3046875,86.04593118785,267.917305019314,1094.0355,1061.5012,1946.6,1657.873475,57,8
"ZNF37A",0.051794427404221,327.028359649123,447.810275,20.5917741687317,71.6000429319273,228.0732,363.1742,387.0731,463.10445,57,8
"ZNF510",0.757621594337042,244.380249122807,255.3690875,12.0952370208761,39.7675390737733,180.9211,165.593075,293.3046,291.4391,57,8
"ZNF506",0.688767409320986,502.202414035088,520.381225,16.2397784116452,32.8060531721758,420.7415,468.433725,606.7912,572.182625,57,8
"ZNF324",0.519228326060477,243.889205263158,226.9566125,8.86056070797593,30.1825219267083,208.1301,202.293575,291.4234,228.38835,57,8
"ZNF671",0.3294506928499,203.421178947368,175.1306,10.3204297977145,21.6368859443527,151.8301,137.9752,261.0407,211.860075,57,8
"ZNF416",0.463997523399946,127.775128070175,118.72415,4.10773601378494,15.1415317000013,113.0829,90.262275,147.5005,155.40785,57,8
"ZNF586",0.872858600136357,140.178629824561,143.0200125,6.15734472790843,17.5184688960724,111.9543,127.3941,160.6335,169.01595,57,8
"ZNF446",0.543565565551338,287.618771929825,261.3088,14.8381582520405,45.7870226068752,217.4751,174.84435,327.4555,285.6613,57,8
"ZNF8",0.65254319600844,95.3214157894737,91.16265,3.25293273497557,7.98913938477016,81.9307,79.154175,110.5002,109.297725,57,8
"ZNF264",0.368750668587688,698.300703508772,642.871175,21.4083441243905,58.8414889250766,595.6248,587.1411,796.3636,725.263175,57,8
"ZNF213",0.391512002758411,495.489973684211,431.7134625,26.5387417683921,54.5506613542564,367.4541,267.773475,596.2459,527.0324,57,8
"ZNF343",0.753247417317824,214.812143859649,206.055,9.82410042275168,23.8766666565469,171.8695,169.11595,239.472,255.7529,57,8
"ZNF302",0.140230169243953,519.075719298246,413.67935,24.4609462788608,72.0123993702895,377.1999,323.5254,637.84,528.990425,57,8
"ZNF268",0.759217056869779,396.340742105263,414.5131625,18.9742723681926,83.5527541216154,319.0863,257.742875,480.5415,597.058125,57,8
"ZNF184",0.84884672897312,95.9500684210526,92.551175,6.32869886490413,14.3692154863612,67.9516,64.121775,113.1557,99.5141,57,8
"ZNF500",0.099250682829103,288.408659649123,239.7482375,10.3492530843748,23.8785574941122,233.9505,191.172575,328.5281,289.213825,57,8
"ZNF419",0.525819284465165,225.969571929825,208.02415,10.1707815155515,18.6750398705637,190.7297,203.939875,252.433,239.894975,57,8
