"gene","p-adj-1-[Unknown]","p-adj-2-[Unknown]","p-adj-2-1","p-adj-3-[Unknown]","p-adj-3-1","p-adj-3-2","p-adj-4-[Unknown]","p-adj-4-1","p-adj-4-2","p-adj-4-3","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","count-[Unknown]","count-1","count-2","count-3","count-4"
"ZNF195",0.00330048653596648,0.000113392366470011,0.582043599361303,0.0496284774048756,0.891811698173926,0.196645874497568,0.0193699640111616,0.991151631213413,0.407825733464766,0.993719356596891,699.305082352941,435.254514285714,354.117371052632,486.379161111111,460.705827777778,112.722662937055,33.6275372514196,27.5745259641915,41.5252564171922,40.4670424578946,391.5355,264.98785,225.82645,276.607,289.5716,891.7108,536.349275,428.781725,662.4056,566.78925,17,56,38,36,36
"ZNF263",0.643145163259955,0.903822554002356,0.97611768225739,0.952929513578207,0.930138309769705,0.999638717378683,0.9927878460789,0.756040119103481,0.980605109751473,0.996584408221734,599.510005882353,539.3081125,558.955663157895,566.307780555556,579.506097222222,33.310134411855,18.3185016060529,27.1890249475919,27.9356885285908,29.2571715987083,525.5053,443.605375,452.08055,438.93325,462.79925,643.7833,615.051175,630.5077,676.7285,703.061925,17,56,38,36,36
"ZNF200",0.993268547553838,0.995399957197392,0.999999904814982,0.999738016253864,0.998361385937232,0.9991727317234,0.898806136676376,0.388610344493407,0.491866432813784,0.662362899353143,238.513841176471,228.575982142857,229.028857894737,233.902577777778,260.842083333333,15.2763759772745,11.9419084383375,11.8050590618131,14.3115697707651,16.0672894669305,205.5828,167.715775,196.63195,160.179425,203.515425,288.536,266.321825,255.65425,289.14305,273.97065,17,56,38,36,36
"ZNF582",0.580514170213869,0.927796281536489,0.924119225086992,0.354015533763081,0.971132975614325,0.682887528448648,0.941727912876287,0.909359483038953,0.999998184607391,0.660973068286255,6.13291176470588,12.0900232142857,9.57454473684211,14.0339527777778,9.394425,1.10447376443032,1.89175016108047,2.20066733122634,3.49549228797283,1.8561926011536,2.8777,3.326375,2.428825,4.10715,3.2589,10.6621,13.947025,10.606125,14.1119,12.675,17,56,38,36,36
"ZNF285",0.242873821427286,0.93307646292706,0.489994535529529,0.639946149442393,0.94037382354486,0.942432294564949,0.932571887914788,0.51409454170074,0.99999999702936,0.947709336724384,7.35332352941176,19.0425446428571,12.0836157894737,15.6933361111111,12.1345083333333,1.7002394319393,3.20207066734961,2.15199322637548,4.5490804137518,2.8020820756262,2.0964,3.447025,2.556925,2.89285,2.47675,13.8904,28.23485,14.7106,17.767325,13.1978,17,56,38,36,36
"ZNF275",0.251125164811972,0.596750811242848,0.961273698195283,0.454083238175571,0.997030302675254,0.998289085880533,0.884992431693502,0.651372355619515,0.967991421084744,0.886419675916667,941.190311764706,728.361541071429,781.915226315789,755.891222222222,838.123652777778,133.828088365915,44.3328949323584,63.5899277142084,54.7422492369029,62.1504279490588,603.8801,449.99525,535.293275,506.737075,600.755575,1165.7715,873.020125,972.2908,994.89335,1078.2797,17,56,38,36,36
"ZNF37A",0.374049934163539,0.0569838932375119,0.641814880785799,0.626434745171216,0.994214992058738,0.486843734673149,0.600920211844482,0.996684855944449,0.518880966201928,0.999998633520716,638.434723529412,527.4159625,463.026326315789,546.706566666667,544.118302777778,55.5485587895518,27.6674478820232,37.5750956686735,40.641750963385,34.7360438920257,485.0202,378.565825,284.84565,346.14495,408.00005,850.8908,677.607575,670.303375,700.186375,691.1141,17,56,38,36,36
"ZNF510",0.983413688597589,0.998091965258714,0.998586200642546,0.969659765087331,0.999786719930922,0.993636509922043,0.973817174758701,0.543100597837264,0.778768479386635,0.533157841091484,341.896852941176,319.54055,328.487686842105,313.906105555556,368.778455555556,37.497699478373,16.5333049789836,20.9826135682287,17.2290303196245,37.9170507744413,222.0087,234.66005,236.5659,245.403275,261.2866,407.0162,397.849425,420.342225,398.508175,414.363475,17,56,38,36,36
"ZNF506",0.991480394504846,0.562345927744111,0.568325634327944,0.997193306226159,0.832758648941214,0.146066493617001,0.999999996328613,0.975157595849529,0.321667548006419,0.994189663414678,458.9587,417.988419642857,314.759571052632,491.602575,460.047888888889,76.4662213975023,49.0122906138114,36.8403758826179,69.0723991522043,43.2115066540315,254.8256,218.843775,137.475775,266.444425,312.7198,547.5382,477.24555,427.25275,661.585775,598.969675,17,56,38,36,36
"ZNF324",0.977517987846536,0.481382292283958,0.568324969555868,0.999812415731443,0.985124291969512,0.360777355411494,0.871304968971538,0.979033317839338,0.922846424657916,0.859371422987739,187.417247058824,210.8549375,256.453497368421,194.675444444444,228.597216666667,14.8743087633908,11.3302662497354,39.4305182802211,11.5335635958245,27.4457924042285,154.5645,156.321575,170.463375,142.4004,158.81415,213.8365,255.932675,240.46495,249.009875,230.917475,17,56,38,36,36
